champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
157,Yasuo,12,4,True,6,2,6,127487,10545,13,178,1055,1029
48,Trundle,3,4,True,4,1,7,18358,6534,10,31,3190,0
110,Varus,7,4,True,5,0,8,108771,10365,12,156,3142,1037
85,Kennen,4,12,True,4,3,5,102776,8918,13,153,1055,3165
79,Gragas,11,4,True,9,0,11,98743,8936,13,22,3158,2031
875,Sett,4,12,False,0,4,3,65306,5740,10,126,6630,1001
76,Nidalee,11,4,False,3,3,2,82171,6502,10,18,4636,2031
412,Thresh,4,3,False,1,4,1,12558,4440,9,26,3105,3067
114,Fiora,4,12,False,0,11,2,34344,4752,10,88,1036,0
523,Aphelios,7,4,False,2,6,0,93102,9125,12,187,3006,3086
22,Ashe,4,1,False,0,7,4,73468,6634,12,160,6673,6677
76,Nidalee,11,4,False,6,5,7,108267,8631,12,20,4629,2055
114,Fiora,12,4,False,6,9,5,50686,9125,12,94,6631,3508
13,Ryze,12,4,False,4,5,5,123275,9216,14,180,3916,3157
201,Braum,3,4,False,0,6,5,16336,5083,9,34,2055,3190
101,Xerath,4,12,True,7,4,11,106519,10211,14,138,1056,3020
412,Thresh,14,4,True,2,4,20,16687,7544,12,31,2065,3857
234,Viego,11,4,True,9,2,7,116602,11108,14,38,6632,3091
67,Vayne,4,3,True,6,6,9,91413,11331,14,136,6677,6673
110,Varus,4,7,True,8,1,14,141247,12708,14,198,3035,3042
201,Braum,4,3,True,2,1,17,26268,8771,14,40,2055,3190
20,Nunu,4,14,True,6,4,10,147027,12143,15,147,1056,3157
115,Ziggs,12,4,True,5,4,11,204450,14159,17,275,3020,2421
83,Yorick,4,12,True,9,3,6,243952,18036,18,268,3143,3078
64,LeeSin,11,4,True,5,5,11,241639,14068,17,64,6630,2055
523,Aphelios,7,4,False,5,4,4,229734,14490,15,295,6671,3031
12,Alistar,14,4,False,0,5,9,22028,6994,13,28,2055,3190
23,Tryndamere,6,4,False,3,4,5,253739,14134,17,278,6630,3508
30,Karthus,3,11,False,4,11,5,225287,11642,15,50,3157,1082
19,Warwick,12,4,False,5,3,4,163600,11465,16,200,3748,6632
54,Malphite,12,4,False,2,4,8,59844,6882,12,121,2033,2420
201,Braum,4,14,False,0,5,9,13346,5175,10,32,3857,3190
80,Pantheon,4,12,False,3,5,2,73695,7534,12,134,2033,6692
887,Gwen,11,6,False,6,7,3,97695,8451,11,19,3158,3165
110,Varus,1,4,False,3,5,5,103036,8974,12,207,3158,3004
517,Sylas,4,12,True,9,0,6,108964,11802,15,162,3157,0
236,Lucian,4,12,True,1,4,12,102272,9332,14,167,6694,3158
20,Nunu,4,11,True,3,2,17,154131,9727,14,18,3111,3067
523,Aphelios,7,4,True,12,1,4,132355,13125,13,171,6671,2031
875,Sett,14,4,True,1,7,14,39417,7188,12,53,6630,2420
22,Ashe,1,4,True,3,2,3,42093,6754,9,122,3006,6673
164,Camille,12,14,True,6,2,2,58685,8154,12,125,2031,6632
35,Shaco,11,14,True,7,3,5,90317,8406,10,7,3133,2031
223,TahmKench,14,4,True,0,3,6,16186,4126,9,25,1033,2055
13,Ryze,12,4,True,4,0,2,84941,7493,12,144,2031,6656
202,Jhin,7,4,False,4,2,1,53167,6449,9,107,2031,6692
41,Gangplank,12,4,False,1,7,1,41602,4753,10,80,1001,2033
89,Leona,14,4,False,2,2,4,13087,4308,8,29,3859,3105
163,Taliyah,4,11,False,3,6,3,68662,5843,9,19,3100,3057
875,Sett,4,12,False,0,3,1,36532,4815,10,118,6631,1083
234,Viego,4,11,True,21,8,7,265684,20733,18,53,3748,6333
110,Varus,1,4,True,7,7,12,163318,14314,16,206,3158,3042
112,Viktor,12,4,True,3,8,18,164016,13529,17,209,3157,0
13,Ryze,4,12,True,3,6,8,219726,13143,17,201,6656,3070
497,Rakan,4,3,True,3,2,17,28184,9614,16,39,3860,3190
111,Nautilus,14,4,False,3,9,11,34291,8312,13,63,3190,3157
64,LeeSin,11,4,False,7,7,9,224324,14466,16,53,6630,2055
432,Bard,7,4,False,1,6,12,81799,9464,15,143,3157,2065
58,Renekton,12,4,False,9,8,6,190818,15430,17,239,3143,6630
85,Kennen,12,4,False,11,7,9,175824,15416,17,242,3089,3165
39,Irelia,12,4,True,7,7,7,155335,12334,15,188,6673,3140
2,Olaf,11,4,True,17,3,5,169733,14264,15,39,6632,3047
526,Rell,14,4,True,4,5,26,26206,8453,13,28,3075,3190
