champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
92,Riven,14,4,True,1,3,3,123371,9117,13,180,6630,6609
53,Blitzcrank,14,4,True,4,5,23,20000,7976,12,19,3860,1031
203,Kindred,7,4,True,15,2,7,124489,13126,13,167,0,6673
517,Sylas,12,4,True,12,5,6,104418,10745,14,163,1056,6656
64,LeeSin,11,4,True,8,4,7,119602,9689,13,11,6630,3047
777,Yone,12,4,False,2,8,9,79526,7625,12,135,1055,6673
104,Graves,4,12,False,2,3,7,120017,8449,13,160,6673,2055
131,Diana,11,4,False,12,7,4,121893,12713,12,30,3152,4630
89,Leona,14,4,False,1,13,8,14762,5217,10,31,3857,3190
110,Varus,7,4,False,2,9,1,72675,7617,11,153,3070,3134
238,Zed,14,4,True,6,8,10,142398,12740,15,179,6691,6694
115,Ziggs,12,4,True,16,6,5,237195,18144,17,247,3040,4628
875,Sett,4,12,True,5,3,7,184306,13713,17,207,6630,2421
59,JarvanIV,11,4,True,3,5,22,186092,13139,16,54,3047,6630
48,Trundle,4,14,True,1,3,21,22175,9762,14,41,3857,0
64,LeeSin,4,11,False,9,5,6,186280,13453,15,46,6630,2055
53,Blitzcrank,14,4,False,2,5,15,20332,8030,12,33,3860,1031
236,Lucian,12,4,False,3,5,6,181206,13138,17,238,2421,6671
114,Fiora,14,4,False,5,11,2,102976,10468,13,152,6630,2421
134,Syndra,7,4,False,6,6,5,198276,14670,16,277,3157,6653
142,Zoe,4,14,True,9,2,13,117695,13045,16,188,6655,3165
523,Aphelios,4,7,True,10,5,8,175295,14563,16,188,6671,2421
236,Lucian,4,12,True,8,4,9,164595,14333,16,209,6671,3158
53,Blitzcrank,14,4,True,4,8,14,20815,8015,13,24,3859,6664
35,Shaco,11,14,True,9,9,17,134924,12511,15,18,6695,3134
234,Viego,4,11,False,6,8,9,165352,10865,14,35,2420,0
126,Jayce,12,4,False,5,8,6,103192,9925,13,153,1055,6692
69,Cassiopeia,12,4,False,13,9,5,165707,15295,14,217,3070,4629
777,Yone,12,4,False,4,7,2,145208,10278,14,179,3031,1018
12,Alistar,14,4,False,0,8,14,19375,6652,11,25,3860,3067
115,Ziggs,12,4,False,5,6,16,235051,14382,16,255,4628,3020
12,Alistar,4,14,False,0,10,15,18556,7631,13,34,3190,3860
164,Camille,14,12,False,10,8,7,148418,14942,16,197,3053,0
234,Viego,4,11,False,6,7,12,231600,13709,16,48,3047,2421
166,Akshan,14,4,False,8,7,12,160093,14369,16,195,3006,6673
68,Rumble,12,4,True,8,6,12,98335,12163,15,163,3916,3152
2,Olaf,6,11,True,6,6,16,212866,14501,17,37,6630,3211
517,Sylas,4,12,True,10,6,14,164037,15474,17,199,6656,3157
222,Jinx,7,4,True,12,4,11,247842,17839,17,295,6671,2421
53,Blitzcrank,14,4,True,2,7,21,23933,9404,15,36,3860,2421
89,Leona,4,14,True,4,8,15,19471,7233,11,27,3860,3114
202,Jhin,4,7,True,11,3,17,114253,13103,14,168,6671,3094
887,Gwen,14,12,True,9,2,7,139795,11922,15,178,3115,2420
35,Shaco,11,14,True,8,5,7,109477,10462,13,16,3134,0
126,Jayce,12,4,True,12,5,7,133683,12680,14,155,1037,3047
39,Irelia,4,12,False,7,6,4,102184,10578,13,153,1011,3053
234,Viego,12,4,False,2,8,4,54959,6707,11,110,1054,1042
53,Blitzcrank,14,4,False,2,10,6,13868,5597,9,28,3859,0
30,Karthus,4,11,False,6,10,7,145046,10182,13,43,1058,0
110,Varus,4,1,False,6,10,5,109904,9658,13,157,6691,2031
412,Thresh,14,4,False,1,6,10,12333,6780,11,30,3857,2421
104,Graves,4,12,False,2,1,9,170306,10539,15,195,2055,6692
523,Aphelios,4,7,False,5,4,2,171427,12631,15,241,3031,6676
163,Taliyah,4,11,False,8,6,5,168223,12199,14,62,6655,3157
126,Jayce,12,4,False,7,10,2,160878,12307,14,186,6694,3123
13,Ryze,4,12,True,7,5,5,168606,13324,16,203,6656,3157
64,LeeSin,11,4,True,5,4,8,109266,11119,15,21,2421,6630
110,Varus,1,4,True,9,5,4,222974,15599,15,277,6691,3042
887,Gwen,6,12,True,5,6,3,186942,13293,17,232,3157,4633
43,Karma,14,4,True,1,3,13,18001,8882,13,13,2055,3158
64,LeeSin,11,4,True,4,4,11,109115,8546,13,6,3071,6630
53,Blitzcrank,14,4,True,1,6,18,15309,6700,11,27,3860,2421
164,Camille,4,12,True,9,1,12,99049,10553,15,155,3074,2420
13,Ryze,12,4,True,10,3,9,139435,12205,14,158,3157,3158
429,Kalista,7,4,True,8,6,8,113470,12826,13,201,6673,0
234,Viego,4,12,False,6,1,7,99206,8975,13,152,6632,3091
497,Rakan,4,14,False,3,5,10,11993,5794,9,29,3859,2065
523,Aphelios,4,7,False,7,10,8,76166,10633,11,105,1018,1038
92,Riven,12,4,False,1,8,2,74696,7553,12,143,3133,6630
68,Rumble,4,11,False,3,8,12,96374,7956,12,27,2421,3916
103,Ahri,14,4,True,7,1,8,86164,8552,13,160,2033,2055
164,Camille,12,14,True,5,2,10,80317,9033,12,127,3078,2421
147,Seraphine,4,7,True,0,4,10,41995,5039,10,95,1056,6617
121,Khazix,11,4,True,10,2,5,106960,8451,11,9,3047,3179
89,Leona,4,14,True,3,2,18,12676,5480,9,21,3859,3190
126,Jayce,12,4,False,1,6,0,68224,6089,11,127,6692,1055
236,Lucian,1,4,False,3,3,5,89152,9452,11,162,6671,3133
234,Viego,4,11,False,4,7,2,67533,6658,10,11,2422,2031
13,Ryze,12,4,False,1,4,1,78840,7387,11,139,3070,3158
53,Blitzcrank,14,4,False,2,5,6,14251,5352,8,20,3859,2031
12,Alistar,14,4,True,1,5,13,8312,4740,8,13,3859,2031
112,Viktor,12,4,True,6,2,1,64076,7095,11,125,6653,0
133,Quinn,14,4,True,7,0,0,68924,7974,12,144,3134,2031
76,Nidalee,11,4,True,9,1,5,98970,9660,11,30,4636,2055
523,Aphelios,1,4,True,1,6,5,35576,5248,8,85,6673,3006
412,Thresh,14,4,False,1,4,8,8701,4079,8,17,1033,3855
110,Varus,7,4,False,7,2,2,52904,6950,9,111,3004,6693
245,Ekko,4,11,False,3,7,4,55079,5182,8,9,2031,0
236,Lucian,12,4,False,2,7,3,45120,5096,9,97,2033,1055
126,Jayce,12,4,False,1,5,0,55753,5347,10,113,3134,6692
203,Kindred,7,4,False,2,4,3,90307,8337,12,167,1042,2031
53,Blitzcrank,14,4,False,0,5,3,21489,5399,10,44,3860,3117
3,Galio,12,4,False,5,8,1,106651,9515,13,172,6656,1082
48,Trundle,4,11,False,1,7,2,55744,6118,11,17,2055,6662
23,Tryndamere,12,4,False,6,3,4,193835,13584,15,223,3134,6671
13,Ryze,12,4,True,12,0,9,240774,14283,17,234,6655,4629
517,Sylas,14,12,True,3,7,8,99590,8803,14,156,3157,6656
12,Alistar,4,14,True,0,2,16,23128,6652,12,27,2055,3190
64,LeeSin,11,4,True,10,2,7,161072,12146,14,28,6630,2055
22,Ashe,4,7,True,2,3,8,105310,10171,13,190,6673,3091
