champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
76,Nidalee,11,4,True,6,1,7,114150,8810,12,19,4636,2055
246,Qiyana,14,4,True,7,1,4,60111,7540,11,101,6693,2031
85,Kennen,4,12,True,5,0,3,86345,9489,13,158,3152,0
89,Leona,14,4,True,0,1,9,20652,5213,9,25,3190,3860
81,Ezreal,7,4,True,3,2,1,66761,7675,11,151,0,0
517,Sylas,12,4,False,2,4,2,39627,6131,11,111,1056,6656
498,Xayah,1,4,False,1,3,2,91134,7404,11,159,6671,1055
59,JarvanIV,4,11,False,1,4,2,68479,5873,10,16,3158,1082
126,Jayce,4,12,False,1,6,0,69587,6020,11,153,2031,3070
497,Rakan,14,4,False,0,4,4,11256,3915,7,28,2031,3859
421,RekSai,11,4,False,0,10,6,82938,6027,11,12,6693,2031
517,Sylas,4,12,False,1,11,4,46417,5699,10,81,6656,1082
119,Draven,1,4,False,12,7,5,137124,15259,12,178,3142,6676
45,Veigar,12,4,False,5,5,5,108778,9299,13,172,6656,4629
412,Thresh,14,4,False,2,3,13,17786,6494,10,28,3067,2031
3,Galio,12,4,True,10,2,17,112628,12626,14,142,6656,3157
64,LeeSin,4,11,True,15,3,11,121818,12760,13,37,6630,3053
39,Irelia,4,12,True,7,5,2,141645,12016,14,190,2421,2031
89,Leona,14,4,True,2,5,14,16416,7050,10,30,3860,3190
101,Xerath,4,12,True,2,5,16,86006,9151,13,129,6653,3020
12,Alistar,14,4,True,1,4,31,23445,7865,13,33,3860,2065
5,XinZhao,4,11,True,14,7,13,146438,13362,15,43,3071,2055
24,Jax,12,4,True,7,6,8,134943,13147,15,169,3047,2033
202,Jhin,7,4,True,15,1,17,113308,12777,14,153,0,6671
134,Syndra,12,4,True,7,3,18,138069,12204,15,174,1056,6653
875,Sett,4,12,False,6,10,3,113963,10468,13,170,6630,3053
110,Varus,4,7,False,0,8,5,91626,7252,13,158,3070,3134
76,Nidalee,4,11,False,4,9,6,108357,9418,12,19,2055,4628
114,Fiora,12,4,False,6,7,3,107964,10984,14,184,6630,3074
48,Trundle,4,14,False,5,10,10,19691,7508,10,32,3857,3190
145,Kaisa,1,4,False,4,1,1,120491,9639,13,230,2031,6676
91,Talon,14,4,False,4,7,0,103006,8507,13,162,6693,3142
60,Elise,4,11,False,1,6,1,83720,6369,11,6,4636,2055
497,Rakan,4,14,False,0,1,4,14876,5515,10,40,2055,2065
92,Riven,14,4,False,2,6,1,77035,7236,12,128,6630,3133
22,Ashe,4,7,True,1,4,7,96420,8936,12,185,6673,3091
89,Leona,4,3,True,1,0,8,17003,6242,11,35,3860,3190
76,Nidalee,4,11,True,6,2,6,153658,10562,14,24,2421,3135
58,Renekton,4,12,True,7,3,5,178341,13805,15,208,6630,3053
238,Zed,14,4,True,6,3,4,93554,10320,13,140,1036,3142
412,Thresh,3,4,True,2,4,19,19188,8936,14,44,2065,3857
164,Camille,12,4,True,7,3,5,145939,12524,16,198,2421,3044
517,Sylas,4,12,True,6,6,9,137035,13054,16,185,6656,3157
56,Nocturne,11,4,True,5,6,13,179986,12181,16,50,3026,0
523,Aphelios,7,4,True,9,5,9,225682,16700,16,265,3006,6676
85,Kennen,12,4,False,2,7,4,123572,10109,15,189,3152,3191
234,Viego,4,11,False,7,6,6,156318,12701,15,32,3153,2055
110,Varus,4,7,False,2,7,5,147948,11523,14,237,3142,3042
48,Trundle,4,14,False,2,4,7,20325,7714,13,44,3857,3190
18,Tristana,4,14,False,11,5,4,198212,17044,17,225,6671,3047
201,Braum,3,4,False,0,4,6,12947,3736,7,23,3859,2031
523,Aphelios,1,4,False,2,6,4,52763,5849,9,114,2010,6673
62,MonkeyKing,12,4,False,4,3,0,48928,7062,11,133,6632,2031
61,Orianna,12,4,False,1,6,4,56808,5411,10,116,3802,3108
76,Nidalee,4,11,False,4,6,2,64016,6824,9,15,2031,3020
4,TwistedFate,12,4,True,3,3,8,67460,7880,11,123,6656,3094
134,Syndra,4,12,True,2,2,15,78873,8404,11,146,1056,6655
48,Trundle,14,4,True,3,2,10,16778,5170,8,29,2031,3855
114,Fiora,4,12,True,3,3,1,56132,6389,11,106,1083,6029
64,LeeSin,11,4,True,14,1,5,92988,10023,11,7,0,2031
39,Irelia,12,4,False,3,7,6,124366,10339,14,219,6630,3053
360,Samira,7,4,False,2,11,6,78726,8744,12,141,0,0
69,Cassiopeia,4,12,False,2,4,1,71974,7651,13,174,3157,6653
245,Ekko,4,11,False,11,4,5,123836,11367,13,37,3152,3157
89,Leona,4,14,False,2,6,11,19282,6536,10,47,3190,2055
246,Qiyana,14,4,True,7,4,9,85069,9971,14,157,6693,3035
119,Draven,7,4,True,13,5,8,157278,15321,14,184,3036,3031
76,Nidalee,11,4,True,5,2,10,159821,10306,14,27,3157,3020
48,Trundle,4,3,True,1,6,20,20107,7953,12,40,3857,3190
164,Camille,12,4,True,6,3,4,85783,10032,14,157,1054,6632
360,Samira,4,7,False,9,6,1,98700,10946,12,181,1055,6673
887,Gwen,4,11,False,3,6,3,107557,7416,11,28,4633,3115
3,Galio,14,4,False,2,7,8,26003,6036,10,32,3860,2031
875,Sett,12,4,False,2,5,4,72051,7227,13,136,2031,6630
150,Gnar,4,12,False,1,7,1,64399,6638,11,127,6632,1029
76,Nidalee,11,4,True,10,2,9,143388,11493,14,27,1052,3157
164,Camille,14,12,True,4,4,11,97945,9411,14,160,3074,1028
32,Amumu,4,14,True,2,5,20,33305,6806,11,37,3860,6662
61,Orianna,12,4,True,10,2,8,115656,11149,13,174,1056,6653
523,Aphelios,1,4,True,5,4,6,114436,10678,12,179,6676,0
497,Rakan,3,4,False,0,7,10,13878,6178,11,34,2065,3860
131,Diana,4,11,False,8,4,5,183862,12664,14,30,3152,3165
164,Camille,14,12,False,6,8,8,87296,9942,14,141,3047,3074
238,Zed,4,14,False,6,4,6,85423,9318,14,142,6693,2031
115,Ziggs,4,12,False,3,3,4,177479,11436,14,238,6655,1001
92,Riven,4,14,True,7,6,7,131384,12599,15,183,6630,3071
245,Ekko,11,4,True,10,3,7,154678,10875,14,30,1058,3157
110,Varus,4,7,True,4,4,7,129855,10296,13,221,3142,3042
526,Rell,4,14,True,0,4,18,22466,6927,12,44,3860,3190
114,Fiora,12,4,True,5,6,7,100944,11245,15,174,2055,6630
126,Jayce,12,4,True,3,4,3,155817,11804,16,216,1055,3042
245,Ekko,4,11,True,15,3,9,209925,15681,16,48,3152,3100
32,Amumu,4,14,True,3,7,14,30225,7824,12,36,3860,3190
81,Ezreal,1,4,True,4,7,7,119365,10118,14,161,3042,3024
166,Akshan,14,4,True,11,4,9,130264,13953,16,165,3006,6673
57,Maokai,4,14,False,5,7,7,26456,7696,11,37,6664,3857
110,Varus,1,4,False,8,9,6,98923,11781,13,181,3142,6695
142,Zoe,14,4,False,6,9,3,89622,9122,13,164,2055,1052
92,Riven,12,4,False,1,4,2,114652,8065,14,173,6630,2031
104,Graves,11,4,False,5,7,6,124518,10159,13,34,1001,3142
