champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
497,Rakan,4,3,False,0,4,4,16457,5279,10,29,2065,3860
81,Ezreal,7,4,False,1,4,1,101808,8311,12,192,3042,3078
114,Fiora,12,4,False,2,6,1,109043,8690,14,186,6630,1055
61,Orianna,12,4,False,2,7,3,122486,9330,13,191,2033,6655
887,Gwen,6,11,False,4,3,1,149659,9113,12,25,1052,2420
777,Yone,12,4,True,5,3,6,142026,10439,15,181,3033,6673
145,Kaisa,4,7,True,10,1,1,141582,13386,15,214,6676,0
89,Leona,14,4,True,1,1,9,24263,7137,11,34,3860,3190
76,Nidalee,11,4,True,4,1,8,121898,9689,14,21,2031,4636
23,Tryndamere,12,4,True,4,3,5,142641,12434,15,210,3033,6671
13,Ryze,12,4,True,6,2,3,133030,12073,15,207,3040,6656
2,Olaf,11,6,True,2,4,8,106517,8522,13,27,2055,2420
114,Fiora,12,4,True,11,3,6,101018,11922,14,146,3074,6630
22,Ashe,7,4,True,3,3,4,90329,9065,13,179,0,0
154,Zac,14,4,True,1,0,13,47190,7154,12,35,3009,3190
48,Trundle,4,14,False,2,4,9,23624,6112,11,26,3857,3190
203,Kindred,11,4,False,3,4,1,118873,7478,11,22,6672,2055
164,Camille,4,12,False,3,6,4,79361,8131,14,154,3077,6632
517,Sylas,12,4,False,2,6,4,68752,7411,12,146,3108,6656
81,Ezreal,4,7,False,2,3,2,103274,9109,12,195,2055,3004
79,Gragas,11,4,True,7,2,15,123682,11120,15,33,3157,6656
246,Qiyana,4,14,True,10,3,6,146131,13419,15,185,6694,6630
432,Bard,14,4,True,4,3,25,29111,9701,14,20,3190,3853
81,Ezreal,4,7,True,12,5,12,141265,13181,15,177,3158,3035
164,Camille,12,14,True,5,5,7,118799,11255,14,167,3047,6632
80,Pantheon,14,4,False,3,8,7,95478,9665,13,165,2033,3142
245,Ekko,4,11,False,8,8,7,152321,11796,14,57,2055,3157
235,Senna,7,4,False,2,9,10,58763,8371,11,51,2055,3864
266,Aatrox,12,4,False,3,2,3,76806,8486,13,136,6630,1037
875,Sett,4,12,False,2,11,6,114461,9670,13,161,6630,3053
268,Azir,4,12,True,5,10,6,154734,12252,16,213,6653,3157
119,Draven,4,7,True,9,7,4,205105,16456,17,235,3508,2055
203,Kindred,11,4,True,11,7,10,255541,17109,17,70,0,6676
85,Kennen,4,12,True,7,5,7,155336,14770,17,233,3152,3157
555,Pyke,4,14,True,0,5,12,24731,8934,14,52,3857,3117
81,Ezreal,7,4,False,8,4,12,258899,16045,18,252,3078,3042
79,Gragas,4,14,False,7,10,9,49774,9730,14,49,6656,3157
4,TwistedFate,12,4,False,4,8,12,156873,13188,16,216,3113,3157
104,Graves,11,4,False,14,6,4,197787,15410,16,50,2055,6671
164,Camille,4,12,False,1,4,6,149025,12168,16,210,3053,6632
64,LeeSin,11,4,False,6,5,5,109999,8505,11,12,6630,2055
89,Leona,14,4,False,1,5,9,15857,5593,10,34,3190,0
238,Zed,14,4,False,4,2,6,85719,8132,13,137,2031,0
85,Kennen,4,12,False,1,6,5,78914,9150,12,157,3020,3152
134,Syndra,4,7,False,7,4,3,85832,9048,12,157,2055,6655
117,Lulu,12,4,True,1,2,15,50508,8281,13,107,3850,2065
22,Ashe,1,4,True,8,5,8,92863,10984,12,173,6673,3091
36,DrMundo,12,4,True,2,4,4,127382,8817,14,178,1054,3067
223,TahmKench,3,4,True,0,7,7,20866,5206,10,35,3105,2055
5,XinZhao,11,4,True,11,2,7,150556,12398,13,43,3111,6630
64,LeeSin,11,4,False,1,4,3,81579,5652,10,7,2031,6630
202,Jhin,4,7,False,9,4,2,99477,10333,12,172,3133,6671
875,Sett,4,14,False,0,6,8,33608,5622,10,50,3857,6664
8,Vladimir,14,6,False,3,2,1,98037,8317,13,173,1058,1058
142,Zoe,14,4,False,1,2,2,78234,6920,13,176,3158,2055
114,Fiora,12,4,True,1,3,3,55430,7283,13,129,6630,2031
497,Rakan,4,14,True,2,2,12,19692,6694,11,39,2065,3916
777,Yone,12,4,True,7,0,4,122970,11319,14,161,2031,1018
76,Nidalee,11,4,True,8,2,4,163175,11251,14,41,4628,2055
110,Varus,7,4,True,0,7,3,67188,6664,11,146,0,6691
13,Ryze,4,12,True,7,5,7,145224,11485,15,182,2031,6656
5,XinZhao,11,4,True,7,3,5,134555,11026,14,11,6630,3053
48,Trundle,4,14,True,0,3,18,23550,7251,12,35,3190,2031
24,Jax,4,12,True,3,3,7,119004,10763,14,150,3153,2033
