champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
555,Pyke,4,14,False,15,10,20,36363,19168,18,9,3142,6694
21,MissFortune,1,4,False,12,9,30,176437,19206,18,107,3142,6695
350,Yuumi,7,13,False,3,5,43,15547,14572,18,7,6617,3107
517,Sylas,32,4,False,6,15,20,49222,14903,18,36,3157,3067
131,Diana,4,32,False,14,13,27,155072,18046,18,111,3157,3135
67,Vayne,1,4,True,17,11,24,155663,19853,18,126,3006,3072
7,Leblanc,4,21,True,8,12,29,76184,15559,18,36,6655,2421
16,Soraka,7,4,True,4,8,44,22898,15487,18,18,3222,3083
25,Morgana,32,4,True,10,8,42,151065,18177,18,92,6653,3020
235,Senna,3,4,True,13,11,28,120422,19031,18,67,3094,3111
110,Varus,1,4,True,11,8,19,76522,13758,17,60,3142,0
22,Ashe,7,4,True,6,9,16,31033,11503,16,13,6653,3020
6,Urgot,32,4,True,5,9,17,52230,12151,16,49,0,0
412,Thresh,4,32,True,1,9,29,19451,10687,17,13,2051,3190
141,Kayn,4,32,True,16,11,12,108871,14772,17,84,6630,3142
555,Pyke,4,32,False,12,10,12,21719,13318,16,5,3035,6676
876,Lillia,32,4,False,10,8,16,55550,12762,17,41,4629,3082
85,Kennen,32,4,False,8,8,18,41850,12082,16,23,3157,3067
15,Sivir,7,4,False,5,8,20,66382,11747,16,80,3042,6694
235,Senna,1,4,False,9,5,26,57882,13919,18,46,6672,3004
34,Anivia,1,4,True,12,8,24,40568,11936,16,28,6656,3157
18,Tristana,7,4,True,6,8,22,39160,11245,17,27,6672,3094
119,Draven,1,4,True,12,7,21,56335,12982,17,55,3072,3086
72,Skarner,4,32,True,5,8,23,22228,10886,16,9,3068,4401
234,Viego,4,32,True,18,13,18,60950,14778,16,31,2420,3153
13,Ryze,4,6,False,5,11,21,70662,11279,16,66,6656,3157
54,Malphite,32,4,False,5,11,21,40617,10500,16,15,4636,3157
103,Ahri,13,4,False,13,9,18,56605,12328,16,30,3916,4628
15,Sivir,3,4,False,6,13,19,53976,10588,14,43,6672,3004
555,Pyke,14,4,False,15,9,14,35782,16178,16,23,3158,6691
133,Quinn,7,4,True,4,4,19,19612,10684,15,15,6672,3006
157,Yasuo,4,32,True,15,10,16,86468,14048,17,73,2031,0
9,Fiddlesticks,32,4,True,7,8,20,30074,10849,15,34,6653,3157
30,Karthus,13,4,True,3,10,20,25756,9650,14,20,3157,0
4,TwistedFate,6,4,True,9,6,20,64460,13140,17,65,6671,3100
76,Nidalee,32,4,False,12,6,13,60126,11629,15,48,6655,3020
235,Senna,21,4,False,9,6,20,41387,12111,16,43,3042,6672
89,Leona,32,4,False,2,10,17,13906,8919,14,5,3068,3111
238,Zed,32,4,False,7,6,12,40260,10425,15,37,6691,3111
23,Tryndamere,4,32,False,7,10,12,49736,10789,14,42,6671,3006
234,Viego,11,4,False,3,4,2,53939,6452,10,27,3051,1036
117,Lulu,4,14,False,3,4,4,7365,5476,8,8,3117,3853
81,Ezreal,4,7,False,2,6,2,23318,4350,8,55,1055,3057
4,TwistedFate,14,4,False,1,7,2,37047,4801,9,73,2033,1082
13,Ryze,12,4,False,2,4,3,43640,4893,10,98,3070,6656
267,Nami,14,4,True,3,4,12,8477,6341,9,3,3853,4005
28,Evelynn,11,4,True,0,1,6,50351,5053,9,4,1026,2031
39,Irelia,12,4,True,3,2,0,77851,7734,12,159,1055,3091
876,Lillia,14,4,True,7,2,0,70367,7533,11,125,0,0
236,Lucian,4,7,True,12,2,3,85282,9747,10,114,6671,1018
498,Xayah,7,4,False,0,2,2,95273,6752,11,153,1055,3006
76,Nidalee,11,4,False,7,2,4,143495,10047,13,25,4636,2055
777,Yone,14,4,False,6,7,6,103291,9623,13,156,1055,1055
98,Shen,12,4,False,4,1,7,55851,8126,13,108,0,3083
267,Nami,3,4,False,1,5,6,3847,5135,9,3,2065,3158
43,Karma,14,4,True,4,1,5,24780,7823,11,12,2065,3853
60,Elise,11,4,True,3,4,3,100132,7885,12,11,4636,1026
126,Jayce,12,4,True,5,4,2,128435,11060,14,177,6692,3042
516,Ornn,3,12,True,1,6,7,111674,9006,13,169,2031,3067
236,Lucian,4,7,True,4,3,4,174769,11856,12,226,2031,3031
236,Lucian,4,7,False,3,5,8,90127,8743,12,166,6671,3508
30,Karthus,11,3,False,7,9,8,151839,9866,13,28,3020,3916
246,Qiyana,14,4,False,5,4,5,65999,8535,13,133,6693,2031
37,Sona,3,4,False,0,6,11,8740,5717,10,3,2055,2065
157,Yasuo,4,12,False,6,4,6,130997,12096,14,176,1054,6673
64,LeeSin,11,4,True,11,3,8,117237,11860,14,12,2055,6630
350,Yuumi,14,3,True,1,3,11,7080,6437,13,2,3853,0
164,Camille,12,4,True,3,7,2,82427,8261,13,139,3047,6632
875,Sett,12,4,True,7,3,10,97487,12701,14,157,6631,1037
81,Ezreal,4,7,True,6,5,5,175690,11727,13,213,6694,0
245,Ekko,11,4,True,19,5,12,223321,17407,17,21,3152,3157
69,Cassiopeia,12,4,True,5,9,11,141765,12429,15,173,6656,3040
236,Lucian,7,4,True,3,6,19,156044,11944,15,193,1055,6671
117,Lulu,14,4,True,4,9,18,13105,8761,14,24,3853,2065
39,Irelia,4,12,True,9,4,10,140146,13912,17,208,3153,3047
497,Rakan,3,4,False,0,9,11,21244,7547,13,37,3860,2065
13,Ryze,12,4,False,1,7,10,103334,9744,15,128,6656,2421
91,Talon,14,4,False,11,9,11,128841,14779,15,146,6630,2421
145,Kaisa,4,7,False,12,6,5,191264,16330,15,220,2421,3156
107,Rengar,11,4,False,9,9,7,150495,12502,15,46,6630,3142
48,Trundle,4,14,True,5,7,14,29979,8381,12,39,3857,3190
67,Vayne,7,4,True,6,8,8,89509,11701,13,156,3046,3006
85,Kennen,4,12,True,10,3,11,157573,14362,16,218,3152,3157
104,Graves,11,4,True,9,4,12,202308,13133,15,67,3033,3047
126,Jayce,4,12,True,9,6,7,179243,12899,15,174,6692,3158
64,LeeSin,4,11,False,6,9,8,91397,9773,13,32,3047,6630
517,Sylas,12,4,False,5,12,2,94940,9477,13,151,1082,6656
497,Rakan,4,14,False,2,5,16,25206,7948,13,49,3860,3190
360,Samira,7,4,False,14,7,2,124158,13108,14,181,3047,2055
516,Ornn,12,4,False,1,6,9,95933,8559,15,135,3047,7005
523,Aphelios,7,4,True,1,0,3,60022,6595,9,136,6671,3006
76,Nidalee,4,11,True,2,1,1,85915,6302,10,15,2420,0
117,Lulu,4,3,True,3,1,0,15839,4865,8,7,3853,2065
133,Quinn,4,14,True,3,1,4,47967,5890,11,99,0,0
58,Renekton,4,12,True,4,1,2,75729,6956,11,130,1054,3158
222,Jinx,4,7,False,0,2,0,43439,4807,8,132,6670,1042
245,Ekko,4,11,False,1,2,0,68764,4660,9,20,2031,0
91,Talon,14,4,False,3,4,0,50153,5252,9,75,6630,1054
26,Zilean,12,4,False,0,4,1,45204,4605,10,101,1056,3070
412,Thresh,4,3,False,0,1,0,6418,2959,7,21,2031,3855
