champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
497,Rakan,4,14,True,2,5,22,29184,10366,15,48,3860,2065
254,Vi,4,11,True,10,1,10,217357,15167,18,63,6632,2055
236,Lucian,7,4,True,7,11,13,158598,13785,16,218,6671,3031
142,Zoe,12,4,True,12,3,9,182790,16226,17,242,3108,6655
164,Camille,12,14,True,9,7,13,163913,14096,17,182,3053,3074
7,Leblanc,14,4,False,6,4,5,122770,11981,16,226,6655,4629
145,Kaisa,7,4,False,11,10,5,193793,16503,16,251,6671,2420
150,Gnar,12,4,False,1,12,6,125952,9646,15,152,6630,2055
111,Nautilus,14,4,False,3,7,16,29550,8888,13,34,3860,3190
104,Graves,4,11,False,6,7,9,244101,13406,16,110,3142,3086
12,Alistar,4,14,False,1,6,8,15865,5985,10,35,3860,2065
134,Syndra,12,4,False,6,4,3,123376,10219,14,184,6655,2033
39,Irelia,4,12,False,1,11,1,109283,8275,13,177,1055,3153
523,Aphelios,4,1,False,4,6,4,122741,11569,12,179,3031,2055
64,LeeSin,11,4,False,3,3,5,123932,8108,12,31,6630,1037
517,Sylas,4,12,True,4,3,0,117499,9530,14,174,4629,2421
360,Samira,7,4,True,2,5,4,83904,9178,12,163,6673,3047
89,Leona,14,4,True,1,3,10,18034,6640,11,32,3860,3190
126,Jayce,12,4,True,17,2,5,160575,14926,15,179,6692,3133
106,Volibear,11,4,True,6,2,4,118686,10209,14,9,3047,2420
64,LeeSin,11,4,False,3,4,4,91691,7517,11,14,2031,6630
36,DrMundo,12,4,False,0,4,0,98767,8102,13,174,8001,3068
111,Nautilus,3,4,False,1,1,6,19408,5683,9,36,3860,2055
61,Orianna,3,4,False,1,4,5,89906,8239,12,163,6655,3157
110,Varus,7,4,False,3,3,2,112057,10077,12,209,1042,3091
154,Zac,11,4,True,0,3,12,101383,7910,13,6,3158,6662
432,Bard,3,4,True,3,1,6,18818,7215,11,49,3190,2055
24,Jax,4,12,True,3,0,4,116213,9901,14,154,3078,2033
81,Ezreal,7,4,True,5,0,4,123913,10847,14,214,6632,3042
91,Talon,4,14,True,5,4,2,84000,9376,13,147,3158,1036
13,Ryze,12,4,False,2,8,5,187450,11818,16,234,6656,2033
114,Fiora,4,14,False,7,6,3,183099,14891,18,234,0,6630
523,Aphelios,4,7,False,9,6,4,236081,16919,17,309,6676,6671
412,Thresh,14,4,False,0,7,10,13023,7586,13,36,2420,3857
64,LeeSin,11,4,False,4,7,2,169120,11204,15,45,6630,3026
53,Blitzcrank,14,4,True,2,4,18,19804,8784,14,37,3860,3190
30,Karthus,11,3,True,9,4,13,205137,14737,17,44,2420,1026
61,Orianna,12,4,True,5,3,11,214437,14418,18,265,3135,6653
92,Riven,14,12,True,8,6,6,222400,16550,18,263,3111,3142
110,Varus,4,7,True,10,5,13,178334,15079,16,254,0,3158
53,Blitzcrank,14,4,False,1,4,3,16874,4523,8,34,2055,3860
64,LeeSin,14,4,False,5,4,2,66487,7654,11,135,1054,1036
110,Varus,4,1,False,2,6,4,56647,6092,10,118,3142,3133
76,Nidalee,11,4,False,2,3,4,91869,6558,10,20,2031,4636
164,Camille,4,12,False,4,3,3,66712,6861,12,123,1036,6632
