champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
110,Varus,7,4,True,4,2,4,75216,7564,10,130,3004,2031
80,Pantheon,14,4,True,6,5,6,63214,7662,11,95,6694,3142
432,Bard,3,4,True,3,1,11,8436,5940,10,7,3157,3067
163,Taliyah,11,4,True,11,1,8,106816,9518,12,13,0,2031
114,Fiora,12,4,True,1,5,7,61527,7157,11,139,6630,2031
81,Ezreal,12,4,False,0,4,3,48372,5604,10,135,6632,1036
7,Leblanc,12,4,False,6,6,3,41329,6752,10,104,0,2033
164,Camille,12,4,False,2,3,7,44629,5820,11,77,2055,2031
89,Leona,4,14,False,1,6,1,11828,3758,8,23,3067,2031
64,LeeSin,11,4,False,5,6,4,73784,7601,9,8,0,6630
29,Twitch,7,4,False,6,5,6,102887,9472,12,151,1055,0
64,LeeSin,4,11,False,4,6,7,119810,9627,12,27,1033,0
126,Jayce,4,12,False,0,9,5,117582,9002,12,154,3042,3158
7,Leblanc,4,12,False,9,6,2,86810,10322,12,120,3916,1052
37,Sona,3,4,False,0,5,12,10934,6465,10,14,6617,1052
875,Sett,12,4,True,5,1,11,90348,10724,14,158,3053,1011
117,Lulu,14,4,True,1,4,15,24266,7640,11,15,3853,4642
60,Elise,4,11,True,7,3,10,136468,10916,14,27,3157,4630
133,Quinn,4,14,True,14,6,7,97854,13023,13,107,2031,0
523,Aphelios,7,4,True,4,5,9,133482,10992,14,187,6673,6676
67,Vayne,4,7,True,15,9,10,113034,13599,14,116,2421,3006
7,Leblanc,4,12,True,4,2,9,86522,9921,14,179,2033,3041
350,Yuumi,14,3,True,6,6,25,24261,9771,13,8,1082,2065
59,JarvanIV,11,4,True,5,4,21,146779,11940,15,46,2031,6630
58,Renekton,12,4,True,7,1,6,167452,13261,16,203,6630,3047
234,Viego,11,4,False,7,6,4,129495,10191,13,38,2055,2421
150,Gnar,4,12,False,2,6,2,125123,9686,14,183,6630,2055
432,Bard,3,4,False,1,8,15,17591,7055,11,11,3157,3067
127,Lissandra,4,12,False,4,7,5,104514,9017,14,167,3152,3135
81,Ezreal,7,4,False,7,10,6,129567,12669,13,183,3158,3042
13,Ryze,3,4,False,6,7,4,94166,9478,12,126,2055,6656
64,LeeSin,11,4,False,10,7,8,107829,11024,13,30,2055,6630
117,Lulu,14,4,False,3,7,13,17753,6823,10,5,2065,3504
22,Ashe,7,4,False,4,7,9,113921,10380,12,187,1038,1018
68,Rumble,12,4,False,2,7,12,64802,7413,11,98,3158,3152
126,Jayce,4,12,True,4,3,11,118530,10378,14,146,3042,6692
12,Alistar,4,14,True,4,3,17,26136,8464,12,40,3860,3190
238,Zed,1,4,True,7,8,5,95623,10205,13,158,0,3142
81,Ezreal,7,4,True,11,5,12,116104,12958,13,152,1037,2421
245,Ekko,4,11,True,9,6,11,152705,10538,13,27,3100,3111
245,Ekko,4,11,False,3,9,4,145208,8160,13,48,1026,3152
126,Jayce,12,4,False,2,13,4,119938,8814,13,181,6692,3042
37,Sona,14,4,False,1,5,13,14530,7055,13,13,6617,1052
875,Sett,4,12,False,6,8,6,84537,10320,14,137,3053,3077
81,Ezreal,7,4,False,8,3,7,145202,12807,14,204,3042,3110
101,Xerath,4,12,True,5,1,11,123324,10773,15,165,6653,3020
134,Syndra,12,4,True,7,5,12,142938,12015,16,161,3040,6653
421,RekSai,11,4,True,14,5,6,127571,13051,14,43,3067,1011
236,Lucian,12,4,True,12,3,5,258362,16914,17,263,3031,3158
267,Nami,14,4,True,0,6,21,13565,7403,13,9,3853,0
126,Jayce,12,4,False,0,5,2,93309,6948,11,143,3133,6692
33,Rammus,11,4,False,1,4,1,75420,5833,10,17,0,6664
105,Fizz,14,4,False,2,6,0,42348,5799,10,102,2033,3157
555,Pyke,14,4,False,3,5,1,15127,6131,9,34,3179,3855
523,Aphelios,7,4,False,1,5,2,69684,6825,10,154,6673,3134
432,Bard,3,4,True,1,1,9,9929,5331,9,9,3157,3067
117,Lulu,4,12,True,1,2,11,48968,6711,12,116,2033,2065
203,Kindred,11,4,True,12,2,7,127937,10746,13,26,3094,2055
55,Katarina,14,12,True,9,1,1,84591,9998,13,150,1026,3020
222,Jinx,7,4,True,2,1,6,82971,8423,11,154,2031,3095
76,Nidalee,11,4,True,6,1,9,144636,10624,14,21,4636,3157
157,Yasuo,4,3,True,6,4,4,117578,10354,14,181,1038,6673
59,JarvanIV,12,4,True,3,5,8,102459,9326,14,158,1055,6630
360,Samira,7,4,True,6,1,7,126058,12290,14,211,6673,3047
526,Rell,4,14,True,2,2,14,19905,7311,12,31,3860,6664
22,Ashe,4,7,False,2,5,4,79138,8547,12,171,3123,6671
131,Diana,11,4,False,4,4,2,126096,8746,12,24,1026,3157
64,LeeSin,12,4,False,3,5,3,118578,9543,14,190,0,6630
238,Zed,14,4,False,4,4,0,103455,8706,13,185,0,0
37,Sona,3,4,False,0,5,6,6910,5226,10,13,6617,2031
119,Draven,4,7,True,5,4,8,88103,9947,11,146,6673,2055
777,Yone,12,4,True,11,3,7,125304,11479,14,146,3031,3123
92,Riven,14,4,True,6,3,7,63530,8293,12,130,6630,1037
53,Blitzcrank,14,4,True,2,6,11,14954,5548,10,31,2055,3859
76,Nidalee,11,4,True,11,2,9,97865,9331,12,27,4636,2031
142,Zoe,4,14,False,5,7,3,55620,7391,11,125,2033,6656
202,Jhin,4,7,False,7,6,6,74290,9522,10,124,2031,6671
41,Gangplank,4,14,False,0,7,7,76434,6472,11,125,1055,6632
37,Sona,3,4,False,1,9,10,11199,5473,9,6,6617,2031
64,LeeSin,4,11,False,5,6,6,61445,6788,10,32,6630,2031
234,Viego,11,4,True,5,5,8,134771,10134,14,27,6632,3091
22,Ashe,7,4,True,6,6,8,120035,11922,14,176,1055,6673
126,Jayce,12,4,True,5,4,7,162370,13064,15,210,1055,6692
37,Sona,3,4,True,1,5,17,14496,7626,12,16,3114,1057
245,Ekko,12,4,True,8,4,4,117248,12192,15,180,3135,3152
110,Varus,7,4,False,7,8,8,127896,11928,13,202,6691,3009
254,Vi,4,11,False,3,5,8,156712,10197,14,19,3158,2031
57,Maokai,12,4,False,2,5,3,99915,8865,14,167,2033,2055
