champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
117,Lulu,4,3,False,1,8,10,9250,7340,14,8,3853,2065
157,Yasuo,14,4,False,6,6,5,189482,13708,17,230,6673,3033
145,Kaisa,7,4,False,8,9,4,192854,14875,16,214,3031,3006
777,Yone,14,4,False,4,7,1,156969,10749,16,173,3006,6673
11,MasterYi,4,11,False,9,12,1,197216,12958,15,51,6672,3153
360,Samira,7,4,True,8,4,8,143750,13654,16,241,3026,6676
117,Lulu,12,4,True,1,5,15,82060,9556,16,128,2065,3009
4,TwistedFate,14,4,True,6,7,14,135267,12089,16,124,2033,3157
104,Graves,11,4,True,24,5,8,253409,19878,18,73,3142,3047
3,Galio,12,4,True,3,7,20,49885,9601,14,45,3860,2065
122,Darius,6,4,True,5,4,2,129065,11097,14,174,3053,6630
7,Leblanc,14,4,True,8,1,5,103241,10224,15,151,6655,2033
145,Kaisa,7,4,True,3,7,2,103739,8569,12,148,6676,6672
64,LeeSin,11,4,True,17,3,10,143060,13337,14,51,6630,3047
350,Yuumi,3,14,True,1,3,20,9880,7281,12,5,3853,0
92,Riven,11,4,False,3,5,3,79466,7805,12,36,1055,6630
39,Irelia,12,4,False,4,7,0,94279,8816,12,145,1054,3153
268,Azir,14,4,False,4,7,2,87282,7996,13,131,1056,6653
22,Ashe,7,4,False,5,5,4,79320,8723,13,141,2031,0
32,Amumu,11,4,False,2,10,8,86732,7000,12,14,3068,2031
21,MissFortune,7,4,True,6,4,3,66659,9123,11,131,1055,6673
141,Kayn,11,4,True,5,2,3,109552,7913,11,17,6630,3004
114,Fiora,12,4,True,16,1,1,79275,12396,12,109,6630,3158
89,Leona,14,4,True,0,2,9,21653,5309,10,28,3859,3190
131,Diana,14,4,True,4,3,4,74432,7237,11,108,1056,3152
81,Ezreal,7,4,False,0,9,5,33448,4770,9,72,3070,3057
48,Trundle,12,4,False,0,3,0,2845,2564,4,8,1055,1001
432,Bard,14,4,False,4,6,1,16423,5288,8,24,3152,2031
59,JarvanIV,11,4,False,4,6,2,72483,8096,11,50,6691,2031
246,Qiyana,14,4,False,3,7,1,40103,5173,10,88,6693,1036
91,Talon,14,4,True,6,2,4,69437,7539,12,126,6693,2031
360,Samira,7,4,True,6,3,5,52556,7724,10,114,1001,2031
89,Leona,14,4,True,2,3,7,11314,4514,9,25,3859,3190
39,Irelia,12,4,True,7,4,3,62709,8651,11,106,1055,2031
59,JarvanIV,11,4,True,4,2,6,79392,6314,10,8,0,6630
64,LeeSin,4,11,False,2,5,7,61569,5653,9,1,6630,2031
39,Irelia,12,4,False,3,6,3,50447,5717,10,118,1055,2031
50,Swain,14,4,False,1,5,4,14756,3814,7,11,2424,3851
55,Katarina,12,14,False,3,5,1,38758,5304,10,67,1082,2031
21,MissFortune,7,4,False,5,4,3,39572,6499,9,100,1055,6673
69,Cassiopeia,4,7,False,4,2,8,90199,9291,11,180,3070,6655
412,Thresh,4,3,False,5,4,7,15755,5933,9,34,3857,2065
164,Camille,4,12,False,2,6,2,53591,6178,11,112,1054,3158
76,Nidalee,11,4,False,4,3,3,111724,7364,12,22,0,0
104,Graves,12,4,False,1,8,5,86563,6544,11,136,1001,6692
110,Varus,7,4,True,1,5,4,85732,8128,12,175,3142,0
7,Leblanc,12,4,True,10,0,2,86710,11293,14,170,4629,6655
5,XinZhao,11,4,True,7,3,9,123541,9845,13,19,3111,6630
223,TahmKench,14,4,True,0,6,4,18949,5047,9,38,3855,2031
85,Kennen,4,12,True,5,2,7,74786,8926,13,155,1055,3916
58,Renekton,12,4,False,2,3,3,120054,8601,14,181,6630,3053
89,Leona,4,14,False,3,4,2,19103,6229,10,30,3857,3190
81,Ezreal,7,4,False,1,6,2,95869,8013,12,165,2031,3042
39,Irelia,4,12,False,1,7,3,122062,8733,13,195,1054,6673
30,Karthus,11,3,False,5,6,4,160555,10327,14,58,6653,0
104,Graves,12,4,True,2,4,8,136058,10203,15,194,3047,1055
154,Zac,11,4,True,3,1,13,116264,9900,13,43,6662,8001
115,Ziggs,12,4,True,10,1,8,187825,13894,14,207,6655,3020
57,Maokai,14,4,True,4,2,10,17221,7233,11,24,3855,2055
150,Gnar,12,4,True,7,4,5,106097,10998,14,144,3742,1029
14,Sion,12,4,False,1,3,7,99631,8750,14,168,6662,3076
58,Renekton,12,4,False,2,4,3,162441,11765,16,229,6631,3143
68,Rumble,4,11,False,2,6,7,166077,9694,14,39,4636,2031
201,Braum,4,3,False,0,5,9,22929,6692,12,28,2055,3190
523,Aphelios,7,4,False,9,6,1,189958,14222,14,259,6673,6676
222,Jinx,4,7,True,8,5,10,194050,14781,15,222,6671,3036
