champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
78,Poppy,11,4,True,3,2,21,161002,12945,17,56,6632,3050
48,Trundle,4,3,True,1,6,19,23529,9192,15,38,3857,3190
81,Ezreal,1,4,True,14,2,14,283682,19369,18,255,3042,3110
55,Katarina,12,14,True,9,5,11,204561,15403,18,245,3157,3115
58,Renekton,14,4,True,6,7,10,194855,14258,18,212,6630,3053
85,Kennen,4,12,False,12,6,1,229074,17345,18,277,3020,4633
526,Rell,4,14,False,1,6,14,25510,8045,13,38,3067,3860
134,Syndra,4,12,False,4,9,8,185430,13479,15,258,6655,3040
59,JarvanIV,4,11,False,0,7,15,157833,9947,15,15,1011,3026
23,Tryndamere,6,4,False,5,5,3,272516,14549,17,239,6630,3508
114,Fiora,4,12,False,6,6,2,85974,9485,13,160,3074,0
3,Galio,4,12,False,2,5,4,73423,6485,11,109,3152,1052
64,LeeSin,11,4,False,4,4,1,96049,8011,11,28,0,6630
523,Aphelios,4,1,False,3,7,1,87051,7805,11,158,6673,6676
497,Rakan,4,14,False,0,6,7,18995,5394,10,45,3859,3190
58,Renekton,12,4,True,2,3,8,129589,9708,15,180,6630,0
22,Ashe,7,4,True,4,2,14,101569,11125,13,160,6673,3091
39,Irelia,12,4,True,6,5,0,134673,10245,14,176,6630,3153
89,Leona,14,4,True,2,3,11,21618,6340,11,23,3111,3190
245,Ekko,11,4,True,14,2,9,151085,13050,14,33,0,1026
85,Kennen,4,12,False,0,3,0,46946,4595,10,111,1055,3020
22,Ashe,4,1,False,3,5,0,46265,5666,8,109,6673,0
59,JarvanIV,4,11,False,1,5,4,61520,5091,9,14,0,2031
117,Lulu,4,14,False,0,5,3,11397,3719,7,9,2031,3853
517,Sylas,12,4,False,1,4,0,30171,4381,9,85,2033,3158
523,Aphelios,7,4,True,4,2,10,70228,7590,10,128,0,6673
7,Leblanc,14,4,True,6,1,7,49340,7048,11,119,2055,3020
201,Braum,3,4,True,2,2,11,14962,4958,9,25,3857,2055
150,Gnar,12,4,True,1,0,2,68663,6968,11,135,1054,1028
64,LeeSin,11,4,True,9,0,9,75779,8548,10,24,0,6630
157,Yasuo,12,4,True,6,2,6,127487,10545,13,178,1055,1029
48,Trundle,3,4,True,4,1,7,18358,6534,10,31,3190,0
110,Varus,7,4,True,5,0,8,108771,10365,12,156,3142,1037
85,Kennen,4,12,True,4,3,5,102776,8918,13,153,1055,3165
79,Gragas,11,4,True,9,0,11,98743,8936,13,22,3158,2031
875,Sett,4,12,False,0,4,3,65306,5740,10,126,6630,1001
76,Nidalee,11,4,False,3,3,2,82171,6502,10,18,4636,2031
412,Thresh,4,3,False,1,4,1,12558,4440,9,26,3105,3067
114,Fiora,4,12,False,0,11,2,34344,4752,10,88,1036,0
523,Aphelios,7,4,False,2,6,0,93102,9125,12,187,3006,3086
497,Rakan,3,4,True,2,4,18,17253,9079,14,41,3860,3190
126,Jayce,4,12,True,8,8,9,190773,15243,17,215,3158,6692
157,Yasuo,14,4,True,4,7,13,200984,14358,17,216,3035,3033
22,Ashe,7,4,True,3,3,11,172202,13334,16,226,2420,1033
131,Diana,4,11,True,10,3,11,284041,17373,18,75,3157,3020
110,Varus,7,4,False,7,2,9,252792,17090,17,324,3142,3814
85,Kennen,4,12,False,6,6,12,163608,12965,17,227,1058,3165
421,RekSai,11,4,False,8,6,11,176943,13224,16,49,6631,2055
3,Galio,3,4,False,0,5,14,38092,7063,14,35,2055,3190
58,Renekton,12,4,False,4,8,8,135914,11287,16,211,3076,6630
89,Leona,14,4,True,2,3,17,25941,6922,11,38,3190,3860
85,Kennen,4,12,True,4,5,4,79413,8296,13,159,1055,3165
18,Tristana,7,4,True,12,5,6,120479,12239,13,171,1055,6671
164,Camille,4,14,True,5,4,9,69276,9371,13,109,0,3111
76,Nidalee,11,4,True,10,2,8,118551,10655,13,12,4636,0
110,Varus,1,4,False,2,7,4,73766,7127,11,143,3158,3070
163,Taliyah,4,11,False,4,7,6,95721,7792,11,16,2421,2055
236,Lucian,14,4,False,5,7,2,72413,8220,12,137,6671,3508
58,Renekton,12,4,False,5,5,2,81023,8736,12,141,6630,3111
12,Alistar,4,14,False,3,7,6,14924,6340,10,36,3859,3190
236,Lucian,7,4,False,11,9,12,205637,16035,16,200,6671,1053
78,Poppy,11,4,False,8,8,16,144410,12739,16,37,3158,6632
64,LeeSin,12,4,False,11,8,9,187167,16903,18,207,2421,6630
497,Rakan,4,14,False,5,7,19,38466,10236,15,57,2065,1057
61,Orianna,12,4,False,9,8,19,226142,15986,18,236,6655,3157
23,Tryndamere,6,4,True,11,10,4,257051,17411,17,218,6630,3031
85,Kennen,4,12,True,14,9,1,191459,16696,18,258,4629,4633
79,Gragas,11,4,True,7,9,15,164895,13019,17,33,3157,2055
22,Ashe,7,4,True,5,9,21,218366,16414,17,261,3124,6673
48,Trundle,4,14,True,3,7,18,29090,10293,15,39,3857,3190
412,Thresh,3,4,False,2,8,4,13457,4684,8,27,3855,2031
245,Ekko,4,11,False,2,6,3,76894,5732,10,20,1082,1052
238,Zed,14,4,False,5,8,0,57910,6655,10,112,1055,0
150,Gnar,12,4,False,0,8,3,56549,5114,10,115,6029,2031
523,Aphelios,7,4,False,2,7,1,57244,6442,9,113,6673,2031
145,Kaisa,7,4,True,4,3,12,76147,8762,11,135,3006,2055
64,LeeSin,11,4,True,12,1,4,125878,11181,13,62,6630,2420
85,Kennen,12,4,True,9,4,9,79814,9415,12,121,1055,3152
53,Blitzcrank,14,4,True,3,2,12,14897,5440,9,17,2065,3859
875,Sett,4,12,True,9,1,9,95285,11668,13,139,1011,3077
114,Fiora,4,12,True,3,8,6,98378,10561,15,165,3074,6630
555,Pyke,4,14,True,4,6,13,25499,10992,14,41,3857,6691
246,Qiyana,14,4,True,8,6,9,119688,11913,16,178,3134,3142
76,Nidalee,11,4,True,14,6,8,212758,15457,17,33,3157,4636
81,Ezreal,7,4,True,10,3,10,196179,16186,16,240,6632,3042
12,Alistar,14,4,False,2,7,12,18561,7246,12,40,6664,3066
39,Irelia,4,14,False,7,8,4,192889,13650,16,240,6333,6673
163,Taliyah,11,4,False,9,8,10,137339,12192,15,34,3020,2420
164,Camille,12,14,False,6,10,2,112052,10452,15,172,1054,3158
202,Jhin,7,4,False,5,6,11,154144,11840,16,216,6671,6676
22,Ashe,7,4,True,10,10,20,156386,15814,17,194,3047,6673
30,Karthus,11,3,True,4,12,17,202382,12851,17,56,4637,3157
89,Leona,14,4,True,3,9,23,19853,9956,16,34,3109,3190
164,Camille,12,14,True,10,9,11,198662,16645,18,215,3053,3074
234,Viego,14,4,True,18,10,10,177876,19345,18,167,3047,6673
91,Talon,14,4,False,15,9,17,182471,16112,16,186,6630,6695
43,Karma,14,4,False,4,10,24,28997,10024,14,15,2065,3853
76,Nidalee,4,11,False,15,9,19,206927,16013,17,35,3157,0
24,Jax,4,12,False,8,8,7,222959,16038,18,272,6632,3071
81,Ezreal,7,4,False,8,9,16,153539,12735,15,167,6632,3042
