champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
89,Leona,4,14,False,3,8,20,19932,9883,14,42,3860,3190
91,Talon,4,14,False,8,8,12,145081,13752,16,201,3071,3142
222,Jinx,7,4,False,10,13,14,208894,15374,16,224,6673,3031
64,LeeSin,11,4,False,13,7,12,191265,14917,16,37,6630,3026
8,Vladimir,4,12,False,5,7,11,219868,14730,18,257,3158,3152
238,Zed,14,4,True,10,4,13,224243,17001,18,250,3158,3142
875,Sett,14,4,True,2,9,16,53529,9902,15,63,6630,2421
81,Ezreal,1,4,True,20,7,9,275079,20466,17,241,3042,3078
85,Kennen,12,4,True,3,10,15,172939,14001,17,189,3165,3152
245,Ekko,11,4,True,8,9,15,199678,12911,16,31,3020,3157
114,Fiora,4,12,False,1,5,1,30288,4950,9,86,0,6630
166,Akshan,12,4,False,2,5,0,63657,6271,10,132,1055,2031
119,Draven,4,1,False,1,4,1,68282,6147,10,150,6672,1055
76,Nidalee,11,4,False,3,2,4,79259,6892,10,16,4636,2031
53,Blitzcrank,4,14,False,1,4,4,11906,4933,9,25,3859,2065
13,Ryze,12,4,True,5,2,1,101592,8787,12,167,1058,6656
412,Thresh,3,4,True,0,2,13,16634,5103,9,25,2065,2031
238,Zed,14,4,True,5,2,2,83218,7834,12,159,0,3142
523,Aphelios,7,4,True,5,1,4,67921,8104,11,147,2055,6673
203,Kindred,11,4,True,5,1,4,106869,7413,12,11,2055,2031
5,XinZhao,4,11,True,10,10,7,148110,12477,15,38,3047,6630
164,Camille,14,12,True,4,7,6,114167,10373,15,165,1055,3158
517,Sylas,4,12,True,8,8,12,112029,12379,16,146,6656,3157
48,Trundle,4,14,True,6,4,17,27865,10577,14,53,3190,8001
115,Ziggs,4,12,True,8,3,17,178653,13349,15,201,0,6653
64,LeeSin,11,4,False,7,7,15,154954,12011,15,42,3071,6630
12,Alistar,14,4,False,1,7,15,17575,6765,11,35,3190,3860
134,Syndra,4,12,False,10,7,6,143292,13100,15,194,3020,2055
81,Ezreal,4,7,False,5,7,7,162593,10750,13,204,3042,3158
24,Jax,4,12,False,8,8,1,114642,11687,15,167,3158,3053
157,Yasuo,32,4,True,7,5,13,32282,8830,12,46,3006,6672
51,Caitlyn,7,4,True,7,5,13,26971,8542,12,30,3134,6671
63,Brand,4,21,True,8,3,18,28311,8783,13,15,6653,2031
121,Khazix,6,4,True,2,4,13,18356,7388,12,13,3158,3042
55,Katarina,4,1,True,13,4,15,45631,10049,14,22,3115,4633
360,Samira,32,4,False,4,8,10,21635,7476,11,39,6673,3047
82,Mordekaiser,32,4,False,3,7,5,9864,6582,11,9,2051,4633
238,Zed,32,4,False,7,7,2,19490,7853,12,19,3142,1036
18,Tristana,7,4,False,3,6,10,24406,7128,11,25,6672,2031
57,Maokai,32,4,False,4,9,7,22414,7333,11,6,2031,3068
157,Yasuo,32,4,True,13,5,19,64714,12633,15,82,3033,6673
43,Karma,7,4,True,7,3,28,31124,10095,15,10,3165,3108
41,Gangplank,4,32,True,9,2,26,52109,11710,16,42,6632,1018
57,Maokai,3,32,True,4,6,24,17856,9297,14,9,3047,6664
92,Riven,4,32,True,14,7,16,37648,11877,15,26,3177,6333
234,Viego,4,32,False,3,12,9,13939,8493,12,10,1036,0
54,Malphite,32,4,False,2,11,13,16228,8295,13,10,3075,3047
523,Aphelios,1,4,False,2,7,13,41794,9265,14,44,6676,3006
112,Viktor,6,4,False,2,9,12,44910,8954,14,24,6653,3100
104,Graves,32,4,False,14,8,4,62138,12427,14,59,6692,6676
55,Katarina,4,32,True,12,16,22,71848,16996,18,35,3157,4630
76,Nidalee,32,4,True,13,7,31,62798,16685,18,17,6655,3020
51,Caitlyn,1,4,True,9,11,27,97604,17223,18,67,1038,6676
268,Azir,32,4,True,17,9,25,191332,20632,18,142,6653,3020
81,Ezreal,1,4,True,11,9,27,133123,17118,18,69,6632,3042
37,Sona,13,4,False,6,10,38,25807,16303,18,25,6617,3040
15,Sivir,7,4,False,8,11,34,186517,18370,18,134,6676,3142
134,Syndra,4,6,False,14,12,14,150185,17920,18,111,6655,3089
875,Sett,32,4,False,4,16,14,29916,14198,18,12,3111,6662
234,Viego,4,1,False,20,13,19,101841,18887,18,65,3065,6673
236,Lucian,7,4,False,11,18,33,76345,15793,18,54,3033,6672
55,Katarina,32,4,False,13,14,39,82869,15935,18,44,3133,3047
51,Caitlyn,4,1,False,14,12,24,69091,17036,18,45,3142,3814
63,Brand,1,4,False,9,14,37,76728,14708,18,31,6653,3157
15,Sivir,3,4,False,20,13,32,140348,19527,18,101,3042,6691
59,JarvanIV,32,4,True,32,11,30,150604,23253,18,109,6691,3053
11,MasterYi,32,4,True,13,16,23,66427,15409,18,36,3134,3031
234,Viego,4,32,True,19,15,15,85441,17326,18,50,6630,6333
48,Trundle,3,4,True,3,10,43,38224,14019,18,22,6632,3047
875,Sett,4,32,True,4,15,30,78854,13721,18,42,2051,6333
127,Lissandra,32,4,False,9,9,16,54201,10872,14,42,6655,3020
51,Caitlyn,1,4,False,10,7,17,53504,10932,15,49,6671,0
