champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
157,Yasuo,4,1,True,5,4,9,242050,14810,18,245,3031,3006
131,Diana,11,4,True,12,3,9,257367,17208,17,85,3089,7011
111,Nautilus,4,14,True,1,7,17,24400,8621,14,35,3860,3047
81,Ezreal,4,7,True,10,5,13,161441,14878,16,201,3042,7017
516,Ornn,4,12,True,3,5,17,145523,12258,17,184,0,3193
48,Trundle,4,11,False,8,4,11,154365,12808,15,36,3047,3143
497,Rakan,14,4,False,2,6,17,22839,8318,13,38,3158,2065
126,Jayce,4,12,False,5,6,7,186513,13170,16,226,6692,3026
3,Galio,4,12,False,3,8,10,138361,10335,15,183,3152,3157
498,Xayah,7,4,False,6,7,10,188852,13017,15,242,1055,3006
64,LeeSin,4,11,False,6,6,5,92838,9098,12,13,3053,1028
67,Vayne,3,4,False,1,4,2,62811,7509,12,181,2031,1053
134,Syndra,12,4,False,3,6,2,93860,8884,13,162,1082,3020
39,Irelia,4,12,False,6,5,1,95783,9058,13,177,6630,0
164,Camille,14,4,False,3,6,7,23372,6613,11,24,2031,6632
30,Karthus,3,4,True,6,5,7,114595,10433,14,167,3191,0
85,Kennen,4,14,True,6,2,5,97551,11073,15,166,1056,3152
126,Jayce,12,4,True,5,8,2,87629,8718,13,142,2031,3042
526,Rell,4,14,True,1,2,11,17990,6353,12,23,3158,3076
104,Graves,4,11,True,9,2,6,187457,12636,15,36,6671,1037
164,Camille,14,4,False,3,2,5,22491,6132,10,27,6632,1037
234,Viego,4,11,False,5,7,1,75350,7539,11,16,3111,3051
126,Jayce,12,4,False,2,5,3,96610,7956,13,168,6692,6695
4,TwistedFate,12,4,False,1,2,4,94763,7967,13,168,3086,6656
67,Vayne,7,4,False,4,4,1,45075,7300,11,125,2031,6672
412,Thresh,4,14,True,1,3,9,20244,5826,10,29,3857,2065
523,Aphelios,4,7,True,2,4,5,117393,10041,12,181,1055,3006
7,Leblanc,12,4,True,3,4,4,87853,8194,13,167,3067,2033
2,Olaf,11,4,True,11,0,3,197112,11899,14,31,6630,3143
85,Kennen,12,4,True,3,4,0,68169,7539,12,141,2031,3152
69,Cassiopeia,4,12,False,8,6,5,137003,13852,16,213,3001,4633
238,Zed,4,14,False,7,10,2,154302,12019,15,216,6692,3158
141,Kayn,11,4,False,3,7,6,163936,9529,14,44,6630,2031
37,Sona,4,3,False,2,5,14,23020,7752,13,16,3853,3070
81,Ezreal,4,7,False,4,4,6,137224,11472,14,229,3042,6632
131,Diana,11,4,True,8,4,8,248232,13403,16,56,2421,3152
497,Rakan,14,4,True,2,7,17,17723,7880,13,16,1082,3158
157,Yasuo,4,3,True,3,5,7,141482,11342,15,207,1055,1038
126,Jayce,4,12,True,12,6,8,151040,14483,17,184,3042,6692
517,Sylas,4,14,True,7,2,13,163065,13584,17,207,3089,6656
240,Kled,4,12,False,0,6,0,19373,3474,8,65,1055,2031
777,Yone,4,12,False,0,4,0,54961,4912,10,115,1054,2031
497,Rakan,4,3,False,0,4,2,10751,3123,7,24,3111,3067
131,Diana,4,11,False,1,4,0,60315,4664,8,5,1052,0
523,Aphelios,4,1,False,1,7,1,43856,5027,9,83,6673,2031
36,DrMundo,4,12,True,2,0,6,51040,6172,11,120,0,2031
238,Zed,4,14,True,10,0,4,69348,9246,11,112,1055,6691
412,Thresh,3,4,True,3,1,12,16182,5681,9,27,3158,3190
9,Fiddlesticks,4,11,True,2,0,4,82383,6219,11,21,2424,2031
81,Ezreal,7,4,True,8,1,1,65890,8112,9,117,1055,6632
7,Leblanc,14,4,True,5,1,3,63988,7818,12,117,2033,6655
164,Camille,12,4,True,8,3,8,94196,10486,13,142,2031,6632
5,XinZhao,11,4,True,7,2,5,97099,8955,11,15,2055,2031
497,Rakan,14,4,True,0,2,12,18331,5885,10,28,3860,2065
101,Xerath,7,4,True,10,3,2,83747,10078,11,157,1056,6655
45,Veigar,21,4,False,6,3,0,60215,8380,12,99,6656,1058
3,Galio,14,4,False,0,3,5,25514,4727,9,32,3860,3190
104,Graves,4,11,False,2,5,5,73099,6406,10,20,6692,2031
81,Ezreal,4,7,False,1,10,2,43630,5771,10,105,3070,6632
86,Garen,4,12,False,2,10,3,46615,5631,10,71,1054,3047
92,Riven,4,12,True,3,6,9,94893,9516,13,139,6630,3133
67,Vayne,1,4,True,6,0,12,123211,11936,15,168,1055,6677
164,Camille,14,4,True,11,6,14,55758,11323,13,47,2031,3158
5,XinZhao,4,11,True,12,4,12,158831,12122,14,20,6609,6630
142,Zoe,4,14,True,6,3,9,111647,10318,14,146,2033,6655
89,Leona,4,14,False,1,10,6,18077,5521,9,35,0,0
79,Gragas,11,4,False,2,6,9,99761,7375,12,13,3158,3108
104,Graves,4,14,False,2,10,6,91230,7889,12,131,6692,1055
50,Swain,4,7,False,4,7,4,73888,7744,11,136,1056,4633
114,Fiora,12,4,False,10,5,2,104781,11897,14,169,6630,3074
497,Rakan,14,4,False,2,8,14,20592,7073,12,30,3157,0
142,Zoe,4,14,False,12,7,3,113321,12542,15,165,4628,1026
104,Graves,4,11,False,2,10,3,151254,9201,14,48,6692,3047
