champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
126,Jayce,12,4,False,5,6,3,106977,10328,13,165,6692,6695
13,Ryze,12,4,False,6,4,3,118990,9478,13,163,6655,0
523,Aphelios,4,7,False,4,6,3,79120,8078,11,133,6673,2055
89,Leona,14,4,False,0,6,9,16757,5476,10,42,3860,3190
48,Trundle,11,4,False,3,5,8,79775,7228,12,22,2421,2055
61,Orianna,4,12,True,5,3,7,84172,9336,13,152,2033,6653
22,Ashe,4,7,True,6,4,10,95779,11479,13,167,3006,3051
36,DrMundo,12,4,True,1,4,4,77132,7463,13,129,8001,3047
104,Graves,4,11,True,9,3,6,191553,12701,15,50,6692,3134
43,Karma,14,4,True,6,4,14,41990,8774,12,24,4005,3158
875,Sett,12,4,False,7,7,8,136925,12952,16,180,3143,6630
106,Volibear,11,4,False,3,6,8,152875,11268,15,51,3111,3075
117,Lulu,4,12,False,0,8,17,50479,8126,14,101,3859,2065
110,Varus,4,1,False,15,6,6,182380,16297,15,245,6673,3115
16,Soraka,4,7,False,0,5,16,15261,7327,12,23,3853,3222
22,Ashe,4,1,True,11,8,6,153258,14763,16,213,3006,3123
236,Lucian,4,12,True,9,2,6,233943,16087,17,248,6609,6692
89,Leona,14,4,True,0,7,18,32772,8660,13,33,2031,3190
85,Kennen,12,4,True,8,5,4,104089,11601,15,154,3165,3158
28,Evelynn,11,4,True,4,3,13,181795,12026,16,30,3152,0
432,Bard,14,4,True,3,3,12,13487,7457,12,14,2031,2065
7,Leblanc,12,4,True,4,3,13,82237,8724,14,149,0,2033
64,LeeSin,4,11,True,11,4,6,128026,11879,13,18,2055,3053
164,Camille,14,12,True,6,5,4,109998,10219,14,168,6632,3047
115,Ziggs,12,4,True,6,1,6,155911,10104,13,161,1056,1058
119,Draven,4,7,False,5,4,1,96296,10048,12,187,6692,3057
412,Thresh,14,4,False,1,3,8,10854,5384,10,24,2055,3190
875,Sett,4,12,False,4,12,2,72218,7198,12,121,1001,6630
234,Viego,4,11,False,1,7,2,101210,6933,12,40,3153,3111
68,Rumble,4,14,False,5,4,3,91479,8663,13,161,3152,3157
22,Ashe,7,4,True,10,3,16,111441,12370,14,156,6673,3046
24,Jax,4,12,True,13,4,5,135653,14064,15,160,3091,6632
134,Syndra,4,12,True,2,2,16,119271,9663,14,171,2420,6655
412,Thresh,14,4,True,2,6,26,24808,8733,14,39,3190,3857
64,LeeSin,4,11,True,12,3,12,167620,13397,15,32,2420,6630
234,Viego,4,11,False,1,9,9,119093,9091,12,16,1036,3047
164,Camille,14,12,False,8,7,4,101872,11765,14,167,6632,3047
555,Pyke,14,4,False,4,6,8,14172,9607,11,17,1036,3117
13,Ryze,4,12,False,3,8,5,135837,9707,13,161,2033,3040
119,Draven,4,1,False,2,9,4,130322,10133,13,186,6673,3006
81,Ezreal,4,7,True,5,3,4,112003,10808,13,191,3042,0
