champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
164,Camille,4,12,True,4,2,2,46791,6447,11,102,1054,2031
13,Ryze,4,12,True,7,2,4,79095,7968,11,115,2033,3070
141,Kayn,4,11,True,7,2,10,97610,8296,11,19,3070,2031
235,Senna,4,7,True,3,2,7,70675,7701,11,118,6677,3086
223,TahmKench,4,3,True,2,1,8,20378,4483,8,20,0,3859
107,Rengar,12,4,False,2,4,2,43360,5453,10,83,1053,3134
64,LeeSin,4,11,False,4,5,2,51172,5934,9,9,2031,6630
4,TwistedFate,12,4,False,0,6,0,42105,4697,9,93,3158,2033
74,Heimerdinger,12,4,False,1,6,1,38384,4399,9,72,1056,3802
432,Bard,4,14,False,2,3,6,11903,5256,9,10,2065,3853
432,Bard,4,14,False,1,6,19,24796,7824,12,16,3190,3853
76,Nidalee,4,11,False,9,5,9,199393,14177,15,32,3157,4632
39,Irelia,12,4,False,9,11,4,108354,12092,14,159,2033,6630
523,Aphelios,7,4,False,6,5,10,159422,13120,14,204,6671,3085
58,Renekton,12,4,False,1,6,10,109763,9870,14,181,3053,6630
126,Jayce,12,4,True,8,8,12,196648,15815,17,224,3042,3026
497,Rakan,3,4,True,0,6,20,24225,7921,13,39,2065,3860
115,Ziggs,4,12,True,9,6,11,164278,12588,15,169,3157,0
64,LeeSin,4,11,True,9,2,13,169229,12951,15,38,0,6630
106,Volibear,4,14,True,7,4,8,122988,12866,15,169,3157,4633
412,Thresh,4,3,False,0,6,2,9495,3429,7,25,2031,3855
222,Jinx,7,4,False,3,7,0,31912,5091,7,85,6670,3006
234,Viego,4,12,False,0,5,0,24206,3807,9,85,1054,2031
245,Ekko,4,11,False,0,4,1,43185,3709,7,15,3145,2031
240,Kled,4,12,False,0,3,0,35254,4142,9,85,6029,3044
523,Aphelios,4,7,True,3,2,5,63450,7579,10,136,3006,1042
68,Rumble,4,14,True,4,1,6,64973,6967,11,118,3020,4636
76,Nidalee,11,4,True,10,0,3,88128,8047,10,1,2031,0
62,MonkeyKing,12,14,True,4,0,1,57313,7572,11,126,1055,6632
201,Braum,14,4,True,4,0,9,11854,5695,8,21,3190,3855
43,Karma,12,4,False,0,4,1,56123,5603,11,127,3020,6655
523,Aphelios,4,7,False,1,3,0,83381,7416,11,168,2031,6673
62,MonkeyKing,12,14,False,2,5,0,34477,5470,11,76,1055,6632
201,Braum,4,3,False,0,5,1,13364,4054,8,26,1033,3857
5,XinZhao,11,4,False,1,5,1,84123,5688,9,15,2055,2031
412,Thresh,14,4,True,1,0,12,15075,5323,10,26,4642,3857
164,Camille,12,14,True,3,2,9,63317,7521,12,122,1055,3077
13,Ryze,4,12,True,11,1,7,137003,11389,13,171,3040,3020
202,Jhin,7,4,True,3,1,5,66816,7433,11,160,6671,1036
234,Viego,4,11,True,4,0,10,103743,8169,12,13,3047,2055
201,Braum,14,4,False,0,5,15,23202,6431,11,31,2055,3190
64,LeeSin,4,11,False,5,8,5,118862,9104,12,33,6630,1028
59,JarvanIV,12,4,False,6,9,9,91182,9966,13,135,3047,3053
13,Ryze,4,12,False,9,4,5,207735,12956,16,224,3040,4630
22,Ashe,4,7,False,3,2,9,110800,9996,13,194,1055,3006
50,Swain,4,7,True,3,4,11,81195,9849,14,160,1056,6653
90,Malzahar,4,12,True,3,5,11,136528,11146,14,191,6653,4630
114,Fiora,12,4,True,11,6,12,191143,15845,16,204,6630,3074
111,Nautilus,4,14,True,1,5,18,26156,7488,13,34,3190,3860
104,Graves,4,11,True,10,3,9,228183,14560,16,48,3036,6671
76,Nidalee,11,4,True,3,1,17,181152,12924,17,29,3135,3157
85,Kennen,12,4,True,7,7,7,183254,14988,18,251,3152,3157
80,Pantheon,14,4,True,9,3,12,156518,14263,17,208,6630,2421
222,Jinx,7,4,True,6,4,11,263539,16105,16,278,3006,3026
89,Leona,4,14,True,1,5,17,24305,8942,14,33,3190,3857
245,Ekko,12,4,False,4,5,5,195709,13191,16,235,3100,3089
