champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
35,Shaco,4,32,False,6,17,17,41468,12325,17,21,3111,6691
555,Pyke,32,4,False,22,11,14,53889,17828,18,22,6694,3111
143,Zyra,3,4,False,3,10,29,89936,13637,18,72,6653,3020
60,Elise,4,32,False,7,14,20,77543,13314,18,39,6655,3157
25,Morgana,4,32,False,9,6,34,112747,16123,18,71,6653,3158
134,Syndra,21,4,True,17,10,21,82752,15673,18,61,3157,3089
74,Heimerdinger,7,4,True,13,12,24,83927,15588,18,60,6653,3089
350,Yuumi,3,7,True,2,7,50,18838,13327,18,6,6617,3107
223,TahmKench,32,4,True,8,8,21,57489,13823,18,45,2051,3105
15,Sivir,4,6,True,18,10,28,132956,18056,18,86,3074,3158
777,Yone,14,4,True,9,3,2,65809,8394,11,101,3091,6670
412,Thresh,4,14,True,2,3,11,14760,5245,8,19,2055,3855
22,Ashe,7,4,True,5,3,4,57484,7148,10,115,6673,1055
92,Riven,4,11,True,6,0,1,87930,7216,10,20,3158,2031
150,Gnar,4,12,True,1,5,3,41910,5234,11,89,1055,3047
235,Senna,7,4,False,3,4,3,10920,5453,8,7,6632,1036
131,Diana,11,4,False,6,3,4,77178,7299,11,34,3020,2031
157,Yasuo,14,4,False,0,6,3,53806,5014,9,102,1055,3006
84,Akali,14,4,False,2,8,3,32590,5098,9,69,1056,1026
24,Jax,4,12,False,3,2,2,61013,6676,11,122,2033,3067
31,Chogath,4,32,False,4,7,14,40952,8818,13,37,0,0
427,Ivern,32,4,False,1,6,20,13168,8171,13,6,6617,6616
143,Zyra,7,4,False,6,7,11,41652,9099,14,34,6653,2031
38,Kassadin,32,4,False,11,7,11,36142,10554,13,35,0,0
35,Shaco,4,32,False,8,7,8,15580,9091,13,15,6691,6695
92,Riven,32,4,True,18,8,11,67675,12971,14,66,6630,3111
163,Taliyah,3,4,True,5,5,15,37201,9453,14,32,6655,3020
127,Lissandra,4,32,True,2,5,19,35363,8740,14,27,3020,6656
112,Viktor,4,32,True,1,6,16,32512,8461,14,23,3100,3070
79,Gragas,4,32,True,8,6,17,30144,10678,14,19,6656,3157
40,Janna,4,7,False,2,7,39,30736,10747,16,19,6617,3040
83,Yorick,4,32,False,5,8,27,59813,11708,16,60,6632,3111
36,DrMundo,4,32,False,11,10,22,45192,11391,16,24,3068,3111
91,Talon,4,32,False,9,10,22,64098,11914,16,54,3142,6630
