champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
119,Draven,4,7,True,11,1,9,255301,18002,17,253,2421,6676
157,Yasuo,12,4,True,9,8,14,267019,17962,18,281,3026,3031
131,Diana,11,4,True,10,7,11,259994,15583,18,57,3152,3157
246,Qiyana,14,4,True,6,7,7,150559,12921,16,204,6695,3134
43,Karma,4,3,True,1,3,19,19222,8883,16,14,3853,2065
412,Thresh,4,14,False,1,5,17,35354,9310,15,46,3857,2065
360,Samira,3,4,False,4,6,3,197969,13753,16,263,3035,6673
3,Galio,14,4,False,3,10,9,109549,10527,15,144,3152,3157
114,Fiora,4,12,False,10,11,4,181798,17120,18,251,3026,6630
203,Kindred,4,11,False,8,5,8,229978,14653,17,78,1037,1043
37,Sona,4,3,True,3,5,26,14632,8661,13,16,3853,2065
55,Katarina,4,14,True,10,4,13,130994,13004,15,174,1082,2421
67,Vayne,4,1,True,11,5,8,114281,13338,14,185,1055,3006
98,Shen,4,14,True,12,2,15,103364,12299,15,147,1054,3047
30,Karthus,11,4,True,3,6,23,187095,11203,15,34,3165,6653
89,Leona,14,4,False,2,6,13,20269,7167,12,38,3111,3190
523,Aphelios,7,4,False,7,6,5,101209,11703,13,167,3036,0
39,Irelia,14,4,False,8,8,4,180747,12953,15,229,1055,6673
23,Tryndamere,4,6,False,1,9,3,137905,9301,14,177,1054,6672
154,Zac,4,11,False,3,10,10,111119,8703,13,14,3158,3001
8,Vladimir,14,6,True,6,6,2,58474,7656,12,115,1056,3152
523,Aphelios,7,4,True,4,3,8,82442,8473,11,133,6673,3035
246,Qiyana,14,4,True,2,2,7,60878,6712,11,125,0,2031
412,Thresh,4,14,True,1,2,18,12971,5569,9,25,0,3855
234,Viego,4,11,True,11,2,7,134414,11167,12,15,3111,0
13,Ryze,4,12,False,7,3,2,87301,8462,12,160,3003,3158
360,Samira,7,4,False,4,6,1,54250,6987,10,129,1055,6673
76,Nidalee,4,11,False,3,3,6,83531,6236,10,16,4636,2031
57,Maokai,14,4,False,1,7,5,14025,4175,8,13,3047,3859
126,Jayce,12,4,False,0,6,7,72503,6327,11,121,0,3070
412,Thresh,14,4,True,2,3,19,18005,7514,11,26,0,3857
76,Nidalee,4,11,True,7,2,6,90855,8268,12,21,4636,2031
145,Kaisa,7,4,True,16,6,6,116443,13388,12,147,1055,6672
