champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
59,JarvanIV,14,4,True,2,5,13,24545,6443,10,26,3853,2031
164,Camille,14,12,True,9,1,1,86480,9504,13,147,1001,1053
134,Syndra,4,12,True,4,2,7,71034,8007,12,127,2033,3070
22,Ashe,4,7,True,5,4,9,71931,8255,12,124,1055,6673
141,Kayn,4,11,True,14,2,4,132493,11671,12,30,3070,3133
8,Vladimir,4,14,False,6,7,0,35586,7033,10,75,3152,3020
81,Ezreal,4,7,False,2,10,3,19401,5367,9,57,3078,1001
98,Shen,4,12,False,0,6,1,46292,5341,11,120,0,2031
104,Graves,4,11,False,4,5,3,106429,7238,11,55,6673,1042
497,Rakan,3,4,False,2,6,9,13205,5072,9,27,3859,2065
164,Camille,4,12,True,4,2,2,46791,6447,11,102,1054,2031
13,Ryze,4,12,True,7,2,4,79095,7968,11,115,2033,3070
141,Kayn,4,11,True,7,2,10,97610,8296,11,19,3070,2031
235,Senna,4,7,True,3,2,7,70675,7701,11,118,6677,3086
223,TahmKench,4,3,True,2,1,8,20378,4483,8,20,0,3859
107,Rengar,12,4,False,2,4,2,43360,5453,10,83,1053,3134
64,LeeSin,4,11,False,4,5,2,51172,5934,9,9,2031,6630
4,TwistedFate,12,4,False,0,6,0,42105,4697,9,93,3158,2033
74,Heimerdinger,12,4,False,1,6,1,38384,4399,9,72,1056,3802
432,Bard,4,14,False,2,3,6,11903,5256,9,10,2065,3853
119,Draven,3,4,True,5,7,10,204079,14314,16,197,3031,3036
164,Camille,14,12,True,9,7,14,164550,15234,17,183,3074,2421
64,LeeSin,4,11,True,9,6,19,195192,15396,17,27,6630,3026
45,Veigar,4,14,True,9,7,18,32621,11591,15,19,3110,3190
13,Ryze,12,4,True,13,8,14,252957,16866,18,238,6656,3089
4,TwistedFate,12,4,False,5,13,17,136069,12300,16,180,3916,6656
81,Ezreal,4,7,False,14,4,10,218799,17403,16,234,3042,6035
62,MonkeyKing,4,12,False,2,10,9,99394,10851,15,181,3053,6632
141,Kayn,4,11,False,12,11,12,210406,14525,16,56,6695,3158
43,Karma,4,14,False,2,8,23,24881,9328,14,26,3853,3222
64,LeeSin,4,11,False,6,6,5,92838,9098,12,13,3053,1028
67,Vayne,3,4,False,1,4,2,62811,7509,12,181,2031,1053
134,Syndra,12,4,False,3,6,2,93860,8884,13,162,1082,3020
39,Irelia,4,12,False,6,5,1,95783,9058,13,177,6630,0
164,Camille,14,4,False,3,6,7,23372,6613,11,24,2031,6632
30,Karthus,3,4,True,6,5,7,114595,10433,14,167,3191,0
85,Kennen,4,14,True,6,2,5,97551,11073,15,166,1056,3152
126,Jayce,12,4,True,5,8,2,87629,8718,13,142,2031,3042
526,Rell,4,14,True,1,2,11,17990,6353,12,23,3158,3076
104,Graves,4,11,True,9,2,6,187457,12636,15,36,6671,1037
13,Ryze,4,12,True,2,2,9,173785,10789,15,219,3158,2033
126,Jayce,4,12,True,6,6,15,133114,10486,14,176,6692,3042
37,Sona,4,7,True,4,3,20,27541,8797,13,41,3853,3158
147,Seraphine,3,4,True,4,4,15,59090,8410,12,77,3158,3853
141,Kayn,4,11,True,17,0,10,186838,14829,15,65,3053,3074
7,Leblanc,4,12,False,3,4,0,85081,9085,14,166,2033,2055
58,Renekton,4,12,False,2,7,4,153420,10996,14,212,0,6630
64,LeeSin,4,11,False,4,8,1,113325,8018,12,9,2031,0
412,Thresh,4,14,False,1,7,4,20365,5662,9,24,3857,2065
523,Aphelios,7,4,False,5,7,2,115656,10895,13,182,6673,6676
350,Yuumi,14,3,True,4,1,14,8711,6868,11,3,3853,6617
64,LeeSin,4,11,True,10,2,9,121796,11397,13,25,0,3071
134,Syndra,4,12,True,5,4,8,127636,10653,14,186,3135,3108
106,Volibear,4,12,True,4,2,6,67926,7507,13,122,1056,6632
81,Ezreal,7,4,True,1,5,2,83482,7028,10,135,6632,3133
111,Nautilus,14,4,False,1,5,9,19184,5422,10,26,3860,3190
164,Camille,12,14,False,3,6,3,60565,7918,11,121,1054,6632
234,Viego,4,11,False,4,4,3,124353,8768,13,45,3047,6632
115,Ziggs,4,12,False,2,4,6,133091,9684,12,164,3040,6655
43,Karma,4,12,False,4,5,3,76393,7827,11,130,3108,6655
234,Viego,11,4,True,9,2,15,207146,14723,17,22,6632,3133
119,Draven,4,7,True,9,4,11,256083,18618,17,289,6671,2421
4,TwistedFate,12,4,True,11,5,13,240606,18842,18,266,4630,3157
164,Camille,12,14,True,11,8,14,203379,16872,18,200,3053,3078
497,Rakan,14,4,True,1,7,22,25739,9502,14,44,2055,2065
104,Graves,11,4,False,3,10,12,209347,12970,16,91,3111,6692
86,Garen,6,4,False,8,9,7,168380,13690,17,175,6631,3006
141,Kayn,4,14,False,4,11,6,205339,12467,16,198,3042,2033
81,Ezreal,4,7,False,8,5,5,209636,15699,17,233,6694,3042
43,Karma,14,4,False,3,6,10,39168,9301,14,38,3853,2065
235,Senna,7,4,False,0,6,3,27409,5646,10,24,3009,3123
79,Gragas,12,4,False,1,7,3,74642,6980,12,109,6656,1028
104,Graves,4,11,False,3,6,1,123982,7798,12,24,0,2031
246,Qiyana,14,4,False,8,6,3,93558,10951,14,148,6694,0
202,Jhin,4,1,False,0,7,3,74116,7062,11,155,3134,6671
37,Sona,4,3,True,3,1,20,20391,7939,13,22,3853,6616
120,Hecarim,6,11,True,17,3,8,158294,13101,14,14,6632,3047
22,Ashe,7,4,True,6,3,12,102428,10618,13,166,6673,3094
164,Camille,4,12,True,2,3,4,129101,10427,14,166,1054,2421
61,Orianna,4,12,True,3,2,12,94840,9028,14,165,2033,6653
246,Qiyana,14,4,False,7,7,4,131555,11691,15,193,3134,6695
103,Ahri,4,14,False,6,7,17,64496,11433,14,54,3860,6656
20,Nunu,11,4,False,5,6,23,138342,11826,16,47,3068,3143
62,MonkeyKing,4,12,False,3,7,9,101390,10166,15,169,6632,0
21,MissFortune,4,7,False,12,9,9,177799,15763,15,205,6673,2420
98,Shen,4,14,True,1,8,17,27514,8280,13,39,3857,3190
64,LeeSin,4,11,True,8,8,14,152326,12842,15,26,3047,6609
126,Jayce,12,4,True,10,6,9,197790,15734,17,194,3042,6692
7,Leblanc,14,4,True,9,3,11,154447,14759,17,210,3089,3020
222,Jinx,7,4,True,8,8,14,189716,14891,15,190,6672,3085
238,Zed,4,14,False,5,9,3,83173,8747,13,146,6693,3158
115,Ziggs,4,12,False,1,5,5,107055,8664,13,172,3070,1011
141,Kayn,4,11,False,7,4,3,150455,10097,13,16,3134,3042
240,Kled,4,12,False,0,6,1,82765,7369,12,136,6630,3047
89,Leona,4,14,False,3,5,6,10850,6703,10,30,3190,3860
432,Bard,3,4,True,0,4,12,12754,6579,11,7,3853,3190
145,Kaisa,12,4,True,6,1,5,119937,10720,14,177,2031,6671
126,Jayce,12,4,True,8,3,7,137877,11951,15,184,6692,2421
154,Zac,11,4,True,5,2,7,122651,9394,14,35,1028,6662
166,Akshan,4,14,True,10,6,2,93823,10836,14,145,3047,6671
3,Galio,4,14,False,4,10,7,25542,6969,9,34,2065,2055
555,Pyke,12,4,False,11,5,5,37615,13496,11,81,3134,6695
64,LeeSin,4,11,False,4,7,6,113484,8859,12,23,3047,6630
133,Quinn,4,14,False,1,5,6,86964,8606,12,157,6673,3091
30,Karthus,3,4,False,1,9,9,103536,8693,12,155,6653,3157
121,Khazix,4,11,True,8,3,14,132834,11161,14,16,3158,2031
18,Tristana,4,7,True,18,3,7,194833,16117,14,187,0,6672
12,Alistar,4,14,True,3,4,23,15236,8224,12,23,3860,3117
236,Lucian,12,4,True,2,6,7,109034,10042,14,174,2033,3070
7,Leblanc,4,14,True,5,5,14,73896,9597,13,117,0,1082
12,Alistar,4,14,True,2,10,31,31619,9931,16,40,3860,0
22,Ashe,7,4,True,13,5,26,357297,23606,18,358,6672,3124
30,Karthus,12,4,True,12,13,22,346135,21084,18,302,3135,3157
121,Khazix,4,11,True,4,9,28,265639,15373,18,57,3053,6695
555,Pyke,14,4,True,12,5,7,65913,20713,17,127,6333,3158
39,Irelia,12,4,False,10,8,7,346358,20966,18,328,3047,3026
6,Urgot,12,4,False,8,11,5,154631,14988,17,185,3065,6631
201,Braum,4,3,False,3,10,25,34910,11712,16,30,3857,3190
427,Ivern,11,4,False,0,9,26,389168,11826,17,11,3158,3107
81,Ezreal,4,7,False,21,5,15,334927,23165,18,278,3042,6035
134,Syndra,12,4,True,10,4,7,168025,13334,16,242,2033,3108
147,Seraphine,4,3,True,8,4,18,62187,11162,13,77,3504,3853
41,Gangplank,12,4,True,7,3,10,141724,13307,15,172,0,3078
37,Sona,7,4,True,1,3,25,31851,8894,14,47,6617,3070
141,Kayn,4,11,True,11,6,6,153337,12152,15,32,3814,3042
59,JarvanIV,4,12,False,1,10,8,69244,7334,12,123,6630,2033
81,Ezreal,4,12,False,7,7,4,150101,13026,13,195,3134,3042
432,Bard,14,4,False,0,9,13,12277,6151,10,8,3853,2065
104,Graves,4,11,False,7,3,7,186595,11916,14,41,6673,6676
268,Azir,14,4,False,5,8,2,135810,10231,15,186,3111,1056
103,Ahri,4,7,True,7,8,20,125821,13243,16,161,3102,6653
246,Qiyana,4,14,True,15,7,11,200542,17957,18,215,6693,3026
43,Karma,4,3,True,2,7,30,41680,10831,15,48,6616,2065
58,Renekton,12,4,True,4,3,15,190909,14211,18,242,3105,2420
76,Nidalee,4,11,True,20,4,12,260448,18980,18,34,3089,3152
79,Gragas,4,12,False,2,5,9,167178,12948,17,211,3157,6656
111,Nautilus,14,4,False,2,12,19,23932,10492,13,34,3190,3857
429,Kalista,4,7,False,11,7,8,255535,18167,18,293,3026,3006
64,LeeSin,4,11,False,8,7,8,203420,14666,16,23,3053,3026
20,Nunu,4,14,False,6,17,10,173267,12174,16,162,1082,3157
104,Graves,12,4,False,3,5,5,100198,8126,12,148,2031,1037
