champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
64,LeeSin,11,4,True,3,7,5,112556,8951,13,38,6630,2031
236,Lucian,7,4,True,8,7,3,126954,12257,14,179,3047,6671
111,Nautilus,14,4,True,0,8,12,26828,7022,12,36,0,3860
164,Camille,12,14,True,5,3,7,113587,10356,15,159,3074,0
69,Cassiopeia,4,12,True,5,6,8,100262,10481,14,128,3070,4629
3,Galio,4,14,False,1,4,18,28001,6861,12,25,2055,3860
48,Trundle,11,4,False,10,4,13,111339,11780,13,15,3082,8001
145,Kaisa,7,4,False,12,3,4,115676,11342,13,160,6671,3094
13,Ryze,12,4,False,5,6,8,174013,11540,13,168,2055,6655
114,Fiora,4,12,False,3,4,5,92216,9228,13,176,2055,6631
236,Lucian,4,12,True,10,2,9,178041,14221,16,197,6692,6694
350,Yuumi,3,14,True,1,3,15,13172,6995,12,2,3853,6617
81,Ezreal,7,4,True,1,5,1,105258,8973,12,172,3508,3042
39,Irelia,4,12,True,7,8,6,114472,11966,14,163,3053,2055
245,Ekko,4,11,True,6,1,12,144958,10736,14,35,2421,3152
117,Lulu,4,14,False,0,2,9,13427,5551,10,20,3853,2065
163,Taliyah,4,14,False,2,6,6,66719,6819,12,122,3802,3157
64,LeeSin,11,4,False,8,6,5,102755,9031,12,24,2055,6630
164,Camille,12,14,False,7,7,5,111122,9572,13,149,3123,3047
235,Senna,4,7,False,2,4,7,64678,8095,12,129,6692,3042
523,Aphelios,7,4,False,2,8,8,64816,7316,11,133,6673,1018
5,XinZhao,11,4,False,4,9,3,69598,7251,10,29,6630,3111
111,Nautilus,14,4,False,2,7,9,20954,5250,8,27,3859,2031
10,Kayle,4,12,False,0,3,4,57293,6277,11,134,1054,3006
3,Galio,12,4,False,6,5,6,76604,8333,11,116,3020,3152
875,Sett,14,4,True,2,2,18,24844,6789,10,25,2055,3857
145,Kaisa,7,4,True,11,2,6,112733,12109,12,165,6671,1055
887,Gwen,12,14,True,9,2,10,82435,9986,13,130,1056,2421
64,LeeSin,11,4,True,4,6,13,92347,8753,12,10,0,6630
69,Cassiopeia,4,12,True,6,2,6,77381,8528,12,133,6653,2031
13,Ryze,4,12,True,2,2,9,173785,10789,15,219,3158,2033
126,Jayce,4,12,True,6,6,15,133114,10486,14,176,6692,3042
37,Sona,4,7,True,4,3,20,27541,8797,13,41,3853,3158
147,Seraphine,3,4,True,4,4,15,59090,8410,12,77,3158,3853
141,Kayn,4,11,True,17,0,10,186838,14829,15,65,3053,3074
7,Leblanc,4,12,False,3,4,0,85081,9085,14,166,2033,2055
58,Renekton,4,12,False,2,7,4,153420,10996,14,212,0,6630
64,LeeSin,4,11,False,4,8,1,113325,8018,12,9,2031,0
412,Thresh,4,14,False,1,7,4,20365,5662,9,24,3857,2065
523,Aphelios,7,4,False,5,7,2,115656,10895,13,182,6673,6676
3,Galio,12,4,False,3,5,12,88898,8620,13,129,3020,1052
60,Elise,4,11,False,5,5,5,101282,9339,13,22,4636,2031
164,Camille,4,12,False,2,7,2,134316,10608,14,188,0,3044
429,Kalista,7,4,False,6,5,5,159350,12895,13,233,6673,3091
111,Nautilus,14,4,False,4,5,11,29411,8218,11,35,3860,3190
24,Jax,12,4,True,4,2,9,128070,11463,15,185,3078,3111
26,Zilean,3,4,True,1,1,18,32417,8119,14,32,0,3853
163,Taliyah,11,4,True,4,5,14,158803,10543,14,19,3020,3135
81,Ezreal,7,4,True,8,4,11,139631,12728,15,185,3042,6694
39,Irelia,4,12,True,10,8,9,148632,13449,15,186,6632,2055
85,Kennen,4,12,False,10,5,5,147617,14321,16,228,0,3157
115,Ziggs,4,12,False,3,5,10,195419,12308,16,244,3040,6653
89,Leona,4,14,False,1,9,10,16969,7229,12,33,3111,3076
107,Rengar,11,4,False,4,9,8,155716,10974,14,21,6630,2031
39,Irelia,12,4,False,4,10,6,151782,12697,15,242,3026,3053
64,LeeSin,4,11,True,12,5,17,137814,14386,16,23,3111,3053
517,Sylas,4,12,True,5,5,8,132458,11862,17,194,3157,6656
67,Vayne,1,4,True,8,1,6,184680,15770,17,247,0,3124
111,Nautilus,14,4,True,2,6,19,32400,8959,14,48,3860,3050
13,Ryze,12,4,True,11,5,17,206036,16438,17,211,3041,3040
81,Ezreal,7,4,False,4,7,2,84720,8241,12,153,1055,3042
59,JarvanIV,4,11,False,2,8,4,86733,6238,10,15,2422,2031
143,Zyra,14,4,False,0,8,3,22791,4665,8,26,3853,1026
42,Corki,12,4,False,2,3,4,90491,8327,13,181,3042,2010
164,Camille,12,14,False,2,7,2,51488,6663,12,135,6632,1053
117,Lulu,4,14,True,1,2,16,15290,6483,11,34,2031,2065
58,Renekton,12,4,True,3,1,7,107228,10921,13,144,1083,6630
48,Trundle,4,11,True,14,0,7,155969,12974,14,57,6632,0
13,Ryze,12,4,True,6,5,8,105924,9546,12,137,2033,6656
29,Twitch,3,4,True,9,2,6,91226,10210,12,137,3006,6671
7,Leblanc,4,12,True,7,1,9,93649,11616,15,178,1058,6656
18,Tristana,4,1,True,14,3,10,188008,15009,14,229,3006,3046
76,Nidalee,11,4,True,6,3,11,128302,10435,15,15,3157,3916
875,Sett,4,12,True,4,1,7,96735,9800,14,163,3053,0
111,Nautilus,14,4,True,4,6,15,22074,7787,12,31,3190,8001
876,Lillia,12,4,False,4,6,2,112695,9178,14,180,2033,1026
81,Ezreal,4,7,False,2,9,5,96604,8240,12,133,3158,6632
69,Cassiopeia,12,4,False,1,3,6,106387,8500,14,198,3070,6653
64,LeeSin,4,11,False,7,11,4,95834,9377,12,16,2421,2055
26,Zilean,4,3,False,0,6,11,14604,5814,12,14,3853,3190
48,Trundle,12,4,True,10,3,5,112916,11849,15,163,6632,3076
141,Kayn,11,4,True,4,0,12,122986,9597,13,32,6630,2031
3,Galio,12,4,True,8,0,10,109098,11254,14,193,3047,6656
22,Ashe,4,7,True,2,4,9,80065,8726,12,154,6673,3035
412,Thresh,4,3,True,2,1,13,20894,6731,11,31,3857,3190
12,Alistar,4,14,False,2,4,2,16552,5366,10,34,3860,3190
76,Nidalee,11,4,False,2,6,2,118933,7559,12,19,0,0
157,Yasuo,4,3,False,1,5,2,106728,8674,12,166,6673,2055
234,Viego,4,12,False,1,4,1,88554,7547,12,168,1055,1053
58,Renekton,12,4,False,2,7,2,94123,7672,13,156,1055,3111
555,Pyke,14,4,True,4,7,10,42426,12179,15,111,3156,6691
117,Lulu,7,4,True,1,4,19,15736,9562,14,23,2065,3853
115,Ziggs,4,12,True,5,4,17,260990,15487,17,238,3089,0
234,Viego,11,4,True,9,5,17,167176,15267,17,25,6632,0
39,Irelia,4,12,True,14,5,10,323464,20673,18,294,6632,3053
101,Xerath,4,12,False,6,5,7,214442,13582,15,241,3135,6655
4,TwistedFate,4,12,False,5,4,8,251159,17112,18,295,3157,6656
16,Soraka,4,7,False,2,9,12,13569,8538,12,8,3853,3157
64,LeeSin,11,4,False,10,4,7,224681,14163,16,45,6630,2420
164,Camille,12,14,False,2,11,5,139935,13025,16,222,3047,3078
432,Bard,3,4,False,0,3,9,10333,6206,11,23,3853,3190
518,Neeko,4,12,False,2,5,3,97774,8481,14,176,6656,2033
141,Kayn,11,4,False,6,8,4,159248,10659,14,28,3158,6695
81,Ezreal,4,7,False,3,4,1,124696,9746,13,182,3042,3123
4,TwistedFate,4,12,False,2,3,6,167662,12140,16,246,2033,6656
64,LeeSin,4,11,True,5,1,11,200386,12981,16,50,3053,3111
164,Camille,12,4,True,1,5,8,84658,9256,14,144,1054,6632
13,Ryze,12,4,True,6,2,6,206011,13414,17,248,1058,6656
147,Seraphine,14,4,True,2,1,13,38492,8169,14,27,6617,2055
110,Varus,4,7,True,9,4,5,155334,13160,15,231,0,3042
517,Sylas,4,12,False,2,2,1,42939,5268,10,115,2055,6656
39,Irelia,12,4,False,3,6,1,52297,5383,10,97,1055,3153
429,Kalista,4,1,False,4,8,0,43814,5886,8,103,1042,6673
111,Nautilus,4,14,False,0,7,5,14272,3713,7,17,3859,3009
64,LeeSin,4,11,False,6,5,3,71864,6617,10,5,2031,6693
164,Camille,14,12,True,4,5,1,37096,5707,11,105,6632,2031
22,Ashe,4,7,True,5,5,8,48882,7473,9,105,3006,6673
48,Trundle,3,4,True,3,2,16,14801,6146,9,22,3855,3190
84,Akali,4,12,True,4,2,2,49213,5726,10,106,2031,3020
5,XinZhao,11,4,True,12,1,5,87911,9791,11,34,2031,6630
