champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
81,Ezreal,4,7,False,3,5,3,85464,8711,12,168,3042,2031
103,Ahri,4,12,False,1,6,4,58247,6163,11,114,2033,6656
26,Zilean,4,3,False,1,6,3,12788,4902,9,15,3853,2065
266,Aatrox,12,4,False,4,6,0,63403,7057,13,122,1055,6630
104,Graves,4,11,False,2,6,3,120060,7848,12,41,6676,1001
76,Nidalee,4,11,True,9,3,10,141367,10848,14,16,4636,3157
526,Rell,14,4,True,3,2,10,22688,6364,11,34,2055,3158
29,Twitch,7,4,True,3,0,9,82149,8848,12,163,1055,3006
85,Kennen,4,12,True,1,4,3,87896,7901,13,169,1052,0
166,Akshan,14,4,True,13,2,5,113499,11228,14,157,1055,2031
61,Orianna,4,12,True,4,1,5,128856,10887,15,195,2033,6653
67,Vayne,7,4,True,10,3,5,153261,13909,15,196,3091,3124
432,Bard,3,4,True,0,3,18,20758,7847,12,35,2065,3860
5,XinZhao,11,4,True,9,4,8,192104,12838,15,49,3053,0
122,Darius,6,4,True,7,6,6,133089,12369,15,169,3076,6630
412,Thresh,4,14,False,0,7,8,14791,6287,12,32,3857,3190
523,Aphelios,4,7,False,2,10,6,122854,9203,13,175,2055,6676
64,LeeSin,4,11,False,10,2,3,189241,13940,16,40,2055,6630
103,Ahri,4,14,False,2,4,6,125128,9742,15,199,1056,6655
84,Akali,14,12,False,3,7,6,123969,9910,15,187,4637,3916
64,LeeSin,11,4,True,13,2,7,115206,10752,12,37,2055,3133
36,DrMundo,4,12,True,9,1,10,85836,9712,13,139,3047,1054
134,Syndra,12,4,True,4,3,7,74362,8595,11,131,3003,2033
110,Varus,4,7,True,10,3,7,79817,9453,12,127,2031,2055
432,Bard,3,4,True,0,2,20,18376,5593,11,33,3067,3859
126,Jayce,12,4,False,3,8,0,52177,7201,10,99,2031,6692
526,Rell,14,4,False,2,7,4,11146,5472,9,17,3859,2031
106,Volibear,4,11,False,4,4,4,83348,7778,11,24,6632,3158
119,Draven,4,1,False,1,8,3,33923,5122,9,83,6692,1036
7,Leblanc,12,4,False,1,9,1,39893,4397,10,80,6655,2033
432,Bard,4,14,False,1,6,19,24796,7824,12,16,3190,3853
76,Nidalee,4,11,False,9,5,9,199393,14177,15,32,3157,4632
39,Irelia,12,4,False,9,11,4,108354,12092,14,159,2033,6630
523,Aphelios,7,4,False,6,5,10,159422,13120,14,204,6671,3085
58,Renekton,12,4,False,1,6,10,109763,9870,14,181,3053,6630
126,Jayce,12,4,True,8,8,12,196648,15815,17,224,3042,3026
497,Rakan,3,4,True,0,6,20,24225,7921,13,39,2065,3860
115,Ziggs,4,12,True,9,6,11,164278,12588,15,169,3157,0
64,LeeSin,4,11,True,9,2,13,169229,12951,15,38,0,6630
106,Volibear,4,14,True,7,4,8,122988,12866,15,169,3157,4633
412,Thresh,4,3,False,0,6,2,9495,3429,7,25,2031,3855
222,Jinx,7,4,False,3,7,0,31912,5091,7,85,6670,3006
234,Viego,4,12,False,0,5,0,24206,3807,9,85,1054,2031
245,Ekko,4,11,False,0,4,1,43185,3709,7,15,3145,2031
240,Kled,4,12,False,0,3,0,35254,4142,9,85,6029,3044
523,Aphelios,4,7,True,3,2,5,63450,7579,10,136,3006,1042
68,Rumble,4,14,True,4,1,6,64973,6967,11,118,3020,4636
76,Nidalee,11,4,True,10,0,3,88128,8047,10,1,2031,0
62,MonkeyKing,12,14,True,4,0,1,57313,7572,11,126,1055,6632
201,Braum,14,4,True,4,0,9,11854,5695,8,21,3190,3855
39,Irelia,4,12,False,2,5,1,103768,9103,12,178,2055,6630
523,Aphelios,7,4,False,2,3,3,83767,8057,11,162,1055,3006
69,Cassiopeia,4,12,False,1,2,3,56707,6442,12,139,6653,2031
64,LeeSin,4,11,False,3,4,3,102865,7268,11,8,2055,6630
89,Leona,4,14,False,1,1,3,18306,5121,8,35,3111,0
12,Alistar,4,14,True,1,0,11,17396,5512,10,30,3860,0
166,Akshan,4,14,True,8,2,2,91210,9093,13,148,0,6671
50,Swain,3,4,True,3,0,5,72107,7897,12,149,2031,3157
126,Jayce,4,12,True,1,3,2,74878,6997,12,141,1036,6692
60,Elise,4,11,True,2,4,4,74549,6585,11,10,3020,2031
39,Irelia,12,4,False,3,11,6,209654,13925,16,257,1037,6632
234,Viego,4,11,False,7,9,9,200915,14404,16,49,3111,2055
30,Karthus,4,3,False,3,6,12,160267,12925,16,238,1056,1058
126,Jayce,12,4,False,11,7,8,221580,15860,17,233,3123,6695
497,Rakan,4,14,False,1,5,13,30996,8902,15,64,3860,2055
432,Bard,3,4,True,0,5,27,38709,9486,16,35,3190,3853
164,Camille,12,14,True,8,7,10,175045,13682,18,203,1029,3053
76,Nidalee,4,11,True,22,3,9,300706,20587,18,31,3041,3157
103,Ahri,4,7,True,7,4,12,165048,13533,17,235,6655,1026
58,Renekton,4,12,True,1,7,15,273203,14968,17,291,6630,2421
76,Nidalee,4,11,True,7,0,10,246074,13026,16,23,3135,0
13,Ryze,12,4,True,5,1,7,266473,14505,17,285,3157,6656
875,Sett,4,14,True,3,6,8,35062,7836,12,49,6630,3111
429,Kalista,4,7,True,1,7,7,122984,10574,14,225,6673,3123
164,Camille,4,12,True,7,0,8,182813,14592,17,244,1054,3026
58,Renekton,12,4,False,2,6,1,135769,10566,15,235,2055,6630
203,Kindred,11,4,False,5,4,6,192425,12405,15,85,6672,3047
523,Aphelios,7,4,False,5,5,5,157322,12098,14,219,1055,3036
117,Lulu,4,3,False,0,3,13,12828,7347,12,20,3853,2065
103,Ahri,4,12,False,2,6,0,115765,9155,14,195,6655,1058
81,Ezreal,3,4,False,0,5,1,56131,5796,10,125,1055,3070
58,Renekton,4,12,False,3,3,1,88754,7891,12,151,3047,6630
12,Alistar,14,4,False,0,5,3,11466,4286,7,27,2403,3067
157,Yasuo,4,14,False,1,11,0,82988,6768,11,139,3006,3033
131,Diana,4,11,False,2,7,0,109109,7262,11,22,1082,4633
82,Mordekaiser,12,4,True,2,2,7,107057,9162,13,161,1054,4633
110,Varus,7,4,True,6,1,8,85558,8923,13,157,3004,2031
64,LeeSin,4,11,True,4,1,9,124301,8185,12,11,6630,2031
555,Pyke,4,14,True,5,1,9,14389,6537,10,31,0,3855
39,Irelia,4,14,True,14,1,10,144830,13474,14,190,6632,2033
39,Irelia,12,4,True,8,9,8,208967,14972,17,240,2420,3047
164,Camille,4,12,True,10,8,10,124086,13872,15,141,3044,3074
432,Bard,3,4,True,5,3,20,18209,11251,14,20,3190,3853
110,Varus,4,7,True,6,4,8,146381,12088,15,198,3158,3042
131,Diana,4,11,True,6,3,14,252367,13685,17,52,3157,3152
7,Leblanc,4,12,False,7,5,5,96575,10969,14,166,4629,6655
497,Rakan,14,4,False,1,6,6,21600,7361,11,33,1029,3860
126,Jayce,4,12,False,6,10,6,168171,13417,15,213,0,0
18,Tristana,4,7,False,6,6,3,150612,12437,14,218,6672,3046
203,Kindred,4,11,False,7,8,9,222240,13435,16,53,6672,2055
157,Yasuo,4,14,True,12,3,9,178995,14819,15,216,2421,6673
497,Rakan,4,14,True,3,2,18,25156,8662,13,9,3853,2065
79,Gragas,4,11,True,7,0,11,142903,11233,15,28,2055,3020
115,Ziggs,12,4,True,2,5,12,148433,9830,14,187,3070,6653
875,Sett,4,12,True,7,4,8,113995,11392,15,170,6630,3075
39,Irelia,12,4,False,3,6,3,196673,12607,16,256,3053,3153
147,Seraphine,14,4,False,2,5,4,32570,6919,11,25,6617,3114
64,LeeSin,4,11,False,5,5,3,143595,9736,13,30,6630,3053
81,Ezreal,4,7,False,1,9,4,90731,8677,12,171,0,2421
13,Ryze,4,12,False,3,6,3,144159,9936,15,179,2033,3040
58,Renekton,4,12,False,0,4,2,93702,6675,13,172,2031,6630
203,Kindred,11,4,False,4,4,1,96671,7522,11,20,0,3047
432,Bard,3,4,False,1,4,6,14963,5302,9,13,3190,3853
81,Ezreal,7,4,False,2,3,4,96712,7839,11,158,1055,3070
84,Akali,12,14,False,1,3,2,75529,6969,12,155,3020,4633
240,Kled,4,12,True,5,1,4,97163,8918,13,165,3047,6630
26,Zilean,14,4,True,3,1,10,30196,6651,11,22,3108,3853
18,Tristana,4,7,True,2,3,3,112001,8356,12,167,1018,3046
76,Nidalee,4,11,True,6,1,8,144270,10192,13,9,4636,2421
39,Irelia,4,12,True,2,2,2,110480,9560,13,196,1055,1037
126,Jayce,4,12,False,0,8,1,39249,4156,9,90,3134,1036
498,Xayah,7,4,False,1,3,2,32013,4913,8,95,1055,6670
432,Bard,3,4,False,2,4,2,9538,5226,8,12,3851,2055
4,TwistedFate,4,12,False,3,4,2,60217,6137,10,108,6656,3158
64,LeeSin,4,11,False,0,6,2,46289,4003,8,18,2055,2031
236,Lucian,4,12,True,5,1,1,94736,9811,12,139,3158,6671
164,Camille,3,4,True,4,3,7,9415,4767,7,8,3158,3044
68,Rumble,14,4,True,6,1,5,45875,6079,10,66,3020,3152
61,Orianna,12,4,True,3,0,5,62807,7153,11,136,1056,3070
56,Nocturne,4,11,True,7,1,8,100106,8993,11,30,3158,6631
234,Viego,11,4,True,4,2,8,125651,8850,12,29,6632,0
7,Leblanc,12,4,True,7,1,6,85562,9551,13,161,2033,2055
202,Jhin,4,7,True,8,2,3,120069,10834,13,175,6692,2055
39,Irelia,4,12,True,4,3,6,100173,8410,13,162,0,3047
497,Rakan,4,14,True,4,1,14,11900,6901,9,6,2065,3853
115,Ziggs,4,12,False,2,6,2,73673,7435,11,150,6655,3020
126,Jayce,4,12,False,2,6,3,88301,7320,12,162,1055,2031
13,Ryze,4,12,False,2,4,2,82567,7415,11,148,3111,6656
3,Galio,14,4,False,1,5,5,24685,5144,9,45,3158,2055
104,Graves,4,11,False,2,6,1,79304,6729,10,27,1001,1037
107,Rengar,4,11,True,4,3,4,147618,9467,14,16,3142,0
85,Kennen,14,4,True,6,4,7,134127,12129,15,184,3157,3152
26,Zilean,14,4,True,2,2,11,27653,7492,13,23,3853,3157
110,Varus,7,4,True,5,0,7,138150,11974,14,189,6691,2421
39,Irelia,12,4,True,7,3,2,167841,12785,15,229,0,3091
79,Gragas,12,4,False,1,3,3,80955,6901,13,130,6656,0
523,Aphelios,4,7,False,1,7,3,94774,7741,12,171,2031,3006
117,Lulu,4,3,False,1,3,7,12072,5874,11,16,3853,2065
126,Jayce,4,12,False,4,6,2,110063,8576,14,177,6692,3042
76,Nidalee,4,11,False,5,6,3,124865,10225,13,40,1026,2055
134,Syndra,4,1,False,1,4,2,93635,8127,12,177,3040,6653
111,Nautilus,4,14,False,0,9,3,14517,4831,8,20,3859,3105
429,Kalista,4,12,False,5,2,6,153959,13091,14,209,2420,3124
104,Graves,4,11,False,4,1,5,168773,10129,13,33,6676,3035
