champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
64,LeeSin,11,4,True,9,0,12,148580,12048,15,36,6630,2055
62,MonkeyKing,4,12,True,3,5,8,63527,9474,13,151,1054,3071
245,Ekko,14,4,True,9,3,6,126015,12129,15,156,1082,3152
119,Draven,7,4,True,4,3,12,105871,11073,13,167,3006,6676
48,Trundle,4,3,True,4,3,19,35176,8709,13,45,3857,3047
126,Jayce,4,12,False,5,6,1,120773,9627,14,176,6692,3047
76,Nidalee,4,11,False,1,4,3,129024,8039,12,32,4636,1052
201,Braum,4,14,False,1,6,6,23828,5732,10,30,3047,3857
22,Ashe,7,4,False,3,8,2,88235,8938,11,171,6673,3085
39,Irelia,4,14,False,4,5,1,143994,11312,14,209,1055,1037
114,Fiora,12,4,True,5,6,13,70238,10241,14,137,6630,3074
64,LeeSin,4,11,True,5,6,19,128411,11319,14,44,0,6630
235,Senna,7,4,True,7,3,18,75703,11300,13,154,6672,3047
8,Vladimir,4,6,True,10,1,14,159325,13230,15,194,1052,3152
497,Rakan,4,14,True,2,2,23,26614,7999,13,38,3158,3860
13,Ryze,4,12,False,4,6,6,163956,10445,14,184,3040,2033
92,Riven,4,14,False,7,5,5,136507,12165,14,179,6630,1028
48,Trundle,11,4,False,3,5,5,113917,8849,12,16,2055,1033
236,Lucian,7,4,False,3,7,3,105232,9707,12,179,1055,3070
12,Alistar,4,14,False,1,6,7,14263,6722,10,32,0,2065
22,Ashe,4,7,False,8,12,6,141658,11990,14,155,1055,6673
234,Viego,4,12,False,3,8,6,129949,9762,15,184,2055,3111
69,Cassiopeia,4,12,False,9,10,6,163004,13152,16,209,6653,3040
432,Bard,3,4,False,0,7,17,13193,6852,12,14,3853,3190
76,Nidalee,11,4,False,10,6,7,153811,11911,15,41,4636,3102
202,Jhin,4,7,True,7,7,12,164565,13419,15,181,6671,3036
112,Viktor,4,12,True,5,12,8,128430,11617,15,168,3040,6656
223,TahmKench,4,14,True,7,6,20,31610,11335,14,41,3009,3860
28,Evelynn,11,4,True,18,2,4,179152,15089,16,32,3152,3041
58,Renekton,4,12,True,6,3,4,170119,12512,16,200,1054,6631
17,Teemo,4,14,True,5,1,6,120108,11623,15,196,3006,2031
22,Ashe,4,7,True,2,5,7,64013,8318,12,136,6673,3006
497,Rakan,4,14,True,1,4,11,15182,6635,11,39,3158,3860
18,Tristana,4,7,True,9,3,5,129926,12513,14,182,3046,3031
79,Gragas,11,4,True,3,2,11,141833,9581,14,26,3152,3158
223,TahmKench,12,6,False,0,3,3,46125,6525,13,146,6660,8001
13,Ryze,12,4,False,4,4,4,107426,8444,13,152,2033,6656
498,Xayah,4,7,False,4,6,7,102842,10188,12,187,6671,3508
203,Kindred,4,11,False,5,5,5,127437,9340,12,28,6671,2031
26,Zilean,14,4,False,2,2,10,25496,6588,11,16,3108,3853
120,Hecarim,6,11,False,2,10,6,81277,6521,11,10,6632,3044
223,TahmKench,4,14,False,2,6,8,21205,6049,11,34,3111,3860
13,Ryze,4,12,False,4,5,2,123618,9337,13,174,3040,3111
24,Jax,4,12,False,1,7,1,83731,7209,13,157,2033,6632
202,Jhin,7,4,False,7,5,6,117754,10918,13,182,1038,6671
427,Ivern,11,4,True,5,3,17,316098,9623,14,18,3117,3107
164,Camille,12,14,True,8,1,6,142350,12491,15,198,0,4638
69,Cassiopeia,4,12,True,12,2,4,131875,13251,15,186,1082,0
412,Thresh,4,14,True,1,5,17,19291,7198,11,26,3857,2055
523,Aphelios,4,7,True,7,5,7,141521,11186,14,188,6673,3006
58,Renekton,12,4,False,1,6,2,64635,5962,11,117,6630,0
39,Irelia,12,4,False,3,6,3,116611,11214,13,191,3026,3153
234,Viego,4,11,False,6,5,1,81702,7879,12,22,1036,1028
30,Karthus,3,4,False,4,10,5,84127,7957,11,139,1056,2421
12,Alistar,4,14,False,1,4,9,16625,5672,9,32,3860,1004
22,Ashe,7,4,True,4,5,9,55941,7393,11,113,1055,6673
203,Kindred,4,11,True,11,1,9,193321,13473,15,62,2421,3047
245,Ekko,12,4,True,10,2,8,120874,11274,13,159,2033,3152
114,Fiora,4,12,True,4,4,5,82934,8700,13,145,6632,3074
201,Braum,4,14,True,2,3,13,13023,6643,10,26,3047,3857
77,Udyr,11,4,False,3,10,5,126105,9040,13,22,3074,3078
412,Thresh,3,4,False,0,10,10,17962,6821,11,32,3857,2055
63,Brand,4,7,False,3,8,3,64244,8008,11,104,3108,3020
17,Teemo,4,14,False,3,7,0,72189,8137,13,129,1011,3020
166,Akshan,4,14,False,7,8,3,143780,14174,15,198,6672,3031
107,Rengar,4,11,True,17,3,5,199100,15527,16,40,6691,3158
105,Fizz,14,4,True,10,4,7,80884,11373,15,152,3157,3158
10,Kayle,4,12,True,8,1,11,103770,11945,16,143,2033,3157
427,Ivern,4,14,True,5,3,18,22848,8967,13,12,3158,3853
