champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
22,Ashe,7,4,True,6,7,14,159789,14883,17,216,6673,3006
39,Irelia,4,12,True,12,6,8,232658,17231,18,285,3053,3133
887,Gwen,4,11,True,4,5,15,208810,12973,17,36,3047,4633
497,Rakan,4,14,True,1,5,25,21682,9432,15,34,3860,3050
114,Fiora,4,14,True,13,9,11,154780,16241,17,209,3053,6630
64,LeeSin,4,11,False,12,6,5,181534,14859,16,49,6630,2055
412,Thresh,4,14,False,1,5,22,35905,8931,14,33,3857,0
41,Gangplank,4,12,False,1,12,4,206125,11532,15,218,1018,3508
81,Ezreal,4,7,False,11,6,2,195519,14474,16,230,3110,6694
517,Sylas,12,4,False,7,7,11,145736,12856,15,176,6656,3165
61,Orianna,4,12,False,7,6,5,115114,12137,15,187,6653,2420
875,Sett,4,14,False,1,11,13,43115,8006,13,59,3742,2055
50,Swain,4,3,False,8,12,5,112928,11243,14,164,3157,3116
39,Irelia,4,12,False,5,8,4,165038,13151,16,227,1038,2420
203,Kindred,4,11,False,4,9,4,140564,10520,14,45,3111,2031
58,Renekton,4,12,True,6,4,13,174710,14784,17,231,6630,3047
22,Ashe,7,4,True,15,9,15,146481,15477,17,160,6673,3091
48,Trundle,14,4,True,5,1,27,25082,10711,15,40,3190,3857
131,Diana,4,11,True,15,7,12,263828,16555,17,39,3152,3157
517,Sylas,4,12,True,5,4,14,119285,11661,17,181,3089,3157
7,Leblanc,4,12,False,5,3,4,91396,9806,13,172,2033,6655
111,Nautilus,14,4,False,0,7,5,18890,5470,10,40,3190,3860
164,Camille,12,14,False,3,5,3,102193,10342,13,156,1055,3748
119,Draven,3,4,False,0,2,3,109692,8501,13,210,3006,1055
64,LeeSin,11,4,False,6,5,5,123862,9874,13,13,6630,2055
53,Blitzcrank,4,14,True,3,2,10,20275,7567,12,39,2055,3860
30,Karthus,4,3,True,7,2,6,117482,10376,13,164,1056,0
