champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
126,Jayce,12,4,False,0,5,1,49878,5202,10,112,6692,2031
111,Nautilus,14,4,False,1,5,3,9917,3842,7,24,3859,0
104,Graves,11,4,False,1,6,2,62689,4906,8,14,1053,2031
103,Ahri,4,12,False,2,5,0,44842,5542,10,105,2033,1082
81,Ezreal,1,4,False,1,2,2,41640,5133,9,117,6632,2055
59,JarvanIV,12,4,True,5,1,9,69844,7203,11,128,2033,3047
28,Evelynn,11,4,True,8,1,3,73364,7744,11,12,3152,2031
18,Tristana,7,4,True,1,3,5,43304,5486,9,115,6672,3006
3,Galio,12,4,True,8,0,5,77277,8002,11,130,3158,6656
89,Leona,14,4,True,1,0,9,8353,4250,7,28,2031,3855
350,Yuumi,14,3,True,4,1,14,8711,6868,11,3,3853,6617
64,LeeSin,4,11,True,10,2,9,121796,11397,13,25,0,3071
134,Syndra,4,12,True,5,4,8,127636,10653,14,186,3135,3108
106,Volibear,4,12,True,4,2,6,67926,7507,13,122,1056,6632
81,Ezreal,7,4,True,1,5,2,83482,7028,10,135,6632,3133
111,Nautilus,14,4,False,1,5,9,19184,5422,10,26,3860,3190
164,Camille,12,14,False,3,6,3,60565,7918,11,121,1054,6632
234,Viego,4,11,False,4,4,3,124353,8768,13,45,3047,6632
115,Ziggs,4,12,False,2,4,6,133091,9684,12,164,3040,6655
43,Karma,4,12,False,4,5,3,76393,7827,11,130,3108,6655
22,Ashe,7,4,False,1,5,3,89981,7531,11,161,1055,6673
103,Ahri,14,4,False,4,1,3,93905,9143,13,171,6656,3020
114,Fiora,4,12,False,1,6,5,89808,8442,13,167,6632,3042
412,Thresh,4,14,False,1,5,6,19465,5418,10,32,3067,3190
254,Vi,11,4,False,3,6,5,115413,8471,12,16,3158,6632
3,Galio,4,12,True,3,2,7,99418,8987,13,170,1082,3020
202,Jhin,4,1,True,2,1,10,107673,10272,13,185,6676,6671
164,Camille,12,14,True,9,3,5,119199,12064,14,173,6632,3053
48,Trundle,14,4,True,2,3,13,19948,7180,11,34,3857,3190
141,Kayn,4,11,True,7,1,10,181637,11335,14,26,3158,6693
126,Jayce,32,4,False,18,10,33,100655,17569,18,46,3042,6695
57,Maokai,32,4,False,5,13,25,74555,14488,18,34,6653,3020
127,Lissandra,4,7,False,8,13,37,79645,15881,18,55,6655,3157
23,Tryndamere,32,4,False,16,18,13,100125,17200,18,72,6671,3072
145,Kaisa,4,13,False,14,15,17,96478,16890,18,80,6671,6676
17,Teemo,4,21,True,20,10,28,110842,19107,18,76,3020,3157
64,LeeSin,32,4,True,20,11,34,79471,18739,18,42,6630,3047
102,Shyvana,21,4,True,17,15,28,165055,18763,18,119,6653,3020
25,Morgana,4,32,True,7,10,50,66015,15658,18,50,3111,3157
