champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
517,Sylas,4,12,False,6,4,2,93216,10507,14,174,0,6656
5,XinZhao,11,4,False,4,7,3,122944,8413,12,30,6333,2031
119,Draven,4,3,False,1,4,3,85321,7545,11,152,0,0
82,Mordekaiser,4,12,False,0,9,0,60298,6126,12,127,1054,1029
117,Lulu,4,7,False,0,6,7,6486,5052,10,10,3853,2065
80,Pantheon,4,14,True,5,1,10,33929,8314,11,39,3179,3134
203,Kindred,4,11,True,7,1,13,150158,12006,14,44,3071,1036
164,Camille,12,14,True,11,3,5,113471,12020,15,161,1055,3074
30,Karthus,3,4,True,6,4,11,130790,11078,14,162,1026,3157
4,TwistedFate,4,14,True,1,2,7,89695,9253,13,153,2033,2421
163,Taliyah,4,11,False,1,5,2,114593,7805,12,26,3157,2055
68,Rumble,14,4,False,4,6,3,103925,8761,12,143,3020,3152
18,Tristana,7,4,False,4,6,5,98108,9996,12,181,6673,3006
54,Malphite,4,12,False,1,5,2,83537,7974,12,150,2033,8001
80,Pantheon,4,14,False,3,8,5,38639,7397,10,41,3857,6692
21,MissFortune,3,4,True,9,5,11,143646,12453,14,198,3042,6673
157,Yasuo,4,3,True,10,2,9,154398,12677,14,180,6673,3091
517,Sylas,12,4,True,5,0,8,110378,11304,15,165,0,6656
64,LeeSin,4,11,True,4,1,20,133439,10939,15,45,2055,3071
497,Rakan,4,14,True,2,5,25,19741,8052,13,37,3190,3860
37,Sona,4,14,False,2,7,8,25102,6869,11,17,3853,3100
7,Leblanc,4,14,False,9,3,0,93374,10784,14,159,3165,3157
58,Renekton,12,4,False,5,5,2,140524,11275,14,202,3053,3123
202,Jhin,7,4,False,1,3,6,80410,7820,11,126,3009,3035
25,Morgana,4,11,False,1,2,10,138860,8345,13,28,3157,3020
1,Annie,14,4,True,2,4,5,82057,8887,13,148,3020,3102
81,Ezreal,7,4,True,5,5,5,133888,12059,14,177,3158,6632
203,Kindred,4,11,True,7,2,7,164903,11467,15,45,3153,2055
238,Zed,4,12,True,5,3,3,144450,12125,15,188,6695,6693
16,Soraka,4,14,True,1,4,13,9298,7838,11,6,3853,6617
203,Kindred,4,11,False,0,4,1,66656,5334,9,14,2055,2031
17,Teemo,4,14,False,3,4,0,78483,7021,12,168,3191,2031
777,Yone,12,4,False,1,5,1,71684,6354,11,138,1054,2031
51,Caitlyn,7,4,False,2,6,1,76124,7351,10,147,1055,6673
201,Braum,3,4,False,0,4,2,15406,4207,8,27,3111,3855
22,Ashe,7,4,True,2,2,9,53386,7454,11,135,1055,2031
85,Kennen,4,14,True,8,0,5,81601,10331,13,149,3020,3135
64,LeeSin,12,4,True,5,2,3,80672,8503,13,136,0,3133
89,Leona,4,14,True,4,1,8,14326,6221,10,29,3855,2055
104,Graves,11,4,True,4,1,5,118711,8334,12,16,6692,2031
89,Leona,14,4,False,0,4,7,8052,4120,8,14,2031,3855
164,Camille,4,12,False,6,2,2,65888,7978,12,119,1055,6632
18,Tristana,7,4,False,2,7,1,51741,6166,10,105,1055,2031
26,Zilean,4,12,False,2,3,3,55978,5789,12,102,6656,1056
203,Kindred,4,11,False,2,4,3,94234,6736,11,30,0,2031
13,Ryze,12,4,True,2,2,3,104786,7660,12,145,1052,6656
15,Sivir,7,4,True,3,3,7,109974,9747,12,178,1055,6672
59,JarvanIV,4,12,True,3,5,4,83280,9033,12,149,6630,2033
555,Pyke,14,4,True,5,2,5,11731,6873,9,8,3117,3179
234,Viego,4,11,True,7,0,9,114130,9298,12,17,3047,2421
14,Sion,12,4,False,3,2,4,114430,9102,13,161,3068,2033
55,Katarina,14,4,False,0,3,3,105146,7686,13,183,3153,3091
111,Nautilus,14,4,False,2,5,3,16615,5490,10,25,3190,3860
56,Nocturne,4,11,False,7,4,8,144264,10277,13,34,6695,6631
115,Ziggs,4,7,False,3,8,5,83184,8679,11,138,1058,3916
84,Akali,12,4,True,5,1,7,129846,10719,15,214,1054,4633
235,Senna,3,4,True,5,5,13,53749,8919,11,41,3071,6632
37,Sona,7,4,True,1,2,18,32064,8096,12,51,2421,3853
64,LeeSin,4,11,True,4,3,10,162619,10434,14,56,2055,3071
98,Shen,4,12,True,7,4,6,88361,10770,14,176,1054,3047
223,TahmKench,12,4,False,2,2,0,75147,7620,13,155,8001,6660
18,Tristana,7,4,False,3,6,1,89790,8593,12,173,6672,1018
497,Rakan,14,4,False,1,5,2,19420,5436,10,42,2055,3860
234,Viego,11,4,False,0,7,1,90798,6006,11,11,3047,0
517,Sylas,12,4,False,1,3,0,82244,7205,12,156,6656,2420
64,LeeSin,4,11,True,5,1,10,124094,9353,13,12,2055,3071
134,Syndra,7,4,True,7,3,6,85262,9799,13,161,3040,6655
79,Gragas,4,14,True,1,0,14,23670,6311,11,32,3860,8001
48,Trundle,12,4,True,4,1,8,68173,8652,13,135,2031,2055
67,Vayne,4,12,True,5,2,6,104827,10293,14,173,2031,6673
412,Thresh,4,14,False,1,8,2,14731,5142,9,35,2055,2003
134,Syndra,12,4,False,1,4,1,78187,7134,13,172,3020,2033
164,Camille,12,4,False,3,2,1,80126,8119,13,149,3077,1053
119,Draven,4,1,False,0,7,3,80840,6658,10,153,6673,3134
64,LeeSin,11,4,False,5,5,2,103576,8295,11,3,6630,2055
110,Varus,4,7,True,10,3,6,95082,10784,12,153,3133,3070
7,Leblanc,12,4,True,7,1,7,95460,9094,14,178,2033,6655
48,Trundle,11,4,True,4,1,11,100814,8569,13,19,3047,6632
69,Cassiopeia,4,12,True,0,3,3,97494,7242,13,169,2033,6653
26,Zilean,14,4,True,5,2,15,35151,7916,12,31,3853,3157
555,Pyke,14,4,False,2,5,3,5547,5989,8,10,3863,3134
35,Shaco,11,14,False,2,4,4,76654,5897,10,6,1028,0
85,Kennen,4,12,False,1,5,4,64847,6159,11,129,2055,3152
236,Lucian,4,12,False,0,8,2,41158,5279,10,101,6671,2031
360,Samira,4,1,False,4,9,3,30947,5843,9,72,6673,3009
26,Zilean,14,4,True,5,0,11,44460,7691,11,36,3158,3853
