champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
245,Ekko,4,11,False,7,5,5,163722,10489,13,38,3152,2055
360,Samira,4,7,False,3,8,5,77241,8637,12,155,1001,1036
127,Lissandra,4,14,False,3,7,7,112307,8811,13,153,1058,3152
23,Tryndamere,6,4,False,4,5,3,144934,10734,15,204,6672,3006
37,Sona,4,14,False,1,1,8,15682,6259,11,13,1001,3070
81,Ezreal,4,7,True,6,2,14,150435,13506,15,220,6632,3042
14,Sion,12,4,True,0,7,9,86975,8083,14,141,2033,8001
518,Neeko,12,4,True,7,4,7,114010,11489,14,173,4636,2421
235,Senna,3,4,True,4,2,16,48736,9621,14,18,3864,6632
64,LeeSin,11,4,True,9,3,13,196897,13150,16,29,3143,6630
24,Jax,14,4,False,11,5,4,213653,15037,17,216,6035,6632
67,Vayne,4,7,False,3,4,6,185179,12477,15,270,6672,3091
497,Rakan,4,3,False,1,5,14,18738,7746,13,33,3107,2065
48,Trundle,4,11,False,3,7,8,117583,10160,14,47,3075,0
34,Anivia,12,4,False,6,6,8,210527,15113,16,261,3042,1058
23,Tryndamere,6,4,True,3,9,8,254407,14857,18,245,1038,6691
90,Malzahar,4,12,True,11,2,9,240077,16796,18,247,3089,3135
98,Shen,4,14,True,2,7,11,27473,9070,14,38,3857,3190
113,Sejuani,11,4,True,2,4,16,146087,12429,17,47,0,3068
18,Tristana,4,1,True,9,2,10,265355,16877,17,252,3046,2421
234,Viego,11,4,True,4,4,10,127637,9551,14,20,6632,3053
114,Fiora,4,12,True,7,4,4,89613,10797,14,138,1055,6630
81,Ezreal,4,21,True,5,4,8,142231,12177,14,189,3158,1033
350,Yuumi,7,3,True,2,1,21,6739,7902,12,3,3853,6617
42,Corki,12,4,True,17,2,5,152472,14360,15,205,6673,3042
104,Graves,4,11,False,1,10,3,108868,7274,12,53,6692,3134
55,Katarina,14,12,False,8,5,3,94064,11398,13,161,1054,3020
111,Nautilus,14,4,False,1,5,8,16970,5907,10,37,2031,3190
50,Swain,4,7,False,2,7,6,63572,7472,11,128,2031,6653
39,Irelia,4,12,False,3,8,5,127402,9481,14,190,1055,6632
55,Katarina,14,4,True,3,2,5,101596,9704,14,179,3108,3115
523,Aphelios,4,7,True,8,2,7,192281,14860,15,231,6672,3031
412,Thresh,14,4,True,1,1,14,17546,8186,13,29,2065,3857
39,Irelia,12,4,True,6,5,2,157969,11682,15,220,6632,3153
5,XinZhao,11,4,True,0,2,6,182151,9603,14,42,3091,3044
58,Renekton,12,4,False,4,6,2,122576,10402,15,201,1055,2421
76,Nidalee,4,11,False,3,4,3,139072,8948,14,17,2055,3157
16,Soraka,3,4,False,1,1,6,19848,6694,12,16,6617,3853
61,Orianna,4,12,False,3,2,4,152439,11083,16,232,1056,6653
67,Vayne,4,7,False,1,5,2,77683,8235,13,178,6672,3051
360,Samira,7,4,False,14,7,4,202476,17660,16,228,3026,3031
497,Rakan,4,14,False,2,4,12,30344,8715,12,42,3860,3047
5,XinZhao,4,11,False,5,8,8,131022,10651,13,50,3047,2031
104,Graves,14,4,False,4,9,10,173012,12820,16,213,6676,3123
57,Maokai,12,4,False,2,6,11,83919,8353,14,107,3047,8001
76,Nidalee,4,11,True,12,5,11,219207,15444,17,27,4636,3135
238,Zed,14,4,True,8,3,14,173431,14094,16,237,6692,6695
235,Senna,4,7,True,7,7,18,109403,12780,15,145,1018,6672
48,Trundle,12,4,True,6,4,13,141257,13433,17,191,3181,6632
89,Leona,14,4,True,1,9,16,25923,8017,13,42,3075,1011
150,Gnar,12,4,True,0,0,2,42131,3560,8,85,2055,3044
115,Ziggs,12,4,True,5,1,1,36520,4782,8,82,1056,1001
107,Rengar,11,4,True,3,2,5,43797,4486,7,10,2031,3134
3,Galio,4,14,True,4,4,5,6716,3359,5,9,3858,3009
69,Cassiopeia,4,12,True,4,1,2,22586,4582,8,60,3070,2031
