champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
421,RekSai,4,11,True,10,1,1,73834,7978,10,0,3814,2031
523,Aphelios,4,1,True,5,0,7,64482,7870,10,111,1055,6673
85,Kennen,12,4,True,2,2,5,51585,5748,11,102,1056,3152
117,Lulu,4,14,True,0,0,9,4321,4504,8,2,3851,2031
134,Syndra,14,4,True,4,3,10,68011,8046,11,120,1082,3070
412,Thresh,4,14,False,1,4,0,3620,2978,5,8,2423,2031
48,Trundle,12,4,False,1,4,2,29560,5333,11,91,1054,3111
876,Lillia,11,4,False,1,6,0,67624,4861,9,23,3802,0
157,Yasuo,4,14,False,3,7,1,53318,7020,10,99,1055,2031
145,Kaisa,7,4,False,0,0,0,2063,2445,2,7,2003,1036
222,Jinx,7,4,False,7,9,7,203451,13520,16,233,6671,3006
50,Swain,14,4,False,4,8,9,60747,9259,14,47,2055,3157
76,Nidalee,4,11,False,16,4,9,247905,17019,18,71,4636,3135
92,Riven,4,14,False,4,8,5,60940,8840,14,104,3071,6630
166,Akshan,14,4,False,7,8,11,124726,12294,16,166,3031,2055
64,LeeSin,4,11,True,6,9,8,146185,12832,16,26,3053,2055
236,Lucian,7,4,True,8,12,6,161075,13724,15,214,3508,6671
142,Zoe,14,4,True,11,6,10,189025,15776,17,187,3020,2420
41,Gangplank,4,12,True,9,5,5,240129,16230,17,205,3031,3508
99,Lux,3,4,True,2,6,15,49083,9664,15,37,3853,6617
234,Viego,11,4,False,10,8,8,181978,14412,16,24,2055,3026
523,Aphelios,4,7,False,7,7,9,180481,13702,15,213,3031,2055
12,Alistar,14,4,False,2,9,17,22982,9084,13,42,2055,3190
82,Mordekaiser,12,4,False,5,6,12,221362,16852,17,256,4633,3115
4,TwistedFate,4,12,False,7,7,14,279241,17475,18,292,1001,6656
79,Gragas,4,11,True,4,6,21,216837,12670,17,29,3102,3020
103,Ahri,14,4,True,11,7,14,183371,16463,17,215,6656,2420
43,Karma,4,14,True,4,5,25,57574,11315,15,41,0,2065
81,Ezreal,4,7,True,16,5,8,294095,20415,18,284,6632,3156
62,MonkeyKing,12,14,True,2,8,9,153627,12339,17,198,1055,6632
134,Syndra,4,12,False,2,5,4,79210,7320,12,165,1056,1052
360,Samira,7,4,False,4,6,4,62854,7538,10,145,6673,1018
12,Alistar,14,4,False,2,7,6,11436,5126,8,22,3190,3860
5,XinZhao,11,4,False,1,4,5,103000,7090,12,20,0,2031
114,Fiora,4,12,False,4,3,1,62514,8742,13,163,3077,6630
56,Nocturne,11,4,True,11,2,6,157334,11403,13,19,6631,3158
111,Nautilus,14,4,True,1,4,14,22845,5829,9,30,3860,3158
107,Rengar,4,12,True,3,3,5,89716,8416,13,138,6630,3047
103,Ahri,14,4,True,3,1,15,69277,8280,13,141,6656,1056
67,Vayne,4,3,True,7,3,7,69686,9477,12,171,3124,3006
18,Tristana,4,7,True,9,5,9,163871,13209,15,189,6671,3046
92,Riven,14,12,True,5,1,9,157320,12847,16,225,3142,6630
234,Viego,4,11,True,14,4,10,159037,13896,15,23,3111,0
89,Leona,4,14,True,0,4,16,21986,7673,13,38,8001,3047
13,Ryze,4,12,True,9,9,9,175795,13472,16,198,2421,3111
22,Ashe,4,1,False,3,9,8,91372,9235,13,169,3006,6673
35,Shaco,11,3,False,1,7,10,109186,8632,13,36,6653,4629
555,Pyke,14,4,False,9,3,4,29143,11343,11,49,3111,3179
58,Renekton,4,12,False,2,9,4,127022,8926,15,188,3053,6630
103,Ahri,14,4,False,7,9,6,107498,10536,14,169,6656,3158
22,Ashe,7,4,False,1,5,3,89981,7531,11,161,1055,6673
