champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
6,Urgot,4,12,False,1,3,1,133276,10619,15,220,1011,1055
76,Nidalee,11,4,False,2,4,4,176716,10015,14,20,3020,2421
8,Vladimir,6,4,False,4,4,2,155145,10998,15,193,1058,1058
360,Samira,4,3,False,4,4,4,131463,11476,14,199,3047,6673
43,Karma,4,14,False,2,4,5,29612,7907,11,26,2055,2065
164,Camille,12,14,True,6,0,6,146689,13052,16,222,3053,3074
145,Kaisa,4,7,True,7,2,8,196641,14259,16,247,0,3033
64,LeeSin,11,4,True,4,2,8,164500,11243,15,11,2055,6630
555,Pyke,14,4,True,1,6,8,23079,8559,12,57,2055,3179
34,Anivia,14,4,True,1,3,7,115435,9956,15,174,6656,2420
555,Pyke,14,4,True,10,2,3,37900,10954,12,91,3133,3142
104,Graves,12,4,True,0,3,5,128407,9121,13,166,2031,3134
69,Cassiopeia,4,12,True,10,4,9,104098,12323,13,182,6653,3116
43,Karma,4,3,True,7,1,16,32002,9240,11,23,0,2065
35,Shaco,11,14,True,6,1,10,111357,9879,13,14,3158,6653
85,Kennen,12,4,False,4,3,1,98393,9523,14,192,4629,3152
236,Lucian,4,14,False,4,12,2,46514,6813,10,72,3133,2031
360,Samira,4,7,False,1,5,1,53492,6655,11,141,1055,6673
245,Ekko,4,11,False,1,7,1,93668,6443,10,16,3108,2031
412,Thresh,14,4,False,1,6,8,13775,6151,10,23,2055,3190
48,Trundle,11,4,True,9,2,11,75154,9465,12,16,3047,2031
523,Aphelios,7,4,True,14,3,10,145625,14140,13,184,6673,3006
134,Syndra,4,14,True,1,4,7,99529,7423,12,149,2055,2031
25,Morgana,14,4,True,2,2,23,14370,7852,11,9,0,2065
92,Riven,12,4,True,5,5,3,85776,8875,13,127,3158,2031
41,Gangplank,12,4,False,5,3,4,101457,9392,13,159,1038,0
64,LeeSin,11,4,False,3,4,5,73512,7259,11,16,3142,3158
6,Urgot,4,12,False,5,7,2,68360,7702,12,115,1055,6692
497,Rakan,14,4,False,1,6,3,8078,4147,9,18,4642,3859
115,Ziggs,12,4,False,2,11,4,68805,6864,10,107,6653,2031
432,Bard,14,4,False,2,11,9,17776,7475,12,26,2065,1011
61,Orianna,4,12,False,2,10,8,95781,8410,14,160,3916,6653
121,Khazix,11,4,False,3,8,6,159106,9708,14,43,6691,6695
126,Jayce,12,4,False,11,8,6,187914,15369,16,219,6692,3142
147,Seraphine,4,12,False,3,6,5,119886,9435,13,173,6653,3158
59,JarvanIV,4,11,True,12,2,20,184482,14817,16,36,3047,3193
526,Rell,14,4,True,4,4,19,23089,9308,13,39,0,3190
103,Ahri,4,14,True,9,7,13,116448,11960,15,159,0,6656
36,DrMundo,12,4,True,5,6,9,112872,11301,15,166,3065,3076
110,Varus,4,7,True,13,3,4,179830,14377,15,196,6695,6692
145,Kaisa,13,4,True,17,9,27,101084,17928,18,80,3020,3089
53,Blitzcrank,32,4,True,5,8,25,31169,13431,18,19,3068,3111
81,Ezreal,32,4,True,18,9,19,110850,16530,18,60,6632,3042
245,Ekko,32,4,True,7,17,24,61218,14598,18,36,3020,3152
75,Nasus,6,4,True,9,12,26,102911,15681,18,74,6632,3065
63,Brand,13,4,False,9,12,22,91770,14144,18,54,6653,3157
119,Draven,4,32,False,13,12,16,101335,16389,18,67,6673,3006
154,Zac,32,4,False,5,10,37,81899,14911,18,47,6662,3111
127,Lissandra,4,32,False,6,11,22,68003,13761,18,51,3157,6656
161,Velkoz,32,4,False,22,11,18,98479,17445,18,51,1058,3089
3,Galio,4,32,False,9,8,20,32976,13919,18,21,3068,3111
20,Nunu,21,4,False,11,14,28,61701,14686,18,35,4636,3157
236,Lucian,14,4,False,9,15,19,86001,13661,17,82,3072,6672
99,Lux,32,4,False,5,8,26,66812,12706,18,48,6655,3020
222,Jinx,4,7,False,15,7,11,40531,14984,17,29,3031,6672
29,Twitch,4,32,True,15,10,23,124712,17240,18,101,6672,3006
43,Karma,32,4,True,4,9,40,60745,13730,18,32,2420,3158
145,Kaisa,32,4,True,17,8,19,109501,16725,18,70,6655,4628
142,Zoe,14,4,True,14,11,14,81086,15215,18,56,3157,6655
53,Blitzcrank,14,4,True,2,12,20,18184,11288,17,3,3110,3075
79,Gragas,14,4,False,3,11,26,54733,13498,17,56,4643,3190
64,LeeSin,11,4,False,17,11,19,249018,20438,18,57,6630,3071
69,Cassiopeia,4,12,False,20,8,16,223225,21169,18,224,3135,3102
18,Tristana,4,7,False,6,12,19,297145,18658,18,255,3031,6671
240,Kled,12,4,False,7,7,18,274193,19911,18,302,3143,3142
498,Xayah,4,7,True,16,8,18,364595,22264,18,326,6671,6333
8,Vladimir,4,12,True,8,11,14,280930,16807,18,237,3157,3152
166,Akshan,14,4,True,13,13,13,277851,18931,18,252,3031,6672
9,Fiddlesticks,4,11,True,11,11,16,217935,17125,18,55,3157,3020
497,Rakan,4,14,True,1,10,32,31276,11853,17,48,3860,3190
41,Gangplank,4,21,False,2,14,4,68761,11334,17,54,3142,3078
41,Gangplank,14,4,False,5,13,8,70995,11733,17,43,6662,3047
41,Gangplank,4,14,False,10,15,9,66527,15303,18,38,3078,3047
41,Gangplank,4,14,False,22,14,4,188611,24650,18,97,3508,6691
41,Gangplank,12,4,False,3,12,7,160780,15661,18,133,3006,6631
555,Pyke,4,3,True,1,13,16,34576,11394,18,28,6691,3142
555,Pyke,4,12,True,22,4,24,154352,33525,18,85,3031,3072
555,Pyke,4,12,True,15,6,14,85859,26485,18,97,6671,3046
555,Pyke,4,14,True,5,13,26,50567,20283,18,39,3142,6691
555,Pyke,14,4,True,25,7,16,112584,35808,18,58,6691,3026
143,Zyra,32,4,True,14,6,33,94978,16056,18,66,6653,4637
432,Bard,7,4,True,1,7,52,51693,12868,18,22,3112,3020
5,XinZhao,32,4,True,20,11,20,82542,16163,18,35,3111,6630
18,Tristana,21,4,True,18,10,20,100899,15940,18,70,3033,3006
25,Morgana,3,4,True,5,10,31,34244,12311,18,21,3020,3116
19,Warwick,4,32,False,11,13,17,83476,15222,18,57,2051,3111
223,TahmKench,4,32,False,5,8,20,37040,12491,18,29,6662,3111
497,Rakan,32,4,False,6,11,18,39123,12683,18,10,4636,3158
92,Riven,4,32,False,18,12,18,122573,18301,18,103,3065,3053
103,Ahri,4,32,False,3,14,23,95308,12176,18,42,6655,3020
110,Varus,4,7,False,7,11,21,56751,11765,16,28,3134,1028
61,Orianna,7,4,False,7,9,30,68247,13333,18,51,6653,3020
83,Yorick,4,32,False,9,12,22,62108,12290,17,42,6632,3047
37,Sona,4,13,False,3,10,36,16751,11021,17,10,6617,3040
166,Akshan,32,4,False,16,10,16,95031,16245,17,69,6672,3006
523,Aphelios,4,1,True,16,8,21,160142,16126,18,118,6676,3006
80,Pantheon,4,32,True,7,9,19,34300,12619,18,19,3111,6692
526,Rell,4,32,True,6,9,25,32705,11450,17,14,2051,3020
517,Sylas,32,4,True,9,10,23,56007,12455,17,31,3157,3158
76,Nidalee,4,32,True,14,6,22,70866,15094,18,38,6655,3020
112,Viktor,6,4,False,12,10,29,105744,15206,18,66,3020,6653
15,Sivir,7,4,False,12,11,30,90870,15008,18,58,6691,3042
29,Twitch,7,4,False,20,12,23,74917,18245,18,54,3033,3031
105,Fizz,4,14,False,12,19,25,56536,13587,18,29,4636,3157
517,Sylas,4,32,False,7,17,31,59119,13632,18,34,4633,3158
234,Viego,4,32,True,38,12,18,132614,21138,18,51,3053,3047
16,Soraka,4,7,True,2,10,58,18876,13488,18,9,6617,3040
54,Malphite,4,32,True,7,13,27,54550,14022,18,36,4636,3020
133,Quinn,32,4,True,19,14,28,108814,17123,18,83,1018,3006
154,Zac,4,32,True,3,14,38,65560,13365,18,41,6662,3111
201,Braum,14,4,True,3,8,31,27279,11467,15,42,0,3143
107,Rengar,11,4,True,12,6,11,261439,15630,18,42,3031,6630
164,Camille,12,14,True,3,7,6,102773,10955,16,190,3047,2031
245,Ekko,4,12,True,8,5,8,154370,13190,16,181,1026,3152
119,Draven,3,4,True,22,7,16,223517,21398,16,174,3036,3026
111,Nautilus,4,14,False,0,12,16,23891,6500,13,25,3047,1029
360,Samira,4,7,False,14,11,8,129017,15959,15,184,6673,3036
18,Tristana,4,12,False,5,8,13,138761,13094,16,170,3072,6672
234,Viego,4,12,False,4,6,13,126936,10996,16,206,1055,3044
30,Karthus,3,11,False,10,12,13,178557,12793,16,62,3089,3157
64,LeeSin,4,11,True,13,1,4,110470,11745,12,24,2421,0
126,Jayce,12,4,True,1,5,5,111040,9173,13,186,6692,3004
50,Swain,4,7,True,5,3,11,74074,8979,12,140,1056,6653
517,Sylas,4,12,True,4,2,2,83848,8269,13,162,1056,3157
412,Thresh,4,3,True,3,1,18,16941,7516,11,34,3855,0
92,Riven,4,12,False,3,4,3,69786,7628,12,147,6692,2055
360,Samira,4,7,False,4,6,2,71579,8484,11,155,1055,6673
131,Diana,4,11,False,2,3,3,159192,8445,13,28,3020,2031
157,Yasuo,4,14,False,2,6,1,113423,7798,12,146,6673,3033
555,Pyke,14,4,False,1,7,3,11064,5821,9,32,2055,2031
58,Renekton,12,4,False,6,7,9,181578,15008,16,220,3026,2055
7,Leblanc,4,14,False,6,12,8,103079,11132,14,136,3157,3135
64,LeeSin,11,4,False,10,10,13,190924,13915,16,27,2055,6630
40,Janna,14,4,False,8,10,19,25227,11092,14,14,3009,6616
523,Aphelios,4,7,False,4,9,11,157378,12831,15,189,2055,6673
63,Brand,14,4,True,4,10,17,131775,11376,16,146,2033,4637
11,MasterYi,11,4,True,21,6,8,180514,17708,17,30,6691,6695
78,Poppy,4,12,True,5,3,12,148391,13248,17,182,2033,8001
497,Rakan,14,4,True,6,7,27,20734,11058,15,15,4643,2065
115,Ziggs,12,4,True,12,8,17,239186,17360,18,232,3020,6653
15,Sivir,4,21,False,9,11,22,76010,12632,17,56,6693,3158
166,Akshan,4,6,False,3,10,15,29059,11364,15,16,3184,6692
51,Caitlyn,32,4,False,5,12,19,66301,11338,17,58,3042,6695
3,Galio,32,4,False,9,16,22,46985,11699,15,22,3111,3152
23,Tryndamere,32,4,False,16,11,15,72679,13761,17,57,3177,6691
516,Ornn,32,4,True,7,8,33,35191,12008,17,15,3083,3047
25,Morgana,4,21,True,11,6,42,56895,13756,18,31,7012,3020
80,Pantheon,4,32,True,8,12,20,42228,11672,17,25,6630,3047
110,Varus,4,21,True,24,6,20,84364,16015,18,64,3134,3158
45,Veigar,7,4,True,10,10,28,50240,12817,17,56,6655,3157
154,Zac,4,11,False,2,5,10,137201,8744,13,23,6662,3075
201,Braum,4,3,False,0,6,6,19351,5620,11,39,3047,3857
523,Aphelios,7,4,False,3,6,2,127277,9812,13,210,6673,3006
58,Renekton,4,12,False,3,9,6,124018,10058,14,168,1055,6630
55,Katarina,14,12,False,6,8,4,104849,11003,13,171,3153,3091
202,Jhin,4,7,True,5,3,8,130810,11930,15,198,3009,6671
38,Kassadin,4,14,True,9,3,12,114592,12631,15,180,4633,3003
887,Gwen,6,12,True,6,2,12,176793,13537,16,207,4633,3165
56,Nocturne,11,3,True,9,3,12,199127,14411,16,64,3078,3091
526,Rell,14,4,True,5,3,15,24166,8690,12,45,2055,3190
115,Ziggs,4,12,True,3,7,5,129989,9742,14,171,6653,2420
497,Rakan,14,4,True,2,5,14,13399,7509,11,14,2055,2065
126,Jayce,4,12,True,3,5,11,141097,12154,14,172,6692,3042
246,Qiyana,4,14,True,10,5,7,112149,11806,14,155,3158,6693
76,Nidalee,4,11,True,15,1,7,124043,12795,14,22,0,3157
112,Viktor,12,4,False,3,5,5,112371,9269,14,183,6655,3157
202,Jhin,7,4,False,4,6,4,123886,10439,12,188,2031,6671
12,Alistar,14,4,False,3,8,12,18206,7681,11,27,2055,3190
234,Viego,4,11,False,9,6,1,125011,10158,13,20,6632,3111
39,Irelia,12,4,False,4,8,2,118863,9510,14,174,6632,2033
103,Ahri,14,4,True,4,2,9,80835,8672,13,146,6656,3020
412,Thresh,4,3,True,1,4,17,16374,6296,10,30,3108,3857
68,Rumble,4,11,True,8,1,9,134717,9563,12,24,3152,2421
523,Aphelios,1,4,True,9,2,6,102406,11398,13,161,1055,2031
107,Rengar,4,12,True,6,3,11,92690,10022,12,135,6630,0
145,Kaisa,4,7,False,3,8,5,77175,8218,11,156,6671,1018
89,Leona,14,4,False,1,4,9,15157,5202,9,32,2055,8001
131,Diana,4,12,False,4,5,1,88744,8215,12,153,3115,4633
154,Zac,4,11,False,4,8,6,79620,7584,10,4,3158,3068
777,Yone,12,4,False,0,3,3,82304,6540,12,143,3006,2031
238,Zed,4,14,True,9,3,4,86687,10244,12,126,3158,6693
526,Rell,14,4,True,1,3,18,15731,6332,10,24,2055,3190
30,Karthus,4,11,True,7,5,11,153239,10335,13,44,6653,3157
18,Tristana,4,7,True,4,0,5,119889,9004,12,163,1055,6672
164,Camille,14,12,True,7,2,4,70917,8728,12,117,2055,3077
58,Renekton,14,4,False,2,7,3,73499,7070,12,124,1055,2031
37,Sona,4,3,False,2,4,6,17117,5733,10,14,3853,0
69,Cassiopeia,4,3,False,3,6,5,54328,6859,12,134,3070,3108
29,Twitch,4,7,False,3,5,2,65853,7581,11,155,6672,2055
59,JarvanIV,11,4,False,3,6,5,76438,6662,10,9,6630,2031
