champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
62,MonkeyKing,4,12,True,0,0,1,66549,7495,13,176,3067,2031
104,Graves,11,4,True,7,1,2,119776,8726,12,28,3009,3142
3,Galio,14,4,True,0,4,6,18782,4482,9,28,3158,3067
523,Aphelios,4,7,True,2,5,4,78726,7504,11,140,6673,2031
268,Azir,12,4,True,4,0,2,83428,8959,13,168,6655,2033
63,Brand,4,14,False,0,5,5,26547,4864,8,14,3853,3802
7,Leblanc,4,12,False,1,2,2,69767,6520,12,143,2033,6655
203,Kindred,4,11,False,7,2,3,124638,9123,12,37,3006,6672
235,Senna,7,4,False,2,2,3,68145,8012,11,151,1055,3142
150,Gnar,4,12,False,0,2,0,94867,7272,12,166,3044,0
518,Neeko,4,12,True,9,8,7,221952,17128,18,253,3020,4628
62,MonkeyKing,4,12,True,6,3,12,204797,17657,18,237,3026,3035
89,Leona,14,4,True,2,9,17,26652,10770,17,48,3067,3857
67,Vayne,7,4,True,11,5,12,314579,18584,18,262,3026,6672
5,XinZhao,11,4,True,12,6,12,237441,16866,18,43,1033,3143
145,Kaisa,1,4,False,13,7,8,305237,19951,18,322,3031,3033
432,Bard,4,3,False,1,8,20,33696,10046,15,25,2055,3190
35,Shaco,14,11,False,11,7,11,227340,15434,17,35,6653,4629
13,Ryze,4,12,False,1,9,9,277177,14305,18,244,3040,6656
234,Viego,4,12,False,5,10,7,214842,15863,17,234,1043,6609
234,Viego,4,11,True,7,2,4,84165,8717,11,11,2422,3053
24,Jax,4,12,True,0,1,5,78036,7100,12,143,2033,0
142,Zoe,14,4,True,4,1,5,75951,8241,12,146,2033,0
115,Ziggs,4,12,True,5,4,6,112966,8274,11,122,6653,3916
235,Senna,3,4,True,3,2,8,21382,7261,9,13,2031,3864
134,Syndra,12,4,False,3,7,4,47960,5695,9,78,1056,3158
203,Kindred,4,11,False,1,4,1,60297,4898,9,11,2031,0
147,Seraphine,4,7,False,2,3,3,23334,5181,8,40,3853,3158
69,Cassiopeia,4,12,False,2,2,0,40047,5779,10,113,6653,2031
164,Camille,12,14,False,1,3,0,32094,4464,10,85,3078,1001
166,Akshan,4,7,True,10,4,5,105947,11666,13,154,3009,1055
85,Kennen,12,4,True,3,3,7,74500,8235,13,146,1026,3152
201,Braum,14,4,True,2,4,14,17843,6394,10,28,1028,0
