champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
50,Swain,4,7,True,4,7,11,86576,9911,14,150,1026,6653
111,Nautilus,4,14,True,2,3,12,26635,7013,12,43,3860,3190
131,Diana,4,11,True,8,3,14,164195,12156,15,32,3102,3152
104,Graves,4,12,True,11,4,2,133520,12931,15,174,3142,2031
875,Sett,4,12,True,5,3,10,116384,10866,15,160,3053,3111
37,Sona,4,7,False,3,5,11,20626,7383,12,19,3853,3158
9,Fiddlesticks,4,11,False,7,5,9,119447,10519,13,31,3157,1082
126,Jayce,4,12,False,3,6,5,106944,8920,13,168,2031,0
516,Ornn,12,4,False,4,7,3,94467,8355,13,128,1054,3181
498,Xayah,3,4,False,3,7,8,100821,9787,12,162,6672,3006
202,Jhin,1,4,False,0,3,1,51424,5257,9,130,6671,2031
234,Viego,11,4,False,1,4,1,79157,5749,10,12,6632,1028
37,Sona,4,7,False,0,5,1,11280,3866,9,9,3851,6617
14,Sion,12,4,False,1,4,0,49583,6185,10,107,6660,2033
84,Akali,4,12,False,2,8,0,39116,5174,10,92,4633,0
104,Graves,11,4,True,5,0,8,110747,8379,12,23,6692,3035
523,Aphelios,4,1,True,1,1,6,81025,8118,11,154,0,0
150,Gnar,4,12,True,4,0,3,98098,7839,13,154,2031,3047
16,Soraka,4,7,True,0,3,13,11253,6199,9,4,3853,3158
127,Lissandra,4,12,True,14,1,4,131110,11797,13,170,1056,3089
202,Jhin,7,4,False,4,5,6,167858,12091,14,220,6671,2055
98,Shen,4,12,False,3,7,10,98805,10389,16,193,3105,0
203,Kindred,11,4,False,13,7,6,207862,14933,15,72,3006,3046
117,Lulu,4,12,False,0,6,8,81346,7695,14,156,2033,0
43,Karma,4,14,False,1,7,13,31823,7332,13,27,2055,2065
50,Swain,7,4,True,11,4,13,149063,14697,15,183,6653,1082
164,Camille,14,12,True,1,6,11,119687,11333,16,187,2421,1031
104,Graves,4,11,True,8,4,12,268972,14428,17,58,6692,3035
61,Orianna,4,12,True,9,1,12,164770,14077,17,232,2033,6653
48,Trundle,14,4,True,3,6,20,21878,8863,13,44,3190,3857
30,Karthus,4,3,True,7,8,14,123598,12119,15,181,1058,6653
114,Fiora,12,4,True,7,7,9,121207,14142,16,189,3053,3074
103,Ahri,4,14,True,7,5,12,158380,13448,17,216,3089,2055
5,XinZhao,4,11,True,17,5,8,270729,17734,18,46,6673,3072
111,Nautilus,4,14,True,1,5,24,29763,8669,14,33,3076,3111
876,Lillia,4,11,False,7,9,12,192307,12482,16,41,6653,3157
777,Yone,4,12,False,4,10,6,137127,12080,15,198,3031,3072
85,Kennen,4,12,False,7,8,6,126277,13782,16,180,3152,3157
236,Lucian,4,7,False,10,6,4,240861,15856,15,268,3139,6671
350,Yuumi,3,14,False,2,6,16,16625,8180,14,0,3853,3222
29,Twitch,1,4,True,18,10,31,104412,19053,18,77,3006,3085
145,Kaisa,7,4,True,14,7,28,88506,17309,18,57,3020,3115
150,Gnar,4,32,True,5,13,31,87504,14967,18,50,6630,3047
45,Veigar,4,1,True,12,11,25,111261,16896,18,92,3157,4629
121,Khazix,32,4,True,20,12,25,109927,17588,18,33,3042,6695
99,Lux,4,32,False,5,13,25,75820,14818,18,42,6655,3020
105,Fizz,4,32,False,9,17,18,60748,14888,18,34,3020,3157
234,Viego,4,32,False,8,17,13,56058,14189,18,23,3143,3111
3,Galio,32,4,False,9,11,23,100063,16737,18,75,6653,3020
360,Samira,4,32,False,22,11,15,188212,22165,18,138,3072,3111
4,TwistedFate,4,32,False,3,10,19,50699,9560,14,15,3094,3020
7,Leblanc,4,32,False,4,10,10,27249,8857,13,21,6655,3040
429,Kalista,4,32,False,7,11,15,44285,10095,14,54,6673,3091
133,Quinn,32,4,False,12,7,11,53394,12353,15,45,3006,6671
150,Gnar,4,32,False,6,9,9,36329,9277,14,24,3053,6632
412,Thresh,7,4,True,3,6,34,13758,9837,16,1,3001,3190
432,Bard,4,3,True,11,4,28,27089,11589,16,3,3107,3040
8,Vladimir,32,4,True,6,7,15,32832,9997,14,20,4636,3157
21,MissFortune,4,7,True,9,9,22,43853,11466,14,48,6671,3006
236,Lucian,4,1,True,18,6,12,69589,13209,16,73,6676,6673
21,MissFortune,4,32,True,10,10,16,52431,13163,16,44,3042,6691
69,Cassiopeia,4,32,True,9,8,11,79401,14155,17,88,6653,3040
64,LeeSin,4,32,True,7,9,18,56378,12618,17,38,3142,3158
103,Ahri,32,4,True,8,7,18,65409,12722,17,42,3089,3020
12,Alistar,4,32,True,4,7,27,19689,12646,18,19,2051,3068
429,Kalista,4,32,False,7,6,16,95628,13445,17,115,6673,3006
105,Fizz,4,32,False,6,9,14,40255,11579,16,31,3100,3040
161,Velkoz,4,21,False,10,12,21,56322,12609,16,16,6655,4628
350,Yuumi,13,7,False,5,4,34,32817,12122,18,5,3040,6655
234,Viego,32,4,False,13,8,21,67786,14065,17,40,6632,3111
203,Kindred,1,4,True,14,5,18,80356,12705,16,82,3184,6672
4,TwistedFate,6,4,True,7,7,18,38861,10254,15,27,6656,1026
51,Caitlyn,4,14,True,15,7,10,34455,12211,15,28,6691,3158
32,Amumu,32,4,True,5,7,22,19418,9574,15,16,1033,0
147,Seraphine,4,3,True,4,3,34,26761,10362,15,22,2421,6617
45,Veigar,4,21,False,2,10,9,33742,8262,14,43,6655,3020
126,Jayce,4,32,False,9,10,9,37121,10411,14,21,6692,3042
50,Swain,32,4,False,7,8,11,41664,10575,14,42,6653,3020
102,Shyvana,4,6,False,5,8,13,30419,9519,14,18,4636,3020
17,Teemo,4,32,False,6,9,11,28106,8706,14,7,6653,3020
432,Bard,4,14,True,1,6,18,26854,7703,13,43,3860,3108
147,Seraphine,4,12,True,4,7,9,114285,9423,14,159,2055,6653
114,Fiora,4,12,True,2,4,3,126932,10082,14,200,6630,3074
51,Caitlyn,4,7,True,9,8,9,141477,13852,14,184,6673,0
203,Kindred,11,4,True,8,6,7,217773,15132,16,88,6672,3033
81,Ezreal,7,4,False,9,4,7,212027,15101,16,225,6694,0
234,Viego,4,11,False,6,4,13,166257,11469,15,31,3047,2031
517,Sylas,4,12,False,11,5,5,123493,12661,15,172,7014,3157
43,Karma,14,4,False,3,8,14,23071,7995,11,20,2065,3853
516,Ornn,12,4,False,1,3,7,86219,8579,14,163,1054,0
12,Alistar,4,14,True,2,5,26,23187,9553,14,38,3860,3190
69,Cassiopeia,4,12,True,18,7,14,195003,18133,18,195,3116,3040
92,Riven,4,12,True,5,6,8,114242,11221,15,135,3074,0
360,Samira,4,3,True,15,5,13,163381,16802,16,222,3047,3026
79,Gragas,11,4,True,9,7,24,142738,12838,16,37,3152,3020
126,Jayce,12,4,False,12,6,7,223225,18817,17,248,3158,6692
121,Khazix,4,11,False,10,9,11,196419,13676,16,24,6695,6609
89,Leona,14,4,False,0,11,13,18617,7110,13,33,3190,3857
429,Kalista,4,7,False,3,9,10,114782,10952,14,177,1055,6673
517,Sylas,14,4,False,5,14,6,148115,11734,15,170,3157,6656
84,Akali,4,14,False,16,11,9,118625,14038,16,136,3074,6631
37,Sona,14,4,False,4,10,14,43197,9588,14,39,3853,1082
48,Trundle,4,11,False,4,12,13,151906,12402,16,56,8001,1028
166,Akshan,4,14,False,8,14,6,186199,14597,16,202,6672,3006
147,Seraphine,4,7,False,3,4,14,111170,10812,15,178,1056,6617
555,Pyke,4,14,True,8,5,10,25116,13233,14,32,3142,3857
154,Zac,4,11,True,6,6,12,154468,12682,16,9,4633,3065
58,Renekton,4,12,True,12,14,6,216571,16311,18,205,3142,3153
39,Irelia,4,14,True,14,7,8,233615,19186,18,226,6630,3053
110,Varus,4,7,True,11,3,14,189500,16138,17,210,6691,3042
238,Zed,14,4,False,4,8,0,73832,6885,12,113,6692,1036
25,Morgana,14,4,False,0,7,1,10146,4042,8,7,3853,2065
115,Ziggs,12,4,False,1,2,3,100347,7276,11,165,1056,6653
48,Trundle,11,4,False,4,4,3,71886,6949,11,18,6632,3047
84,Akali,4,14,False,1,4,1,32063,4881,10,76,1056,6631
412,Thresh,4,14,True,1,1,9,13539,5175,9,24,3190,3857
120,Hecarim,6,11,True,6,0,3,145175,8833,13,28,6632,2031
126,Jayce,4,12,True,5,4,2,93946,9731,13,157,6692,3004
7,Leblanc,4,14,True,6,4,3,50742,8214,12,99,2033,3191
360,Samira,4,7,True,7,1,4,62881,8356,10,141,1055,3111
89,Leona,4,14,False,0,8,8,17229,6208,12,32,2055,3860
110,Varus,4,1,False,3,5,2,118954,10044,13,199,6695,3123
13,Ryze,12,4,False,3,6,8,129444,9929,14,166,2033,6656
104,Graves,11,4,False,8,3,2,199564,12991,15,53,3036,1037
523,Aphelios,21,4,False,1,5,3,182817,11302,16,245,1055,3006
83,Yorick,12,4,True,3,2,3,172354,12265,17,206,3181,3075
147,Seraphine,4,7,True,1,1,17,86965,9547,14,89,3853,2424
37,Sona,4,3,True,2,4,15,34616,9548,13,61,3853,3158
39,Irelia,4,12,True,12,4,2,172134,15828,17,239,8001,6630
5,XinZhao,4,11,True,9,4,7,193482,12938,16,43,6632,3143
245,Ekko,4,12,False,6,9,7,178166,14129,16,186,3152,2420
203,Kindred,11,4,False,10,11,2,187004,14535,16,69,6672,3036
67,Vayne,7,4,False,5,7,5,149499,12271,15,205,3046,1055
43,Karma,4,14,False,1,5,10,37003,8093,13,24,2065,3853
223,TahmKench,4,12,False,2,8,12,64725,8882,14,119,6662,3075
