champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
40,Janna,4,3,False,5,11,48,53957,16365,18,24,6617,3089
35,Shaco,4,6,False,30,19,10,83860,21088,18,40,6691,3046
36,DrMundo,4,32,False,8,20,31,118108,16251,18,73,3009,6662
166,Akshan,32,4,False,18,15,23,219582,21428,18,137,6672,3036
33,Rammus,4,32,False,8,27,29,68040,15351,18,18,3117,3142
236,Lucian,4,32,True,9,17,40,79030,15392,18,37,6653,3020
202,Jhin,4,21,True,20,15,34,86867,19001,18,51,6676,3047
51,Caitlyn,4,13,True,31,13,30,138016,21766,18,59,3094,3153
102,Shyvana,32,4,True,21,12,42,167178,19873,18,92,4636,3047
157,Yasuo,4,32,True,11,12,44,104519,17955,18,75,3075,6630
497,Rakan,14,4,False,0,6,5,13771,5756,11,26,2065,3860
39,Irelia,4,12,False,10,6,1,203325,13805,16,267,2033,3091
875,Sett,12,4,False,4,7,2,131496,10888,15,197,3044,6630
876,Lillia,4,11,False,1,8,2,178897,9266,14,15,1026,3157
22,Ashe,4,7,False,2,4,2,86137,9568,13,175,6673,3091
412,Thresh,4,14,True,3,2,15,16856,8369,13,37,0,3857
523,Aphelios,4,7,True,5,1,10,159339,13821,15,216,6673,2421
131,Diana,11,4,True,11,3,9,193490,13608,16,52,3157,3152
61,Orianna,12,4,True,2,6,13,102564,10520,15,182,0,3040
114,Fiora,4,12,True,10,5,8,153277,14163,17,187,6630,3053
526,Rell,4,14,False,2,8,9,27704,6742,11,38,3860,3190
131,Diana,4,11,False,6,8,5,146126,10661,14,14,0,3157
18,Tristana,4,7,False,2,5,4,108730,8870,13,191,2031,6672
246,Qiyana,4,14,False,5,6,5,112854,11295,15,203,6693,6695
85,Kennen,12,4,False,3,11,5,78616,9065,13,136,3157,3152
498,Xayah,4,7,True,6,2,6,186860,14078,15,230,1055,3508
111,Nautilus,4,3,True,1,3,18,19685,8052,13,30,0,3860
126,Jayce,4,12,True,14,6,3,146867,13990,16,170,2055,3158
105,Fizz,14,4,True,10,5,9,92969,12613,15,170,3157,6655
120,Hecarim,11,6,True,7,3,12,177704,11661,14,20,6632,3082
37,Sona,4,13,False,2,7,23,12119,8063,13,5,6617,3070
141,Kayn,32,4,False,13,11,12,62498,11568,13,50,6630,3158
81,Ezreal,4,1,False,8,6,15,53366,9656,13,37,3177,3042
44,Taric,4,13,False,5,11,23,16993,9067,14,9,3190,3065
777,Yone,4,32,False,3,11,12,45582,9298,13,44,3184,3006
222,Jinx,4,1,True,28,7,12,77515,14550,14,54,3184,6672
350,Yuumi,3,13,True,2,3,38,12066,9146,15,6,3222,6617
3,Galio,6,4,True,3,8,32,25020,9056,14,20,2051,3068
122,Darius,6,4,True,11,6,21,48002,11257,14,48,6630,3111
4,TwistedFate,32,4,True,1,7,35,42858,9083,14,24,2031,3100
203,Kindred,4,21,True,8,10,25,57153,11977,16,50,3184,6672
498,Xayah,4,21,True,18,6,19,103529,15112,17,88,6672,3006
777,Yone,21,4,True,14,9,18,69997,13926,17,48,3184,6673
111,Nautilus,32,4,True,6,11,31,37048,12009,16,21,2051,3068
40,Janna,4,3,True,2,9,33,19795,10475,17,15,3158,6617
497,Rakan,4,3,False,0,8,27,10665,9636,16,2,2051,3158
60,Elise,32,4,False,11,13,18,35980,12797,15,16,3020,4636
110,Varus,4,1,False,13,5,27,88820,14239,18,85,3042,3035
245,Ekko,4,6,False,7,17,18,33413,10907,15,17,6655,3040
6,Urgot,4,32,False,14,6,13,95456,13783,18,86,6694,6692
