champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
23,Tryndamere,4,6,True,7,3,5,139877,11608,14,193,6675,2031
432,Bard,3,4,True,2,1,20,16705,8215,13,14,3190,3853
245,Ekko,11,4,True,12,1,12,151779,12029,15,27,2031,3152
69,Cassiopeia,7,4,True,8,2,7,124091,11914,14,186,3040,6653
126,Jayce,12,4,True,5,4,2,142517,10098,14,153,2033,3004
18,Tristana,7,4,False,6,8,1,104168,9345,12,160,1055,6672
147,Seraphine,12,4,False,0,7,3,63308,5979,11,124,1056,6617
234,Viego,4,11,False,2,11,2,87943,7163,11,18,3047,1057
236,Lucian,12,4,False,3,5,2,114829,9404,13,188,1036,6671
350,Yuumi,3,14,False,0,3,8,12941,5744,11,10,3853,6617
61,Orianna,4,12,True,3,0,6,98900,8916,13,184,2033,6653
81,Ezreal,4,7,True,1,1,4,81462,7729,12,153,3078,3070
201,Braum,3,4,True,1,3,11,17605,5543,10,27,3857,3190
76,Nidalee,4,11,True,7,4,4,95919,8084,12,3,0,3157
126,Jayce,12,4,True,3,4,2,98626,8387,12,163,3042,3158
104,Graves,4,12,False,2,6,1,98367,7285,11,149,6692,3134
85,Kennen,14,4,False,4,0,3,87486,8732,14,188,4632,3152
234,Viego,4,11,False,3,5,6,108293,7451,11,13,2422,3091
235,Senna,3,4,False,0,0,3,10647,4763,6,10,3863,2423
67,Vayne,4,7,False,3,4,1,76076,9132,11,166,6673,3124
64,LeeSin,4,11,True,8,1,7,119745,10375,14,32,6630,2055
81,Ezreal,4,7,True,5,3,5,78724,8914,12,129,3042,2055
13,Ryze,12,4,True,1,6,7,100806,7965,13,158,3020,6656
126,Jayce,4,12,True,9,1,5,135203,12861,14,194,3042,0
37,Sona,3,4,True,4,3,12,11566,7323,10,8,3853,6617
164,Camille,4,11,False,5,6,3,62675,6948,11,22,3047,3044
7,Leblanc,4,12,False,3,6,3,76833,7293,12,153,2033,6655
555,Pyke,14,4,False,1,2,4,10880,5121,8,26,3009,3179
18,Tristana,4,7,False,3,7,3,117643,8699,13,187,3046,0
62,MonkeyKing,12,4,False,2,6,1,68622,7304,12,148,3077,2055
126,Jayce,4,12,False,0,8,4,83990,7156,12,163,3158,1055
203,Kindred,4,11,False,4,3,2,84546,7450,11,32,6672,2031
21,MissFortune,7,4,False,2,11,3,71840,7119,11,147,3042,3134
69,Cassiopeia,4,12,False,5,3,1,101555,10315,13,175,6653,3040
117,Lulu,14,4,False,2,7,6,15297,6094,10,27,3853,2065
56,Nocturne,4,11,True,6,1,8,152771,10972,14,44,6631,3143
51,Caitlyn,4,7,True,12,2,5,126563,11984,13,185,6671,2031
85,Kennen,14,4,True,8,3,7,108306,10128,14,176,2420,3152
432,Bard,4,3,True,3,3,17,14256,7385,12,10,3009,3067
236,Lucian,12,4,True,3,4,4,139018,10508,14,183,1036,6694
114,Fiora,12,14,True,8,3,3,120399,12726,15,162,3047,1037
18,Tristana,4,3,True,5,5,10,187539,13289,15,195,0,3046
432,Bard,4,14,True,1,3,18,18080,8015,13,17,3853,0
48,Trundle,11,4,True,3,5,15,96002,9212,14,14,0,3143
134,Syndra,12,4,True,8,4,7,138546,12278,15,189,2033,3020
20,Nunu,11,4,False,3,3,5,117895,8409,13,19,3068,3143
497,Rakan,4,14,False,0,6,11,22311,7128,11,45,3158,3860
157,Yasuo,4,3,False,6,5,3,146549,11897,13,198,3072,2055
7,Leblanc,4,12,False,2,6,6,84340,8611,14,174,6655,1058
126,Jayce,12,4,False,9,5,4,159600,12714,15,206,3047,3123
876,Lillia,11,4,True,4,6,9,171656,10886,15,39,6653,1082
37,Sona,7,4,True,1,6,22,20305,9002,13,14,3114,6617
523,Aphelios,4,1,True,3,6,16,128269,11652,14,161,1055,3036
236,Lucian,4,14,True,8,3,11,157942,13933,17,220,6694,6671
126,Jayce,12,4,True,16,2,3,202643,17119,17,212,6694,3134
157,Yasuo,4,14,False,8,6,4,180839,14467,15,207,2420,3006
85,Kennen,12,4,False,3,6,5,80990,9412,14,165,3158,3157
234,Viego,11,4,False,8,5,11,182813,12944,15,38,3047,3153
89,Leona,14,4,False,1,10,18,23755,6987,12,25,3860,2055
50,Swain,7,4,False,3,5,11,121531,10815,13,188,3165,6653
54,Malphite,14,4,False,1,5,4,25940,5983,11,24,2031,3853
236,Lucian,12,4,False,4,8,4,96669,10642,13,172,3057,6671
107,Rengar,11,4,False,4,10,3,79009,6958,11,16,3158,3508
523,Aphelios,4,7,False,2,6,4,88525,8147,12,143,1055,6673
142,Zoe,4,14,False,6,7,3,94711,9961,14,149,2033,6655
111,Nautilus,11,4,True,13,2,10,129974,11672,14,33,2031,1011
164,Camille,14,12,True,6,5,5,66012,8399,13,123,2055,3047
517,Sylas,4,12,True,7,6,7,92509,9831,14,132,6656,3157
497,Rakan,4,14,True,5,1,18,23856,8132,13,36,3860,2065
29,Twitch,7,4,True,5,3,8,87260,9669,13,145,3077,3085
142,Zoe,4,14,False,3,4,3,62840,7078,12,142,2033,6656
57,Maokai,4,12,False,2,5,0,60409,5466,11,113,3111,0
22,Ashe,4,7,False,3,7,4,53624,6338,9,107,1055,2031
121,Khazix,11,4,False,6,3,3,80047,7382,11,12,3814,6691
16,Soraka,3,4,False,3,4,5,11959,5417,9,14,3853,6617
68,Rumble,12,4,True,4,2,0,86339,7331,13,136,1056,4633
555,Pyke,14,4,True,4,5,7,12955,6886,9,22,3179,2031
236,Lucian,7,4,True,5,3,4,53707,8109,10,116,6671,3133
64,LeeSin,12,4,True,9,4,4,83808,9617,12,123,3053,0
104,Graves,11,14,True,1,3,3,95335,6175,11,28,6692,1001
238,Zed,4,14,False,15,9,6,142571,14803,15,165,6691,6695
22,Ashe,4,7,False,9,12,12,130674,13538,15,162,3036,6672
412,Thresh,4,3,False,3,8,14,19508,8321,13,36,3857,3107
59,JarvanIV,11,4,False,6,8,17,187434,13293,16,36,1011,6630
85,Kennen,12,4,False,2,10,8,93131,9272,15,151,3157,3152
69,Cassiopeia,12,4,True,4,7,4,117711,11464,17,182,3070,4637
145,Kaisa,7,4,True,4,9,10,99443,12193,14,176,6671,2424
875,Sett,4,12,True,13,5,13,205502,17666,18,218,3748,3091
223,TahmKench,14,4,True,18,5,20,101509,16047,16,54,6662,3083
76,Nidalee,11,4,True,8,9,11,161494,12719,16,28,4636,3157
62,MonkeyKing,4,14,True,8,6,8,123285,12903,15,175,3053,6632
234,Viego,4,11,True,15,5,11,179560,14376,15,32,0,1033
58,Renekton,12,4,True,6,4,12,137010,11663,16,180,3053,3076
497,Rakan,4,14,True,2,4,22,19354,8725,13,34,3158,3860
50,Swain,4,3,True,10,5,15,124956,12421,14,173,3157,3165
131,Diana,11,4,False,6,6,4,180582,10644,14,41,3115,3020
202,Jhin,7,4,False,4,6,12,111002,10216,14,173,3086,6692
517,Sylas,12,4,False,4,10,9,109562,10853,15,167,6656,3157
89,Leona,14,4,False,3,9,5,21676,7167,11,37,3857,3190
92,Riven,14,12,False,7,10,6,102666,10868,15,168,1038,6630
126,Jayce,12,4,False,10,4,5,203060,15798,17,227,3047,3140
234,Viego,4,12,False,4,7,3,160355,13927,16,261,3091,2420
76,Nidalee,4,11,False,5,5,8,208583,12083,16,21,3020,3157
89,Leona,14,4,False,0,7,9,19971,7473,13,48,3857,3190
110,Varus,4,1,False,4,3,3,174389,12905,16,274,6693,6695
131,Diana,14,4,True,3,5,5,189582,13830,17,237,3020,3115
22,Ashe,1,4,True,5,2,14,201743,16029,18,285,6673,3026
104,Graves,4,11,True,7,3,12,225220,14487,17,41,3814,3036
236,Lucian,12,4,True,7,7,6,157056,14015,17,195,3508,6671
875,Sett,4,14,True,4,6,13,37524,9574,14,47,3857,3190
412,Thresh,4,14,False,0,9,9,23893,8125,13,29,3190,3222
7,Leblanc,4,14,False,11,4,4,150194,15434,18,232,3020,3135
126,Jayce,12,4,False,2,15,3,177242,11074,15,218,3134,3047
523,Aphelios,4,1,False,3,3,4,230768,15101,17,264,3026,3006
64,LeeSin,11,4,False,9,8,6,209374,14290,16,43,6630,2055
236,Lucian,12,4,True,14,4,7,220025,16915,18,245,3156,6671
163,Taliyah,4,11,True,7,9,9,218838,13680,16,41,1082,3020
246,Qiyana,14,4,True,10,4,7,186617,14559,17,203,6693,6695
202,Jhin,4,7,True,6,5,12,207688,15055,16,293,3094,6671
89,Leona,4,14,True,2,3,16,24929,9287,14,41,3190,0
12,Alistar,4,14,True,2,2,13,14425,5978,9,21,2065,0
126,Jayce,12,4,True,11,3,3,69488,8519,11,101,3158,1036
76,Nidalee,11,4,True,3,0,5,78035,6149,10,21,2031,3145
18,Tristana,4,7,True,6,2,2,62377,7744,10,113,3086,2031
4,TwistedFate,4,14,True,6,1,6,60978,7525,10,102,2033,6656
236,Lucian,4,12,False,2,3,1,48194,5277,10,114,1001,1083
523,Aphelios,4,3,False,1,11,2,18082,3680,7,54,1055,2031
133,Quinn,14,4,False,1,9,1,32416,4448,9,77,3006,1018
48,Trundle,4,14,False,1,3,4,13377,3713,7,22,3855,3190
28,Evelynn,4,11,False,3,2,1,49165,6559,9,15,2031,3152
523,Aphelios,7,4,False,8,8,11,212554,14322,16,244,1037,3006
84,Akali,12,14,False,10,8,4,89668,12694,15,152,3157,0
412,Thresh,14,4,False,3,10,9,20256,7941,13,38,2065,3857
268,Azir,4,12,False,5,10,6,145661,11376,16,190,3020,3115
64,LeeSin,4,11,False,4,11,11,116178,9430,14,15,3047,3053
147,Seraphine,4,12,True,6,7,21,130226,13598,16,194,6653,1058
110,Varus,4,7,True,15,8,11,150635,14598,15,152,3179,3042
236,Lucian,12,4,True,13,7,4,187200,15946,17,241,3508,6671
234,Viego,11,4,True,9,5,12,136734,12847,15,43,0,2421
48,Trundle,4,3,True,4,3,32,30443,10405,16,42,3857,4005
79,Gragas,14,4,False,2,8,11,30568,7421,12,23,2055,3190
39,Irelia,4,12,False,5,11,5,117395,10910,13,187,3123,2033
5,XinZhao,11,4,False,9,7,9,125476,12062,13,6,1031,2421
518,Neeko,4,7,False,1,9,7,100449,8843,13,165,3020,3115
62,MonkeyKing,4,12,False,10,5,9,107927,14163,15,169,3211,3053
517,Sylas,12,4,True,12,5,9,172013,13950,16,195,3041,6656
64,LeeSin,4,11,True,8,4,20,133871,12368,15,10,3123,1031
526,Rell,14,4,True,1,6,24,25651,7786,13,31,3742,3860
523,Aphelios,4,7,True,15,4,7,180520,15754,14,201,6676,2420
126,Jayce,12,4,True,4,9,10,139455,11347,15,173,6692,6694
126,Jayce,12,4,False,0,4,0,45302,5129,10,113,6692,0
234,Viego,4,11,False,6,8,1,75342,7250,10,15,6632,1042
145,Kaisa,4,7,False,2,6,4,64660,7081,10,136,6672,2031
48,Trundle,4,14,False,5,5,7,25113,7428,10,31,3855,3190
134,Syndra,4,12,False,0,6,2,74981,5925,11,136,6655,2055
64,LeeSin,11,4,True,10,2,7,118876,9855,12,19,3047,2031
523,Aphelios,4,7,True,4,5,10,76622,8977,11,135,6676,0
223,TahmKench,12,4,True,5,1,3,55240,7579,13,149,3047,8001
875,Sett,4,14,True,5,2,8,34978,6835,10,39,3857,6630
7,Leblanc,4,12,True,5,3,6,54339,7671,12,111,1052,6655
81,Ezreal,7,4,False,4,6,4,122957,10275,12,201,3042,3078
150,Gnar,4,12,False,1,16,1,80949,6819,12,120,6631,2031
26,Zilean,14,4,False,3,5,6,43612,7099,11,24,3067,3853
64,LeeSin,4,11,False,2,5,5,126270,7978,13,36,6630,2031
13,Ryze,4,12,False,4,6,5,130906,10919,14,202,2055,1082
58,Renekton,12,4,True,8,0,10,158783,12672,16,207,2055,6693
141,Kayn,4,11,True,14,1,10,209184,14110,16,57,6693,3814
517,Sylas,12,4,True,10,6,7,127464,12783,15,169,6656,3157
412,Thresh,14,4,True,0,4,16,16511,6783,12,25,2065,3857
523,Aphelios,4,7,True,6,3,10,104601,11307,14,176,0,1018
236,Lucian,12,4,True,13,8,7,327113,20691,18,308,6671,6676
5,XinZhao,11,4,True,11,8,9,168740,14593,17,30,3143,6630
26,Zilean,14,4,True,4,2,23,49952,10529,16,58,4629,3853
4,TwistedFate,4,12,True,4,1,18,192044,15043,18,238,3089,3100
22,Ashe,7,4,True,4,6,21,148481,13434,16,195,3006,1029
96,KogMaw,4,7,False,3,7,8,173938,12898,16,234,3140,6673
117,Lulu,4,12,False,0,7,10,84349,9302,15,163,2065,3504
126,Jayce,12,4,False,8,8,8,208083,15606,17,226,3814,6692
203,Kindred,4,11,False,10,5,6,354965,18349,18,122,3046,3139
412,Thresh,14,4,False,3,9,9,21766,10234,13,46,3190,3857
164,Camille,12,14,False,1,3,2,47990,7079,11,128,1055,0
68,Rumble,4,14,False,2,3,3,80434,7139,12,137,0,0
111,Nautilus,4,14,False,0,6,3,10448,4389,8,22,3047,3067
64,LeeSin,4,11,False,5,2,3,141043,9990,13,50,2055,2420
22,Ashe,4,7,False,2,6,2,61883,6932,11,133,3006,2031
142,Zoe,12,4,True,2,2,5,90431,7850,13,180,2033,6656
412,Thresh,4,14,True,5,1,9,21550,7242,10,31,3801,3190
58,Renekton,12,4,True,2,2,4,87366,8376,13,149,2055,1011
523,Aphelios,4,7,True,6,3,4,123312,10960,12,183,3006,6673
104,Graves,11,4,True,5,2,6,122275,8701,12,21,6671,3036
