champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
202,Jhin,4,1,False,6,9,9,267541,15469,16,255,3094,6671
54,Malphite,14,4,False,10,9,4,128689,13221,16,162,3165,2420
267,Nami,14,4,False,2,9,15,19922,8659,14,4,3853,3011
234,Viego,4,11,False,8,7,8,201428,14912,17,41,3111,1036
75,Nasus,4,12,False,2,6,5,177400,11961,17,252,1056,1026
147,Seraphine,4,7,True,14,6,16,203091,17246,17,217,3135,6655
37,Sona,3,4,True,2,9,22,41163,9897,15,17,3853,6655
223,TahmKench,4,12,True,6,3,11,171670,14268,18,241,3748,3047
59,JarvanIV,11,4,True,10,4,16,186297,14658,17,28,3047,6630
99,Lux,4,12,True,8,6,12,185237,15279,17,234,3089,4630
34,Anivia,4,14,False,10,15,3,190866,14982,17,206,0,6653
131,Diana,11,4,False,8,9,9,267243,14546,18,81,3152,3157
111,Nautilus,3,4,False,2,9,10,27627,8487,15,24,3190,3860
202,Jhin,4,7,False,9,5,9,214273,16059,16,248,3094,6671
114,Fiora,12,4,False,6,7,6,184943,14647,18,269,6630,3075
39,Irelia,14,4,True,1,12,5,185265,13443,17,255,3133,3153
7,Leblanc,4,14,True,15,7,12,135722,16782,18,159,3089,2033
141,Kayn,4,11,True,12,4,20,333173,20563,18,122,6630,3075
235,Senna,3,4,True,6,3,23,66431,13662,17,34,3864,2420
115,Ziggs,4,7,True,11,9,15,195972,15519,18,186,4630,3157
26,Zilean,14,4,True,10,7,32,49031,13160,18,47,3040,3112
7,Leblanc,4,32,True,19,10,16,46948,13583,17,18,6655,3020
202,Jhin,4,7,True,9,5,34,94277,13824,18,63,3184,6671
14,Sion,32,4,True,6,11,27,51125,12057,18,26,6662,3047
45,Veigar,32,4,True,13,11,15,66965,13837,18,46,3089,3020
51,Caitlyn,4,3,False,11,11,18,96973,13775,17,76,6672,3006
254,Vi,4,32,False,11,10,12,40035,12654,16,25,6632,3111
67,Vayne,4,3,False,5,12,16,47400,11494,17,39,6672,3046
58,Renekton,32,4,False,9,9,21,51159,12479,17,37,3065,2051
27,Singed,6,32,False,8,15,14,32916,10983,15,20,4633,3009
84,Akali,14,4,False,6,10,12,29551,10890,16,12,4636,3157
96,KogMaw,4,6,False,10,10,20,67739,13948,17,63,6673,3091
102,Shyvana,32,4,False,13,8,12,76890,13832,17,55,3153,3111
103,Ahri,4,14,False,9,11,14,48713,12579,17,30,6655,3112
62,MonkeyKing,32,4,False,2,12,14,38552,10709,16,39,6632,2031
127,Lissandra,4,32,True,9,10,35,68248,13394,17,64,3157,6656
11,MasterYi,32,4,True,13,9,18,39025,13570,17,33,6691,3006
3,Galio,32,4,True,13,7,29,60811,13547,18,34,3152,1052
81,Ezreal,7,4,True,14,7,23,90987,14962,18,64,6632,3042
235,Senna,7,4,True,2,8,42,30319,12581,17,23,6672,3006
202,Jhin,4,6,True,9,5,9,97682,9533,12,131,1055,6672
350,Yuumi,7,14,True,3,1,15,8453,6859,12,4,3853,2065
223,TahmKench,12,3,True,2,2,8,37427,6777,12,90,3076,2033
1,Annie,14,4,True,2,3,6,39447,6201,11,92,1056,6655
107,Rengar,11,4,True,14,5,5,160155,12830,14,40,6630,3508
234,Viego,4,11,False,1,8,3,77707,5908,10,4,6632,3047
526,Rell,4,14,False,2,7,10,17120,6070,10,24,3859,3158
360,Samira,7,4,False,6,7,5,73931,8633,11,129,3006,6673
4,TwistedFate,4,12,False,4,4,5,61686,8248,11,106,3111,1082
23,Tryndamere,4,6,False,3,4,0,97125,8328,12,140,1055,3006
166,Akshan,14,4,False,0,2,0,34662,3958,9,78,6670,1055
79,Gragas,4,11,False,0,3,0,65266,4240,8,5,1026,1001
22,Ashe,7,4,False,1,7,2,31436,4308,8,75,1001,6673
98,Shen,12,4,False,1,2,3,32798,4444,11,80,1054,6660
99,Lux,3,4,False,2,5,1,13989,4694,8,14,3851,3802
202,Jhin,4,1,True,9,1,3,72519,8381,10,132,6695,6671
37,Sona,4,7,True,1,1,9,8418,5331,8,3,3853,6617
55,Katarina,14,12,True,5,1,3,42963,6167,10,93,1054,2031
777,Yone,12,4,True,3,1,0,57152,6126,11,98,6670,3123
131,Diana,11,4,True,1,0,6,71437,5458,10,11,3145,2031
21,MissFortune,4,7,True,6,12,20,75701,10701,15,91,6676,6672
526,Rell,14,4,True,3,14,29,26023,10066,14,21,3860,3190
33,Rammus,11,6,True,16,7,20,119002,16333,16,10,6664,8001
23,Tryndamere,12,6,True,3,6,15,188793,14712,17,202,3071,3181
360,Samira,14,4,True,21,5,10,201183,18867,17,184,3036,6671
90,Malzahar,12,4,False,3,9,9,174361,11600,16,208,3157,6653
107,Rengar,11,4,False,11,12,8,152442,13178,14,35,3508,3035
516,Ornn,4,12,False,3,10,9,112670,9358,15,167,3082,3075
104,Graves,4,3,False,23,11,14,202839,18549,15,165,6692,6035
350,Yuumi,7,14,False,4,7,35,16268,10368,15,3,3853,3109
202,Jhin,4,6,False,7,12,6,84152,12730,15,85,3009,6671
202,Jhin,7,4,False,0,10,8,64004,8555,15,85,1055,3094
202,Jhin,4,14,False,10,13,8,62222,13693,15,36,3006,6671
202,Jhin,6,4,False,9,10,6,47564,13243,15,33,3047,6671
202,Jhin,6,4,False,2,7,10,33530,9722,14,38,3134,6671
104,Graves,4,14,True,10,6,8,121285,15737,18,71,6692,3508
104,Graves,4,3,True,2,6,5,47165,8957,15,48,2031,6671
104,Graves,4,14,True,11,4,9,99522,15319,17,72,6692,3047
104,Graves,4,11,True,19,4,13,153024,19413,18,52,3143,6676
104,Graves,4,14,True,10,8,10,90682,14891,17,80,3143,6676
429,Kalista,4,6,False,1,6,6,71462,9503,15,117,3085,3006
429,Kalista,4,7,False,2,8,8,56837,9806,14,66,3006,6673
429,Kalista,4,7,False,7,7,3,44898,10408,14,54,3047,3046
429,Kalista,4,7,False,8,7,2,97415,13498,15,96,6673,3006
429,Kalista,14,4,False,7,8,9,59018,12328,15,50,3082,6671
119,Draven,4,6,True,2,3,2,85473,10969,14,48,1055,1083
119,Draven,4,12,True,11,5,6,114889,16454,17,97,6692,2055
119,Draven,7,4,True,5,3,4,84082,12342,16,102,0,0
119,Draven,4,14,True,7,9,6,83952,12116,14,66,3006,6671
119,Draven,14,4,True,11,6,6,100509,15646,17,65,6676,3035
