champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
429,Kalista,32,4,True,15,8,15,55932,13573,17,44,6691,3158
61,Orianna,7,4,True,5,7,23,75429,12943,18,70,6655,3020
96,KogMaw,6,4,True,12,8,20,90353,14709,17,67,6673,3085
78,Poppy,32,4,True,6,4,24,26670,12435,18,17,6662,3047
235,Senna,4,21,True,4,5,30,39241,12592,17,8,3094,3042
412,Thresh,14,4,False,2,8,22,35558,11459,16,33,3068,3083
166,Akshan,7,4,False,5,9,13,60686,11917,16,51,6672,6676
16,Soraka,3,4,False,0,8,26,12035,10455,16,9,6617,3158
145,Kaisa,32,4,False,20,8,6,102601,16209,17,102,3091,6671
518,Neeko,4,32,False,4,9,16,64756,11286,16,31,3158,3157
555,Pyke,14,4,True,4,7,10,42426,12179,15,111,3156,6691
117,Lulu,7,4,True,1,4,19,15736,9562,14,23,2065,3853
115,Ziggs,4,12,True,5,4,17,260990,15487,17,238,3089,0
234,Viego,11,4,True,9,5,17,167176,15267,17,25,6632,0
39,Irelia,4,12,True,14,5,10,323464,20673,18,294,6632,3053
101,Xerath,4,12,False,6,5,7,214442,13582,15,241,3135,6655
4,TwistedFate,4,12,False,5,4,8,251159,17112,18,295,3157,6656
16,Soraka,4,7,False,2,9,12,13569,8538,12,8,3853,3157
64,LeeSin,11,4,False,10,4,7,224681,14163,16,45,6630,2420
164,Camille,12,14,False,2,11,5,139935,13025,16,222,3047,3078
61,Orianna,1,4,False,5,12,24,57741,12920,17,36,3070,6655
41,Gangplank,4,6,False,10,8,21,135915,15083,18,93,3508,3031
202,Jhin,4,6,False,16,9,19,99317,15545,18,76,3042,3094
14,Sion,32,4,False,3,11,22,50677,12467,18,26,3001,3083
412,Thresh,14,4,False,6,9,26,31522,12640,18,13,3067,3001
876,Lillia,4,32,True,12,7,25,88321,14878,18,73,6653,3157
91,Talon,4,32,True,13,12,24,82621,14894,18,58,6695,3042
103,Ahri,32,4,True,6,5,18,68002,13238,18,64,6656,3157
136,AurelionSol,6,4,True,15,12,17,93663,15965,18,66,6653,3020
37,Sona,4,13,True,3,4,37,18213,12597,18,4,3112,2065
22,Ashe,4,3,True,11,8,24,52136,12450,16,28,3042,4005
4,TwistedFate,4,6,True,7,8,25,58423,12509,18,28,3112,3094
202,Jhin,4,7,True,9,4,24,62898,12764,18,53,6676,6671
126,Jayce,21,4,True,24,8,15,70412,16204,17,59,6694,3042
201,Braum,32,4,True,3,5,35,16040,11327,17,4,3083,3190
54,Malphite,4,32,False,5,12,16,39070,11241,17,26,6662,2031
234,Viego,4,32,False,9,10,11,42996,12739,17,33,3053,1029
133,Quinn,32,4,False,2,11,17,48470,11127,16,53,6673,3091
112,Viktor,6,4,False,8,13,14,75326,12844,17,38,6655,3020
222,Jinx,4,3,False,9,8,13,60423,13098,16,45,3042,6676
76,Nidalee,21,4,False,5,5,13,53425,10891,15,39,6655,3020
10,Kayle,32,4,False,8,7,14,73859,12189,15,73,3111,4633
48,Trundle,32,4,False,2,9,15,17445,9519,15,5,4005,3111
107,Rengar,6,4,False,4,11,7,35378,9656,14,28,6630,2031
7,Leblanc,32,4,False,7,12,10,40944,10644,14,29,3112,2421
51,Caitlyn,4,1,True,15,6,18,82591,13126,16,69,6672,3006
31,Chogath,4,32,True,9,6,19,40859,11403,16,39,2051,6662
21,MissFortune,32,4,True,3,4,27,69282,11047,15,58,6653,3158
1,Annie,32,4,True,12,7,22,44452,11815,16,21,6655,3158
267,Nami,4,13,True,5,3,38,12653,11042,16,9,3112,2065
45,Veigar,6,4,False,3,10,14,36882,10760,15,29,3040,6655
29,Twitch,7,4,False,12,7,16,81798,13102,17,66,3091,3134
90,Malzahar,21,4,False,3,9,20,40540,10657,16,38,2031,6653
