champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
526,Rell,14,4,True,2,10,15,21854,9492,15,49,1057,3190
8,Vladimir,14,4,True,12,2,10,243590,16732,18,244,3089,4629
360,Samira,4,3,True,8,3,9,166598,15481,17,246,3111,6673
39,Irelia,12,4,True,5,7,12,262194,17350,18,300,6632,3053
121,Khazix,11,4,True,2,3,7,227856,13172,18,47,6630,3142
234,Viego,11,4,False,4,6,10,213011,13751,16,72,2421,1038
50,Swain,3,4,False,6,7,7,162420,12511,15,210,3165,6653
69,Cassiopeia,4,12,False,5,7,7,165735,13374,16,252,6653,4629
41,Gangplank,4,12,False,7,4,9,255178,15478,18,249,1018,3033
875,Sett,4,14,False,3,5,10,30624,8311,13,51,2055,3857
115,Ziggs,4,12,True,3,1,9,138920,10638,14,185,1056,3020
432,Bard,4,3,True,2,3,13,14825,7645,13,26,3853,8001
24,Jax,4,12,True,2,1,7,66891,8424,14,121,6632,3047
245,Ekko,11,4,True,7,2,4,176293,11395,15,34,3152,3100
126,Jayce,12,4,True,9,2,7,130321,11483,15,174,6692,6695
13,Ryze,4,12,False,1,5,2,115612,7855,12,175,3070,3158
64,LeeSin,4,11,False,3,7,1,93611,7331,12,14,3111,0
23,Tryndamere,6,4,False,3,4,0,99546,8419,13,163,1054,6672
117,Lulu,4,14,False,1,3,3,11977,5481,9,16,3853,2065
18,Tristana,12,4,False,1,4,1,88725,7415,12,175,6672,2031
240,Kled,4,12,False,3,4,3,108273,9386,13,175,6630,1055
43,Karma,12,4,False,2,5,4,103794,8320,13,170,1056,2065
111,Nautilus,4,3,False,2,6,5,18817,5223,9,26,3860,3190
498,Xayah,4,1,False,0,3,6,96568,7925,12,168,1055,6671
120,Hecarim,14,11,False,2,7,3,98038,7457,11,12,3158,2031
64,LeeSin,11,4,True,5,2,10,115219,10176,13,19,6630,2031
39,Irelia,12,4,True,10,2,5,168421,13191,15,217,3153,6632
89,Leona,4,14,True,1,2,17,22992,7101,10,28,3190,2055
4,TwistedFate,12,4,True,3,2,6,165167,12361,15,215,2033,6656
18,Tristana,4,7,True,6,1,10,112263,10201,12,132,1055,3046
429,Kalista,4,7,True,9,4,6,140984,13250,14,214,6673,3091
64,LeeSin,11,4,True,4,3,8,187763,11294,15,46,6630,2055
164,Camille,12,4,True,10,3,4,163108,14214,16,204,3074,3181
4,TwistedFate,12,4,True,6,2,13,201715,15378,18,250,1058,3157
12,Alistar,14,4,True,0,3,20,19805,8228,14,24,2055,3190
81,Ezreal,7,4,False,4,5,3,138401,11065,13,222,3042,6632
516,Ornn,4,12,False,2,8,7,122449,10227,15,207,3083,0
104,Graves,4,11,False,2,4,4,219173,10921,15,65,7008,1018
7,Leblanc,4,12,False,7,5,2,124848,11492,15,201,2033,3020
16,Soraka,4,21,False,0,7,11,17151,6348,12,12,1052,3853
164,Camille,12,14,True,6,2,10,63144,8512,13,118,3077,2031
110,Varus,4,7,True,4,0,4,91482,8783,12,168,1055,6691
12,Alistar,14,4,True,2,3,14,10595,5975,10,28,2055,3190
39,Irelia,12,4,True,8,4,4,101432,9768,13,191,3153,3044
76,Nidalee,11,4,True,10,0,10,126096,10735,13,27,0,4636
555,Pyke,14,4,False,3,5,5,8880,6465,9,20,3864,3134
203,Kindred,4,11,False,1,6,4,88965,6043,10,9,6672,2031
114,Fiora,12,4,False,0,8,2,54968,5644,11,132,6630,2031
69,Cassiopeia,4,12,False,4,6,2,72794,7248,11,128,1082,6653
81,Ezreal,4,7,False,1,6,0,51230,5880,11,125,6632,0
85,Kennen,4,12,False,10,5,5,147617,14321,16,228,0,3157
115,Ziggs,4,12,False,3,5,10,195419,12308,16,244,3040,6653
89,Leona,4,14,False,1,9,10,16969,7229,12,33,3111,3076
107,Rengar,11,4,False,4,9,8,155716,10974,14,21,6630,2031
39,Irelia,12,4,False,4,10,6,151782,12697,15,242,3026,3053
64,LeeSin,4,11,True,12,5,17,137814,14386,16,23,3111,3053
517,Sylas,4,12,True,5,5,8,132458,11862,17,194,3157,6656
67,Vayne,1,4,True,8,1,6,184680,15770,17,247,0,3124
111,Nautilus,14,4,True,2,6,19,32400,8959,14,48,3860,3050
13,Ryze,12,4,True,11,5,17,206036,16438,17,211,3041,3040
238,Zed,4,14,False,4,3,1,105120,8995,14,195,6693,3158
157,Yasuo,4,3,False,3,7,1,91013,8805,12,185,6673,1018
3,Galio,4,14,False,1,4,6,29195,5499,11,40,3860,3158
131,Diana,4,11,False,1,5,7,144668,8111,13,20,2421,3108
13,Ryze,4,12,False,3,3,4,135912,9694,14,197,1082,3070
61,Orianna,4,12,True,2,4,8,105605,9429,14,192,2033,3157
121,Khazix,4,11,True,3,2,9,139602,9682,14,10,6630,3814
126,Jayce,12,4,True,8,4,4,148464,12736,15,218,6692,3042
81,Ezreal,4,3,True,4,1,13,109859,10946,14,183,1055,2421
497,Rakan,4,14,True,5,1,15,27560,8772,13,42,3860,3111
517,Sylas,4,12,False,8,6,5,109997,11957,15,158,3157,1052
43,Karma,4,14,False,3,7,11,33396,6960,12,18,2055,3853
64,LeeSin,4,11,False,7,3,7,128676,10198,13,18,2421,2055
516,Ornn,4,12,False,2,5,10,88556,8513,14,157,1054,3158
81,Ezreal,4,7,False,5,7,6,95497,9280,12,145,1055,3042
39,Irelia,12,4,True,9,4,4,172723,13968,16,234,1037,6632
85,Kennen,12,4,True,3,7,4,103911,10281,14,191,3157,3152
245,Ekko,4,11,True,6,6,8,135370,10567,14,32,3152,2421
111,Nautilus,14,4,True,1,4,15,21639,7580,12,32,2055,3190
119,Draven,4,7,True,9,4,7,182396,15029,14,199,6691,3036
57,Maokai,12,4,True,1,4,11,70005,7339,12,119,3076,3047
141,Kayn,11,4,True,10,1,5,191082,12093,15,30,3158,6695
103,Ahri,4,12,True,6,2,6,86377,9032,13,162,4628,1056
