champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
126,Jayce,4,12,True,1,11,10,290558,14088,18,295,2055,3042
523,Aphelios,4,7,True,15,4,8,343408,21413,17,339,3006,6673
4,TwistedFate,12,4,True,1,5,14,139354,11868,16,207,6656,2033
412,Thresh,14,4,True,1,3,25,25924,9738,15,33,3857,2065
64,LeeSin,4,11,True,12,4,9,223338,14969,17,38,0,3158
115,Ziggs,4,12,False,7,9,8,307371,17087,17,274,3089,3020
517,Sylas,4,12,False,5,5,8,236498,15262,18,257,3157,6656
120,Hecarim,6,11,False,6,6,8,241206,14940,17,23,3078,3026
58,Renekton,4,12,False,6,2,9,217881,16618,18,268,6630,3143
48,Trundle,4,14,False,3,8,12,23069,9223,14,35,8001,3111
412,Thresh,14,4,False,0,9,8,15478,6507,12,35,2065,3857
4,TwistedFate,12,4,False,3,8,4,174111,12028,15,224,1026,6656
498,Xayah,4,7,False,4,7,6,119851,10977,15,194,3031,3046
164,Camille,12,14,False,3,9,8,121907,11063,16,185,3077,3181
104,Graves,4,11,False,13,9,6,233442,17648,17,71,6676,3142
81,Ezreal,4,7,True,10,5,12,209265,16259,17,228,3078,3042
24,Jax,4,12,True,6,3,6,184201,14278,18,216,3143,3047
43,Karma,4,14,True,1,6,26,27533,9404,15,23,3222,2065
141,Kayn,4,11,True,13,5,4,226011,14545,17,51,3142,6693
134,Syndra,12,4,True,11,4,12,230361,16830,18,271,3089,3020
64,LeeSin,11,4,False,13,9,7,96047,11576,14,14,6630,0
32,Amumu,4,3,False,0,11,18,13889,6307,11,31,3047,3082
498,Xayah,4,7,False,5,8,8,85653,9565,13,154,6671,3508
164,Camille,4,12,False,5,8,10,106220,10098,14,160,3078,3074
1,Annie,4,12,False,8,5,9,62311,10608,13,129,4636,4630
81,Ezreal,4,7,True,4,5,10,111812,10497,14,153,1055,3158
80,Pantheon,14,4,True,2,9,10,20631,7223,11,34,3857,2031
157,Yasuo,4,1,True,13,6,14,165598,14645,15,168,3140,3031
92,Riven,12,4,True,10,8,5,119805,12634,15,144,3142,6630
131,Diana,4,11,True,12,3,20,210399,14569,16,25,3152,3157
202,Jhin,1,4,False,0,3,1,51424,5257,9,130,6671,2031
234,Viego,11,4,False,1,4,1,79157,5749,10,12,6632,1028
37,Sona,4,7,False,0,5,1,11280,3866,9,9,3851,6617
14,Sion,12,4,False,1,4,0,49583,6185,10,107,6660,2033
84,Akali,4,12,False,2,8,0,39116,5174,10,92,4633,0
104,Graves,11,4,True,5,0,8,110747,8379,12,23,6692,3035
523,Aphelios,4,1,True,1,1,6,81025,8118,11,154,0,0
150,Gnar,4,12,True,4,0,3,98098,7839,13,154,2031,3047
16,Soraka,4,7,True,0,3,13,11253,6199,9,4,3853,3158
127,Lissandra,4,12,True,14,1,4,131110,11797,13,170,1056,3089
61,Orianna,4,12,False,7,6,5,115114,12137,15,187,6653,2420
875,Sett,4,14,False,1,11,13,43115,8006,13,59,3742,2055
50,Swain,4,3,False,8,12,5,112928,11243,14,164,3157,3116
39,Irelia,4,12,False,5,8,4,165038,13151,16,227,1038,2420
203,Kindred,4,11,False,4,9,4,140564,10520,14,45,3111,2031
58,Renekton,4,12,True,6,4,13,174710,14784,17,231,6630,3047
22,Ashe,7,4,True,15,9,15,146481,15477,17,160,6673,3091
48,Trundle,14,4,True,5,1,27,25082,10711,15,40,3190,3857
131,Diana,4,11,True,15,7,12,263828,16555,17,39,3152,3157
517,Sylas,4,12,True,5,4,14,119285,11661,17,181,3089,3157
9,Fiddlesticks,4,11,True,5,0,14,95470,8214,11,13,3157,2031
62,MonkeyKing,4,12,True,1,2,4,32506,5403,10,101,1055,1001
236,Lucian,4,7,True,11,2,5,112991,11776,12,153,6671,2031
111,Nautilus,14,4,True,0,2,15,12991,5280,8,24,3190,2031
61,Orianna,4,12,True,4,1,11,74442,7653,12,129,1056,6653
15,Sivir,1,4,False,0,5,3,63822,6697,10,121,6673,1055
