champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
523,Aphelios,7,4,False,2,8,8,64816,7316,11,133,6673,1018
5,XinZhao,11,4,False,4,9,3,69598,7251,10,29,6630,3111
111,Nautilus,14,4,False,2,7,9,20954,5250,8,27,3859,2031
10,Kayle,4,12,False,0,3,4,57293,6277,11,134,1054,3006
3,Galio,12,4,False,6,5,6,76604,8333,11,116,3020,3152
875,Sett,14,4,True,2,2,18,24844,6789,10,25,2055,3857
145,Kaisa,7,4,True,11,2,6,112733,12109,12,165,6671,1055
887,Gwen,12,14,True,9,2,10,82435,9986,13,130,1056,2421
64,LeeSin,11,4,True,4,6,13,92347,8753,12,10,0,6630
69,Cassiopeia,4,12,True,6,2,6,77381,8528,12,133,6653,2031
267,Nami,4,14,True,2,4,10,10341,5971,9,17,0,0
58,Renekton,4,12,True,8,1,2,104228,10652,14,160,1054,3047
32,Amumu,11,4,True,5,3,7,105223,8517,12,16,3047,2031
61,Orianna,4,12,True,5,2,7,72708,8426,13,153,2033,3157
222,Jinx,7,4,True,5,2,8,104332,9906,12,152,3085,6671
64,LeeSin,11,4,False,2,2,2,136834,7918,12,36,2055,1036
69,Cassiopeia,4,12,False,3,3,1,81028,7964,12,170,6653,2031
166,Akshan,4,12,False,3,9,1,78643,6903,11,130,6671,1001
432,Bard,4,3,False,1,6,4,5940,5010,9,6,0,3111
5,XinZhao,14,4,False,3,5,2,62414,6992,12,114,6630,1028
69,Cassiopeia,4,12,True,5,4,4,90692,9751,14,189,6653,1011
412,Thresh,4,3,True,1,1,17,16945,7439,12,31,3857,3190
23,Tryndamere,6,4,True,3,4,3,72592,8060,13,109,1054,6672
523,Aphelios,4,7,True,10,2,7,127656,12833,13,168,3031,6676
234,Viego,11,4,True,7,1,4,127579,10531,14,38,3047,2031
62,MonkeyKing,4,12,False,3,6,4,62406,8491,12,151,1054,3044
121,Khazix,11,4,False,6,3,1,117794,8305,12,15,2422,2031
85,Kennen,14,4,False,1,8,3,34998,6101,10,37,3853,3145
498,Xayah,7,4,False,1,5,3,84656,7292,12,155,1055,6671
777,Yone,4,12,False,1,4,5,85405,8146,13,137,2055,1018
22,Ashe,4,1,True,7,8,11,157092,13350,16,192,3124,0
10,Kayle,12,4,True,10,5,10,181707,15541,17,246,3135,4633
245,Ekko,4,11,True,6,4,6,153202,10670,15,22,3152,3157
432,Bard,14,4,True,2,5,21,12594,8521,14,12,3853,3190
126,Jayce,4,12,True,6,7,2,130824,12753,16,198,1055,6692
141,Kayn,11,4,False,6,6,5,158916,10159,15,24,6693,2031
875,Sett,4,12,False,8,4,5,145059,13214,16,195,6630,4401
3,Galio,14,4,False,6,7,4,130038,11147,14,197,6656,3020
236,Lucian,4,7,False,7,8,5,113943,10953,14,166,3508,1018
43,Karma,14,4,False,2,6,16,37124,8683,13,30,3853,2065
50,Swain,4,7,True,15,7,16,133526,15232,17,183,4637,3020
12,Alistar,14,4,True,4,6,31,35468,11367,16,45,4643,3190
104,Graves,12,4,True,9,9,13,170614,14196,17,175,6692,6609
75,Nasus,4,6,True,15,5,15,187500,18534,18,190,3158,3193
245,Ekko,11,4,True,10,9,13,238363,16371,17,72,3152,3157
4,TwistedFate,12,4,False,4,13,16,160372,13774,15,177,3157,2033
79,Gragas,14,4,False,3,8,19,37428,9032,14,37,4643,3190
254,Vi,11,4,False,11,11,13,203055,14649,16,60,3074,3067
164,Camille,14,12,False,5,14,7,129440,11376,15,178,1037,6632
81,Ezreal,4,7,False,13,7,6,208597,15573,16,229,3042,3110
89,Leona,4,14,False,1,6,4,14801,5177,8,29,3859,3111
81,Ezreal,4,7,False,6,5,2,62900,8395,10,147,1055,6632
163,Taliyah,4,11,False,0,7,7,82255,6425,11,19,4632,2055
24,Jax,12,4,False,3,5,0,63705,6490,11,129,6632,1033
555,Pyke,14,4,False,4,3,2,31533,7214,11,106,2031,6691
526,Rell,4,14,True,0,4,7,13412,4719,9,23,3859,3111
523,Aphelios,1,4,True,1,4,5,84271,8001,11,139,1055,3006
55,Katarina,14,4,True,16,0,2,110877,12873,14,165,3041,2420
62,MonkeyKing,4,12,True,3,3,4,51127,7288,12,112,1054,6632
28,Evelynn,11,4,True,6,3,7,105341,8727,11,7,3152,0
238,Zed,14,4,True,2,3,5,79895,8795,13,146,1054,6692
111,Nautilus,4,14,True,6,3,13,26536,8514,11,48,3860,3190
110,Varus,4,7,True,6,6,13,131160,11592,13,193,6691,3042
76,Nidalee,4,11,True,9,2,4,152952,10969,13,15,4636,3157
62,MonkeyKing,4,12,True,1,2,3,75822,8047,13,152,1054,3111
119,Draven,3,4,False,4,8,4,99327,9122,12,137,1055,0
64,LeeSin,11,4,False,7,4,1,118252,9186,12,21,6630,2055
43,Karma,4,14,False,1,6,6,29669,6187,10,35,1052,2065
105,Fizz,4,14,False,1,4,4,78215,7452,14,158,2033,3157
85,Kennen,12,4,False,3,2,3,97022,9072,14,187,3157,3152
236,Lucian,12,4,False,2,16,4,93919,8190,12,137,2033,3111
223,TahmKench,14,12,False,3,7,6,63912,7496,13,101,1011,2033
67,Vayne,4,21,False,6,8,3,72767,10527,12,124,1055,3006
117,Lulu,4,7,False,0,7,9,17349,5901,12,14,3853,2065
28,Evelynn,11,4,False,6,9,5,108070,9309,12,21,4636,2031
114,Fiora,4,12,True,7,2,7,120840,11615,14,151,6630,1055
202,Jhin,7,4,True,5,4,11,96266,9914,13,124,1055,3009
56,Nocturne,4,11,True,5,3,7,174847,9992,14,28,3047,3053
38,Kassadin,4,14,True,26,4,7,156756,16940,16,178,3040,3157
497,Rakan,4,14,True,4,4,18,26072,8261,13,33,3860,0
92,Riven,14,4,True,8,5,9,117923,12063,15,153,3071,1055
350,Yuumi,3,14,True,2,1,11,7062,6646,12,1,3853,6617
202,Jhin,7,4,True,3,2,6,120293,10350,14,209,6671,0
131,Diana,11,4,True,7,2,7,193353,12509,15,57,3157,3135
246,Qiyana,4,14,True,6,2,2,67556,8881,14,135,6695,6693
5,XinZhao,11,4,False,0,5,3,150469,7877,13,45,3051,1036
112,Viktor,4,12,False,3,6,1,114926,10053,14,197,3157,2033
29,Twitch,3,4,False,3,3,0,82176,8778,12,176,1056,6671
412,Thresh,14,4,False,0,5,5,11963,5105,10,29,0,0
164,Camille,4,12,False,6,7,2,82719,8332,14,124,1054,6632
236,Lucian,4,7,False,6,7,8,100355,10728,13,169,1038,6671
69,Cassiopeia,12,4,False,7,11,7,103500,10870,14,161,3070,3116
526,Rell,3,4,False,1,6,16,19308,5975,10,29,3158,3860
154,Zac,4,11,False,6,5,11,98697,9537,12,34,6662,0
62,MonkeyKing,4,12,False,3,8,9,70970,8429,13,140,1054,3123
131,Diana,14,4,True,7,2,12,150047,12191,15,196,2055,3157
360,Samira,3,4,True,9,7,8,119606,12459,14,179,1055,3036
234,Viego,11,4,True,14,3,10,132530,13168,14,25,0,3047
111,Nautilus,4,14,True,2,7,20,22432,7519,11,24,3860,3117
240,Kled,4,12,True,5,4,15,111423,11692,14,156,6630,3071
526,Rell,4,14,False,0,6,6,19890,5775,10,40,3860,3111
238,Zed,4,14,False,4,10,3,95511,9518,13,161,6693,6695
76,Nidalee,4,11,False,3,6,1,105201,8265,11,22,4636,3145
58,Renekton,4,12,False,2,8,2,85284,8477,12,162,1054,3047
115,Ziggs,4,12,False,1,6,1,103865,8074,12,188,6655,1058
245,Ekko,11,4,True,11,2,11,198745,13470,15,41,3152,3157
89,Leona,14,4,True,2,1,12,16358,6945,11,34,3190,3857
555,Pyke,12,4,True,11,3,13,36593,12159,13,76,1028,3142
92,Riven,4,14,True,9,1,5,163909,14549,16,228,6609,2420
145,Kaisa,7,4,True,2,3,12,121573,9883,14,170,6671,0
41,Gangplank,4,12,True,10,0,18,175500,14734,16,218,2033,3053
2,Olaf,11,6,True,10,2,11,154371,11729,14,31,0,6630
555,Pyke,14,4,True,20,4,12,55415,13964,13,82,6333,6691
134,Syndra,12,4,True,11,0,8,149137,12930,14,207,2031,3157
89,Leona,4,14,True,3,4,20,20464,7722,11,33,2055,3859
62,MonkeyKing,4,12,False,5,7,0,73881,9280,13,150,1054,6632
412,Thresh,4,14,False,0,10,6,10470,4744,10,28,3190,3855
115,Ziggs,4,12,False,0,12,5,92101,6971,12,152,1056,3070
79,Gragas,11,4,False,4,9,3,85188,7996,11,55,6653,1052
157,Yasuo,14,4,False,1,16,3,88528,7330,11,146,1055,3006
234,Viego,4,11,True,5,6,4,170207,11221,14,31,6632,2055
81,Ezreal,4,7,True,15,4,12,183238,15957,15,177,6695,3042
126,Jayce,4,12,True,6,8,10,151066,13001,15,184,6692,6694
62,MonkeyKing,4,12,True,2,3,8,118334,10665,15,196,1054,6632
432,Bard,4,3,True,3,5,20,26759,9522,13,30,3117,3107
76,Nidalee,11,4,False,9,4,6,163712,11751,14,48,4636,3089
