champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
203,Kindred,4,11,True,14,4,10,150250,13824,15,34,6673,3123
887,Gwen,6,12,True,6,1,10,120615,11859,16,183,3157,4633
517,Sylas,4,12,True,10,6,13,89552,11007,14,121,3041,6656
119,Draven,3,4,True,10,7,8,134742,14177,14,152,6673,6676
79,Gragas,14,4,True,3,1,19,54699,9934,13,58,3860,3190
201,Braum,14,4,False,1,9,12,19822,6402,12,32,3067,3857
18,Tristana,4,3,False,4,9,3,84286,8140,12,130,1055,6672
13,Ryze,12,4,False,0,5,2,137774,8434,13,171,6655,3040
131,Diana,4,12,False,8,10,5,154943,13356,14,184,3152,3135
121,Khazix,4,11,False,6,10,7,91846,9613,12,17,6695,3158
163,Taliyah,4,14,True,24,13,26,99600,18508,18,42,3020,3040
222,Jinx,13,4,True,21,8,33,204959,21377,18,152,6672,3006
497,Rakan,13,4,True,2,11,46,22404,14325,18,15,3190,3107
133,Quinn,4,7,True,14,12,31,97827,17112,18,42,3072,3033
777,Yone,14,4,True,4,13,28,59217,14490,18,43,3184,3006
2,Olaf,4,6,False,17,13,18,125392,19118,18,78,3047,3065
63,Brand,13,4,False,5,12,33,126153,15860,18,88,3157,3165
92,Riven,4,32,False,12,15,18,94248,16695,18,49,3111,6630
266,Aatrox,32,4,False,3,17,23,59512,14007,18,43,6630,3143
76,Nidalee,4,21,False,20,8,27,94729,18228,18,49,6655,3020
39,Irelia,32,4,False,5,12,19,70063,12393,18,75,2051,6630
26,Zilean,21,4,False,5,12,22,66594,12804,18,60,3165,6653
498,Xayah,7,4,False,10,12,12,66356,13630,17,45,6672,1018
112,Viktor,32,4,False,13,15,11,65004,14396,16,28,3157,3020
412,Thresh,21,4,False,3,9,20,26754,11348,17,12,3111,2051
8,Vladimir,4,6,True,15,8,22,81102,14977,18,60,4629,1026
350,Yuumi,13,3,True,7,4,45,32768,13470,18,7,6655,3145
99,Lux,4,6,True,8,6,35,52344,13486,18,32,6653,4629
110,Varus,21,4,True,14,9,23,71887,14367,17,46,3042,6691
238,Zed,4,32,True,16,9,17,56127,14539,18,30,6692,6695
254,Vi,4,32,False,7,16,13,64411,13383,18,35,6692,3047
111,Nautilus,7,4,False,2,15,20,29991,11770,17,17,3068,3001
67,Vayne,4,7,False,4,9,18,91475,14013,18,107,3006,6673
145,Kaisa,21,4,False,16,9,15,100641,15593,18,57,6655,3006
420,Illaoi,32,4,False,9,9,16,110040,14701,18,47,6632,3047
104,Graves,4,6,True,22,7,24,154945,18561,18,118,3006,6676
876,Lillia,3,4,True,14,5,23,82050,15559,18,60,3157,3020
16,Soraka,4,13,True,2,4,45,11518,12824,18,7,3083,2065
39,Irelia,32,4,True,13,15,19,53814,14181,18,56,6630,3111
63,Brand,4,7,True,7,7,36,70315,13900,18,34,3157,6655
350,Yuumi,4,14,False,5,3,40,34675,14188,18,8,6655,3107
69,Cassiopeia,4,6,False,9,8,19,55438,13745,18,31,3040,6653
41,Gangplank,32,4,False,11,8,16,136709,15805,18,104,6632,3031
518,Neeko,32,4,False,5,11,11,48194,12186,18,20,3157,2031
21,MissFortune,21,4,False,16,10,22,108315,16800,18,82,3047,3091
61,Orianna,4,6,True,9,8,25,76843,15465,18,62,6655,1058
18,Tristana,7,4,True,6,9,12,99728,15148,18,100,6672,3006
4,TwistedFate,3,4,True,1,11,15,51870,12165,17,29,6656,3020
64,LeeSin,4,32,True,14,11,20,46800,15736,18,28,3074,6630
234,Viego,4,32,True,10,7,12,68656,14986,18,57,3153,6632
81,Ezreal,7,4,True,11,5,15,81970,13498,17,73,3042,6632
526,Rell,32,4,True,2,7,25,29679,10575,16,22,2051,3068
161,Velkoz,14,4,True,6,5,15,61949,11233,16,51,6653,3020
238,Zed,32,4,True,11,7,8,30846,11287,15,17,6691,6694
31,Chogath,32,4,True,7,7,13,42586,11268,15,26,6656,3083
268,Azir,4,21,False,13,6,7,63716,12314,15,46,3115,4630
516,Ornn,32,4,False,1,6,14,28323,9149,15,18,3070,7004
76,Nidalee,4,32,False,10,6,14,40069,11630,15,17,3070,4636
40,Janna,3,4,False,1,8,21,36229,9689,15,31,6655,3020
157,Yasuo,32,4,False,6,11,10,53156,10433,14,62,6673,3006
166,Akshan,4,6,False,13,9,13,65855,14639,17,56,6673,3031
222,Jinx,7,4,False,10,9,22,89486,14129,18,91,6672,3046
40,Janna,3,4,False,1,6,35,12198,10967,17,4,2065,3158
245,Ekko,4,32,False,13,11,16,72100,13611,18,45,3152,3020
126,Jayce,32,4,False,11,13,24,56932,13184,16,25,3042,6692
131,Diana,4,32,True,11,12,16,63017,14157,18,33,4636,3020
99,Lux,4,3,True,6,10,20,31406,12605,18,25,6655,3070
105,Fizz,4,14,True,5,12,15,40212,12118,17,36,0,3157
523,Aphelios,1,4,True,16,6,15,112757,16182,18,107,6673,6676
85,Kennen,32,4,True,10,9,13,48522,13460,17,29,3089,3020
48,Trundle,14,4,False,2,5,8,30000,8111,12,50,3857,3190
1,Annie,4,12,False,3,4,9,74026,9679,14,154,1056,0
203,Kindred,11,4,False,3,5,7,177326,10767,15,28,6672,3091
79,Gragas,12,4,False,4,5,5,139375,11077,16,215,3020,3157
18,Tristana,7,4,False,10,4,2,235621,16044,16,270,3086,3036
245,Ekko,11,4,True,9,4,6,208344,14644,15,51,3152,3157
498,Xayah,7,4,True,2,7,7,117069,10199,14,148,1055,3508
26,Zilean,14,4,True,5,1,11,32053,9263,14,42,3853,3157
39,Irelia,4,14,True,3,7,6,173783,11935,16,221,3153,3026
164,Camille,14,12,True,4,3,4,179044,12572,17,218,1054,6632
92,Riven,4,12,True,7,1,12,190989,14948,18,231,3071,3026
202,Jhin,4,7,True,17,3,12,271152,19332,17,266,6671,1038
89,Leona,14,4,True,0,5,20,26963,8828,14,38,3190,3860
76,Nidalee,11,4,True,7,6,14,195163,14054,17,47,3157,2055
517,Sylas,12,4,True,6,6,12,118221,12470,17,177,4629,3157
48,Trundle,3,4,False,0,9,12,21215,8306,13,54,3857,3190
134,Syndra,4,12,False,3,6,4,157883,11822,16,203,2033,3041
166,Akshan,1,4,False,3,9,4,174675,13288,15,239,1055,3036
203,Kindred,4,11,False,7,5,7,202986,13739,15,27,1018,6673
39,Irelia,4,14,False,8,8,6,189867,15925,16,267,2055,1036
60,Elise,11,4,False,7,5,2,94727,9559,13,12,4636,3135
45,Veigar,12,4,False,4,3,9,112420,10054,13,171,1056,6656
41,Gangplank,4,12,False,1,4,2,113882,9023,14,179,6632,3053
236,Lucian,4,14,False,8,9,3,137497,12303,15,167,6694,2033
89,Leona,14,4,False,3,6,6,17272,6945,11,33,3190,3857
17,Teemo,4,14,True,7,4,2,152074,12393,16,194,3006,2031
119,Draven,4,1,True,6,7,5,87308,10742,13,127,6673,6676
26,Zilean,14,4,True,0,3,10,23740,6696,12,9,3111,3853
203,Kindred,4,11,True,10,3,8,140414,12813,14,55,6672,2031
61,Orianna,12,4,True,4,6,9,129636,11772,15,187,2033,6655
523,Aphelios,7,4,False,4,8,4,56813,6544,10,89,1055,6672
69,Cassiopeia,12,4,False,1,8,3,56960,5988,12,109,3070,6653
74,Heimerdinger,4,12,False,3,5,4,74024,7097,13,112,1056,6653
350,Yuumi,3,14,False,2,8,8,6504,5761,9,4,3011,2065
19,Warwick,4,11,False,9,7,2,49771,8200,11,6,6632,3047
