champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
350,Yuumi,3,7,True,4,2,21,19272,9957,15,8,3853,3222
39,Irelia,4,12,True,11,5,9,206540,17374,18,255,3047,6630
58,Renekton,12,4,True,5,5,9,164603,14671,17,220,6333,3026
81,Ezreal,4,1,True,7,8,12,169787,14026,16,206,1055,6632
76,Nidalee,11,4,True,11,3,9,214486,14750,17,38,3102,3020
119,Draven,3,4,False,4,9,8,160023,12576,14,189,1055,3006
13,Ryze,12,4,False,6,5,6,268762,13733,17,261,2420,6656
107,Rengar,11,4,False,9,6,4,233631,14483,16,72,6630,3033
89,Leona,4,14,False,1,8,13,24031,8027,12,34,0,3857
92,Riven,4,14,False,3,10,2,131155,10557,14,185,3123,2420
555,Pyke,4,14,False,5,10,4,10502,6340,9,17,3009,3179
24,Jax,4,12,False,6,8,2,61296,8179,11,109,1055,2033
121,Khazix,11,4,False,1,6,8,80543,6665,10,9,3047,6691
142,Zoe,4,14,False,1,6,4,56441,6168,11,105,6655,2033
119,Draven,3,4,False,4,7,3,72705,7544,10,128,3006,1055
7,Leblanc,4,14,True,5,4,6,56925,7739,12,128,3020,2033
51,Caitlyn,7,4,True,11,3,8,115641,11429,13,164,6672,3094
102,Shyvana,11,14,True,6,2,11,113220,9501,13,36,6662,1042
164,Camille,14,12,True,11,5,7,95229,12035,13,146,1055,1031
432,Bard,14,4,True,4,3,14,13381,7119,11,10,3853,3190
37,Sona,14,4,True,3,5,18,21586,8650,14,22,6617,3853
203,Kindred,4,11,True,13,6,4,152258,12703,14,30,6672,3035
81,Ezreal,7,4,True,5,4,10,123983,11801,14,197,0,6632
84,Akali,4,12,True,7,6,11,101998,11631,14,163,3020,1026
39,Irelia,12,4,True,9,6,10,138084,13193,15,180,6632,2421
246,Qiyana,14,4,False,13,8,6,101577,11931,13,120,6693,1036
62,MonkeyKing,12,14,False,6,10,7,83098,9857,13,116,6609,6632
76,Nidalee,4,11,False,5,7,10,108748,10687,13,16,2055,3157
89,Leona,14,4,False,0,9,10,19187,5734,10,31,3860,2031
202,Jhin,4,7,False,3,3,8,122001,9494,14,203,3009,6671
7,Leblanc,4,12,True,7,1,9,93649,11616,15,178,1058,6656
18,Tristana,4,1,True,14,3,10,188008,15009,14,229,3006,3046
76,Nidalee,11,4,True,6,3,11,128302,10435,15,15,3157,3916
875,Sett,4,12,True,4,1,7,96735,9800,14,163,3053,0
111,Nautilus,14,4,True,4,6,15,22074,7787,12,31,3190,8001
876,Lillia,12,4,False,4,6,2,112695,9178,14,180,2033,1026
81,Ezreal,4,7,False,2,9,5,96604,8240,12,133,3158,6632
69,Cassiopeia,12,4,False,1,3,6,106387,8500,14,198,3070,6653
64,LeeSin,4,11,False,7,11,4,95834,9377,12,16,2421,2055
26,Zilean,4,3,False,0,6,11,14604,5814,12,14,3853,3190
523,Aphelios,4,7,False,13,4,9,179498,16587,15,225,6673,3086
103,Ahri,4,12,False,2,3,7,116777,9919,15,191,4628,6656
39,Irelia,4,12,False,4,9,4,78128,10162,12,151,3111,6630
203,Kindred,4,11,False,5,12,6,130150,9533,13,16,3006,6676
412,Thresh,4,14,False,2,7,17,17597,7646,12,25,3190,3857
875,Sett,4,14,True,2,12,12,29243,7557,11,38,3857,2055
115,Ziggs,4,12,True,0,3,12,161719,11201,15,227,4630,3157
555,Pyke,14,4,True,16,3,6,51992,16200,13,79,3158,3142
76,Nidalee,11,4,True,8,3,15,184074,14440,15,32,3157,1058
126,Jayce,4,12,True,9,5,12,157695,14968,15,200,3158,3142
110,Varus,4,7,True,5,4,13,125414,10365,14,152,0,3158
90,Malzahar,12,4,True,4,3,11,139229,10993,15,185,3157,6653
5,XinZhao,11,4,True,13,2,15,197106,14112,15,42,3047,6630
48,Trundle,14,4,True,3,5,24,27164,9164,13,47,3190,8001
