champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
50,Swain,4,7,True,15,7,16,133526,15232,17,183,4637,3020
12,Alistar,14,4,True,4,6,31,35468,11367,16,45,4643,3190
104,Graves,12,4,True,9,9,13,170614,14196,17,175,6692,6609
75,Nasus,4,6,True,15,5,15,187500,18534,18,190,3158,3193
245,Ekko,11,4,True,10,9,13,238363,16371,17,72,3152,3157
4,TwistedFate,12,4,False,4,13,16,160372,13774,15,177,3157,2033
79,Gragas,14,4,False,3,8,19,37428,9032,14,37,4643,3190
254,Vi,11,4,False,11,11,13,203055,14649,16,60,3074,3067
164,Camille,14,12,False,5,14,7,129440,11376,15,178,1037,6632
81,Ezreal,4,7,False,13,7,6,208597,15573,16,229,3042,3110
201,Braum,14,4,False,0,5,15,23202,6431,11,31,2055,3190
64,LeeSin,4,11,False,5,8,5,118862,9104,12,33,6630,1028
59,JarvanIV,12,4,False,6,9,9,91182,9966,13,135,3047,3053
13,Ryze,4,12,False,9,4,5,207735,12956,16,224,3040,4630
22,Ashe,4,7,False,3,2,9,110800,9996,13,194,1055,3006
50,Swain,4,7,True,3,4,11,81195,9849,14,160,1056,6653
90,Malzahar,4,12,True,3,5,11,136528,11146,14,191,6653,4630
114,Fiora,12,4,True,11,6,12,191143,15845,16,204,6630,3074
111,Nautilus,4,14,True,1,5,18,26156,7488,13,34,3190,3860
104,Graves,4,11,True,10,3,9,228183,14560,16,48,3036,6671
60,Elise,11,4,True,7,6,13,165620,13405,16,36,4636,3157
89,Leona,14,4,True,0,1,17,23307,7874,14,39,0,3190
236,Lucian,4,14,True,10,2,8,168655,14604,17,227,6694,6695
115,Ziggs,4,7,True,3,2,11,162884,12109,15,222,1058,6653
62,MonkeyKing,12,14,True,14,4,6,191647,16082,17,214,6630,3053
777,Yone,4,12,False,1,9,3,171117,10632,15,193,1055,3031
147,Seraphine,4,12,False,3,4,2,196490,12627,15,266,2420,3040
39,Irelia,4,12,False,4,9,3,180070,12275,15,240,3091,3047
26,Zilean,14,4,False,1,3,5,32158,6966,13,17,3191,3853
64,LeeSin,11,4,False,6,9,4,130594,10328,13,24,6630,2420
64,LeeSin,4,11,False,2,5,4,67688,5298,10,12,3044,0
412,Thresh,4,14,False,1,4,2,13893,3770,7,23,0,3855
114,Fiora,4,12,False,2,3,0,42246,5078,10,88,6630,1036
523,Aphelios,7,4,False,0,2,0,47013,5674,9,132,2003,2055
517,Sylas,4,14,False,4,6,2,35250,6015,10,98,3158,3191
111,Nautilus,14,4,True,2,1,7,12286,4324,7,24,3105,0
59,JarvanIV,12,4,True,4,2,2,80471,6908,12,142,2033,6630
555,Pyke,14,4,True,3,5,6,26409,8200,9,77,2031,6691
50,Swain,4,7,True,5,0,4,55737,7720,10,134,1056,6653
28,Evelynn,4,11,True,6,1,4,70305,6618,10,12,3020,2031
234,Viego,4,11,False,2,3,4,121540,8265,12,25,6632,3153
126,Jayce,12,4,False,0,6,1,91290,7509,12,183,6692,3004
127,Lissandra,4,12,False,3,4,3,80302,7878,13,162,2033,2420
81,Ezreal,4,1,False,3,5,1,74447,8246,11,153,0,3158
26,Zilean,14,4,False,1,5,2,20750,4944,9,20,1029,3853
875,Sett,14,4,True,0,3,7,17199,4929,10,33,1028,2055
92,Riven,4,12,True,5,1,3,104716,10166,14,186,3123,2031
110,Varus,7,4,True,5,1,5,69403,9185,13,164,3042,3009
64,LeeSin,11,4,True,11,3,5,116970,10170,13,15,6630,2055
7,Leblanc,12,4,True,2,1,6,88087,7645,13,167,2033,6655
234,Viego,11,4,True,4,4,10,127637,9551,14,20,6632,3053
114,Fiora,4,12,True,7,4,4,89613,10797,14,138,1055,6630
81,Ezreal,4,21,True,5,4,8,142231,12177,14,189,3158,1033
350,Yuumi,7,3,True,2,1,21,6739,7902,12,3,3853,6617
42,Corki,12,4,True,17,2,5,152472,14360,15,205,6673,3042
104,Graves,4,11,False,1,10,3,108868,7274,12,53,6692,3134
55,Katarina,14,12,False,8,5,3,94064,11398,13,161,1054,3020
111,Nautilus,14,4,False,1,5,8,16970,5907,10,37,2031,3190
50,Swain,4,7,False,2,7,6,63572,7472,11,128,2031,6653
39,Irelia,4,12,False,3,8,5,127402,9481,14,190,1055,6632
234,Viego,4,12,True,2,2,0,36123,5054,10,100,1055,3057
111,Nautilus,4,14,True,1,3,11,11576,4665,8,18,0,3047
64,LeeSin,11,4,True,9,1,4,83069,7876,10,6,6630,2055
68,Rumble,4,14,True,2,1,11,68508,7657,11,125,3157,3145
22,Ashe,4,7,True,8,0,2,67710,9293,11,142,6671,0
523,Aphelios,7,4,False,0,6,1,22910,4091,8,87,1053,6670
432,Bard,14,4,False,1,3,3,8929,3731,7,25,2055,3067
60,Elise,4,11,False,1,5,6,45187,4581,9,7,3145,2031
236,Lucian,4,12,False,2,5,1,43066,5077,9,112,6671,0
6,Urgot,4,12,False,3,3,1,57813,7353,11,130,1055,6692
43,Karma,12,4,False,3,6,18,121116,13149,17,198,2055,2065
37,Sona,14,4,False,0,6,23,31716,9120,15,25,3070,2055
120,Hecarim,6,11,False,6,4,17,220726,14528,18,32,3193,3065
13,Ryze,4,12,False,15,7,9,293147,18109,18,259,3157,6656
110,Varus,4,3,False,11,4,8,177549,15251,17,248,6691,3158
234,Viego,4,11,True,3,8,9,272236,12753,17,37,3153,2421
238,Zed,14,4,True,10,5,4,193527,16830,17,257,6691,3142
53,Blitzcrank,14,4,True,0,8,13,20875,7906,14,39,3190,3860
8,Vladimir,12,4,True,8,9,6,228112,16018,18,264,3152,3157
115,Ziggs,4,12,True,6,5,6,262367,15299,17,281,3040,6653
37,Sona,4,7,True,2,5,17,26751,7716,11,67,3853,3009
43,Karma,12,4,True,1,2,18,72359,7408,13,137,3041,2065
89,Leona,4,14,True,2,6,14,25356,6480,11,48,3009,3067
164,Camille,12,14,True,10,1,9,84574,10616,14,143,1055,3044
2,Olaf,11,6,True,13,5,8,163856,12502,13,17,3053,6630
12,Alistar,14,4,False,2,6,14,15209,6311,9,22,2055,3190
45,Veigar,1,4,False,0,6,4,91157,7146,12,155,2424,6655
240,Kled,4,12,False,0,6,5,61287,6586,11,112,6630,1054
555,Pyke,14,4,False,10,4,3,40981,12629,11,98,3026,6691
64,LeeSin,4,11,False,7,6,9,124536,10862,12,21,6630,1031
234,Viego,11,4,True,5,3,4,94677,7542,11,4,6609,3047
58,Renekton,12,4,True,3,3,6,92273,8299,12,149,2031,6630
37,Sona,4,7,True,2,4,9,15549,6179,9,43,3853,1001
117,Lulu,4,3,True,1,2,11,17943,6003,9,38,3853,2065
39,Irelia,12,4,True,6,0,4,117919,9833,13,201,3123,2033
240,Kled,4,12,False,2,3,1,81885,7666,12,134,6630,6609
107,Rengar,11,4,False,3,4,5,106240,7348,11,8,6630,0
432,Bard,14,4,False,1,2,10,12485,5804,9,12,3916,0
110,Varus,1,4,False,4,4,4,83515,7824,11,156,6695,2031
517,Sylas,4,12,False,2,4,1,53280,6594,11,128,6656,2031
18,Tristana,3,4,False,2,5,3,120928,9869,13,197,1055,1018
234,Viego,11,4,False,12,1,2,166055,13841,14,68,3047,3026
111,Nautilus,14,4,False,0,3,10,21976,6430,11,36,0,3190
142,Zoe,14,4,False,2,5,5,131055,10241,15,213,2033,3157
39,Irelia,4,12,False,1,10,3,117228,8562,13,174,1055,3047
427,Ivern,11,4,True,3,1,11,290573,9637,14,12,3117,3107
145,Kaisa,4,7,True,6,1,2,180379,13799,15,259,6672,2031
164,Camille,12,14,True,8,2,2,153670,12640,16,202,3053,2055
