champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
4,TwistedFate,12,4,True,5,3,9,83480,9461,13,129,3041,2033
68,Rumble,12,4,True,4,2,9,97436,9863,14,149,3165,2421
203,Kindred,4,11,True,4,2,11,161746,10417,14,22,6672,1018
429,Kalista,4,1,True,12,3,5,73308,10590,13,142,2031,6673
526,Rell,14,4,True,4,5,14,19857,7230,11,26,6664,2055
104,Graves,11,4,False,2,6,4,93521,7515,11,44,6692,3111
412,Thresh,4,14,False,2,7,6,19641,5501,10,25,3190,2055
22,Ashe,4,7,False,5,7,4,76984,9743,11,156,6673,3124
59,JarvanIV,12,4,False,3,5,2,78551,8416,12,142,6630,3053
142,Zoe,4,1,False,3,4,0,67620,7150,12,143,6655,2033
79,Gragas,11,4,False,0,4,1,72077,4736,9,23,3145,1028
81,Ezreal,4,7,False,1,2,2,40937,5557,9,131,2055,3158
875,Sett,14,4,False,1,3,3,17541,3795,7,21,3855,2031
126,Jayce,4,12,False,1,5,0,44062,5066,9,88,0,2055
13,Ryze,4,12,False,1,5,1,62061,5258,10,117,2033,3070
202,Jhin,7,4,True,4,1,3,69455,7395,11,143,0,2031
58,Renekton,12,4,True,4,1,3,78571,8059,12,142,6630,3044
85,Kennen,12,4,True,4,0,4,53519,6393,11,117,0,3152
526,Rell,14,4,True,1,2,5,12358,4124,8,23,3158,3855
48,Trundle,4,11,True,6,0,6,67185,7150,10,5,3111,2031
145,Kaisa,3,4,False,1,7,5,68350,7329,11,126,1055,3051
13,Ryze,12,4,False,4,7,5,146092,10507,13,200,3040,3916
12,Alistar,4,14,False,3,7,9,20890,6442,11,39,3860,2055
164,Camille,12,14,False,4,5,4,84653,9113,14,164,6632,3074
234,Viego,4,11,False,7,7,5,114037,9993,13,25,3047,3091
24,Jax,12,4,True,8,3,6,140580,12274,15,156,3053,2033
106,Volibear,4,11,True,3,6,16,96847,10167,13,14,6632,1011
79,Gragas,14,4,True,2,4,17,39460,8141,12,36,3860,6656
7,Leblanc,4,12,True,6,3,11,93202,11549,14,169,1058,3020
18,Tristana,4,7,True,14,3,7,127939,13016,13,156,2421,3036
126,Jayce,12,4,False,5,6,3,106977,10328,13,165,6692,6695
13,Ryze,12,4,False,6,4,3,118990,9478,13,163,6655,0
523,Aphelios,4,7,False,4,6,3,79120,8078,11,133,6673,2055
89,Leona,14,4,False,0,6,9,16757,5476,10,42,3860,3190
48,Trundle,11,4,False,3,5,8,79775,7228,12,22,2421,2055
61,Orianna,4,12,True,5,3,7,84172,9336,13,152,2033,6653
22,Ashe,4,7,True,6,4,10,95779,11479,13,167,3006,3051
36,DrMundo,12,4,True,1,4,4,77132,7463,13,129,8001,3047
104,Graves,4,11,True,9,3,6,191553,12701,15,50,6692,3134
43,Karma,14,4,True,6,4,14,41990,8774,12,24,4005,3158
432,Bard,4,14,False,1,6,19,24796,7824,12,16,3190,3853
