champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
157,Yasuo,4,14,True,11,10,11,360090,21372,18,302,3143,6673
99,Lux,4,14,True,9,8,18,85445,14453,17,67,3853,6655
150,Gnar,4,12,True,1,11,7,196257,13396,18,217,6632,3047
147,Seraphine,4,7,True,11,8,19,240958,18868,18,265,6653,3157
64,LeeSin,4,11,True,16,5,15,266943,19814,18,69,6630,3071
26,Zilean,4,14,False,4,7,16,70193,11295,17,67,3853,2420
79,Gragas,14,4,False,10,9,9,202143,15401,18,185,6655,1052
360,Samira,11,4,False,14,11,7,320970,20118,18,124,6673,6676
238,Zed,14,4,False,10,10,1,280743,17586,18,270,3142,3814
22,Ashe,4,7,False,4,11,13,239869,14983,18,268,3035,3006
14,Sion,4,12,False,4,9,1,59431,6271,11,96,1054,3181
157,Yasuo,14,4,False,0,1,0,3488,2862,4,13,1055,0
163,Taliyah,11,4,False,1,6,8,71114,5944,11,58,6656,2031
117,Lulu,4,14,False,1,6,11,5933,5257,10,7,2055,2065
222,Jinx,4,1,False,9,5,2,85018,9624,11,136,6672,3046
45,Veigar,4,14,True,0,4,7,13779,5153,9,6,3853,6656
17,Teemo,14,4,True,9,0,1,125833,12714,14,171,1056,3115
104,Graves,11,4,True,7,4,3,115618,8912,12,32,6692,2031
266,Aatrox,14,4,True,10,4,4,101394,10544,14,134,3142,1036
235,Senna,4,7,True,1,3,5,44567,6482,10,99,6672,2031
117,Lulu,4,14,True,3,3,19,8951,8733,13,7,3853,2065
119,Draven,4,7,True,13,4,7,179112,15506,15,181,3031,1042
126,Jayce,4,12,True,14,2,3,141336,14043,16,186,6692,2420
157,Yasuo,4,14,True,6,5,5,122960,10993,15,160,1055,3031
245,Ekko,11,4,True,4,0,11,181768,10680,15,36,3152,2031
16,Soraka,4,21,False,2,6,6,11111,5696,11,5,3853,2031
203,Kindred,14,4,False,0,8,6,58277,6170,12,115,6670,3508
30,Karthus,11,3,False,6,9,4,153096,10836,14,50,6653,3020
17,Teemo,14,4,False,4,10,3,104499,9384,14,180,1052,3152
236,Lucian,4,7,False,2,7,4,92082,8390,12,182,2055,2031
7,Leblanc,4,14,False,9,12,10,140555,15655,18,186,6655,4629
106,Volibear,4,11,False,5,10,20,167091,15505,18,46,6632,3111
498,Xayah,4,12,False,22,14,9,448301,25925,18,336,3085,6673
89,Leona,14,4,False,4,14,15,77599,12453,18,68,3857,3068
202,Jhin,7,4,False,15,12,10,323792,21277,18,244,3072,6671
32,Amumu,11,4,True,12,12,18,160387,15722,18,22,3047,3152
126,Jayce,14,4,True,11,11,16,214169,18745,18,194,3026,6692
127,Lissandra,4,14,True,14,7,17,197535,17829,18,82,4643,3135
41,Gangplank,4,12,True,16,17,18,513418,24794,18,295,3031,3158
236,Lucian,4,7,True,9,8,19,229851,18108,18,209,3123,6671
48,Trundle,14,4,False,4,8,9,132080,12965,17,184,2031,6632
99,Lux,4,14,False,4,10,12,82574,10474,15,61,3853,4628
51,Caitlyn,4,7,False,11,9,9,266122,16835,18,287,3006,3026
421,RekSai,4,11,False,6,8,12,145865,11469,15,16,2031,6693
79,Gragas,4,14,False,7,8,4,105716,11409,15,145,3157,6656
121,Khazix,4,11,True,20,6,4,229173,18087,18,29,6691,3142
420,Illaoi,12,4,True,6,6,10,199472,14409,18,239,2033,6632
112,Viktor,12,4,True,4,5,12,144019,12398,17,188,1056,6655
22,Ashe,7,4,True,8,6,13,163875,14629,16,196,6672,3748
235,Senna,4,14,True,5,9,19,144113,13396,16,63,3864,3124
103,Ahri,4,14,False,9,5,9,130720,12515,15,175,1056,4637
80,Pantheon,14,4,False,7,7,8,112264,11870,15,161,1055,3053
43,Karma,4,14,False,6,7,16,34761,9498,14,11,3853,2031
360,Samira,4,7,False,4,9,10,188729,13869,16,227,2055,6676
32,Amumu,11,4,False,7,6,14,205953,13501,16,30,3075,3068
51,Caitlyn,7,4,True,15,7,6,193297,17695,17,218,6671,3036
78,Poppy,4,11,True,1,9,13,111396,9398,15,17,6632,2031
37,Sona,14,4,True,1,5,21,30406,9228,15,17,3853,6617
268,Azir,4,12,True,6,5,10,197965,13077,16,202,1058,3157
122,Darius,6,4,True,11,7,11,131603,14977,16,168,3078,3053
2,Olaf,11,6,True,9,4,6,91662,9118,11,14,0,1029
90,Malzahar,4,14,True,7,2,1,61647,7670,12,107,1056,2031
14,Sion,4,11,True,3,6,5,75156,6992,12,106,1054,3068
117,Lulu,4,14,True,1,2,10,4810,5268,9,4,3851,2031
81,Ezreal,4,7,True,3,3,3,68007,7385,11,148,0,3158
222,Jinx,7,4,False,5,1,2,54081,7836,10,105,1055,6672
53,Blitzcrank,14,4,False,2,5,7,12155,4961,8,23,3117,2031
122,Darius,4,12,False,5,4,4,78146,7773,12,120,1055,3111
20,Nunu,4,11,False,2,6,6,56542,5422,10,6,4636,2031
777,Yone,4,14,False,3,7,3,90486,7472,11,136,6673,1038
37,Sona,4,7,False,3,7,12,20880,9095,14,11,3853,2031
147,Seraphine,4,1,False,8,3,8,216412,14598,16,260,6653,3020
19,Warwick,11,4,False,17,12,9,169899,17160,16,20,3065,3076
875,Sett,4,12,False,0,17,12,75415,7572,14,95,1054,3047
75,Nasus,4,3,False,4,8,16,183689,13641,16,230,3165,0
104,Graves,4,14,True,22,9,8,299314,19221,18,240,6692,3072
89,Leona,14,4,True,0,6,22,19661,8602,16,31,2031,3190
150,Gnar,4,12,True,10,6,9,181250,14583,18,206,3026,0
9,Fiddlesticks,4,11,True,15,6,12,211600,16778,18,56,3152,3157
235,Senna,4,7,True,0,5,16,95095,11332,15,184,1055,6672
39,Irelia,4,12,True,13,6,7,212451,16243,17,250,1057,3026
268,Azir,14,4,True,8,5,11,170474,15195,17,220,3111,3115
43,Karma,14,4,True,2,6,20,29559,8740,14,29,2065,2055
64,LeeSin,11,4,True,8,5,20,206621,14788,16,42,6630,0
115,Ziggs,4,12,True,4,9,9,170379,11552,15,197,6653,3135
432,Bard,4,14,False,0,11,10,14163,7046,12,17,2055,3853
13,Ryze,4,12,False,9,6,6,222047,14532,17,237,3111,3102
24,Jax,12,4,False,9,8,5,177055,15025,16,178,3053,3153
234,Viego,4,11,False,7,8,6,155177,12100,15,31,3153,2055
145,Kaisa,7,4,False,6,2,6,186781,13365,17,237,1055,6671
234,Viego,4,11,True,6,7,5,154834,10652,15,36,0,3044
37,Sona,4,21,True,1,4,16,18925,8616,14,13,3853,6617
112,Viktor,21,4,True,2,10,0,129378,9291,14,172,1056,2031
147,Seraphine,4,7,True,6,4,9,158666,13403,15,232,3020,6653
121,Khazix,12,4,True,21,6,3,211296,19249,18,229,6694,3071
143,Zyra,4,3,False,7,7,5,142731,11578,16,194,2420,1056
92,Riven,12,4,False,5,8,3,171841,12399,16,216,3053,0
7,Leblanc,4,14,False,6,7,12,28993,9194,13,26,3853,2420
161,Velkoz,21,4,False,7,6,5,106878,11534,15,192,4637,6653
59,JarvanIV,11,4,False,6,8,8,128983,10269,14,22,6691,6695
92,Riven,14,4,True,11,0,11,100506,12697,13,140,3071,3158
166,Akshan,12,4,True,19,3,6,93046,11333,13,133,1055,6676
143,Zyra,4,14,True,7,4,12,46645,8573,11,37,3020,3853
64,LeeSin,11,4,True,6,2,6,100504,8105,12,10,3158,6630
777,Yone,7,4,True,4,3,8,77695,8602,12,122,2031,0
147,Seraphine,4,3,False,3,6,8,32188,6779,10,32,3853,6617
11,MasterYi,11,4,False,4,12,1,67094,6817,10,12,6672,2031
104,Graves,4,14,False,1,11,3,61055,5429,11,112,3047,6692
119,Draven,4,7,False,3,10,3,37305,6627,10,82,6673,2031
154,Zac,12,4,False,1,9,1,49009,5100,10,90,3068,0
131,Diana,11,4,False,10,5,7,268244,14094,16,68,3157,3152
58,Renekton,14,4,False,7,5,6,121290,11536,15,187,6630,1055
246,Qiyana,12,4,False,1,3,4,115165,8354,14,183,3047,6693
117,Lulu,14,4,False,0,3,12,5441,6330,13,8,3851,6617
67,Vayne,7,4,False,3,9,3,130634,9867,13,189,3046,6672
202,Jhin,7,4,True,7,2,12,186791,13412,15,230,6671,3036
26,Zilean,4,14,True,4,4,15,25737,9797,13,11,3853,2055
39,Irelia,12,4,True,5,7,5,167947,12743,16,243,3067,6630
82,Mordekaiser,12,4,True,3,3,3,164607,11707,16,221,4637,4633
141,Kayn,4,11,True,6,5,7,196760,12360,16,20,3158,6630
360,Samira,7,4,True,4,3,6,103519,10967,14,208,6673,6676
526,Rell,4,14,True,1,1,15,18605,7617,13,27,3860,0
61,Orianna,12,4,True,7,2,12,186088,15354,16,254,2031,6653
31,Chogath,12,4,True,1,1,2,126992,9082,15,168,6662,3193
234,Viego,4,11,True,10,0,5,188303,13530,15,22,3111,6632
145,Kaisa,4,7,False,2,7,1,92566,8424,11,168,6676,2055
59,JarvanIV,11,4,False,1,5,3,119744,7812,12,24,6630,2031
223,TahmKench,12,4,False,0,3,0,93055,7739,14,171,6662,3111
147,Seraphine,3,4,False,0,4,5,19992,5825,11,21,3158,6617
1,Annie,4,14,False,4,4,3,92963,9753,14,175,3157,4630
202,Jhin,7,4,True,11,1,7,150168,12874,14,207,6671,3031
12,Alistar,4,14,True,2,3,13,18788,6998,12,30,3860,2055
69,Cassiopeia,12,4,True,4,6,11,98358,10190,14,147,3040,4633
6,Urgot,12,4,True,6,4,12,67024,10247,13,117,6662,3111
141,Kayn,4,11,True,6,1,10,187999,11217,15,25,3042,6630
360,Samira,4,7,False,3,6,4,72356,7959,11,151,1055,1037
85,Kennen,4,12,False,2,5,7,62395,7543,12,139,3152,1052
201,Braum,14,4,False,0,3,7,24769,5036,10,28,3190,2010
13,Ryze,4,12,False,5,9,5,74907,7953,12,121,6656,3157
56,Nocturne,11,4,False,5,6,5,104177,8222,11,23,6631,3053
64,LeeSin,11,4,False,8,5,3,105946,10108,12,32,3047,6630
523,Aphelios,7,4,False,3,5,6,80228,8854,11,154,6673,2031
37,Sona,4,14,False,1,4,11,9188,6161,10,13,3853,2065
7,Leblanc,4,12,False,2,3,4,67803,7412,13,134,6655,3020
133,Quinn,4,14,False,0,15,4,64921,6893,12,131,2015,3006
122,Darius,4,6,True,8,0,7,161723,12661,15,203,4401,6631
48,Trundle,4,11,True,6,4,10,134914,9892,13,42,2055,6632
142,Zoe,14,4,True,4,1,1,97082,9273,14,153,3020,2033
350,Yuumi,14,3,True,2,3,14,10918,7401,11,6,3853,2065
