champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
236,Lucian,4,1,False,2,5,1,34677,5504,9,101,6671,2031
40,Janna,4,14,False,1,6,3,6408,3987,7,7,1004,3009
60,Elise,11,4,False,3,8,2,44303,5042,8,1,3145,2031
41,Gangplank,4,14,False,1,7,0,46454,4733,9,88,3508,3158
127,Lissandra,4,12,False,1,7,2,48134,4514,10,103,1056,2031
92,Riven,4,14,True,9,0,0,63425,8799,12,126,6630,3071
45,Veigar,14,4,True,4,2,6,56663,7606,11,116,1056,6655
267,Nami,4,14,True,2,0,14,13617,6269,10,14,3853,2055
203,Kindred,4,11,True,5,4,7,86367,7749,10,3,0,6671
157,Yasuo,4,3,True,13,2,4,73964,9491,10,109,6673,1038
267,Nami,4,3,False,6,4,24,23187,9414,14,13,6617,3040
9,Fiddlesticks,4,32,False,4,11,19,37537,9335,13,34,1052,6653
86,Garen,4,32,False,9,8,8,24526,9806,13,27,3071,3111
427,Ivern,4,32,False,2,5,22,17651,8408,14,11,6617,3158
82,Mordekaiser,4,32,False,11,6,6,48975,10189,13,42,4633,3116
22,Ashe,4,3,True,4,4,22,35996,9957,14,22,3070,4005
122,Darius,4,32,True,12,9,10,39660,10707,14,25,6630,3111
236,Lucian,4,32,True,7,7,16,63575,11112,14,72,6672,3006
62,MonkeyKing,32,4,True,7,4,14,26847,10977,14,20,6632,3111
103,Ahri,14,4,True,4,8,15,42914,9439,14,47,0,3916
50,Swain,4,7,True,4,7,11,86576,9911,14,150,1026,6653
111,Nautilus,4,14,True,2,3,12,26635,7013,12,43,3860,3190
131,Diana,4,11,True,8,3,14,164195,12156,15,32,3102,3152
104,Graves,4,12,True,11,4,2,133520,12931,15,174,3142,2031
875,Sett,4,12,True,5,3,10,116384,10866,15,160,3053,3111
37,Sona,4,7,False,3,5,11,20626,7383,12,19,3853,3158
9,Fiddlesticks,4,11,False,7,5,9,119447,10519,13,31,3157,1082
126,Jayce,4,12,False,3,6,5,106944,8920,13,168,2031,0
516,Ornn,12,4,False,4,7,3,94467,8355,13,128,1054,3181
498,Xayah,3,4,False,3,7,8,100821,9787,12,162,6672,3006
30,Karthus,4,3,True,7,8,14,123598,12119,15,181,1058,6653
114,Fiora,12,4,True,7,7,9,121207,14142,16,189,3053,3074
103,Ahri,4,14,True,7,5,12,158380,13448,17,216,3089,2055
5,XinZhao,4,11,True,17,5,8,270729,17734,18,46,6673,3072
111,Nautilus,4,14,True,1,5,24,29763,8669,14,33,3076,3111
876,Lillia,4,11,False,7,9,12,192307,12482,16,41,6653,3157
777,Yone,4,12,False,4,10,6,137127,12080,15,198,3031,3072
85,Kennen,4,12,False,7,8,6,126277,13782,16,180,3152,3157
236,Lucian,4,7,False,10,6,4,240861,15856,15,268,3139,6671
350,Yuumi,3,14,False,2,6,16,16625,8180,14,0,3853,3222
4,TwistedFate,4,12,False,3,5,7,142308,11173,15,210,2033,6656
235,Senna,3,4,False,0,8,12,34766,7249,13,11,3009,6632
164,Camille,12,14,False,11,5,6,185633,15409,17,199,3074,3026
2,Olaf,11,6,False,10,4,6,198013,13882,15,59,3065,1031
81,Ezreal,4,1,False,1,9,7,103381,9175,13,180,1055,3042
103,Ahri,4,12,True,4,7,10,126192,11067,16,187,3191,6656
9,Fiddlesticks,4,11,True,9,3,6,168028,12299,16,38,3157,3135
110,Varus,4,7,True,9,5,9,161069,13234,15,206,2421,3042
114,Fiora,12,14,True,9,7,3,161517,15025,18,200,6630,3074
412,Thresh,14,4,True,0,3,21,21677,9250,14,38,2065,3860
51,Caitlyn,4,7,True,3,6,14,65891,8572,11,122,3006,2055
432,Bard,14,4,True,6,2,20,26294,8616,12,36,3860,2065
875,Sett,12,4,True,7,0,17,80178,11337,14,131,2031,6630
64,LeeSin,4,11,True,13,3,10,136263,12766,14,55,2055,3071
101,Xerath,4,12,True,11,3,10,100955,10520,13,119,6655,4628
412,Thresh,14,4,False,0,9,7,12198,5192,10,24,2065,3857
126,Jayce,4,12,False,2,6,3,85130,8706,13,135,2031,3158
61,Orianna,4,12,False,3,8,1,69181,7607,12,127,6655,1058
523,Aphelios,4,7,False,7,8,2,106338,10404,13,185,3036,1037
203,Kindred,4,11,False,2,9,4,70584,6682,11,12,6672,2031
203,Kindred,4,11,True,14,4,10,150250,13824,15,34,6673,3123
887,Gwen,6,12,True,6,1,10,120615,11859,16,183,3157,4633
517,Sylas,4,12,True,10,6,13,89552,11007,14,121,3041,6656
119,Draven,3,4,True,10,7,8,134742,14177,14,152,6673,6676
79,Gragas,14,4,True,3,1,19,54699,9934,13,58,3860,3190
201,Braum,14,4,False,1,9,12,19822,6402,12,32,3067,3857
