champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
76,Nidalee,4,11,False,3,9,1,140669,9732,14,41,4636,3157
157,Yasuo,4,14,False,7,11,3,175309,12530,15,201,1036,3031
887,Gwen,14,12,False,2,10,3,118789,9943,14,168,4637,4633
526,Rell,4,14,False,2,11,4,28317,7351,12,33,3860,3190
429,Kalista,4,7,False,4,9,4,162189,13321,15,241,6673,3006
61,Orianna,4,12,True,14,2,19,184344,16025,17,180,3135,3157
223,TahmKench,12,4,True,7,3,13,79792,11403,16,123,8001,3075
48,Trundle,3,4,True,4,1,30,27993,10650,15,54,3857,3190
202,Jhin,4,7,True,6,7,13,147450,12794,15,182,3009,6671
120,Hecarim,11,14,True,19,5,20,189889,15989,17,39,0,3053
39,Irelia,12,4,False,3,11,6,209654,13925,16,257,1037,6632
234,Viego,4,11,False,7,9,9,200915,14404,16,49,3111,2055
30,Karthus,4,3,False,3,6,12,160267,12925,16,238,1056,1058
126,Jayce,12,4,False,11,7,8,221580,15860,17,233,3123,6695
497,Rakan,4,14,False,1,5,13,30996,8902,15,64,3860,2055
432,Bard,3,4,True,0,5,27,38709,9486,16,35,3190,3853
164,Camille,12,14,True,8,7,10,175045,13682,18,203,1029,3053
76,Nidalee,4,11,True,22,3,9,300706,20587,18,31,3041,3157
103,Ahri,4,7,True,7,4,12,165048,13533,17,235,6655,1026
58,Renekton,4,12,True,1,7,15,273203,14968,17,291,6630,2421
166,Akshan,4,7,True,10,4,5,105947,11666,13,154,3009,1055
85,Kennen,12,4,True,3,3,7,74500,8235,13,146,1026,3152
201,Braum,14,4,True,2,4,14,17843,6394,10,28,1028,0
2,Olaf,11,6,True,8,1,6,158821,11056,13,42,2031,6630
81,Ezreal,7,4,True,7,4,10,104689,10866,13,157,3042,6632
875,Sett,14,4,False,5,6,1,23792,6667,10,48,3009,1028
64,LeeSin,4,11,False,4,5,3,80429,6930,10,19,6630,2055
13,Ryze,4,12,False,3,5,2,133205,9213,14,200,2033,3040
69,Cassiopeia,4,12,False,4,6,3,86018,8170,12,168,4629,6653
523,Aphelios,4,7,False,0,8,6,39597,5623,10,103,6673,3006
81,Ezreal,4,1,True,14,3,7,159216,13430,15,184,6632,2031
164,Camille,12,14,True,2,7,9,37235,8020,13,91,3111,2421
37,Sona,3,4,True,2,4,23,23753,8738,14,13,3853,3222
61,Orianna,4,12,True,4,3,10,142456,11190,15,212,2033,6653
2,Olaf,11,4,True,7,6,4,153355,10500,14,24,6630,3053
107,Rengar,11,14,False,4,4,6,143526,9407,13,35,2422,6692
4,TwistedFate,4,12,False,3,6,9,118460,10755,14,186,2055,6656
30,Karthus,3,4,False,4,7,10,118199,9611,12,148,1056,2420
114,Fiora,4,12,False,12,6,4,104617,12654,14,156,3074,6630
89,Leona,14,4,False,0,6,12,10240,5592,10,22,3190,3855
157,Yasuo,3,4,True,6,2,12,95512,9780,12,125,1055,1018
555,Pyke,14,4,True,7,3,8,16512,9018,10,24,3855,3142
429,Kalista,4,12,True,7,3,9,104326,10068,13,141,6673,3047
13,Ryze,4,12,True,6,1,10,80381,9208,12,127,2033,3157
5,XinZhao,11,4,True,5,4,9,83675,8217,11,14,2031,6630
7,Leblanc,4,12,False,1,6,4,38807,6342,11,115,2033,6655
234,Viego,4,11,False,6,5,2,75104,8117,11,25,2055,3158
523,Aphelios,4,7,False,3,7,4,60251,6665,10,108,1055,6673
40,Janna,4,3,False,0,7,5,8449,4602,9,20,3853,3158
126,Jayce,12,4,False,3,6,7,72612,7352,11,109,0,6692
69,Cassiopeia,4,12,False,7,4,3,119332,10212,15,192,2420,3157
245,Ekko,4,11,False,3,5,8,123153,8485,12,58,1082,2031
555,Pyke,14,4,False,3,6,5,11944,7288,11,16,3864,2031
523,Aphelios,4,7,False,1,6,2,108236,8909,13,188,6671,2055
14,Sion,12,4,False,0,2,4,107543,8265,14,204,8001,6662
39,Irelia,4,12,True,4,6,2,167366,12710,15,239,3153,3091
48,Trundle,14,4,True,3,1,6,25045,7766,12,39,1011,3857
18,Tristana,4,7,True,9,1,3,187953,14167,15,246,0,3006
427,Ivern,11,4,True,2,2,12,494691,10214,14,13,3117,3107
17,Teemo,4,14,True,5,4,2,145782,11663,16,218,3006,4633
39,Irelia,4,12,True,5,7,6,171568,13831,15,215,3153,3047
134,Syndra,12,4,True,6,6,10,172292,12864,17,218,2033,3020
111,Nautilus,4,14,True,3,4,20,26871,9465,14,32,3860,3047
115,Ziggs,12,4,True,13,3,11,233211,15621,16,216,3135,4628
64,LeeSin,4,11,True,14,5,12,169409,15551,16,41,2055,3026
203,Kindred,4,11,False,8,8,5,153668,12279,15,38,6672,3035
85,Kennen,14,4,False,8,5,4,196583,14728,17,255,3157,3152
523,Aphelios,4,7,False,4,6,7,180093,12759,15,247,6673,3006
126,Jayce,12,4,False,3,12,7,130817,10536,14,156,3047,2420
412,Thresh,4,14,False,1,10,13,15406,7615,12,28,3857,3190
126,Jayce,4,12,False,0,8,1,39249,4156,9,90,3134,1036
498,Xayah,7,4,False,1,3,2,32013,4913,8,95,1055,6670
432,Bard,3,4,False,2,4,2,9538,5226,8,12,3851,2055
4,TwistedFate,4,12,False,3,4,2,60217,6137,10,108,6656,3158
64,LeeSin,4,11,False,0,6,2,46289,4003,8,18,2055,2031
236,Lucian,4,12,True,5,1,1,94736,9811,12,139,3158,6671
164,Camille,3,4,True,4,3,7,9415,4767,7,8,3158,3044
68,Rumble,14,4,True,6,1,5,45875,6079,10,66,3020,3152
61,Orianna,12,4,True,3,0,5,62807,7153,11,136,1056,3070
56,Nocturne,4,11,True,7,1,8,100106,8993,11,30,3158,6631
161,Velkoz,7,4,False,9,11,22,79954,14832,18,49,2421,6653
90,Malzahar,3,4,False,8,13,23,88215,15505,18,83,3140,6653
150,Gnar,4,14,False,6,13,22,74952,15065,18,49,3047,3071
145,Kaisa,7,4,False,11,9,25,84351,16193,18,74,6672,3006
238,Zed,4,32,False,18,13,14,62129,17224,18,30,6691,3158
82,Mordekaiser,32,4,True,14,10,16,79508,16258,18,40,4633,3157
40,Janna,4,3,True,3,7,50,33056,15591,18,28,3157,2065
11,MasterYi,4,1,True,13,14,19,66078,16016,18,40,6672,3140
127,Lissandra,32,4,True,10,13,30,144889,16440,18,84,6655,0
51,Caitlyn,4,21,True,18,8,22,148917,19506,18,109,3158,6691
32,Amumu,32,4,False,7,10,26,39280,12689,18,20,3068,3111
235,Senna,4,6,False,13,10,36,60423,16181,18,12,3072,6632
54,Malphite,4,32,False,16,14,19,39454,14622,18,15,4636,3020
523,Aphelios,21,4,False,17,9,18,91358,16060,18,72,6673,3006
498,Xayah,4,7,False,4,8,31,117386,13777,18,112,6673,3111
104,Graves,4,21,True,11,9,20,125610,15243,18,129,6673,3072
55,Katarina,4,32,True,5,11,20,23390,12494,17,9,4633,3115
202,Jhin,7,4,True,5,10,26,64895,13102,18,44,6671,3094
25,Morgana,32,4,True,9,10,30,59807,14556,18,38,6655,3157
517,Sylas,4,32,True,21,17,18,72046,16939,18,23,3157,4629
119,Draven,4,7,False,6,10,11,200517,15710,15,218,6671,3072
58,Renekton,12,4,False,9,9,7,160141,13624,16,195,3071,3047
89,Leona,14,4,False,2,7,17,18326,8450,13,43,2055,3190
429,Kalista,4,1,False,14,2,8,224211,17630,18,257,6673,3036
131,Diana,4,11,False,6,9,18,194426,13459,16,53,3157,3152
39,Irelia,4,12,True,11,9,13,213769,15283,17,244,3153,6630
526,Rell,3,4,True,2,9,23,20722,8232,14,30,3860,3190
4,TwistedFate,4,12,True,4,9,14,173498,13548,17,190,6656,3157
64,LeeSin,4,11,True,10,6,20,183299,14498,16,57,3133,1031
202,Jhin,4,1,True,10,4,9,207119,16829,16,264,3047,6671
114,Fiora,12,4,True,2,3,3,58153,6780,12,130,2031,6630
76,Nidalee,11,4,True,3,3,5,83979,6568,11,7,6656,2031
111,Nautilus,14,4,True,4,2,6,15668,5740,9,25,0,3859
55,Katarina,4,14,True,11,3,3,77491,9779,12,135,3047,2055
110,Varus,4,7,True,5,2,4,79141,10075,12,183,6673,3124
43,Karma,4,3,False,0,5,7,15844,4689,9,14,2065,3853
64,LeeSin,4,11,False,3,1,6,100820,7816,11,7,6630,2055
22,Ashe,4,7,False,3,8,2,36208,5891,9,73,1036,6673
39,Irelia,12,14,False,2,7,1,94113,7103,11,150,3153,1057
164,Camille,12,14,False,5,4,1,65074,7900,12,139,1055,6632
103,Ahri,4,7,True,7,8,20,125821,13243,16,161,3102,6653
246,Qiyana,4,14,True,15,7,11,200542,17957,18,215,6693,3026
43,Karma,4,3,True,2,7,30,41680,10831,15,48,6616,2065
58,Renekton,12,4,True,4,3,15,190909,14211,18,242,3105,2420
76,Nidalee,4,11,True,20,4,12,260448,18980,18,34,3089,3152
79,Gragas,4,12,False,2,5,9,167178,12948,17,211,3157,6656
111,Nautilus,14,4,False,2,12,19,23932,10492,13,34,3190,3857
429,Kalista,4,7,False,11,7,8,255535,18167,18,293,3026,3006
64,LeeSin,4,11,False,8,7,8,203420,14666,16,23,3053,3026
20,Nunu,4,14,False,6,17,10,173267,12174,16,162,1082,3157
104,Graves,12,4,False,3,5,5,100198,8126,12,148,2031,1037
141,Kayn,4,11,False,7,6,5,126079,9740,12,17,6695,3133
22,Ashe,4,7,False,5,7,7,74345,8961,11,137,6673,3091
887,Gwen,12,14,False,2,6,2,82661,8049,13,139,1043,4633
43,Karma,4,14,False,0,8,15,25701,6330,11,22,4642,3853
429,Kalista,4,7,True,9,5,10,134557,12492,14,161,6673,3006
58,Renekton,12,4,True,10,3,4,132735,12138,14,186,6333,2421
432,Bard,4,3,True,1,3,20,11296,7586,12,13,2055,3190
64,LeeSin,4,11,True,7,2,11,118512,10632,13,19,3053,2055
134,Syndra,4,14,True,5,4,7,91999,9850,13,146,3040,2421
134,Syndra,4,1,False,1,4,2,93635,8127,12,177,3040,6653
111,Nautilus,4,14,False,0,9,3,14517,4831,8,20,3859,3105
429,Kalista,4,12,False,5,2,6,153959,13091,14,209,2420,3124
104,Graves,4,11,False,4,1,5,168773,10129,13,33,6676,3035
13,Ryze,4,12,False,5,6,4,123923,9473,13,178,2033,6655
41,Gangplank,12,4,True,3,5,4,108566,10245,14,182,2033,6632
110,Varus,4,7,True,6,1,10,122313,11621,13,197,3042,3134
236,Lucian,4,12,True,8,4,4,130041,11620,15,193,3042,6692
89,Leona,4,14,True,1,2,11,16263,6047,11,31,0,3860
154,Zac,11,4,True,4,3,10,89389,8351,12,11,0,3143
111,Nautilus,4,14,True,2,8,22,31803,9810,15,36,0,3157
115,Ziggs,4,12,True,5,4,10,217917,14320,17,226,6653,3135
246,Qiyana,14,4,True,17,10,6,117846,14877,15,144,3004,3814
76,Nidalee,4,11,True,9,7,17,212785,14822,17,47,4636,3057
58,Renekton,4,12,True,11,5,8,151190,17263,17,212,3193,3143
105,Fizz,14,4,False,7,9,6,118915,13784,15,189,3100,6655
43,Karma,14,4,False,0,10,11,19885,7167,12,10,3853,2065
234,Viego,4,11,False,12,10,6,155337,12633,15,19,6632,2420
236,Lucian,4,12,False,13,11,6,212605,17132,16,215,6676,6694
22,Ashe,4,7,False,2,4,7,165352,11606,16,231,3036,2055
157,Yasuo,4,3,True,5,3,4,65266,7764,11,134,1055,3006
236,Lucian,4,12,True,1,4,5,48357,5518,11,117,6672,3158
131,Diana,4,11,True,6,1,9,110811,8840,11,17,3152,2031
3,Galio,14,4,True,4,3,9,17458,5261,8,21,3158,2055
62,MonkeyKing,12,4,True,4,3,2,46234,6184,11,103,3047,2031
89,Leona,4,14,False,4,6,2,8227,5157,7,23,2055,3859
58,Renekton,4,12,False,1,3,6,52051,5880,11,118,2031,6630
126,Jayce,4,12,False,3,5,3,63223,6831,11,124,3158,3070
79,Gragas,4,11,False,6,3,0,75023,6889,10,3,2055,3020
18,Tristana,3,4,False,0,3,4,43172,5390,9,108,6672,0
523,Aphelios,4,7,True,9,1,9,139804,12988,14,191,6673,0
245,Ekko,11,4,True,6,4,7,146232,10321,13,23,3152,2420
68,Rumble,4,14,True,7,6,6,104941,11298,14,151,3152,3157
201,Braum,14,4,True,2,1,19,18990,8076,12,28,2031,3857
246,Qiyana,14,4,True,8,4,6,104195,10099,14,151,3142,2031
498,Xayah,7,4,False,3,8,1,103118,8924,13,181,3006,6672
76,Nidalee,4,11,False,3,8,6,92139,7609,12,8,2421,2055
236,Lucian,4,7,False,7,1,4,134477,12349,15,212,1055,6671
89,Leona,4,14,False,0,8,7,16164,5098,11,29,3190,0
39,Irelia,4,12,False,3,7,3,127207,9639,14,188,0,3047
64,LeeSin,4,11,True,18,1,7,126764,12942,13,24,3053,3026
117,Lulu,4,14,True,5,3,15,14743,8659,10,11,3853,6617
523,Aphelios,4,7,True,7,3,9,99465,10854,12,159,3123,6673
58,Renekton,4,12,True,4,2,6,91236,8967,13,147,6630,1028
4,TwistedFate,4,12,True,0,3,12,89295,7888,13,142,1056,6656
39,Irelia,4,12,False,3,7,2,98582,8316,12,165,3153,3047
81,Ezreal,4,12,False,6,9,1,79620,8014,11,144,3042,2031
45,Veigar,4,12,False,2,5,1,73544,6525,12,141,1052,1056
350,Yuumi,3,7,False,0,8,7,12351,5039,9,2,3853,2065
203,Kindred,4,11,False,1,5,2,74056,5866,10,29,6673,2031
