champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
81,Ezreal,4,7,False,3,5,3,85464,8711,12,168,3042,2031
103,Ahri,4,12,False,1,6,4,58247,6163,11,114,2033,6656
26,Zilean,4,3,False,1,6,3,12788,4902,9,15,3853,2065
266,Aatrox,12,4,False,4,6,0,63403,7057,13,122,1055,6630
104,Graves,4,11,False,2,6,3,120060,7848,12,41,6676,1001
76,Nidalee,4,11,True,9,3,10,141367,10848,14,16,4636,3157
526,Rell,14,4,True,3,2,10,22688,6364,11,34,2055,3158
29,Twitch,7,4,True,3,0,9,82149,8848,12,163,1055,3006
85,Kennen,4,12,True,1,4,3,87896,7901,13,169,1052,0
166,Akshan,14,4,True,13,2,5,113499,11228,14,157,1055,2031
26,Zilean,4,14,False,0,4,6,12793,4846,9,19,2065,2055
29,Twitch,4,7,False,1,2,2,61847,7295,11,148,1083,6671
14,Sion,12,4,False,1,9,0,91944,6404,12,156,3076,2033
238,Zed,14,4,False,3,4,3,61785,6826,12,133,1054,6691
131,Diana,11,4,False,5,2,2,137045,8559,12,22,3152,3157
81,Ezreal,4,7,True,3,0,3,85261,8662,12,178,3042,2031
23,Tryndamere,6,4,True,9,0,0,165290,11698,15,170,6672,1018
101,Xerath,4,21,True,2,4,3,67293,6301,11,131,1056,1082
432,Bard,3,4,True,3,2,7,16950,5871,10,28,2055,3111
887,Gwen,4,11,True,4,4,4,120708,7765,12,12,3115,1082
82,Mordekaiser,4,12,False,2,3,0,59105,5551,12,119,1026,2031
35,Shaco,11,3,False,3,4,2,58805,5465,10,21,6691,2031
145,Kaisa,7,4,False,6,4,2,39945,6919,9,89,6671,2031
103,Ahri,4,14,False,1,2,2,49122,5387,10,115,3802,2033
875,Sett,14,4,False,0,8,4,12930,3555,7,21,1028,3047
55,Katarina,12,14,True,2,2,2,53991,5975,10,108,3152,2031
150,Gnar,12,4,True,2,2,1,55230,5898,12,122,1055,3111
222,Jinx,4,1,True,10,2,5,99314,9442,10,129,3006,6672
37,Sona,4,7,True,3,4,13,15790,6680,9,13,3853,0
20,Nunu,4,11,True,4,2,5,74536,6770,10,9,0,2031
27,Singed,14,6,True,2,7,15,132269,12157,17,208,3047,3157
876,Lillia,4,11,True,14,5,4,284951,17691,18,103,6653,3157
497,Rakan,14,4,True,0,6,19,15806,8799,14,11,3222,3158
21,MissFortune,4,7,True,5,8,8,147230,13323,15,198,6671,3036
104,Graves,4,12,True,9,10,8,195157,13860,16,211,6692,6695
64,LeeSin,4,11,False,15,6,9,197856,14245,16,21,6630,3026
7,Leblanc,4,14,False,9,5,13,122646,13849,16,206,4629,3108
110,Varus,4,7,False,4,4,11,173834,12447,15,243,1036,1036
114,Fiora,4,12,False,4,7,9,150235,11807,16,187,3074,6630
37,Sona,4,3,False,3,8,17,15701,8479,13,12,3011,3853
432,Bard,3,4,True,4,1,22,15722,9017,13,10,4629,3009
523,Aphelios,7,4,True,3,4,6,77437,9170,11,106,6671,0
126,Jayce,4,12,True,7,8,4,126367,10242,14,155,0,6695
64,LeeSin,11,4,True,16,6,8,150470,13325,13,37,6630,2055
4,TwistedFate,12,4,True,12,2,7,132545,14523,15,190,6656,1058
222,Jinx,4,7,False,5,7,5,103209,10307,12,168,1055,3006
141,Kayn,11,4,False,4,6,1,118884,8039,12,49,3042,0
43,Karma,4,14,False,2,9,11,31093,6657,11,27,3853,2065
518,Neeko,4,12,False,3,9,7,81373,8563,13,136,3020,1082
67,Vayne,12,4,False,7,11,1,73249,9520,13,156,6673,3006
245,Ekko,6,32,True,12,14,24,52854,13607,18,29,4636,3020
254,Vi,32,4,True,5,14,18,36699,11837,17,37,3047,3053
40,Janna,32,4,True,3,8,41,10763,12892,18,12,6617,4642
8,Vladimir,6,4,True,17,8,31,101890,15452,18,60,3089,4629
235,Senna,4,3,True,25,7,30,113223,18323,18,59,6672,3124
203,Kindred,7,4,False,15,13,17,81716,15146,18,65,1053,3031
127,Lissandra,32,4,False,11,12,23,74688,13681,18,47,3157,3112
23,Tryndamere,4,32,False,15,17,17,59200,14745,18,33,3006,3031
516,Ornn,32,4,False,6,9,21,55864,12317,18,38,2051,3193
497,Rakan,4,32,False,3,11,30,19898,11024,17,12,7014,3107
45,Veigar,3,4,False,10,12,13,70128,11810,15,45,3135,6655
58,Renekton,32,4,False,6,13,15,44661,11316,16,30,2051,6630
86,Garen,6,4,False,7,13,11,28574,10327,16,25,6631,3143
30,Karthus,4,32,False,14,15,15,90531,14056,18,71,3040,6653
105,Fizz,32,4,False,4,14,18,30137,9687,15,21,6655,3158
141,Kayn,6,32,True,4,15,31,23848,10151,16,5,6630,3042
85,Kennen,32,4,True,9,8,36,32737,12113,17,17,3089,3020
166,Akshan,32,4,True,15,10,27,59076,14296,17,31,6673,3111
90,Malzahar,4,6,True,20,6,31,76210,15208,18,63,2421,3020
202,Jhin,6,4,True,19,3,30,83877,14848,18,88,3158,6692
523,Aphelios,7,4,False,4,8,10,108612,10210,13,169,3036,3086
58,Renekton,12,4,False,5,8,8,127802,10334,14,176,3053,2421
60,Elise,4,11,False,5,8,14,85038,10122,13,56,3020,4630
517,Sylas,4,12,False,8,7,7,147384,12134,15,199,3135,1052
412,Thresh,14,4,False,3,9,11,20257,6906,12,27,3107,3009
5,XinZhao,4,11,True,5,8,15,147227,11612,14,33,3111,6630
48,Trundle,14,4,True,2,4,21,22524,8760,13,33,3190,3857
41,Gangplank,4,12,True,7,7,11,138527,12835,15,174,3047,3053
17,Teemo,4,14,True,8,3,10,156056,13916,16,187,3165,4633
202,Jhin,7,4,True,18,3,12,162127,15621,15,155,1033,3094
360,Samira,3,4,False,15,9,6,228517,18068,17,246,3031,6673
234,Viego,4,11,False,11,2,15,313858,18707,18,113,3111,3053
64,LeeSin,12,4,False,3,5,8,169942,12224,17,202,1031,3076
112,Viktor,4,12,False,12,7,11,264895,18469,18,274,6655,3135
89,Leona,14,4,False,0,7,22,25583,9960,15,42,3190,3857
13,Ryze,12,4,True,3,9,11,234851,14621,18,257,3165,3157
526,Rell,14,4,True,1,9,20,26703,9824,15,35,2421,3075
114,Fiora,4,12,True,7,8,4,240587,17247,18,272,6630,3026
120,Hecarim,4,11,True,11,8,9,238239,18257,18,69,3047,3105
18,Tristana,4,7,True,8,7,11,366813,19851,18,347,6672,3036
875,Sett,12,4,True,4,5,2,166758,12889,17,215,6630,8001
18,Tristana,7,4,True,10,3,4,247210,17764,17,297,3046,2420
104,Graves,4,11,True,4,4,11,206024,12556,17,62,1018,0
111,Nautilus,14,4,True,0,5,13,22618,7849,14,41,2055,3190
69,Cassiopeia,4,12,True,9,5,6,175798,15037,17,225,6653,4629
432,Bard,14,4,False,1,3,13,19875,7684,12,37,3110,3009
15,Sivir,3,4,False,1,6,5,239057,13725,16,301,3035,6672
28,Evelynn,4,11,False,8,5,3,148445,11494,15,11,1082,3102
126,Jayce,12,4,False,6,10,7,223915,14534,16,201,6695,2420
238,Zed,4,14,False,6,3,6,172335,13089,16,221,6691,6694
25,Morgana,32,4,True,15,13,42,124963,20616,18,77,6653,3157
126,Jayce,6,32,True,25,17,33,167486,22216,18,76,3071,3042
54,Malphite,32,4,True,17,13,33,114338,21268,18,91,3157,3107
50,Swain,6,4,True,22,12,29,152284,21716,18,74,4633,3020
246,Qiyana,4,32,True,4,13,19,70886,16206,18,28,3158,6695
43,Karma,32,4,False,10,14,36,88814,18688,18,41,3165,3157
161,Velkoz,32,4,False,12,17,31,120040,18860,18,44,6653,3157
104,Graves,32,4,False,27,20,14,235477,25300,18,148,6691,3036
26,Zilean,4,3,False,4,16,35,116896,17721,18,85,6655,3157
36,DrMundo,4,32,False,14,16,25,120209,19532,18,77,3047,3075
31,Chogath,4,32,False,13,12,22,52772,13421,18,37,3110,8001
202,Jhin,4,3,False,23,10,17,110746,17458,18,102,6671,6676
59,JarvanIV,32,4,False,5,15,40,43744,12326,17,33,6630,1011
111,Nautilus,4,32,False,9,13,32,38934,12180,17,16,3111,3075
25,Morgana,4,13,False,6,13,34,50602,12388,17,35,6653,4637
147,Seraphine,6,32,True,9,12,42,66849,14525,18,33,6653,3020
555,Pyke,32,4,True,21,9,23,35733,17944,18,9,6691,3111
39,Irelia,32,4,True,13,13,34,103965,15101,18,91,6632,3111
51,Caitlyn,4,1,True,13,9,27,65252,13576,18,31,6672,3094
163,Taliyah,32,4,True,7,13,26,64270,12462,17,33,6653,3020
245,Ekko,4,32,False,10,15,31,112861,18274,18,58,3068,3111
28,Evelynn,32,4,False,15,13,25,117695,18730,18,53,4629,6655
21,MissFortune,7,4,False,6,19,21,90357,16297,18,64,6671,2031
112,Viktor,4,6,False,11,18,27,135933,18762,18,64,3157,6653
266,Aatrox,4,32,False,16,17,22,133841,19264,18,77,3071,3053
15,Sivir,3,4,True,23,14,37,270077,22790,18,191,6673,3006
223,TahmKench,32,4,True,9,10,34,54118,17716,18,32,6662,3075
91,Talon,32,4,True,29,15,27,155625,21702,18,67,3111,6630
350,Yuumi,3,14,True,13,7,58,48997,19519,18,7,6655,3165
45,Veigar,3,4,True,8,12,27,91370,17079,18,59,4401,6656
26,Zilean,4,21,False,6,8,13,43701,10571,15,35,6653,3158
67,Vayne,1,4,False,12,7,9,50032,13477,15,51,3006,6673
3,Galio,32,4,False,3,11,13,34042,9649,14,15,3009,6656
523,Aphelios,32,4,False,3,8,15,79695,11146,15,83,6672,3006
78,Poppy,4,32,False,5,11,16,32139,10205,15,10,3076,3068
498,Xayah,3,4,True,11,7,24,59326,11709,15,47,6672,3508
61,Orianna,32,4,True,6,4,34,44727,11056,16,37,6655,2031
22,Ashe,1,4,True,15,5,23,65222,13330,16,56,3006,6673
16,Soraka,3,4,True,3,6,32,11409,10114,15,5,3158,6656
75,Nasus,32,6,True,10,7,22,50026,11758,16,47,6632,3111
110,Varus,4,3,True,16,5,21,135641,17551,18,113,3158,3042
85,Kennen,32,4,True,13,9,27,59597,15592,18,27,3089,3020
17,Teemo,32,4,True,10,9,15,42281,13675,18,18,4633,4637
3,Galio,32,4,True,7,11,29,39331,14678,18,27,3083,3193
145,Kaisa,4,21,True,13,6,27,86103,16432,18,61,6655,4628
89,Leona,4,21,False,0,12,28,29344,12220,18,16,3068,3047
34,Anivia,4,7,False,11,13,12,80823,15700,18,65,3112,4632
157,Yasuo,32,4,False,6,13,13,72994,13839,18,62,3006,6673
81,Ezreal,3,4,False,6,11,15,71133,13436,18,58,6632,3042
104,Graves,4,32,False,17,10,11,118385,17812,18,103,6673,3006
166,Akshan,4,12,False,1,3,2,46522,4501,9,91,1018,1053
60,Elise,4,11,False,0,5,5,36123,4042,8,3,3020,2031
12,Alistar,14,4,False,0,3,5,10861,3343,7,20,6660,3009
