champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
141,Kayn,4,11,True,10,6,7,261279,16402,18,47,3047,6630
37,Sona,4,3,True,4,7,19,21499,10738,15,15,3070,6617
236,Lucian,7,4,True,4,9,11,202995,14079,16,221,3031,6671
126,Jayce,4,12,True,6,9,10,193100,14090,17,217,3042,6695
134,Syndra,12,4,True,9,6,9,215683,17052,18,253,3040,3157
147,Seraphine,4,7,False,2,5,12,124134,10600,15,191,6653,3108
234,Viego,11,4,False,12,9,13,210679,15483,17,45,3006,3026
43,Karma,4,14,False,5,5,16,53113,10422,15,48,3853,2055
62,MonkeyKing,12,4,False,10,8,12,140945,15204,17,218,3026,6632
23,Tryndamere,6,4,False,8,6,5,284440,16563,18,276,3031,6675
164,Camille,12,4,False,4,6,7,109089,11437,16,174,3074,3047
245,Ekko,4,11,False,5,10,10,198059,12181,16,64,3157,3152
39,Irelia,12,4,False,9,9,10,274490,16203,18,312,3153,3026
267,Nami,4,14,False,2,9,19,15718,8771,14,21,3011,3158
51,Caitlyn,4,7,False,15,6,7,243389,17124,17,236,2421,3006
555,Pyke,14,4,True,5,12,13,45972,12475,14,51,3857,0
107,Rengar,4,12,True,9,4,10,201211,17536,18,231,6630,3142
523,Aphelios,4,7,True,10,4,8,234294,16861,17,230,3036,6673
78,Poppy,4,12,True,8,9,13,126295,13170,17,154,8001,6632
30,Karthus,4,11,True,8,6,17,259292,15252,18,53,1052,3135
13,Ryze,12,4,True,5,5,11,208198,14186,17,232,3040,3108
236,Lucian,4,7,True,11,5,7,161759,14201,15,208,6671,2420
267,Nami,4,14,True,3,5,18,9906,8776,13,18,2065,3158
85,Kennen,12,4,True,7,4,14,136001,13920,16,184,3152,3157
64,LeeSin,11,4,True,8,6,16,166152,13109,16,45,0,6630
53,Blitzcrank,4,14,False,2,8,12,17770,7566,12,28,3050,3190
43,Karma,4,12,False,5,5,9,150040,11999,16,219,4629,6655
58,Renekton,4,12,False,1,9,6,108415,8460,15,176,6630,3053
76,Nidalee,4,11,False,7,7,6,179367,11669,15,21,3157,2055
22,Ashe,4,7,False,10,5,4,140346,13481,15,222,6673,3091
6,Urgot,32,4,False,3,7,14,28233,7549,12,19,3077,3111
498,Xayah,7,4,False,1,5,15,24709,7401,12,26,3006,3133
147,Seraphine,3,4,False,9,4,15,27664,9506,13,26,3003,0
30,Karthus,4,32,False,5,10,10,32636,8682,12,23,6653,3020
39,Irelia,4,32,False,8,11,6,28252,8436,12,37,3153,3047
1,Annie,4,32,True,7,7,17,24608,8702,13,15,2031,3157
82,Mordekaiser,4,32,True,9,6,14,32523,9665,13,32,3112,3047
161,Velkoz,32,4,True,3,5,19,25874,8231,13,22,6653,3020
110,Varus,7,4,True,12,2,18,46348,11589,14,39,3042,6691
18,Tristana,7,4,True,6,6,16,29183,8763,13,37,3006,6672
37,Sona,4,7,True,0,2,8,11056,5328,9,9,3158,3070
104,Graves,4,12,True,1,3,3,110551,8728,13,168,2055,6692
523,Aphelios,4,1,True,5,1,3,100498,10062,12,158,6673,3086
