champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
7,Leblanc,4,14,False,13,3,7,117563,13973,16,173,6655,3157
164,Camille,12,4,False,4,8,4,107913,10857,15,177,3074,2421
81,Ezreal,7,4,False,4,7,10,140041,11578,14,206,6694,0
104,Graves,11,4,False,8,7,8,190582,12001,15,45,6692,6676
497,Rakan,4,14,False,0,6,14,18035,7318,12,40,3916,3111
203,Kindred,3,4,True,7,7,12,134295,12583,14,168,6671,6676
141,Kayn,4,11,True,9,5,12,196538,12902,16,33,6693,0
13,Ryze,4,12,True,1,5,11,153500,10653,15,213,4632,3111
37,Sona,4,7,True,1,7,15,21849,8221,12,20,3853,3158
126,Jayce,4,12,True,12,5,12,173103,15234,16,219,6692,3042
164,Camille,12,14,False,1,8,0,68982,6836,12,144,1055,3078
238,Zed,4,14,False,2,10,0,88490,7741,12,152,3158,2031
45,Veigar,12,4,False,3,5,1,102607,9831,13,195,3067,6656
526,Rell,4,14,False,1,5,1,17713,5712,10,24,3190,3860
427,Ivern,11,4,False,0,3,1,336653,6860,13,37,3158,6617
40,Janna,3,4,True,0,0,23,20150,7568,12,14,2065,3853
64,LeeSin,4,11,True,12,0,9,153926,13359,14,56,3026,2055
7,Leblanc,4,14,True,8,3,12,94445,10586,14,164,2033,6655
235,Senna,4,7,True,2,2,18,115636,10744,14,175,3124,0
114,Fiora,4,12,True,9,2,4,121374,10740,15,186,2055,6630
64,LeeSin,11,4,True,11,3,9,143998,12148,14,47,2055,6630
69,Cassiopeia,4,12,True,5,3,6,62470,8635,13,135,2033,6653
126,Jayce,4,12,True,5,4,2,131323,10195,14,150,6692,2031
119,Draven,7,4,True,12,3,5,171155,15390,14,190,2055,3094
12,Alistar,14,4,True,1,6,19,21594,7243,11,34,1033,3859
76,Nidalee,4,11,False,5,9,7,101564,8908,12,14,3020,4636
61,Orianna,12,4,False,4,6,4,88879,8683,13,171,2033,3040
110,Varus,4,7,False,3,7,6,90711,7917,12,151,2055,6691
23,Tryndamere,6,4,False,4,4,8,116494,10314,14,171,1054,6675
111,Nautilus,4,14,False,3,8,7,20277,5606,10,30,3859,3190
517,Sylas,4,12,True,7,5,5,110624,11379,15,172,6656,2421
43,Karma,14,4,True,5,4,13,33237,8332,12,14,6617,3853
164,Camille,12,4,True,10,3,7,135629,13718,15,168,3053,1055
28,Evelynn,11,4,True,12,1,10,165074,12438,16,21,3152,0
81,Ezreal,7,4,True,5,5,9,107325,10331,13,180,3042,3078
114,Fiora,12,4,False,4,10,2,78741,8230,13,146,6630,2031
147,Seraphine,3,4,False,3,5,10,38524,7137,11,35,3853,6617
103,Ahri,14,4,False,1,8,3,73895,6875,12,131,6656,3916
60,Elise,4,11,False,7,7,8,77205,9635,12,28,4636,2031
236,Lucian,7,4,False,3,9,6,88693,8851,11,141,3508,6671
202,Jhin,4,7,False,1,8,11,111388,8404,12,163,3036,6671
107,Rengar,12,4,False,9,8,2,105156,10760,14,146,3134,3153
126,Jayce,12,4,False,5,7,7,160832,12454,15,215,6692,3042
30,Karthus,3,11,False,5,6,6,182083,10912,14,62,6653,3165
350,Yuumi,14,3,False,1,7,12,8851,6471,11,15,2055,3222
134,Syndra,4,12,True,4,7,10,100912,9732,14,146,3157,2033
64,LeeSin,11,4,True,6,4,16,140075,12074,15,30,2055,6630
164,Camille,4,12,True,17,2,10,183564,17221,17,184,3074,3158
497,Rakan,14,4,True,2,4,19,18013,8283,13,40,3190,3860
15,Sivir,4,7,True,7,4,14,149433,12832,15,200,6673,3031
69,Cassiopeia,4,12,False,4,5,6,102492,9377,14,179,6653,4629
360,Samira,4,3,False,1,3,6,111592,9407,13,194,3047,6673
526,Rell,14,4,False,1,8,6,19543,5833,10,27,3067,3190
64,LeeSin,11,4,False,10,4,4,135393,11645,13,15,6630,2055
164,Camille,12,14,False,4,9,2,101164,9140,14,146,1055,3123
