champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
20,Nunu,4,11,True,10,2,13,137402,11392,14,24,3068,3075
101,Xerath,7,4,True,6,6,5,82929,8359,12,130,3020,6655
517,Sylas,4,12,True,4,4,8,77047,7801,13,117,1056,3158
246,Qiyana,4,14,True,18,2,5,124059,13209,15,163,3158,0
412,Thresh,4,3,True,0,2,16,13887,5888,11,33,2031,3855
523,Aphelios,7,4,False,1,9,5,72377,7277,11,131,6673,3006
99,Lux,14,4,False,2,5,6,28261,6305,10,21,3020,6655
131,Diana,11,4,False,7,6,3,127716,9689,13,50,3152,3157
157,Yasuo,12,4,False,3,9,1,161925,10032,13,158,1055,1053
245,Ekko,12,4,False,3,10,1,83044,7535,12,133,1056,3020
54,Malphite,4,12,True,6,4,6,122069,11903,17,177,6662,2033
238,Zed,14,4,True,6,5,6,199734,14250,18,234,3142,6693
26,Zilean,14,4,True,4,3,14,42411,10443,16,28,3853,3157
141,Kayn,4,11,True,9,4,7,247515,14962,18,37,6693,3042
101,Xerath,7,4,True,13,3,9,221661,16205,18,235,3020,3157
236,Lucian,7,4,False,4,8,2,155690,11904,14,226,3006,6673
40,Janna,14,4,False,1,10,10,14339,7785,13,23,3853,3158
104,Graves,11,4,False,2,7,8,223524,11206,15,56,6673,6676
114,Fiora,12,4,False,4,6,5,203334,14518,17,281,2420,6631
7,Leblanc,4,14,False,8,7,5,115704,12227,15,160,3157,4629
157,Yasuo,4,3,False,4,11,2,97632,9396,12,153,6673,1038
25,Morgana,14,4,False,3,14,3,17381,6683,10,21,3916,3916
58,Renekton,4,12,False,10,9,3,116377,12612,13,138,6630,3142
134,Syndra,14,4,False,2,12,5,72966,7570,12,112,6655,3191
20,Nunu,4,11,False,1,3,11,123142,8371,13,24,3111,3075
64,LeeSin,4,11,True,18,4,16,127262,13651,14,19,2055,6630
56,Nocturne,14,12,True,5,8,20,90032,9436,13,92,3142,6630
101,Xerath,7,4,True,14,3,19,129538,12466,14,161,3020,3089
517,Sylas,4,12,True,11,2,12,105124,11901,14,137,3158,4629
48,Trundle,4,3,True,1,4,23,24114,6737,11,31,0,3855
67,Vayne,4,12,False,10,12,0,199206,15824,17,226,3026,6673
37,Sona,4,3,False,2,7,12,21152,8830,14,25,3853,3011
268,Azir,4,14,False,5,9,5,134158,10882,14,167,3135,3157
59,JarvanIV,4,11,False,3,9,11,141380,10493,15,60,1037,6692
29,Twitch,14,4,False,5,8,8,170558,13100,16,244,3089,4633
101,Xerath,7,4,True,8,2,13,224616,15025,16,229,3020,3089
164,Camille,4,12,True,9,8,9,95499,11369,15,105,1037,0
350,Yuumi,3,14,True,2,2,19,16828,9152,15,5,3853,0
246,Qiyana,4,12,True,12,9,6,133648,14116,16,180,6693,3042
64,LeeSin,4,11,True,14,4,12,166695,16003,17,49,3026,6630
432,Bard,4,3,True,0,3,16,14464,6315,12,15,0,3853
55,Katarina,14,12,True,16,3,2,112416,12755,13,165,3041,3089
