champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
350,Yuumi,7,3,False,2,1,10,9957,6263,11,7,0,3853
22,Ashe,1,4,False,3,3,7,99844,9489,13,195,1042,2055
3,Galio,4,12,False,3,3,6,87222,8283,13,154,6656,2031
203,Kindred,11,4,False,6,5,7,142016,9873,12,17,6672,2031
58,Renekton,4,12,False,3,7,7,112103,9726,14,146,2420,2055
12,Alistar,4,14,True,0,4,8,13872,6301,11,31,1029,3190
92,Riven,14,4,True,2,6,9,136025,10328,14,181,3158,3071
20,Nunu,11,14,True,8,4,8,161909,10831,14,30,3089,3020
62,MonkeyKing,4,12,True,5,1,7,130370,14599,15,191,3047,3142
202,Jhin,4,1,True,4,2,5,126505,10834,14,218,1001,6692
141,Kayn,11,4,False,7,8,4,221031,13254,17,77,6693,0
80,Pantheon,4,14,False,7,5,9,49248,11121,14,52,3857,3179
517,Sylas,12,4,False,1,10,11,107336,10320,16,168,2055,3047
875,Sett,4,12,False,6,8,8,147180,13986,17,190,6631,2055
81,Ezreal,7,4,False,8,3,6,252623,16750,17,276,6694,3074
111,Nautilus,14,4,True,1,6,19,25758,8834,15,39,0,3190
9,Fiddlesticks,11,4,True,9,4,11,194095,14785,16,41,0,3020
202,Jhin,4,1,True,7,4,11,206593,15715,16,205,3094,3031
17,Teemo,4,14,True,10,6,8,173713,14399,17,173,3157,3020
246,Qiyana,14,4,True,7,9,8,192756,14659,17,243,6694,6333
350,Yuumi,3,14,False,2,5,3,10045,5431,10,11,3853,6617
240,Kled,4,12,False,6,6,3,80096,10044,13,125,1055,6630
222,Jinx,7,4,False,0,6,2,78128,6920,10,134,6672,3006
16,Soraka,4,21,False,1,4,2,59617,6062,11,121,1056,1004
107,Rengar,11,4,False,8,6,2,152386,11136,14,43,6691,3158
119,Draven,4,7,True,9,1,10,127118,13875,13,162,6673,3031
6,Urgot,4,12,True,2,7,2,131165,10270,14,161,3181,3133
203,Kindred,11,4,True,11,3,9,152445,12069,14,41,6672,3006
44,Taric,4,14,True,1,2,18,26504,7618,12,35,3190,3158
7,Leblanc,14,4,True,4,4,9,48853,7468,12,101,0,1056
103,Ahri,4,14,False,5,6,6,95308,10190,15,164,3916,1026
51,Caitlyn,1,4,False,7,6,2,183628,14185,14,222,1018,6673
432,Bard,4,3,False,0,6,8,9252,6461,12,7,3853,3190
9,Fiddlesticks,11,4,False,4,6,4,162382,9825,15,35,4636,3020
126,Jayce,12,4,False,4,6,5,163568,12291,15,211,6692,6694
202,Jhin,4,7,True,9,1,7,156090,15029,15,208,6671,6676
92,Riven,12,4,True,2,6,6,130167,11160,16,205,3071,3158
89,Leona,14,4,True,3,1,21,20869,9579,14,38,3190,3857
64,LeeSin,4,11,True,13,5,11,175518,14274,16,28,3067,3111
875,Sett,4,12,True,3,7,6,113660,10508,16,168,6631,3001
497,Rakan,14,4,True,3,2,6,8779,4949,8,22,2065,2031
23,Tryndamere,6,4,True,4,1,4,89798,8286,12,137,3006,6671
11,MasterYi,11,14,True,3,2,2,85976,5950,10,16,6672,1001
268,Azir,14,4,True,8,2,2,58703,7680,11,106,6653,1056
15,Sivir,4,7,True,2,1,5,39185,5286,8,94,3070,1036
104,Graves,4,11,False,1,3,1,57573,4524,9,16,6692,2031
107,Rengar,14,4,False,3,4,1,43239,5757,8,116,1054,1036
427,Ivern,7,3,False,0,3,5,9550,3685,8,28,4642,3158
517,Sylas,4,12,False,2,6,1,30953,4482,9,64,1082,0
27,Singed,6,12,False,2,5,1,54074,5361,10,102,3047,2033
34,Anivia,12,4,True,6,6,6,165665,12017,15,166,3040,3020
37,Sona,7,4,True,2,1,25,22935,9028,14,20,3853,2421
76,Nidalee,4,11,True,15,1,12,199875,15265,16,60,4636,4628
80,Pantheon,4,14,True,6,2,18,127745,11543,16,153,3047,6631
30,Karthus,4,12,True,9,5,12,175995,13299,15,196,4637,3157
39,Irelia,4,12,False,2,8,4,142571,10213,14,198,2033,3091
143,Zyra,3,4,False,2,8,4,48066,6903,11,38,6653,4632
240,Kled,14,12,False,4,9,4,112737,11545,14,183,3748,6630
9,Fiddlesticks,11,4,False,3,7,4,133764,9515,13,18,3020,4636
523,Aphelios,7,4,False,4,6,5,110416,10260,13,193,6673,1038
13,Ryze,4,12,False,1,9,8,71696,6357,12,135,3070,2031
102,Shyvana,11,4,False,3,4,5,124424,8122,12,39,3115,2031
98,Shen,4,14,False,3,10,6,15747,6467,9,25,3855,3190
51,Caitlyn,7,4,False,1,5,6,69777,6468,11,130,6671,3134
164,Camille,12,4,False,6,9,3,45865,7792,11,91,1054,3077
64,LeeSin,4,11,True,7,4,12,101917,9582,12,15,6630,0
240,Kled,4,12,True,14,3,12,122265,14036,14,156,3053,6630
30,Karthus,4,3,True,8,5,6,114639,10716,14,164,3157,1056
432,Bard,3,4,True,1,1,22,22487,7491,11,13,3853,3190
523,Aphelios,4,7,True,7,1,9,90890,10791,12,142,1055,6676
1,Annie,14,4,False,4,4,6,81630,10009,14,165,3135,3191
18,Tristana,4,7,False,9,6,3,162484,13867,15,224,3006,6671
98,Shen,12,4,False,1,4,6,80280,8977,15,179,1054,3075
78,Poppy,11,4,False,3,8,7,113877,9647,13,35,6662,3742
412,Thresh,4,14,False,1,7,10,20176,7698,12,37,3107,3857
246,Qiyana,14,4,True,12,2,7,159521,14139,16,171,6630,3158
164,Camille,4,12,True,3,2,9,118330,11350,16,184,6632,3053
235,Senna,4,7,True,5,5,12,50447,10139,12,22,2055,3124
101,Xerath,4,21,True,4,5,11,158240,11762,15,176,4628,3157
245,Ekko,11,4,True,5,4,8,236346,12998,17,48,3102,3152
51,Caitlyn,7,4,True,5,1,5,243731,13770,15,277,1055,6673
64,LeeSin,4,12,True,7,1,6,124845,11939,15,147,6630,3071
131,Diana,14,4,True,6,0,6,195266,13904,17,268,3111,4636
412,Thresh,4,14,True,0,0,11,17873,7358,12,36,1057,3857
9,Fiddlesticks,11,4,True,2,5,8,143003,9296,13,9,3020,4636
111,Nautilus,4,3,False,0,4,6,19896,5834,11,29,3190,3860
45,Veigar,4,12,False,4,2,2,144415,11442,14,248,3089,3009
13,Ryze,12,4,False,0,4,1,193076,10089,15,256,2055,6656
141,Kayn,11,4,False,2,7,2,154357,8547,13,23,6630,3142
59,JarvanIV,12,4,False,1,3,4,89550,7901,13,159,6630,2033
412,Thresh,4,14,False,3,6,21,27068,9060,15,35,3109,3857
59,JarvanIV,12,4,False,4,4,17,123465,11821,16,169,6630,3026
30,Karthus,11,14,False,11,5,13,278811,17472,18,99,4637,3157
498,Xayah,4,7,False,6,7,15,216782,13785,16,214,6671,3031
203,Kindred,14,4,False,7,6,6,184714,14955,16,211,6673,3508
429,Kalista,4,7,True,15,7,5,253000,20876,17,280,6673,3026
12,Alistar,14,4,True,5,7,21,38603,11407,15,43,6664,4643
19,Warwick,4,21,True,1,6,6,122825,11796,16,211,3110,6632
13,Ryze,12,4,True,2,5,9,314788,15068,18,294,4630,6656
64,LeeSin,4,11,True,5,6,16,180656,13545,17,36,2055,6630
