champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
67,Vayne,4,7,False,2,7,1,75968,7729,12,167,1036,6673
50,Swain,4,12,False,3,3,8,97206,8857,13,143,3040,4636
92,Riven,4,14,False,6,4,3,114108,10689,14,174,1055,6630
234,Viego,4,11,False,0,4,6,130060,7831,13,20,2031,1037
555,Pyke,14,4,False,4,6,3,21661,7583,10,34,3140,2031
203,Kindred,11,4,True,10,4,9,146172,11829,13,17,6676,3006
90,Malzahar,4,12,True,2,2,11,119577,9717,14,185,0,2055
114,Fiora,12,4,True,3,3,7,87505,9593,14,173,6630,3047
22,Ashe,7,4,True,7,3,13,96769,10865,12,142,1055,3006
37,Sona,3,4,True,2,3,19,23685,8425,12,23,3853,6617
30,Karthus,3,4,True,10,3,9,105342,11370,13,167,3135,2031
164,Camille,14,12,True,16,1,9,136765,15463,15,160,3074,3053
56,Nocturne,4,11,True,8,2,12,130094,10776,13,19,3053,6631
61,Orianna,4,12,True,7,6,13,73683,9347,12,113,2033,6655
526,Rell,14,4,True,3,5,14,25554,7038,10,40,3860,3190
5,XinZhao,11,4,False,1,11,7,68117,5754,10,20,6630,3047
58,Renekton,4,12,False,4,9,2,67338,7794,11,121,3044,1037
69,Cassiopeia,4,3,False,6,4,2,82574,9066,13,154,6653,2031
12,Alistar,14,4,False,1,11,9,14968,5084,9,23,2031,3860
268,Azir,4,12,False,5,9,5,73273,8252,12,129,2421,6655
526,Rell,4,3,False,1,6,6,14318,4657,9,29,3047,1033
104,Graves,4,11,False,6,6,1,92071,8144,11,34,6692,3179
517,Sylas,4,12,False,2,5,4,34559,6020,11,96,6656,2033
81,Ezreal,7,4,False,2,8,1,48306,5469,10,95,6632,3070
85,Kennen,12,4,False,2,5,2,63745,8169,12,134,3157,3152
164,Camille,14,12,True,3,2,4,55167,6854,12,108,1054,2055
268,Azir,4,12,True,5,4,4,64366,8134,13,145,2031,6655
555,Pyke,14,4,True,6,4,12,25652,12138,11,37,3857,2031
76,Nidalee,11,4,True,2,1,11,98036,7566,12,12,4636,2031
119,Draven,7,4,True,14,2,3,133530,15078,12,155,1055,6676
555,Pyke,14,4,True,3,6,10,25662,10281,12,41,3857,6691
18,Tristana,7,4,True,7,4,7,176398,13499,15,182,1038,3026
154,Zac,11,4,True,4,4,10,130342,10945,15,36,3047,3001
68,Rumble,12,4,True,11,3,6,161552,14669,17,212,0,3157
238,Zed,14,4,True,2,7,5,105601,9441,14,164,6691,2031
246,Qiyana,14,4,False,7,8,2,106441,10738,13,147,3158,6693
234,Viego,14,4,False,5,7,8,58519,8624,12,49,2055,3857
202,Jhin,3,4,False,3,4,8,147634,11219,14,216,1018,3036
76,Nidalee,11,4,False,6,3,7,150328,10695,14,31,4636,0
114,Fiora,4,12,False,3,5,2,148951,11398,15,214,1054,6632
154,Zac,11,4,False,4,3,6,106612,8220,12,35,3047,3075
37,Sona,3,4,False,0,7,11,8673,5024,10,3,3853,2055
150,Gnar,4,12,False,3,3,2,102735,8907,14,196,1028,3123
238,Zed,4,14,False,5,5,2,83444,8808,13,165,3142,2031
45,Veigar,12,4,False,1,4,7,76583,7485,11,152,1056,0
67,Vayne,7,4,True,2,4,9,87711,9508,13,186,6673,3006
111,Nautilus,14,4,True,3,4,9,20193,6313,9,25,3190,2055
39,Irelia,12,4,True,7,2,3,153421,11974,15,217,1055,3111
9,Fiddlesticks,4,11,True,2,2,9,148922,8792,13,17,3020,3157
91,Talon,14,4,True,8,1,4,119917,11397,14,190,6630,3142
37,Sona,7,4,False,3,6,12,38102,8627,13,68,3158,3853
32,Amumu,11,4,False,6,11,10,107673,9854,13,19,1011,3157
147,Seraphine,3,4,False,3,3,13,112969,10300,14,128,3853,6617
86,Garen,14,4,False,9,5,5,126502,12758,16,191,3742,6673
7,Leblanc,4,12,False,4,9,5,72704,9458,14,166,6655,3135
18,Tristana,14,4,True,9,4,5,207899,15141,16,208,3031,3140
114,Fiora,4,12,True,5,5,6,101922,10543,14,156,1018,6630
555,Pyke,14,4,True,4,7,11,13629,9921,12,23,3864,0
236,Lucian,1,4,True,11,6,8,203521,14228,16,195,6672,3508
79,Gragas,4,11,True,5,3,12,144469,9869,14,19,4636,3100
64,LeeSin,11,4,True,17,3,23,184642,17065,17,45,3026,6630
55,Katarina,4,14,True,15,10,12,94304,12961,15,143,3152,3157
412,Thresh,3,4,True,1,6,32,22321,8629,14,37,3857,3190
