champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
56,Nocturne,14,12,True,8,2,8,106332,10350,14,158,3142,6630
134,Syndra,14,4,True,7,7,6,71752,10066,13,131,3020,2420
432,Bard,3,4,True,0,5,19,16753,7123,12,24,3853,1011
245,Ekko,11,4,True,9,1,5,164544,11266,14,36,1082,3152
22,Ashe,7,4,True,5,3,10,84003,9379,13,131,6673,3091
1,Annie,11,4,False,3,5,4,70161,6988,11,6,2421,2031
498,Xayah,7,4,False,4,7,6,105801,8913,11,144,3006,3508
555,Pyke,14,4,False,6,8,2,9586,9669,9,15,6691,3864
36,DrMundo,12,4,False,2,4,2,75180,7805,12,153,6662,3065
126,Jayce,4,12,False,3,5,7,134204,10246,14,182,6692,2031
497,Rakan,14,4,False,1,2,12,29132,8498,12,46,3860,2065
43,Karma,4,12,False,3,2,6,93760,9729,14,145,2065,3011
236,Lucian,4,7,False,7,5,6,183416,13555,14,217,1037,6671
92,Riven,14,4,False,5,6,3,188977,14142,17,253,6630,6333
121,Khazix,11,4,False,2,4,8,147981,9804,14,19,1001,3123
37,Sona,7,4,True,0,5,14,42400,8681,13,80,3070,3853
103,Ahri,4,12,True,3,4,8,135654,11355,15,215,6656,3158
64,LeeSin,11,4,True,6,2,7,189637,12942,15,41,0,6630
122,Darius,6,4,True,10,3,3,178752,15365,16,237,3075,3078
350,Yuumi,3,14,True,0,4,14,12589,7081,13,8,6617,3222
875,Sett,12,4,True,4,2,2,70088,8282,12,147,1037,6630
22,Ashe,4,1,True,2,2,0,51345,6117,10,138,1055,2031
7,Leblanc,14,4,True,2,0,3,53172,6413,12,126,3020,6655
12,Alistar,4,14,True,0,2,2,11242,3931,7,24,1029,0
104,Graves,4,11,True,4,0,4,127162,7660,12,24,6692,2031
164,Camille,14,12,False,2,4,0,42286,5934,12,106,2031,3077
518,Neeko,14,4,False,0,2,0,58521,5014,11,125,4636,2033
32,Amumu,14,4,False,2,1,2,15448,4665,8,29,3105,3860
5,XinZhao,4,11,False,0,4,2,71039,4973,10,9,1036,0
110,Varus,7,4,False,2,1,2,64516,6989,10,150,1055,3004
360,Samira,4,7,True,8,2,0,98583,11185,12,179,3158,6673
6,Urgot,12,4,True,2,2,6,122385,9606,14,181,1055,3047
12,Alistar,14,4,True,1,1,9,18385,6591,11,29,3860,3190
246,Qiyana,4,14,True,1,4,3,91874,7688,13,145,6691,3134
28,Evelynn,11,4,True,2,3,9,129726,8395,14,17,3152,3020
38,Kassadin,4,14,False,4,3,1,112219,10296,14,183,1082,6656
15,Sivir,4,7,False,1,3,2,88437,7374,12,170,3086,6673
5,XinZhao,4,11,False,0,4,6,128005,7544,12,26,3047,3044
114,Fiora,4,12,False,3,3,1,83123,9102,13,191,3074,6630
350,Yuumi,3,7,False,2,1,3,9502,5491,10,4,1052,3853
7,Leblanc,4,14,False,9,8,9,90671,12731,16,155,6655,3135
98,Shen,4,14,False,3,13,20,35601,9704,14,35,3857,3190
85,Kennen,12,4,False,8,14,10,172410,14523,17,217,3157,3152
30,Karthus,11,4,False,10,6,16,240026,16017,17,40,6655,3116
81,Ezreal,4,7,False,12,6,12,208749,16681,16,231,6691,3508
55,Katarina,12,14,True,9,8,11,183324,14396,17,222,3152,3157
122,Darius,6,4,True,16,4,6,233431,20225,18,262,3193,3078
234,Viego,11,4,True,14,8,13,214386,17240,18,44,6632,3111
555,Pyke,4,14,True,8,10,12,33016,12214,15,36,3857,3814
110,Varus,7,4,True,0,12,17,118461,10487,15,166,3155,1031
350,Yuumi,14,3,True,2,1,20,8870,8771,16,6,3853,2065
245,Ekko,11,4,True,10,6,5,208483,14370,16,59,3916,3152
1,Annie,4,14,True,6,4,9,132916,12380,17,212,3020,3157
875,Sett,14,4,True,5,10,5,152230,12402,16,182,6630,3076
51,Caitlyn,4,7,True,6,2,11,228102,15392,17,249,3026,6671
147,Seraphine,12,4,False,3,4,5,157809,12092,16,229,3157,6653
114,Fiora,4,12,False,6,8,9,195185,15394,18,270,3074,6630
141,Kayn,11,4,False,9,6,4,234922,13022,16,63,6695,6693
145,Kaisa,7,4,False,2,7,6,141091,10826,14,199,3091,3006
53,Blitzcrank,14,4,False,3,4,10,25346,7961,13,33,2065,3860
79,Gragas,11,4,False,16,9,7,197938,15742,16,19,3089,3152
43,Karma,4,12,False,8,5,25,187756,15370,18,217,2065,3157
22,Ashe,7,4,False,11,8,16,180330,15737,16,209,3026,6673
37,Sona,4,14,False,3,11,24,28582,10144,15,16,3222,3107
62,MonkeyKing,12,4,False,4,7,6,143348,13705,17,221,3047,6632
166,Akshan,7,4,True,21,6,9,273463,21889,18,248,6676,6672
497,Rakan,14,4,True,3,9,19,18761,10880,16,24,3853,3001
104,Graves,12,4,True,0,13,12,206844,12369,18,215,3036,1029
28,Evelynn,4,11,True,10,9,18,195895,16198,18,15,3041,3152
150,Gnar,4,12,True,6,5,10,177352,15163,18,218,1055,3047
20,Nunu,11,14,True,5,3,16,105586,8492,12,6,2031,3157
222,Jinx,7,4,True,4,4,8,71381,7638,11,135,1055,6672
23,Tryndamere,14,4,True,12,2,7,121570,12274,14,165,3158,3031
37,Sona,4,14,True,1,3,17,12700,5800,10,13,6617,3070
240,Kled,4,12,True,6,1,10,75968,9806,12,124,1055,6630
