champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
526,Rell,14,4,False,0,9,10,26678,7243,13,35,3190,3860
41,Gangplank,4,12,False,6,8,12,241080,15670,16,210,3031,6673
114,Fiora,4,12,False,14,4,6,151176,16839,16,191,6630,3026
76,Nidalee,11,4,False,4,5,4,222133,13118,16,47,3157,1026
67,Vayne,4,7,False,2,10,8,108773,10898,14,178,3153,3124
58,Renekton,12,4,True,1,8,11,123829,10813,15,167,6630,2055
517,Sylas,12,4,True,7,8,10,139271,12498,15,128,3916,3157
523,Aphelios,4,7,True,15,4,6,269284,18060,15,252,3033,6673
121,Khazix,11,4,True,12,3,8,165979,13638,16,50,3047,2421
412,Thresh,3,4,True,1,3,21,22588,9419,14,36,3801,3190
133,Quinn,4,14,True,20,3,7,319263,22117,18,298,6673,6676
412,Thresh,14,4,True,4,7,30,43604,11380,16,51,3190,3857
202,Jhin,4,7,True,12,10,20,229107,17768,17,217,3094,6671
245,Ekko,11,4,True,2,5,15,248741,13120,18,36,2055,2421
55,Katarina,12,14,True,12,10,14,174055,15690,17,198,3157,3152
121,Khazix,4,11,False,6,9,6,157046,11794,15,24,2422,3134
236,Lucian,4,7,False,6,11,11,193187,14747,17,256,3006,2421
32,Amumu,14,4,False,4,11,15,49255,10393,15,66,2055,3190
238,Zed,4,14,False,13,11,5,182735,16891,17,208,3142,6694
27,Singed,14,6,False,6,10,11,264990,15519,18,298,3020,3152
119,Draven,4,7,True,3,5,12,89993,9714,13,135,1055,3123
777,Yone,12,4,True,7,5,7,152430,11869,15,159,1055,3031
7,Leblanc,14,4,True,13,1,5,101699,13539,15,178,6655,2033
64,LeeSin,11,4,True,18,4,8,131285,13901,14,37,3133,3053
89,Leona,14,4,True,1,5,20,29413,7170,12,31,3111,3857
245,Ekko,11,4,False,5,8,3,111123,8197,13,67,1043,0
350,Yuumi,14,3,False,4,8,10,12175,7484,11,6,3853,1082
51,Caitlyn,7,4,False,5,9,4,78086,9465,11,119,6671,1001
127,Lissandra,4,12,False,2,10,9,64899,7083,12,109,1056,6656
875,Sett,4,12,False,3,7,2,65455,8089,12,113,1055,6630
267,Nami,4,3,True,1,3,30,18167,8050,14,8,3853,2065
238,Zed,14,4,True,12,4,6,163471,14202,16,212,2031,3142
150,Gnar,4,12,True,11,3,14,140435,13779,15,158,3053,3742
76,Nidalee,11,4,True,8,2,14,191599,11749,15,25,4636,2420
29,Twitch,7,4,True,7,4,12,108694,11593,14,169,6671,1055
497,Rakan,14,4,False,0,8,10,18501,5869,11,41,3860,1082
102,Shyvana,4,11,False,5,9,4,153839,11096,13,40,3020,4636
145,Kaisa,4,7,False,7,4,4,130910,12973,15,227,3091,6676
164,Camille,4,12,False,2,11,5,54866,7129,12,117,6632,3044
127,Lissandra,12,4,False,2,7,5,100991,8911,13,189,3157,6656
526,Rell,14,4,False,2,6,14,28197,7437,13,39,3190,3860
13,Ryze,4,12,False,4,9,4,175408,11598,15,222,3040,3165
81,Ezreal,4,7,False,8,8,8,159573,12771,14,196,3047,3110
131,Diana,11,4,False,6,12,6,167386,11137,14,37,3111,3115
126,Jayce,4,12,False,5,13,6,149536,11618,15,200,6694,3042
89,Leona,14,4,True,3,7,20,16114,8263,13,29,7019,3857
202,Jhin,4,7,True,9,4,11,184308,15899,16,227,3009,7006
516,Ornn,12,4,True,8,5,21,124288,13580,17,171,3075,7005
