champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
202,Jhin,3,4,True,22,11,32,188626,23506,18,89,3009,6671
15,Sivir,21,4,True,7,12,36,165386,20630,18,153,6673,3042
876,Lillia,4,32,True,18,15,21,116598,21364,18,83,3040,6653
22,Ashe,7,4,True,7,11,47,134814,20288,18,98,6673,6035
78,Poppy,4,14,True,15,8,24,64998,20382,18,51,3068,3111
40,Janna,4,13,False,1,14,44,35312,17133,18,15,6617,3040
55,Katarina,4,32,False,34,19,7,181125,24578,18,81,3157,4633
17,Teemo,4,13,False,5,11,19,151108,17231,18,79,6653,3158
13,Ryze,4,13,False,12,13,16,255307,21449,18,166,6656,3157
34,Anivia,4,13,False,5,13,20,145661,17566,18,100,6653,3020
104,Graves,4,12,True,8,10,10,299513,17893,18,214,3142,2055
203,Kindred,4,11,True,10,7,17,291835,19033,18,76,6671,3091
875,Sett,4,14,True,4,10,8,40458,10408,14,43,1028,6664
127,Lissandra,14,4,True,6,14,12,176927,14621,17,207,3135,3157
85,Kennen,4,12,True,10,6,9,162305,15889,18,197,3152,3157
58,Renekton,4,12,False,6,12,15,139366,11834,17,180,3026,6630
13,Ryze,12,4,False,14,7,13,459214,21329,18,341,6656,3135
64,LeeSin,4,11,False,8,8,16,249355,13825,17,90,6630,3026
26,Zilean,4,3,False,3,6,27,15998,9553,16,23,3853,3190
45,Veigar,12,4,False,15,5,11,302088,18051,18,274,6656,3157
777,Yone,4,12,True,3,6,13,245519,14357,18,218,6673,3033
58,Renekton,4,12,True,3,6,13,177880,12394,16,220,6630,0
110,Varus,4,7,True,9,6,10,150945,13973,14,213,3042,3142
48,Trundle,14,4,True,5,6,18,37979,10208,15,48,3190,3857
76,Nidalee,11,4,True,23,4,7,184976,17191,17,27,3102,3152
157,Yasuo,12,4,False,2,11,5,239216,13451,17,228,6333,1053
429,Kalista,7,4,False,7,9,4,146796,13532,15,189,3091,1038
59,JarvanIV,4,11,False,6,8,15,132840,11618,15,36,6632,1057
89,Leona,4,14,False,0,8,14,23916,7705,13,39,3047,3190
105,Fizz,14,4,False,13,7,5,131069,15643,16,191,3100,3152
38,Kassadin,4,12,False,6,3,3,150136,10754,14,189,1082,3157
56,Nocturne,11,4,False,7,6,12,159852,12082,15,44,3158,6631
32,Amumu,4,14,False,3,6,11,25336,7403,12,33,3860,8001
875,Sett,4,12,False,6,6,3,115840,11024,15,172,6631,6609
81,Ezreal,4,7,False,2,6,4,146439,10441,13,215,3042,3035
85,Kennen,4,12,True,7,2,4,128554,13365,16,187,3152,3135
3,Galio,4,14,True,1,6,15,49252,8200,13,45,3157,2065
141,Kayn,11,4,True,15,3,9,271441,18179,18,110,3053,6630
24,Jax,4,12,True,2,6,6,172391,11709,15,169,2033,3078
145,Kaisa,7,4,True,2,7,6,73516,9010,13,151,3046,6672
53,Blitzcrank,4,32,True,9,12,22,45875,14521,18,26,3158,3110
133,Quinn,4,21,True,27,15,15,91212,19220,18,53,6671,3143
17,Teemo,3,4,True,10,8,22,100682,16566,18,91,6653,3165
40,Janna,4,32,True,9,10,37,67339,15684,18,44,6655,3020
27,Singed,6,32,True,6,13,28,76452,15317,18,57,3111,3116
222,Jinx,4,7,False,9,12,24,92825,15364,18,90,3036,6672
887,Gwen,4,32,False,5,13,15,32193,12754,18,22,4633,3115
161,Velkoz,3,4,False,10,7,25,99349,16039,18,68,3108,4628
5,XinZhao,4,32,False,5,19,20,43723,13361,18,29,3042,3158
202,Jhin,4,7,False,27,10,16,96494,20228,18,80,6671,6676
103,Ahri,13,4,False,14,15,23,111313,16774,18,69,6653,3089
54,Malphite,32,4,False,2,13,26,53256,12758,18,34,6662,2031
38,Kassadin,32,4,False,18,18,12,80549,15746,18,46,3040,3157
238,Zed,32,4,False,17,16,16,58072,15446,18,31,6691,6694
127,Lissandra,4,7,False,4,14,26,92817,14333,18,76,6655,3165
16,Soraka,4,3,True,4,8,62,21411,14163,18,13,6617,3107
121,Khazix,4,32,True,24,13,35,76614,17599,18,47,3042,3158
7,Leblanc,4,14,True,22,11,23,63015,16490,18,45,3916,3020
268,Azir,3,4,True,12,13,45,106659,16590,18,85,3115,3089
31,Chogath,4,32,True,13,12,40,52002,15348,18,21,6662,3193
37,Sona,4,13,False,3,6,15,22190,8843,14,20,6655,3100
2,Olaf,32,4,False,6,11,11,37681,9036,14,28,3009,6630
157,Yasuo,4,6,False,6,15,8,35174,10319,13,36,6673,3111
21,MissFortune,4,13,False,6,8,8,35027,9491,13,25,3006,6676
222,Jinx,4,13,False,5,9,13,49356,10108,14,42,3134,6673
14,Sion,32,4,True,3,7,28,36582,9925,15,29,3047,6662
33,Rammus,4,6,True,1,6,26,24826,9009,14,29,3068,3047
76,Nidalee,4,32,True,23,6,20,56432,13902,15,36,6655,4628
43,Karma,4,13,True,4,5,36,15166,10072,15,8,2065,3070
110,Varus,7,4,True,18,3,19,50795,12220,15,42,3184,3047
105,Fizz,4,14,False,7,15,25,60731,14816,18,35,6655,3020
15,Sivir,4,7,False,5,12,29,97345,15707,18,80,6691,6676
555,Pyke,4,32,False,20,16,15,47036,20949,18,25,3139,6693
245,Ekko,4,32,False,15,13,17,67059,17332,18,43,3152,3916
202,Jhin,7,4,False,5,10,23,60748,14933,18,46,6671,3094
25,Morgana,32,4,True,15,11,28,71366,16200,18,35,3157,3158
22,Ashe,21,4,True,10,6,32,100675,16687,18,72,3153,3006
18,Tristana,4,21,True,14,15,22,106359,17332,18,89,3006,6672
104,Graves,7,4,True,13,12,27,111274,17432,18,83,6673,3047
45,Veigar,4,3,True,14,8,21,67988,16131,18,31,6656,3158
133,Quinn,4,7,True,14,7,12,38634,13916,17,29,6693,6695
69,Cassiopeia,13,4,True,10,8,16,58757,13317,17,52,6653,3040
523,Aphelios,6,32,True,3,5,22,84688,12555,16,71,3006,6673
26,Zilean,4,7,True,3,3,30,45167,12634,18,30,6653,3020
76,Nidalee,32,4,True,13,4,18,55177,14179,18,38,3040,4636
99,Lux,4,21,False,4,9,9,42829,11164,16,25,6655,3040
64,LeeSin,4,32,False,10,11,8,57151,13759,17,46,3111,6630
103,Ahri,4,21,False,6,9,9,70463,12880,17,50,3040,6655
875,Sett,3,4,False,3,9,8,33222,11078,16,28,3047,1006
10,Kayle,1,4,False,4,5,11,57710,12820,17,60,4633,3006
432,Bard,4,13,False,0,12,28,32672,12378,18,11,2065,3107
96,KogMaw,4,13,False,20,12,15,147974,18972,18,101,3040,6653
4,TwistedFate,4,3,False,10,15,19,103939,16805,18,49,6656,3157
420,Illaoi,3,4,False,3,15,12,104307,14488,18,70,6632,3047
99,Lux,4,13,False,9,10,21,112535,15434,18,80,6655,3157
18,Tristana,4,21,True,11,9,13,108675,16549,18,111,6672,3094
223,TahmKench,4,32,True,9,8,31,62694,16529,18,35,3193,6662
84,Akali,32,4,True,14,9,15,40222,15604,18,22,3157,4633
115,Ziggs,4,13,True,15,9,28,99443,17569,18,55,6653,3165
238,Zed,4,32,True,14,8,22,60538,16016,18,24,3074,3111
