champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
235,Senna,7,4,False,12,6,29,93676,15072,18,68,3184,3042
32,Amumu,4,32,False,9,10,24,30117,12481,17,16,3068,3001
166,Akshan,32,4,False,13,8,17,57923,14001,18,53,6672,3006
7,Leblanc,32,4,False,7,8,22,44697,12157,18,26,3020,0
25,Morgana,13,4,False,6,9,21,33138,11490,15,27,6653,3165
777,Yone,4,32,True,10,11,17,86788,14159,18,63,6673,3031
78,Poppy,4,32,True,1,11,20,29266,10813,16,18,3068,3111
81,Ezreal,7,4,True,10,8,18,68853,14307,18,60,3078,3042
202,Jhin,21,4,True,10,7,12,63220,14434,17,61,6676,6671
3,Galio,4,32,True,10,10,25,72411,13770,18,36,3001,3111
134,Syndra,12,4,False,9,5,8,90190,10084,13,144,6653,2055
555,Pyke,14,4,False,3,8,11,11701,8092,9,22,3864,3133
5,XinZhao,4,11,False,1,7,15,117856,8287,12,27,3047,6630
98,Shen,4,12,False,6,5,3,55136,8131,12,117,1054,6662
15,Sivir,7,4,False,4,4,7,118391,8756,13,152,2055,6691
126,Jayce,4,12,True,1,4,7,110595,9189,14,180,2033,3142
44,Taric,14,4,True,0,5,16,18115,6980,11,36,3859,2065
13,Ryze,4,12,True,13,5,8,134807,13129,14,181,3111,6656
64,LeeSin,11,4,True,10,7,12,131430,12290,13,26,6630,3071
29,Twitch,4,7,True,5,2,8,88275,10015,13,143,1055,6671
518,Neeko,14,4,True,3,6,17,27017,8602,12,15,3009,3001
875,Sett,4,12,True,10,2,10,115429,13366,15,149,6630,3053
115,Ziggs,12,4,True,6,5,12,135738,11425,14,167,1056,3040
120,Hecarim,11,6,True,13,3,13,124030,12981,15,13,4401,2031
29,Twitch,4,7,True,11,5,8,104641,12044,14,152,6676,6671
432,Bard,14,4,False,0,8,7,20806,6003,11,32,3190,3067
7,Leblanc,4,12,False,7,6,4,89525,10039,14,171,3135,6655
17,Teemo,4,14,False,5,11,1,72775,8240,12,120,3157,1082
64,LeeSin,4,11,False,7,10,3,117107,9778,13,15,6692,2055
498,Xayah,7,4,False,2,8,4,105484,8190,12,139,6673,0
110,Varus,4,3,True,15,7,15,215255,17424,17,238,6691,6694
48,Trundle,4,11,True,12,6,20,212101,17675,18,39,6632,3047
89,Leona,4,14,True,6,8,28,26752,11917,16,37,3109,3190
150,Gnar,4,12,True,6,6,23,166888,15330,18,168,3071,6632
517,Sylas,12,4,True,9,10,17,142799,13959,18,200,6656,4629
523,Aphelios,4,1,False,9,9,13,260304,15947,18,261,6673,3031
114,Fiora,4,12,False,9,12,8,147846,16328,16,198,3074,6609
117,Lulu,7,4,False,1,8,28,21836,10174,15,24,3853,2065
59,JarvanIV,11,4,False,6,7,19,177623,13810,16,21,6630,3053
55,Katarina,12,14,False,12,12,9,195124,15410,17,193,3020,3057
29,Twitch,4,7,False,7,3,7,216232,15372,16,233,3006,6672
141,Kayn,4,12,False,5,11,4,156560,12025,15,202,0,3042
117,Lulu,3,4,False,0,8,11,13764,7855,12,5,3853,2065
28,Evelynn,11,4,False,5,6,8,129877,10837,14,5,3152,3089
55,Katarina,12,14,False,7,10,6,126382,11714,15,164,1082,3057
134,Syndra,12,4,True,6,4,13,131861,12474,17,185,2421,3102
111,Nautilus,14,4,True,0,6,19,22890,7724,14,30,3190,3860
360,Samira,4,7,True,7,6,11,109343,12557,15,170,3036,0
59,JarvanIV,4,11,True,12,2,16,183689,16920,18,59,6630,3143
54,Malphite,4,12,True,13,6,11,158626,14348,18,179,6662,3165
29,Twitch,4,7,False,11,7,8,247579,16654,16,248,6672,3031
31,Chogath,12,4,False,8,6,6,172847,12412,16,198,3047,3075
64,LeeSin,11,4,False,7,6,8,136720,11478,15,33,6630,2055
53,Blitzcrank,4,14,False,3,11,12,24960,8392,13,25,3117,3860
55,Katarina,12,14,False,2,15,8,126569,11155,15,176,3115,0
412,Thresh,4,3,True,3,4,17,25218,9433,14,36,3190,3857
517,Sylas,4,12,True,19,3,14,269861,20330,18,244,6655,3157
104,Graves,4,11,True,8,6,6,206883,13426,16,50,3006,6692
22,Ashe,4,7,True,8,7,13,177489,14385,17,183,3006,6673
92,Riven,4,14,True,7,12,5,114189,12851,15,157,3142,0
39,Irelia,4,12,False,2,5,0,64808,6138,11,131,1055,3153
22,Ashe,4,21,False,1,5,1,11582,3980,8,8,1001,3863
67,Vayne,4,7,False,0,4,3,37763,5074,8,107,1055,3006
105,Fizz,4,14,False,3,3,0,43705,6333,11,119,3157,2033
203,Kindred,11,4,False,2,2,1,83133,5874,10,11,6672,2031
523,Aphelios,4,7,True,4,1,2,60742,7018,10,142,6673,3134
79,Gragas,12,4,True,3,2,2,58521,5789,11,104,1001,2031
104,Graves,11,4,True,3,0,3,87283,6538,11,15,2031,6692
89,Leona,4,14,True,2,2,6,12397,5128,9,25,3047,3859
55,Katarina,12,14,True,7,3,0,63775,7016,11,126,3020,3115
11,MasterYi,4,32,True,17,11,14,47591,12998,16,30,6691,3158
876,Lillia,4,32,True,8,7,19,39044,11233,16,39,6653,3157
136,AurelionSol,4,3,True,9,6,30,52610,12061,17,46,3165,3020
58,Renekton,32,4,True,12,10,26,51587,12754,17,33,3053,6630
51,Caitlyn,4,13,True,6,10,20,48909,10810,15,41,6691,3158
777,Yone,32,4,False,15,10,12,66321,13594,16,58,3006,6671
6,Urgot,3,4,False,4,10,13,31402,9653,15,39,6631,3053
7,Leblanc,6,4,False,15,12,12,40480,12135,16,11,3020,6655
161,Velkoz,4,32,False,4,8,22,42380,10179,15,31,3157,3165
122,Darius,4,6,False,6,12,16,32763,10465,15,25,3047,6630
13,Ryze,4,6,True,14,6,16,115257,14133,16,90,3040,1052
421,RekSai,32,4,True,17,7,10,41073,13647,16,21,3158,6691
