champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
48,Trundle,11,4,False,6,4,7,136192,11322,14,22,6632,3143
523,Aphelios,7,4,False,2,5,7,111837,9821,14,190,3051,1033
412,Thresh,14,4,False,3,9,7,24789,7244,12,43,3190,8001
41,Gangplank,4,12,False,5,3,6,173350,13214,15,210,3078,1018
115,Ziggs,12,4,False,3,5,7,107685,8988,13,172,3020,2055
121,Khazix,11,4,True,5,2,8,203410,11116,15,35,3142,6692
266,Aatrox,12,4,True,4,7,5,140848,10705,15,188,6630,2055
497,Rakan,14,4,True,1,4,15,21057,7992,12,41,2065,3860
61,Orianna,12,4,True,8,4,4,175739,14077,16,209,3089,3040
202,Jhin,7,4,True,8,2,5,157461,12635,14,215,6671,3031
12,Alistar,14,4,False,0,14,10,20441,6518,12,35,2055,3190
30,Karthus,4,3,False,12,5,6,163397,15137,16,229,1058,1058
104,Graves,4,11,False,7,5,10,199663,13007,16,52,3111,3072
3,Galio,12,4,False,5,7,14,92925,10907,15,138,3152,3157
92,Riven,14,4,False,12,7,10,117802,13787,15,154,3071,3156
517,Sylas,12,4,True,10,16,7,100834,11915,14,124,3157,6656
105,Fizz,12,4,True,6,7,7,183916,14832,17,234,3157,1058
202,Jhin,7,4,True,13,5,8,199714,16239,16,197,6671,3094
432,Bard,14,4,True,6,5,18,24330,9863,14,22,2065,3853
113,Sejuani,11,4,True,3,4,20,128320,10938,15,23,6662,3001
30,Karthus,4,11,True,20,4,10,229582,15829,16,29,3157,6655
23,Tryndamere,6,4,True,11,4,6,170257,13897,16,182,3031,6671
432,Bard,3,4,True,1,3,28,23168,9230,14,29,2065,3853
4,TwistedFate,1,4,True,2,2,16,176533,12435,16,235,3158,2033
51,Caitlyn,7,4,True,7,7,8,117083,11421,14,173,3158,2055
202,Jhin,7,4,False,6,9,6,145223,12880,14,205,6671,6676
161,Velkoz,21,4,False,2,6,8,42379,8230,13,35,3853,6653
142,Zoe,12,4,False,5,6,9,110979,11271,15,197,4628,2033
126,Jayce,12,4,False,3,11,3,165362,12228,15,206,3035,3142
106,Volibear,11,4,False,4,9,8,114342,9471,13,9,1011,2055
85,Kennen,12,4,False,2,4,9,97407,9421,16,193,1052,3152
51,Caitlyn,7,4,False,6,5,2,151283,12279,14,223,2055,1055
412,Thresh,14,4,False,0,8,9,16759,6028,11,36,3117,3857
39,Irelia,12,4,False,4,8,9,138782,10768,15,215,3044,2421
141,Kayn,4,11,False,7,4,5,178356,11866,14,39,3158,3053
76,Nidalee,4,11,True,5,2,12,135938,10351,15,29,4636,2421
150,Gnar,4,12,True,1,7,5,139725,9871,15,198,1054,1028
432,Bard,3,4,True,0,5,14,24541,7460,12,14,2065,3853
164,Camille,12,14,True,13,3,5,188321,16454,16,216,3053,6632
81,Ezreal,12,4,True,10,2,7,190737,14621,16,239,3042,0
64,LeeSin,4,11,True,8,2,11,161273,12051,15,43,6630,3071
432,Bard,14,4,True,4,2,23,20821,9122,14,13,2065,3853
202,Jhin,7,4,True,8,6,5,148362,12383,15,199,6676,3094
13,Ryze,12,4,True,4,3,18,184256,13018,16,201,2033,6656
122,Darius,6,4,True,12,4,11,164090,14908,16,193,6333,6631
157,Yasuo,4,3,False,6,10,1,129168,12055,14,175,1055,3031
875,Sett,4,12,False,4,10,3,131198,9821,14,163,3748,6630
412,Thresh,14,4,False,0,5,7,18938,6375,11,43,3067,3857
104,Graves,4,11,False,5,4,2,221245,12233,15,102,3142,6695
142,Zoe,4,14,False,2,7,2,97834,8753,13,175,6656,4628
75,Nasus,6,4,False,3,8,2,140812,10403,15,202,6632,3193
76,Nidalee,4,11,False,1,11,6,81102,7132,11,19,4636,3916
266,Aatrox,12,4,False,3,9,3,86171,8935,13,163,3053,6630
80,Pantheon,14,4,False,1,9,2,24046,5642,11,33,3857,2421
18,Tristana,7,4,False,7,7,2,146408,12467,13,213,1055,6672
