champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
13,Ryze,4,12,False,0,8,0,146054,9340,14,233,2033,6656
245,Ekko,11,4,False,2,6,0,174104,9450,13,25,3158,3152
12,Alistar,4,14,False,0,7,5,23954,5968,10,40,3860,3190
202,Jhin,4,7,False,1,5,3,105370,8666,13,184,3133,3142
92,Riven,4,14,False,4,1,1,115325,11038,14,193,6333,6630
110,Varus,4,7,True,8,1,7,157513,12883,15,221,6695,3142
114,Fiora,12,4,True,10,3,6,138510,13688,16,197,6630,3053
69,Cassiopeia,4,12,True,4,1,7,161769,12652,16,245,3102,3040
432,Bard,3,4,True,1,0,17,11628,7059,12,10,0,3190
59,JarvanIV,11,4,True,4,2,18,109784,10404,14,14,2421,6630
13,Ryze,4,12,False,4,8,8,128919,9560,13,165,3110,6656
59,JarvanIV,11,4,False,2,7,9,117555,8703,12,19,6630,3053
523,Aphelios,1,4,False,6,8,5,139350,12626,12,173,3031,2420
164,Camille,14,12,False,4,6,5,96620,10525,14,171,3044,2421
16,Soraka,4,7,False,1,7,10,8289,6261,9,4,3853,6617
412,Thresh,4,14,True,2,4,24,23282,7834,13,40,2055,3857
114,Fiora,4,12,True,2,5,11,79919,8275,13,109,6630,3077
202,Jhin,4,7,True,16,2,12,168249,15618,15,175,3031,6671
80,Pantheon,14,4,True,11,2,17,110750,12624,15,164,6630,2033
9,Fiddlesticks,4,11,True,5,4,20,153747,10879,14,32,3157,2055
81,Ezreal,4,1,True,9,3,6,276095,17771,18,284,3042,6632
121,Khazix,4,11,True,13,6,9,264693,18507,18,51,6630,3193
126,Jayce,12,4,True,3,7,13,213624,14930,18,239,3026,3142
143,Zyra,4,14,True,2,3,16,88748,12211,17,68,4643,6655
517,Sylas,4,12,True,7,9,5,194725,15510,18,243,2055,3157
412,Thresh,4,14,False,1,7,14,23297,8402,16,31,3857,2065
102,Shyvana,11,4,False,10,5,6,292405,16153,18,77,3158,4636
51,Caitlyn,7,4,False,6,6,5,300982,17588,18,341,3031,3046
58,Renekton,4,12,False,7,8,8,186760,15244,18,210,6693,3142
61,Orianna,12,4,False,4,8,10,240144,14538,18,259,3135,3089
555,Pyke,4,14,False,5,3,10,13401,8367,10,10,3123,2055
164,Camille,14,12,False,1,6,7,70190,8134,13,146,6632,3077
64,LeeSin,4,11,False,10,4,9,138451,11633,13,34,2055,3026
101,Xerath,7,4,False,7,5,2,108573,9672,13,163,3020,6655
127,Lissandra,4,12,False,1,4,9,110783,9159,13,173,3158,2033
24,Jax,4,12,True,5,5,2,124388,10346,15,175,2033,6632
59,JarvanIV,4,11,True,2,7,11,95234,8345,13,20,2055,6630
13,Ryze,12,4,True,5,3,8,200219,12232,16,193,3158,6656
81,Ezreal,7,4,True,9,3,8,116172,12515,14,193,3158,3078
350,Yuumi,3,14,True,1,6,11,8909,6286,12,4,3853,6617
119,Draven,7,4,True,12,3,4,179717,14663,13,185,3031,6673
59,JarvanIV,11,4,True,2,1,19,135092,10533,15,32,6630,3123
50,Swain,4,12,True,8,2,6,102000,10444,14,148,1056,2421
31,Chogath,12,4,True,4,2,3,108990,10792,14,171,3111,6662
37,Sona,4,3,True,0,2,20,16740,7935,12,8,3853,6617
101,Xerath,7,4,False,0,5,5,94894,6530,12,145,3020,6655
64,LeeSin,4,11,False,1,7,4,88695,6701,11,2,2055,6630
350,Yuumi,3,14,False,2,2,3,4745,5356,11,1,3916,3851
15,Sivir,4,7,False,0,4,3,126065,8140,12,201,1055,6671
876,Lillia,4,12,False,7,8,1,119966,10438,13,171,6653,2420
31,Chogath,4,14,True,8,4,6,155492,13183,18,181,3748,6660
412,Thresh,14,4,True,0,3,15,24141,8009,14,41,3110,3190
21,MissFortune,4,7,True,3,1,6,188768,13303,17,276,3036,6671
