champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
497,Rakan,4,14,True,1,9,30,16622,8902,14,11,3158,3853
202,Jhin,4,7,True,8,5,17,148094,13023,15,172,6671,3036
1,Annie,14,4,True,8,7,21,82698,12264,15,138,3157,3165
39,Irelia,12,4,True,21,3,7,250410,20630,17,242,6630,3111
9,Fiddlesticks,4,11,True,10,6,14,174667,13543,15,37,3157,3152
64,LeeSin,11,4,False,7,9,16,138079,11629,15,15,3065,6630
166,Akshan,12,4,False,5,11,14,102073,10172,15,130,3111,3134
21,MissFortune,7,4,False,7,11,14,114589,12132,15,178,6676,0
32,Amumu,4,14,False,0,12,16,25928,6994,12,44,3111,3076
8,Vladimir,14,4,False,11,5,10,199966,16188,16,226,3089,3020
166,Akshan,12,4,True,4,6,8,146346,11716,16,193,3047,6673
22,Ashe,4,7,True,1,8,15,105070,10399,15,186,6673,3091
201,Braum,3,4,True,2,6,22,21544,8719,15,41,3857,2055
11,MasterYi,11,4,True,20,6,6,160683,17044,16,19,6676,3508
10,Kayle,4,12,True,9,3,12,195261,15754,17,275,3089,3140
432,Bard,3,4,False,2,7,18,17151,8071,14,16,3110,3853
136,AurelionSol,14,4,False,5,7,11,130485,10698,15,189,3020,3157
18,Tristana,4,7,False,9,5,7,184750,14620,16,215,3036,6672
104,Graves,4,11,False,11,5,12,226434,16229,17,58,3142,6676
164,Camille,12,4,False,2,12,6,80832,8878,14,162,3078,3044
142,Zoe,14,4,False,4,6,3,91515,8938,12,153,3020,6655
875,Sett,12,4,False,1,6,0,137097,9594,13,161,1054,6630
28,Evelynn,4,11,False,5,7,5,136006,10336,13,10,1058,3152
523,Aphelios,4,7,False,5,5,4,117863,10690,12,188,1055,6673
412,Thresh,14,4,False,2,4,7,20182,6935,10,32,3190,3857
164,Camille,14,12,True,5,3,8,115667,10106,15,168,6632,2421
67,Vayne,4,1,True,6,4,6,92728,10615,14,154,1055,6673
1,Annie,14,4,True,11,4,9,66971,11007,14,150,3157,2031
104,Graves,11,4,True,6,3,16,178110,11998,15,42,3142,6692
26,Zilean,4,14,True,0,3,12,24523,6172,12,24,3853,4632
61,Orianna,12,4,True,3,3,7,49743,6523,10,121,2033,6655
126,Jayce,4,12,True,4,0,2,85288,8352,11,135,3158,2031
107,Rengar,11,4,True,15,1,7,88246,10470,11,25,6630,2031
498,Xayah,4,1,True,2,3,1,58467,6427,10,124,6671,3006
412,Thresh,14,4,True,0,3,12,8927,4168,7,15,3067,2031
81,Ezreal,4,7,False,3,4,1,45499,5667,9,107,1055,2031
69,Cassiopeia,4,12,False,2,4,1,34639,4835,10,94,6653,2031
32,Amumu,11,4,False,2,7,2,50579,4562,9,10,6653,2031
497,Rakan,4,3,False,0,5,4,8010,3309,7,15,3067,2031
39,Irelia,4,12,False,2,4,0,43386,4831,9,98,2031,6029
236,Lucian,7,4,False,5,3,2,100407,10033,12,180,6673,3006
13,Ryze,12,4,False,0,3,1,102082,6821,12,164,6656,2033
26,Zilean,14,4,False,0,1,6,36946,5885,11,31,1082,3853
48,Trundle,4,11,False,2,3,2,100674,6900,11,8,6632,3111
39,Irelia,12,4,False,1,7,0,99126,7289,12,190,2031,3153
18,Tristana,4,7,True,2,4,2,79344,7752,12,137,1055,6672
32,Amumu,11,4,True,4,1,7,131375,9672,13,17,3068,3067
69,Cassiopeia,4,12,True,4,1,0,92600,9057,13,182,3040,4633
