champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
32,Amumu,4,14,True,1,6,13,18474,7417,11,32,3860,3190
145,Kaisa,3,4,True,5,3,12,102947,10331,13,147,1055,3046
79,Gragas,12,4,True,2,3,9,106274,10370,14,170,3165,6656
5,XinZhao,4,11,True,5,1,12,189047,11664,15,14,0,6630
157,Yasuo,14,4,True,10,2,6,115552,12036,14,157,2420,1055
105,Fizz,4,14,False,2,4,3,74037,7920,12,172,2033,1026
18,Tristana,4,7,False,3,5,5,102831,9434,12,171,0,2420
39,Irelia,12,4,False,2,5,2,99587,8368,13,181,3153,1055
2,Olaf,11,4,False,6,4,3,96807,8793,12,24,3047,3053
12,Alistar,4,14,False,2,5,8,16330,6332,10,26,3860,3190
56,Nocturne,14,12,True,6,3,8,124742,11557,15,147,3142,6630
412,Thresh,4,14,True,1,8,9,14564,6488,11,32,3857,3190
245,Ekko,4,11,True,14,3,9,172965,14202,15,41,3100,3152
523,Aphelios,4,7,True,5,4,9,124976,11023,14,171,3006,2003
79,Gragas,12,4,True,8,3,6,113499,11436,15,191,1058,4628
9,Fiddlesticks,4,11,False,4,7,5,132614,9522,13,50,3020,3157
39,Irelia,12,4,False,2,8,1,101331,8952,13,170,6630,2033
81,Ezreal,1,4,False,4,6,5,97671,8907,13,183,3042,6632
235,Senna,21,4,False,3,8,8,23319,7213,11,21,3864,3009
34,Anivia,14,4,False,8,5,5,101776,10428,14,158,1052,3157
79,Gragas,14,4,True,12,4,11,42858,11084,13,6,3020,3152
203,Kindred,11,4,True,3,4,8,171930,11312,15,49,6672,1038
235,Senna,4,7,True,7,2,13,104232,12498,15,171,6692,3009
777,Yone,4,12,True,3,7,6,129560,10252,15,163,1055,3006
147,Seraphine,4,12,True,6,6,12,155579,12411,16,215,6653,2031
523,Aphelios,4,7,False,5,5,4,117306,10899,13,164,3006,6676
5,XinZhao,4,11,False,6,7,7,123497,11311,13,20,6630,3053
43,Karma,14,4,False,1,5,13,35809,7947,13,31,3853,3011
42,Corki,4,21,False,4,9,6,102961,9111,14,118,6673,2421
266,Aatrox,12,4,False,7,5,5,159319,11683,16,196,3067,6630
142,Zoe,4,14,True,11,2,7,107972,11738,14,158,2033,3020
107,Rengar,11,4,True,8,3,14,156583,11224,14,10,1036,6029
432,Bard,4,3,True,4,1,18,16480,8088,12,7,3047,3190
41,Gangplank,4,12,True,5,4,12,125149,11328,14,179,6675,2033
498,Xayah,7,4,True,4,1,12,116343,10056,13,176,3006,2031
235,Senna,4,7,False,1,3,1,58325,7191,11,150,3070,6632
497,Rakan,14,4,False,0,7,6,12796,4595,9,25,2065,3859
79,Gragas,14,4,False,2,6,4,78374,7288,12,144,1056,1082
59,JarvanIV,11,4,False,6,8,5,119110,10262,12,22,2055,6630
39,Irelia,12,4,False,2,8,3,97904,8339,13,174,2421,3153
222,Jinx,7,4,False,3,5,3,83938,8959,10,151,6672,2055
432,Bard,14,4,False,1,6,6,20590,5843,10,34,2055,3190
82,Mordekaiser,12,4,False,4,6,1,103905,8933,13,160,4633,3115
59,JarvanIV,11,4,False,2,9,4,60853,5728,9,10,1029,1029
117,Lulu,12,4,False,1,3,3,68933,6516,12,134,1052,3158
104,Graves,4,11,True,10,3,8,155831,10724,13,21,2031,3134
40,Janna,14,4,True,0,0,22,18336,6535,12,15,2065,3853
81,Ezreal,4,7,True,11,3,7,102197,11229,13,146,3042,3078
164,Camille,12,14,True,3,5,3,78291,7707,12,135,1055,6632
103,Ahri,4,14,True,5,0,11,84684,9074,13,158,6655,2033
145,Kaisa,4,7,False,10,10,6,123815,12182,14,166,6671,3085
2,Olaf,11,6,False,4,9,5,122429,8952,13,40,3047,3053
69,Cassiopeia,12,4,False,10,11,5,101850,11993,14,147,3157,1056
39,Irelia,12,4,False,2,9,8,109386,8864,14,154,1055,1036
16,Soraka,4,3,False,1,9,15,13030,6473,13,15,3853,2055
498,Xayah,7,4,True,14,8,7,127941,13859,15,159,3086,6671
497,Rakan,14,4,True,3,6,22,24340,9275,14,34,0,2065
887,Gwen,14,12,True,11,3,6,175505,15019,16,207,4633,3157
64,LeeSin,11,4,True,12,6,10,169351,13436,16,22,3053,6630
99,Lux,14,4,True,8,4,14,116821,12325,16,160,3020,6655
51,Caitlyn,7,4,False,7,8,5,143305,10759,12,197,3140,6671
412,Thresh,14,4,False,4,6,12,30309,8031,12,42,2055,3190
164,Camille,14,12,False,5,8,2,118378,10445,14,168,6632,3074
76,Nidalee,11,4,False,0,9,3,100685,6890,12,23,4636,0
101,Xerath,14,4,False,7,6,2,127872,11600,15,183,3135,6655
117,Lulu,14,4,True,2,6,9,10358,7605,12,10,2065,3853
24,Jax,4,12,True,16,4,2,192124,16321,17,184,3078,3153
15,Sivir,4,7,True,1,7,10,108133,9206,13,140,6673,6676
240,Kled,4,14,True,6,6,6,81986,10369,14,126,3748,1054
9,Fiddlesticks,4,11,True,12,0,6,183247,12715,15,56,6655,3157
63,Brand,4,14,True,4,6,11,25723,7975,12,18,1082,3020
79,Gragas,12,4,True,9,7,9,100441,11538,14,141,1056,6656
91,Talon,4,14,True,13,6,8,101338,11846,13,119,1055,6630
30,Karthus,4,11,True,19,5,13,197124,15694,16,43,3157,6653
523,Aphelios,4,7,True,3,6,10,68122,9196,12,124,6673,2031
98,Shen,14,4,False,4,12,9,31480,7256,12,31,3855,8001
64,LeeSin,4,11,False,7,7,7,110694,9674,12,36,6630,3158
20,Nunu,14,4,False,11,10,4,65676,10685,12,90,1056,6656
202,Jhin,7,4,False,4,8,8,95106,9470,13,161,3009,6671
92,Riven,14,4,False,4,11,4,47166,7054,10,65,1055,3133
76,Nidalee,11,4,True,14,3,9,166281,13818,15,32,3020,3157
147,Seraphine,3,4,True,5,2,18,39835,9827,14,28,3853,2055
134,Syndra,12,4,True,4,3,4,133950,10867,14,186,1056,4632
18,Tristana,1,4,True,7,4,8,132649,11808,14,190,6673,2421
58,Renekton,12,4,True,3,2,12,166813,13086,16,206,6630,2055
110,Varus,12,4,False,1,6,6,114444,9971,13,208,3042,3142
45,Veigar,4,7,False,1,7,6,56299,7363,12,54,3853,6656
30,Karthus,4,11,False,5,10,2,182224,10009,13,16,6653,3020
79,Gragas,12,4,False,2,3,3,104481,8444,14,177,1056,6655
126,Jayce,4,12,False,5,7,1,130089,10265,14,188,6692,3042
115,Ziggs,12,4,False,2,11,13,216479,13708,16,231,3157,6653
7,Leblanc,14,4,False,4,12,10,95496,10957,15,156,2033,3135
555,Pyke,4,14,False,7,8,7,27595,12381,13,33,2055,3142
48,Trundle,4,11,False,7,8,11,179847,14517,16,37,6632,8001
266,Aatrox,4,12,False,8,9,6,151416,13926,16,194,6630,3047
25,Morgana,14,4,True,2,7,18,25622,10070,14,15,3853,3157
79,Gragas,14,4,True,10,9,14,157619,14938,18,186,3089,3020
121,Khazix,4,11,True,16,4,13,263011,17931,18,54,6630,3026
164,Camille,14,12,True,4,4,17,99610,11921,17,153,3053,0
51,Caitlyn,7,4,True,16,4,10,270378,19179,18,273,6671,3031
