champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
26,Zilean,14,4,False,2,3,3,13651,4504,8,7,2055,2065
223,TahmKench,4,12,False,0,3,1,23962,3650,9,69,3076,6660
2,Olaf,11,4,False,3,3,3,98863,6485,10,21,3047,2031
202,Jhin,7,4,False,2,3,2,45509,5642,9,122,6671,1055
115,Ziggs,12,4,False,1,6,1,58633,5788,9,108,1056,6653
201,Braum,3,4,True,0,3,7,10336,3757,8,23,3855,2055
236,Lucian,7,4,True,3,2,2,46963,5429,9,113,0,1055
142,Zoe,14,4,True,10,1,2,70715,9287,12,124,1056,3020
19,Warwick,4,21,True,1,1,4,41959,4981,10,95,1055,6632
203,Kindred,11,4,True,4,1,4,84374,6537,11,18,3047,6632
526,Rell,4,14,True,1,11,29,26878,10090,14,36,3860,3190
360,Samira,7,4,True,16,9,9,166345,15782,16,148,1055,6676
103,Ahri,12,4,True,10,4,19,147141,14867,16,168,3157,1052
421,RekSai,4,11,True,14,5,11,133668,14834,16,19,3111,6693
23,Tryndamere,6,4,True,16,5,7,271117,18521,18,175,6672,1038
64,LeeSin,11,4,False,8,14,10,141898,11971,14,42,2055,6630
40,Janna,14,4,False,1,14,19,18830,8711,12,20,3222,2065
134,Syndra,14,4,False,13,7,14,150886,14938,16,187,3040,3041
57,Maokai,12,4,False,3,12,6,119914,9528,14,143,3068,2055
81,Ezreal,4,3,False,9,10,10,151474,13881,15,171,6694,3078
38,Kassadin,4,14,False,0,6,7,100826,8470,14,178,0,3020
117,Lulu,14,4,False,1,3,11,14734,7585,12,20,3011,2055
11,MasterYi,11,4,False,13,5,4,195008,13990,15,43,6692,3158
18,Tristana,7,4,False,6,5,6,165077,12660,14,233,6673,3031
223,TahmKench,12,4,False,1,7,5,58586,7379,13,114,2033,3067
40,Janna,14,4,True,1,4,16,15152,7443,12,21,3011,2065
58,Renekton,14,4,True,5,8,7,133640,11516,14,179,3153,6630
245,Ekko,4,11,True,11,3,10,207738,14309,15,66,3020,3089
115,Ziggs,4,12,True,3,4,9,131471,9696,13,163,3020,6655
777,Yone,4,14,True,6,2,8,178398,12248,15,170,2421,3031
26,Zilean,14,4,False,5,8,7,44671,9302,12,29,3157,2065
238,Zed,14,4,False,4,5,3,108213,10327,15,171,3071,3133
121,Khazix,11,4,False,2,8,7,166346,10027,15,50,3133,1036
875,Sett,4,12,False,2,12,2,69574,7882,12,129,1028,3047
18,Tristana,4,7,False,5,7,7,179418,12097,14,214,1055,6672
526,Rell,14,4,True,4,6,22,31867,9013,14,35,3190,3860
7,Leblanc,4,14,True,9,2,8,89840,11182,15,149,3089,3191
2,Olaf,11,4,True,12,2,16,196073,14323,16,54,6630,3143
147,Seraphine,4,7,True,7,5,21,132126,12501,14,173,6653,4629
24,Jax,14,4,True,7,3,8,147373,13366,15,168,3026,3047
497,Rakan,14,4,False,0,10,1,12257,4195,9,28,3158,2003
60,Elise,11,4,False,3,8,5,69334,7298,10,13,2031,2421
91,Talon,14,4,False,4,3,5,107801,9114,12,165,6630,3142
360,Samira,4,7,False,1,5,3,62302,7026,11,159,6673,3134
150,Gnar,4,12,False,2,4,4,60174,6722,12,128,6632,3111
4,TwistedFate,12,4,True,3,2,11,93755,9572,13,169,6656,2033
78,Poppy,4,12,True,6,2,7,103346,8982,13,124,2033,3047
110,Varus,7,4,True,12,0,8,117040,12064,12,190,2421,6691
121,Khazix,11,4,True,7,3,10,98314,8373,12,14,3142,6693
44,Taric,3,4,True,2,3,21,32111,7209,11,30,3070,3190
517,Sylas,32,4,True,7,7,20,24626,9919,14,9,4633,2421
104,Graves,32,4,True,16,6,17,66862,13191,16,79,3111,6673
57,Maokai,32,4,True,5,9,33,36450,10591,16,9,3047,3068
360,Samira,4,32,True,12,7,14,50400,11283,14,37,6673,3111
114,Fiora,32,4,True,9,6,24,38313,11884,16,36,6630,3111
64,LeeSin,32,4,False,8,9,20,43312,10528,14,27,2051,3053
21,MissFortune,4,3,False,7,8,23,51197,10141,14,36,3042,3112
103,Ahri,4,32,False,7,10,17,42528,11121,14,30,3112,3040
43,Karma,4,3,False,5,9,26,44308,9720,15,23,3112,3070
203,Kindred,4,3,False,8,13,17,67393,10410,14,52,6672,3085
876,Lillia,32,4,False,16,9,29,87940,17149,18,34,6653,3157
35,Shaco,14,32,False,7,12,32,77926,15099,18,36,6655,3020
39,Irelia,32,4,False,16,11,30,109496,18032,18,118,3065,6632
238,Zed,4,32,False,19,12,18,80028,16926,18,39,6609,3111
86,Garen,32,4,False,10,12,30,72078,15162,18,40,3047,3068
420,Illaoi,32,4,True,10,11,28,132284,18050,18,77,6609,3047
121,Khazix,4,32,True,16,14,16,95004,17067,18,69,3074,3042
59,JarvanIV,4,32,True,12,14,34,116495,17452,18,51,6630,3193
22,Ashe,4,3,True,5,10,35,145563,15634,18,79,1036,4637
164,Camille,4,32,True,13,19,24,93010,15974,18,40,6632,6333
7,Leblanc,3,4,True,6,4,18,31747,9568,14,41,3006,6672
147,Seraphine,14,4,True,11,3,27,45537,11207,15,30,6655,3135
69,Cassiopeia,4,21,True,10,4,20,52643,10781,14,48,6653,3040
223,TahmKench,3,32,True,6,4,21,23235,9303,15,10,2051,3083
202,Jhin,4,1,True,9,3,24,50304,10413,15,36,6692,3036
136,AurelionSol,6,4,False,4,7,14,55778,9558,13,45,3112,3040
23,Tryndamere,4,32,False,2,8,6,32200,8411,13,49,3184,3046
111,Nautilus,4,32,False,1,9,12,16133,7990,13,8,3068,3801
24,Jax,4,32,False,5,10,9,19256,9129,13,13,2051,1036
10,Kayle,4,32,False,6,8,10,33530,9967,13,35,6655,2031
266,Aatrox,4,32,False,0,8,14,19713,7191,11,15,3111,6630
235,Senna,6,4,False,4,5,9,41649,8403,12,30,3177,3042
61,Orianna,13,4,False,6,4,9,28827,9112,12,30,3040,3112
117,Lulu,3,4,False,2,6,13,14828,7747,12,19,3070,6617
4,TwistedFate,7,4,False,4,5,9,44137,8889,12,21,6655,3100
64,LeeSin,4,32,True,7,4,15,35241,9616,13,23,1001,6630
147,Seraphine,3,4,True,1,3,26,25410,8432,13,16,6617,3070
143,Zyra,32,4,True,3,2,21,45015,8976,13,47,6655,0
203,Kindred,3,4,True,9,3,10,39453,10033,13,34,6671,3111
48,Trundle,32,4,True,8,4,11,23698,9888,13,23,6632,3111
119,Draven,6,4,False,6,10,23,85312,13299,16,78,3184,3006
238,Zed,32,4,False,11,9,20,85611,14043,17,72,6691,3111
555,Pyke,32,4,False,13,9,22,31571,16292,17,5,3142,3140
78,Poppy,32,4,False,7,12,23,42600,12076,16,23,6632,3053
62,MonkeyKing,4,32,False,8,13,22,38963,12362,16,21,3111,6632
99,Lux,21,4,True,8,7,31,67313,12596,17,44,6655,3108
268,Azir,13,7,True,4,11,30,35978,11183,16,21,3075,3047
420,Illaoi,32,4,True,19,10,27,139266,15889,18,86,3053,3047
105,Fizz,4,32,True,22,11,17,49806,15093,17,18,3158,2031
350,Yuumi,14,3,True,0,6,49,22033,11035,18,6,6617,3222
