champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
56,Nocturne,14,12,True,8,2,8,106332,10350,14,158,3142,6630
134,Syndra,14,4,True,7,7,6,71752,10066,13,131,3020,2420
432,Bard,3,4,True,0,5,19,16753,7123,12,24,3853,1011
245,Ekko,11,4,True,9,1,5,164544,11266,14,36,1082,3152
22,Ashe,7,4,True,5,3,10,84003,9379,13,131,6673,3091
1,Annie,11,4,False,3,5,4,70161,6988,11,6,2421,2031
498,Xayah,7,4,False,4,7,6,105801,8913,11,144,3006,3508
555,Pyke,14,4,False,6,8,2,9586,9669,9,15,6691,3864
36,DrMundo,12,4,False,2,4,2,75180,7805,12,153,6662,3065
126,Jayce,4,12,False,3,5,7,134204,10246,14,182,6692,2031
51,Caitlyn,4,3,True,6,8,6,193493,13109,17,218,3036,6671
104,Graves,4,14,True,16,7,7,253171,18202,18,230,6333,6673
19,Warwick,21,4,True,10,9,6,81791,13161,15,116,8001,3053
16,Soraka,4,7,True,0,8,21,25764,8878,15,13,3158,3853
20,Nunu,11,4,True,6,5,21,171604,13532,16,40,3068,8001
164,Camille,4,12,False,6,10,11,143462,12696,15,150,3078,0
127,Lissandra,14,4,False,7,9,16,166506,13991,15,219,3089,6655
202,Jhin,4,7,False,10,7,6,208846,13975,15,214,3094,6676
111,Nautilus,14,4,False,2,6,17,27579,7800,14,24,2055,3190
59,JarvanIV,4,11,False,12,6,18,147449,13819,15,32,6630,3143
37,Sona,21,4,True,2,3,5,8110,4464,7,4,3070,3851
154,Zac,11,4,True,6,0,5,80349,6975,11,10,6662,2055
238,Zed,14,4,True,5,1,1,45280,5994,10,89,6691,2031
202,Jhin,7,4,True,0,3,5,42790,4594,8,89,3009,3134
92,Riven,14,12,True,8,3,0,63390,8117,12,107,3142,0
107,Rengar,14,4,False,3,6,1,48106,5658,9,89,6029,2055
105,Fizz,14,4,False,1,4,2,37774,4943,10,105,1056,2033
51,Caitlyn,4,7,False,2,4,2,47088,5078,8,99,1055,2031
43,Karma,4,14,False,1,3,4,13019,4517,7,9,2055,2065
876,Lillia,4,11,False,3,4,1,61386,5407,9,13,1001,4633
141,Kayn,11,4,False,9,4,6,132610,11766,14,66,6630,1028
6,Urgot,4,12,False,0,7,1,85305,7473,13,171,3047,2031
235,Senna,3,4,False,3,6,3,37457,6959,11,25,3864,6672
105,Fizz,14,4,False,4,7,9,72289,8930,13,144,1082,3157
202,Jhin,4,7,False,2,5,5,93102,8480,12,169,3036,6671
51,Caitlyn,4,7,True,4,5,6,141431,11000,13,197,1055,2421
238,Zed,4,14,True,5,6,4,89260,8946,13,144,6692,6676
102,Shyvana,11,4,True,7,2,7,221716,11846,15,26,3115,2031
164,Camille,4,12,True,9,2,4,117724,11682,15,213,3026,0
98,Shen,4,14,True,4,3,16,26172,8862,12,46,3857,3190
38,Kassadin,14,4,False,9,10,6,137893,13796,15,186,1082,3157
81,Ezreal,4,7,False,11,3,10,263454,16624,17,282,3110,3042
164,Camille,4,12,False,5,6,7,157702,12820,17,241,2421,3074
497,Rakan,14,4,False,1,6,22,24885,8966,14,44,3047,3860
79,Gragas,4,11,False,5,3,11,171497,11510,15,57,3020,1029
51,Caitlyn,4,3,True,5,7,8,256224,15797,16,254,3035,3006
18,Tristana,4,12,True,9,5,12,342745,20364,18,304,6672,3046
31,Chogath,4,12,True,5,6,8,170550,13515,17,212,2421,6656
412,Thresh,14,4,True,2,7,14,19513,9015,14,36,0,3050
64,LeeSin,4,11,True,7,6,15,172521,13247,17,41,2055,6630
516,Ornn,12,4,False,4,4,4,71917,8769,13,133,3047,8001
64,LeeSin,11,4,False,5,4,4,113994,8708,12,25,2055,2031
222,Jinx,7,4,False,2,7,6,79573,8209,11,134,6672,3006
161,Velkoz,4,14,False,4,4,8,38833,7211,10,22,3020,1082
115,Ziggs,4,7,False,1,4,5,129767,8173,13,175,4628,2055
38,Kassadin,14,4,True,8,1,4,94549,9870,14,149,1082,3157
12,Alistar,14,4,True,1,5,9,23630,6075,10,28,0,3117
92,Riven,12,4,True,2,3,5,139661,10206,15,211,1055,3071
145,Kaisa,7,4,True,7,2,1,88172,9635,12,145,0,6676
104,Graves,4,11,True,5,6,5,149066,9708,13,38,6692,6676
157,Yasuo,14,4,False,7,7,2,123895,12458,14,185,6673,3033
104,Graves,4,11,False,6,8,6,146113,10334,14,55,3006,6671
82,Mordekaiser,14,4,False,1,11,3,55244,6837,12,109,3191,8001
432,Bard,14,4,False,0,9,12,21096,6471,12,31,3860,2055
81,Ezreal,4,7,False,6,4,4,113900,11019,14,152,6632,3042
115,Ziggs,12,4,True,3,6,10,151426,10606,13,186,3108,1052
20,Nunu,14,4,True,3,5,17,82090,8900,13,107,1056,3157
92,Riven,12,4,True,15,4,11,128452,14719,15,158,3142,6630
64,LeeSin,11,4,True,17,3,12,163428,15386,15,49,6630,3026
412,Thresh,14,4,True,1,3,22,18133,7336,12,41,3117,3190
107,Rengar,12,4,True,5,3,2,68207,7993,11,110,6695,2031
876,Lillia,4,11,True,4,1,8,116586,8416,12,29,3157,2031
53,Blitzcrank,4,14,True,2,0,17,13139,6302,10,23,3860,3190
51,Caitlyn,7,4,True,4,1,6,91188,8870,11,165,6671,6676
38,Kassadin,14,4,True,6,4,4,70760,7750,12,136,1082,2420
