champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
119,Draven,4,7,False,8,6,4,147893,13634,14,225,6673,6676
107,Rengar,11,4,False,15,6,7,157640,13928,16,18,3814,6631
526,Rell,4,14,False,2,6,13,19495,7078,11,25,3860,3075
69,Cassiopeia,4,12,False,5,16,11,93878,9751,14,124,0,6656
92,Riven,12,4,False,1,5,3,97888,8201,14,166,3071,2031
523,Aphelios,7,4,True,3,8,10,106448,10199,14,168,6673,3006
432,Bard,4,3,True,2,5,24,19737,9264,14,14,2055,3190
59,JarvanIV,11,4,True,8,5,19,128878,12655,16,44,3143,6630
13,Ryze,4,12,True,14,3,7,241959,16677,17,205,1082,3040
246,Qiyana,14,4,True,12,10,8,119587,12008,15,136,6630,6695
157,Yasuo,14,4,True,8,3,9,248961,16172,17,257,1055,3091
412,Thresh,4,14,True,3,9,16,21225,8631,14,31,3190,3857
30,Karthus,3,11,True,9,6,14,217668,14052,16,61,3157,4637
80,Pantheon,14,4,True,6,7,7,113313,10907,15,154,1037,6692
523,Aphelios,4,7,True,7,5,9,231477,15013,16,244,3031,6673
150,Gnar,4,12,False,6,5,10,143671,14342,16,198,6632,2421
26,Zilean,14,4,False,3,7,17,30672,8749,13,27,2055,3853
15,Sivir,7,4,False,5,11,16,173429,12214,15,195,6671,6676
35,Shaco,11,14,False,15,4,9,174526,15776,17,63,3020,3157
3,Galio,4,12,False,1,6,12,127465,10519,16,206,3152,3157
32,Amumu,4,14,True,0,10,25,30041,7632,14,36,3860,3190
141,Kayn,11,4,True,14,6,5,237898,16181,17,44,3158,6630
360,Samira,3,4,True,6,12,13,99813,10562,14,157,1055,6673
246,Qiyana,14,4,True,16,4,16,181379,17364,16,174,6630,6694
85,Kennen,4,12,True,8,5,11,189336,14984,17,242,3152,3089
235,Senna,4,7,False,5,9,21,130202,13749,15,192,3094,3124
526,Rell,4,14,False,2,10,26,28230,9192,13,34,3158,8001
