champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
76,Nidalee,11,4,True,7,2,10,99194,8666,12,8,4636,2055
68,Rumble,4,14,True,6,1,10,91546,9495,13,152,3152,2421
81,Ezreal,7,4,True,14,0,10,120032,12221,13,172,1055,2031
166,Akshan,12,4,True,11,5,5,92372,10456,13,137,1055,6672
111,Nautilus,14,4,True,0,0,19,20527,6199,10,29,3860,3047
126,Jayce,4,12,False,3,9,0,64895,6901,10,97,6692,3133
145,Kaisa,7,4,False,2,9,1,41184,6302,9,107,1055,6672
5,XinZhao,11,4,False,1,9,3,72641,5599,10,5,2031,6630
16,Soraka,4,3,False,0,8,1,11848,4280,7,6,3853,2031
103,Ahri,4,14,False,2,3,1,79009,7861,12,163,6656,4628
39,Irelia,4,14,False,18,10,9,244890,19500,18,241,3065,6333
16,Soraka,4,7,False,2,9,26,35494,10471,16,17,3222,3157
78,Poppy,12,4,False,2,10,9,132527,11340,17,176,3047,2033
131,Diana,11,4,False,4,13,12,207396,13315,17,73,3020,4632
145,Kaisa,1,4,False,15,7,8,259599,19027,17,270,3031,3157
238,Zed,4,12,True,13,6,13,244011,19783,18,258,6693,3142
89,Leona,4,14,True,0,9,27,26279,9398,15,40,3075,3860
106,Volibear,12,4,True,7,6,15,224313,15720,18,195,3158,6632
30,Karthus,4,11,True,19,12,18,299981,18943,18,74,3157,3165
110,Varus,4,7,True,10,8,19,190311,17601,18,183,3026,3142
164,Camille,14,12,False,3,9,8,51876,7944,12,126,1036,6632
412,Thresh,4,14,False,0,8,10,18680,5250,10,30,0,3857
81,Ezreal,7,4,False,10,6,2,124576,12133,13,174,3158,3042
13,Ryze,12,4,False,2,10,7,98149,8337,13,163,3110,6656
234,Viego,11,4,False,1,7,7,97837,7230,12,24,6632,3047
236,Lucian,7,4,True,2,3,10,126519,10866,14,201,1055,3133
64,LeeSin,4,11,True,17,2,15,152139,14640,15,25,2055,3026
238,Zed,14,4,True,13,4,11,90182,12244,14,140,3142,6691
82,Mordekaiser,12,4,True,8,2,18,137700,13778,15,154,3115,3116
201,Braum,4,14,True,0,5,25,24421,6945,13,25,3190,0
48,Trundle,11,4,False,1,3,5,27381,4783,8,16,2422,2031
145,Kaisa,3,4,False,5,1,1,73401,8826,11,130,6676,3006
111,Nautilus,14,4,False,0,1,3,6927,3510,7,13,3859,1029
164,Camille,14,12,False,4,3,1,52501,6580,11,109,1055,3158
4,TwistedFate,12,4,False,2,2,3,61965,6387,11,110,3158,6656
107,Rengar,11,4,True,5,2,3,97404,8197,10,27,6632,2031
14,Sion,4,12,True,0,4,2,73749,6411,11,124,2033,2055
61,Orianna,4,12,True,2,2,5,95071,8200,12,163,3070,3020
267,Nami,4,14,True,0,2,7,10584,5762,8,3,3853,2003
236,Lucian,4,7,True,3,2,2,66603,7119,10,107,6671,1083
245,Ekko,11,4,True,12,5,15,184815,14481,16,54,3152,3157
166,Akshan,12,4,True,13,7,10,198896,16682,17,222,6676,3072
23,Tryndamere,6,4,True,7,10,5,156302,11820,16,178,6672,3123
235,Senna,4,7,True,11,5,21,130552,14955,16,199,3142,6691
267,Nami,4,14,True,1,9,25,15336,9638,14,9,4005,3504
412,Thresh,4,14,False,0,10,13,16088,7233,11,33,3857,3107
121,Khazix,4,11,False,17,6,6,194739,15819,17,59,3179,6693
68,Rumble,4,14,False,9,7,1,105981,12404,14,161,3152,3157
114,Fiora,12,4,False,5,12,5,127416,11444,14,167,6630,3074
523,Aphelios,7,4,False,5,9,4,118834,10852,14,184,3006,1057
42,Corki,12,4,True,12,3,7,155534,14395,16,210,3020,3095
26,Zilean,3,4,True,3,5,21,22415,8559,13,30,3158,4629
81,Ezreal,7,4,True,9,3,7,126859,12295,15,189,3078,3091
92,Riven,4,12,True,6,6,7,96474,10207,14,133,1054,6630
254,Vi,11,4,True,7,6,13,147604,11637,15,61,6632,3053
126,Jayce,4,12,False,6,7,7,111468,10213,13,152,3133,1036
147,Seraphine,14,4,False,6,6,6,20215,8642,11,12,2421,3107
115,Ziggs,4,12,False,4,4,3,139825,9737,13,201,1056,6653
13,Ryze,12,4,False,1,9,5,126253,8276,13,151,3157,6656
121,Khazix,4,11,False,6,11,6,89323,8697,12,19,2031,6693
13,Ryze,12,4,False,2,8,1,254506,12329,16,223,3040,0
429,Kalista,21,4,False,8,8,7,147948,14223,15,188,7018,6609
516,Ornn,4,12,False,4,7,5,123433,10699,15,145,3067,3001
74,Heimerdinger,4,3,False,5,11,10,61728,9905,13,54,1058,2031
59,JarvanIV,11,4,False,6,3,8,128913,11433,14,67,3047,6630
10,Kayle,12,4,True,10,5,6,218343,16786,18,285,3006,2421
235,Senna,4,7,True,4,7,19,140295,12439,15,174,3009,3094
48,Trundle,11,4,True,8,4,6,165511,12998,15,27,3091,0
115,Ziggs,12,4,True,5,6,10,189171,11808,16,192,1056,3157
432,Bard,14,4,True,10,3,19,41412,11922,14,19,3853,3190
