champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
45,Veigar,4,3,False,8,7,12,53768,11336,15,35,6656,3083
114,Fiora,4,32,False,4,13,10,37296,10540,14,23,3184,6630
67,Vayne,4,1,False,7,9,11,59463,12458,15,37,3006,6673
75,Nasus,4,6,False,3,9,15,58895,11255,15,72,2051,6632
43,Karma,4,3,False,1,6,18,39229,10496,16,26,3112,3158
350,Yuumi,14,7,True,5,3,38,24837,12197,17,2,6617,3070
8,Vladimir,32,4,True,9,6,18,60900,12613,16,53,3152,3157
104,Graves,32,4,True,12,4,23,111825,14638,17,125,6673,3140
80,Pantheon,32,4,True,14,6,23,67206,13084,16,27,2051,6691
427,Ivern,13,4,True,4,4,35,22286,11527,17,4,3112,4005
103,Ahri,4,32,False,5,8,26,70780,13124,18,59,3112,3070
63,Brand,32,4,False,10,11,20,65629,13626,18,34,3916,3040
110,Varus,32,4,False,16,11,21,120886,16296,18,85,3042,3177
53,Blitzcrank,13,4,False,3,11,24,22345,11562,17,9,2051,6662
107,Rengar,32,4,False,18,12,17,84300,16159,18,61,3177,6630
777,Yone,4,32,True,9,15,14,70044,14181,18,51,6673,3072
26,Zilean,3,4,True,8,10,26,69143,13891,18,51,3157,0
43,Karma,32,4,True,5,10,32,57527,12820,18,24,6655,3157
150,Gnar,4,32,True,17,9,20,82513,16154,18,43,6609,3053
203,Kindred,7,4,True,13,10,24,103779,16240,18,69,3184,3046
43,Karma,4,7,True,6,3,38,18098,10306,15,6,7021,3070
24,Jax,32,4,True,10,7,18,21960,10255,13,17,2051,6630
18,Tristana,32,4,True,18,6,19,64095,11979,15,60,3184,3006
516,Ornn,6,4,True,4,5,27,20728,9047,14,11,2051,7019
119,Draven,32,4,True,10,7,23,55344,10851,14,52,3184,3036
498,Xayah,4,3,False,5,10,13,45805,8816,12,43,6671,3006
63,Brand,7,4,False,4,6,17,41797,9448,13,39,6653,3020
120,Hecarim,6,32,False,3,13,11,15339,7650,12,2,3047,6333
76,Nidalee,4,32,False,13,8,10,36423,10569,13,24,3070,3112
27,Singed,32,4,False,3,11,15,21936,8621,13,20,3047,3110
99,Lux,4,13,True,5,5,25,22778,7510,12,19,3112,3070
12,Alistar,32,4,True,3,2,26,16839,7119,11,16,2051,1001
76,Nidalee,32,4,True,11,6,10,33094,8438,11,27,4628,0
101,Xerath,13,4,True,7,3,16,23611,7659,11,13,3040,3145
235,Senna,32,4,True,8,2,19,28826,8874,12,29,3006,6672
516,Ornn,32,4,False,4,9,10,13424,7218,11,8,3068,3111
266,Aatrox,32,4,False,2,7,7,12094,6122,10,4,3177,2031
21,MissFortune,3,4,False,4,7,11,24689,7355,11,27,6653,3020
82,Mordekaiser,32,4,False,7,5,3,25197,7965,11,23,2051,3111
18,Tristana,4,21,False,1,6,4,14742,5880,10,23,6673,3006
75,Nasus,4,32,False,6,18,43,131068,17860,18,95,3157,3020
51,Caitlyn,7,4,False,18,12,34,206261,21877,18,148,3036,3033
143,Zyra,3,4,False,9,13,43,112689,18195,18,79,6653,3020
105,Fizz,4,32,False,19,15,31,76296,18446,18,20,4636,3020
76,Nidalee,13,4,False,25,8,32,139762,21538,18,60,6655,3040
110,Varus,4,32,True,16,13,31,147184,21285,18,106,3042,3072
517,Sylas,32,4,True,9,16,19,93397,17742,18,47,3165,3157
360,Samira,32,4,True,23,15,25,224267,24265,18,152,3091,3072
63,Brand,6,4,True,6,15,24,85255,16914,18,41,6655,4637
62,MonkeyKing,32,4,True,12,18,25,91920,18971,18,69,3065,6630
143,Zyra,4,3,True,7,8,33,101197,16536,18,61,4637,6653
202,Jhin,4,3,True,18,8,18,120411,18616,18,84,6671,3094
17,Teemo,4,6,True,13,14,21,95926,16823,18,58,6653,3135
150,Gnar,4,32,True,6,15,32,84391,16138,18,47,3075,4401
240,Kled,32,4,True,11,9,27,52977,16779,18,32,6630,3143
16,Soraka,4,7,False,2,9,45,35408,14082,18,17,6617,3083
246,Qiyana,32,4,False,24,11,17,146050,19892,18,92,3042,3814
223,TahmKench,32,4,False,10,10,25,72570,15018,18,26,3083,3748
166,Akshan,32,4,False,10,9,19,161047,17557,18,118,3072,6672
134,Syndra,4,32,False,8,16,19,96672,15045,18,64,3112,3157
35,Shaco,4,32,True,6,3,18,17492,6772,11,5,3020,2031
51,Caitlyn,4,7,True,5,3,20,28012,7710,11,25,6671,3035
142,Zoe,21,4,True,4,6,16,21260,6513,10,22,6655,3020
166,Akshan,4,7,True,5,4,18,29139,7263,11,22,6671,3006
64,LeeSin,4,32,True,10,3,18,20940,7794,11,13,3111,6630
45,Veigar,4,32,False,4,5,6,20054,6191,10,14,3112,3070
107,Rengar,32,4,False,9,5,1,30055,8551,11,34,3047,2031
91,Talon,14,4,False,1,6,3,11270,5449,10,10,3047,6630
14,Sion,32,4,False,1,6,10,27715,6178,11,34,2051,3068
517,Sylas,4,32,False,4,8,4,12284,6358,10,5,3112,0
350,Yuumi,7,14,True,3,5,43,22858,11115,17,5,6617,3070
64,LeeSin,32,4,True,18,11,21,61261,13925,16,41,2051,3047
1,Annie,14,4,True,10,5,22,36819,11838,16,17,3158,3152
238,Zed,32,4,True,14,8,18,72157,12949,16,61,3177,3142
31,Chogath,4,32,True,3,8,13,39624,10334,15,37,2051,3083
45,Veigar,4,7,False,3,10,26,50202,9899,15,42,6656,3089
777,Yone,4,32,False,8,10,18,51117,11644,15,34,3111,6673
55,Katarina,32,4,False,10,9,21,37432,11535,15,16,4633,3115
236,Lucian,4,1,False,12,8,22,91740,13455,16,73,6672,3006
