champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
412,Thresh,32,4,True,9,6,31,46445,13255,17,34,3068,3075
40,Janna,3,4,True,3,3,36,24322,11185,17,8,6617,3114
61,Orianna,4,13,True,5,7,33,68920,11903,17,37,2031,3157
39,Irelia,4,32,True,16,9,17,49326,13656,16,47,3177,3153
523,Aphelios,6,4,True,11,4,21,92843,13613,17,83,3091,3047
64,LeeSin,4,32,False,6,13,13,20860,11089,15,14,3047,6630
157,Yasuo,32,4,False,8,12,8,47050,11789,15,46,6673,3006
498,Xayah,7,4,False,7,9,12,77462,12292,15,70,3184,6673
15,Sivir,4,21,False,4,5,20,78012,11375,16,51,3042,6691
81,Ezreal,7,4,False,4,5,11,55753,11075,16,47,6632,3042
875,Sett,32,4,False,2,10,14,35147,8204,13,29,2051,6630
45,Veigar,21,4,False,4,8,17,48951,9135,14,60,6655,3020
26,Zilean,4,32,False,3,7,19,31680,9182,14,23,6655,3158
142,Zoe,14,4,False,7,10,13,25440,9123,13,17,6655,3020
164,Camille,4,32,False,14,10,7,28516,11265,14,20,1037,2051
43,Karma,4,6,True,7,5,20,34672,10113,14,32,6655,4629
96,KogMaw,7,4,True,12,6,19,61758,11904,15,66,6673,3006
89,Leona,4,32,True,6,9,23,23552,9763,15,9,3068,3076
222,Jinx,21,4,True,11,5,22,55164,11225,15,41,2031,6672
1,Annie,4,32,True,9,5,24,28422,10410,14,17,6655,3157
74,Heimerdinger,3,4,True,3,4,25,33406,10705,16,22,6653,3157
41,Gangplank,4,32,True,15,7,14,93872,14026,16,62,3508,6691
429,Kalista,1,4,True,8,5,22,43023,11634,15,66,3006,3153
4,TwistedFate,7,4,True,5,6,25,69160,11173,15,43,3094,3100
121,Khazix,32,4,True,11,10,16,21711,11831,15,12,6691,3158
104,Graves,4,32,False,5,8,10,40853,9837,15,23,6691,3158
360,Samira,21,4,False,9,9,14,35305,11052,15,36,6673,3006
13,Ryze,4,32,False,3,8,14,36247,9445,14,29,3157,6656
30,Karthus,32,4,False,6,11,21,50705,10755,15,37,6653,3116
222,Jinx,7,4,False,9,6,13,44307,10823,15,46,1037,3006
113,Sejuani,4,32,True,5,6,28,15032,9244,15,12,2051,3111
51,Caitlyn,7,4,True,9,6,31,37557,10339,14,35,3006,6671
236,Lucian,7,4,True,19,4,30,72541,12764,16,65,3184,6673
99,Lux,7,4,True,13,6,29,20478,10494,14,4,6655,3020
68,Rumble,4,32,True,14,8,27,40297,10731,14,29,4633,3020
555,Pyke,32,4,False,12,15,6,19517,10337,12,6,6691,3047
69,Cassiopeia,4,14,False,7,12,7,39567,9356,13,32,3040,4630
350,Yuumi,14,3,False,2,8,20,19218,8734,14,7,3107,6655
142,Zoe,32,4,False,8,13,12,34971,10237,14,31,6655,3020
9,Fiddlesticks,4,13,False,0,12,8,22985,7185,13,23,3070,3112
53,Blitzcrank,32,4,False,7,9,15,21213,11179,16,18,3047,3190
10,Kayle,21,4,False,3,8,16,42113,10840,15,44,4633,3111
777,Yone,4,21,False,1,8,8,26564,8707,13,24,3184,6630
236,Lucian,7,4,False,12,9,11,74908,13749,16,81,6673,3139
8,Vladimir,32,4,False,5,8,16,53878,10555,16,32,4636,3158
202,Jhin,4,21,True,16,6,14,53273,12931,16,42,3006,6671
54,Malphite,4,32,True,5,5,15,29503,10982,16,24,4636,4629
96,KogMaw,13,4,True,5,6,26,51678,11476,17,29,6653,4637
22,Ashe,7,4,True,8,5,27,63634,12601,16,59,4005,3042
56,Nocturne,32,4,True,8,7,20,62591,11554,16,45,1037,6630
37,Sona,7,4,False,1,6,14,26960,7582,14,36,3853,3070
41,Gangplank,4,12,False,7,6,4,204913,14259,16,226,3047,2033
8,Vladimir,4,14,False,10,3,6,217925,14524,17,275,3135,3152
147,Seraphine,3,4,False,2,4,11,98678,8775,14,146,1056,6653
104,Graves,11,4,False,2,11,9,165981,10463,14,58,3134,2031
107,Rengar,11,4,True,4,3,5,208290,12176,16,25,6691,3142
126,Jayce,4,12,True,13,8,2,225329,16957,18,220,3042,6692
235,Senna,7,4,True,5,4,9,91247,11634,14,47,3864,3006
110,Varus,1,4,True,6,4,10,180564,14033,16,232,6694,6695
4,TwistedFate,4,3,True,2,3,8,137895,12108,16,179,3020,2031
164,Camille,12,14,False,2,3,3,41472,5984,10,102,1054,6632
4,TwistedFate,3,4,False,2,4,0,45995,5645,10,89,2033,1082
222,Jinx,7,4,False,1,4,1,47782,5206,8,104,6672,1036
143,Zyra,4,14,False,0,5,2,17732,4130,7,12,0,1052
234,Viego,4,11,False,2,5,1,85293,6096,10,11,6672,1053
266,Aatrox,4,12,True,3,4,1,60583,6207,11,126,1054,6630
245,Ekko,11,4,True,6,2,1,95259,6763,10,10,3152,2031
37,Sona,7,4,True,2,1,9,28691,6985,10,72,3070,3853
238,Zed,4,14,True,8,0,3,74481,9320,12,145,6691,2031
111,Nautilus,14,4,True,2,0,10,23269,5333,9,39,3111,3190
89,Leona,14,4,False,0,6,10,19072,5749,9,27,3075,3047
145,Kaisa,7,4,False,4,8,4,86388,9831,12,169,1055,6671
245,Ekko,4,11,False,7,4,4,156603,10051,13,26,3157,3152
105,Fizz,14,4,False,4,7,4,49034,7278,11,112,2033,3152
777,Yone,4,12,False,6,6,5,105410,9741,14,172,6673,3031
64,LeeSin,11,4,True,1,6,17,118358,8764,14,14,2055,2031
166,Akshan,12,4,True,13,4,7,121148,14317,15,179,3124,6673
497,Rakan,14,4,True,2,6,17,22613,7725,12,12,3158,6656
246,Qiyana,14,4,True,8,2,12,125286,11767,15,151,6630,3035
498,Xayah,1,4,True,7,4,10,124090,11443,14,174,3508,6671
28,Evelynn,11,4,False,15,5,14,237558,16440,18,42,3152,3089
51,Caitlyn,4,7,False,6,9,10,231232,14977,16,245,3046,3123
7,Leblanc,4,12,False,6,4,10,143368,12759,17,222,3157,6656
19,Warwick,4,21,False,5,11,13,161757,14652,16,212,3053,3157
432,Bard,14,4,False,4,6,18,25654,9857,15,21,3190,3853
127,Lissandra,12,4,True,8,10,10,201455,14707,17,249,3020,1082
64,LeeSin,11,4,True,8,5,14,196739,14590,18,44,0,3814
523,Aphelios,4,7,True,14,6,10,239348,19627,18,251,3091,6673
48,Trundle,14,4,True,1,7,16,26162,8256,15,34,3067,3067
164,Camille,12,4,True,4,8,14,117997,11569,17,144,3053,3123
18,Tristana,4,7,True,5,2,6,86137,7975,11,126,2031,3046
9,Fiddlesticks,4,11,True,9,1,3,97776,8997,12,27,1082,3152
122,Darius,4,12,True,6,2,1,70891,8074,12,126,2031,0
103,Ahri,4,12,True,2,2,2,67681,6898,12,142,1056,6656
412,Thresh,4,14,True,1,1,13,13115,5918,9,27,3117,3855
360,Samira,7,4,False,0,4,0,55600,5743,10,134,1055,6673
80,Pantheon,4,14,False,3,5,2,30733,5862,9,24,3111,3863
134,Syndra,12,4,False,1,8,3,45920,5383,10,94,2033,0
30,Karthus,11,3,False,3,5,3,103102,7342,11,23,6653,2031
150,Gnar,12,4,False,1,1,1,62741,6242,12,143,3111,6632
