champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
238,Zed,4,12,False,2,9,3,96287,8070,13,160,6693,6695
64,LeeSin,4,11,False,7,4,4,114700,9310,12,74,2055,3071
57,Maokai,14,4,False,2,5,15,26553,6101,11,24,3859,1029
119,Draven,4,7,False,13,5,7,174638,14669,14,206,1037,1037
92,Riven,14,12,False,1,8,10,58076,7549,13,105,1054,1053
141,Kayn,11,4,True,16,3,9,180931,16047,15,58,3047,6630
523,Aphelios,4,7,True,1,8,4,114611,8378,12,160,1055,6673
32,Amumu,3,4,True,1,9,14,25211,7643,12,33,3047,3190
268,Azir,12,4,True,9,4,5,150284,12256,15,170,3115,3157
157,Yasuo,4,3,True,4,2,7,163955,11513,15,225,6673,1055
516,Ornn,12,4,True,7,4,8,82109,9047,13,121,3001,7005
51,Caitlyn,7,4,True,11,3,11,111693,12111,13,151,1055,3094
59,JarvanIV,4,11,True,4,4,21,143487,10939,14,16,6630,3143
412,Thresh,4,3,True,4,5,20,16264,8085,12,32,2065,2055
268,Azir,12,4,True,9,4,9,142981,13379,15,188,3040,3157
117,Lulu,4,3,False,1,7,13,14609,6751,12,28,3158,3860
64,LeeSin,4,11,False,5,10,4,123594,10029,13,33,2055,3071
85,Kennen,12,4,False,8,7,4,97854,10715,14,157,1082,3135
777,Yone,4,14,False,1,5,4,109512,8217,13,165,6673,1054
498,Xayah,4,7,False,5,7,6,113904,10047,13,163,1055,3006
518,Neeko,12,4,True,1,4,11,101138,9849,15,165,3089,1026
360,Samira,4,7,True,10,3,10,156307,14117,15,217,1055,2421
60,Elise,11,4,True,9,4,12,136518,11892,15,26,3165,2420
103,Ahri,14,4,True,7,5,9,108332,10994,14,153,1082,3165
32,Amumu,14,4,True,2,2,16,32505,8484,12,43,0,3190
350,Yuumi,3,14,False,0,7,7,7664,5668,11,4,0,2055
121,Khazix,4,11,False,4,7,9,158436,10556,13,17,6630,3071
7,Leblanc,4,14,False,7,5,5,93848,10917,14,173,2033,6655
202,Jhin,4,1,False,4,3,6,114422,9845,14,167,6676,6692
164,Camille,4,12,False,3,7,4,84426,8987,14,156,1054,3078
157,Yasuo,14,4,True,8,3,9,248961,16172,17,257,1055,3091
412,Thresh,4,14,True,3,9,16,21225,8631,14,31,3190,3857
30,Karthus,3,11,True,9,6,14,217668,14052,16,61,3157,4637
80,Pantheon,14,4,True,6,7,7,113313,10907,15,154,1037,6692
523,Aphelios,4,7,True,7,5,9,231477,15013,16,244,3031,6673
150,Gnar,4,12,False,6,5,10,143671,14342,16,198,6632,2421
26,Zilean,14,4,False,3,7,17,30672,8749,13,27,2055,3853
15,Sivir,7,4,False,5,11,16,173429,12214,15,195,6671,6676
35,Shaco,11,14,False,15,4,9,174526,15776,17,63,3020,3157
3,Galio,4,12,False,1,6,12,127465,10519,16,206,3152,3157
266,Aatrox,12,14,False,6,8,7,166377,13627,16,184,3047,6694
