champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
59,JarvanIV,4,11,True,9,2,19,182468,14075,16,38,6630,3047
432,Bard,3,4,True,1,4,13,15176,7312,12,16,3009,3190
119,Draven,4,7,True,8,4,6,120337,12755,14,183,6673,3036
517,Sylas,4,12,True,4,6,18,112847,10003,15,140,6656,2421
92,Riven,4,14,True,17,4,4,142287,16131,16,189,6630,3071
62,MonkeyKing,4,14,False,7,5,0,81244,10713,13,158,3123,3142
30,Karthus,4,11,False,5,15,10,178132,10075,13,51,3157,3020
497,Rakan,4,14,False,4,4,12,25263,7136,12,38,3860,3158
523,Aphelios,3,4,False,1,7,10,104616,8657,13,176,1055,6673
122,Darius,6,4,False,3,8,3,105332,9152,14,170,3053,6630
37,Sona,4,3,True,0,6,13,7811,6598,12,16,6617,3853
223,TahmKench,12,4,True,4,1,11,100113,10858,15,155,3742,6662
115,Ziggs,4,7,True,4,3,11,118245,9583,13,158,1056,6653
246,Qiyana,14,4,True,13,5,6,121982,13608,16,171,6693,3142
11,MasterYi,11,14,True,10,3,6,211481,13182,15,25,0,6672
875,Sett,12,4,False,1,9,1,96237,7155,13,119,1054,6630
111,Nautilus,14,4,False,1,7,8,20623,6154,9,28,2055,3190
202,Jhin,4,7,False,2,2,4,120242,9591,13,198,3094,3035
18,Tristana,4,14,False,9,8,0,164985,13496,15,185,3031,1018
76,Nidalee,4,11,False,5,5,5,140478,9438,13,15,3157,2055
107,Rengar,12,4,True,5,3,2,68207,7993,11,110,6695,2031
876,Lillia,4,11,True,4,1,8,116586,8416,12,29,3157,2031
53,Blitzcrank,4,14,True,2,0,17,13139,6302,10,23,3860,3190
51,Caitlyn,7,4,True,4,1,6,91188,8870,11,165,6671,6676
38,Kassadin,14,4,True,6,4,4,70760,7750,12,136,1082,2420
432,Bard,3,4,False,2,6,1,13629,4984,9,20,2055,2031
15,Sivir,4,1,False,0,4,2,76443,6165,11,160,3070,6692
245,Ekko,4,11,False,3,4,3,102592,6160,11,13,3152,1082
777,Yone,4,14,False,4,4,3,59022,7252,11,114,6673,3006
223,TahmKench,6,12,False,0,3,4,63007,6392,12,145,1054,3047
412,Thresh,4,3,False,2,7,24,11835,7556,12,4,2051,3067
43,Karma,4,3,False,7,6,16,30733,8588,13,29,1026,3157
432,Bard,32,4,False,3,6,23,24703,8038,13,22,6655,3020
55,Katarina,32,4,False,10,8,16,38210,9665,13,29,2031,3111
133,Quinn,4,32,False,12,9,12,34570,10903,13,38,6672,3006
96,KogMaw,4,1,True,11,6,16,42856,10418,14,44,2031,3111
32,Amumu,4,32,True,6,10,14,19130,9216,13,12,3112,4636
114,Fiora,4,32,True,9,7,15,25199,9820,13,21,6630,2031
69,Cassiopeia,6,4,True,7,6,16,43661,9677,14,36,3112,6653
141,Kayn,32,4,True,3,5,19,33421,9014,13,29,3111,6630
30,Karthus,32,4,False,7,11,28,105890,13383,18,76,3040,3112
114,Fiora,4,32,False,17,12,16,66891,15288,18,45,3074,6630
78,Poppy,4,32,False,3,8,22,27491,11545,17,17,2051,3143
412,Thresh,32,4,False,4,10,28,22193,11594,17,10,2051,3047
22,Ashe,1,4,False,14,10,21,122241,15833,18,92,3184,3006
360,Samira,4,7,True,21,9,18,84745,16779,18,63,3072,6673
10,Kayle,6,4,True,12,9,26,81784,15432,18,66,3115,3124
106,Volibear,32,4,True,6,10,29,45699,12809,18,28,3083,3067
96,KogMaw,4,21,True,9,9,26,68954,13791,18,53,3006,6672
89,Leona,4,21,True,3,8,29,21442,11730,18,19,3001,3068
157,Yasuo,4,14,False,12,17,26,91204,15128,18,52,6673,3033
266,Aatrox,4,14,False,17,13,25,88022,17973,18,63,6630,3111
58,Renekton,4,32,False,12,14,29,82124,16362,18,53,6630,3053
134,Syndra,4,21,False,2,15,16,39440,12008,17,32,3040,6655
876,Lillia,32,4,False,15,14,27,112141,16272,18,55,6653,4637
31,Chogath,4,32,True,13,13,28,81765,15471,18,56,3112,3152
56,Nocturne,4,6,True,22,12,29,93317,17305,18,49,6630,3748
350,Yuumi,7,14,True,2,10,56,29159,13488,18,6,6617,6616
245,Ekko,32,4,True,27,11,25,171117,20043,18,82,4636,3020
161,Velkoz,6,4,True,9,12,35,102887,14878,18,75,3112,6655
523,Aphelios,4,7,True,4,9,7,98286,10476,13,169,6676,6673
90,Malzahar,4,12,True,8,5,15,142584,12944,15,181,0,3041
497,Rakan,14,4,True,4,4,18,18538,8440,13,20,3041,6656
121,Khazix,11,4,True,8,6,11,180655,12110,16,43,6630,3111
23,Tryndamere,6,4,True,9,4,5,202394,14622,16,213,1036,6672
3,Galio,14,4,False,3,5,15,41859,8322,13,50,3190,3860
24,Jax,4,12,False,3,7,6,122801,9753,15,179,2033,1055
203,Kindred,7,4,False,11,7,8,125087,13209,14,167,1038,6673
887,Gwen,6,11,False,8,7,7,162793,12048,14,28,3157,3115
7,Leblanc,14,4,False,2,7,13,85227,8879,14,145,6655,2033
114,Fiora,4,12,False,6,6,0,78809,8747,13,151,3070,0
64,LeeSin,4,11,False,5,9,4,88266,7999,11,58,2031,3814
1,Annie,4,12,False,4,8,1,60192,7327,12,137,1056,3020
37,Sona,4,3,False,2,8,8,22845,7296,10,59,3853,3011
89,Leona,14,4,False,1,5,7,22877,5243,10,32,2055,3190
9,Fiddlesticks,4,11,True,5,2,5,125974,8724,13,16,3020,6653
27,Singed,14,4,True,3,9,5,85044,8254,12,126,3152,3116
104,Graves,4,12,True,13,1,6,167581,14301,15,194,0,3036
497,Rakan,14,4,True,5,4,20,19616,8856,12,9,3041,6656
236,Lucian,7,4,True,10,3,6,121319,12370,13,177,1055,6673
104,Graves,4,12,False,3,4,4,50293,5310,10,100,1036,0
19,Warwick,4,21,False,1,4,0,22026,3938,9,65,1055,2031
9,Fiddlesticks,4,11,False,3,3,1,69283,5603,9,11,3145,3020
432,Bard,3,4,False,0,4,6,7237,3633,7,4,0,2031
51,Caitlyn,7,4,False,1,2,3,46997,5379,8,115,2031,3006
86,Garen,12,4,True,3,2,0,54427,6987,11,128,1054,6631
81,Ezreal,4,7,True,3,2,7,54535,6636,9,120,1055,3070
28,Evelynn,11,4,True,5,0,5,63497,6366,9,4,3152,1001
114,Fiora,4,12,True,4,1,0,49310,6653,12,130,6029,2031
37,Sona,4,3,True,1,3,8,11115,4951,8,6,3853,6617
89,Leona,14,4,False,2,6,3,16100,6411,10,46,3190,3857
360,Samira,4,7,False,0,9,0,74963,7582,11,170,6673,2031
876,Lillia,4,11,False,4,9,3,137656,8725,12,30,6653,3157
23,Tryndamere,6,4,False,3,5,2,118303,9538,14,154,1054,6672
518,Neeko,12,4,False,1,3,2,94337,7781,12,172,3020,2033
59,JarvanIV,4,11,True,6,3,19,108285,11004,14,18,3111,0
82,Mordekaiser,4,14,True,12,1,6,100260,11406,14,142,3111,2420
875,Sett,12,4,True,5,1,4,106926,9976,15,153,6630,1055
432,Bard,3,4,True,5,1,17,23579,8071,13,5,2055,3190
202,Jhin,4,1,True,4,4,11,122658,10834,13,174,3031,6671
