champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
7,Leblanc,4,14,False,3,7,10,82577,9475,14,128,6655,3020
104,Graves,11,4,False,9,6,12,190507,13111,15,66,3179,3123
875,Sett,4,14,False,5,11,5,122127,10538,14,159,6630,3053
360,Samira,7,4,False,7,5,6,160365,12312,15,232,6673,6676
432,Bard,4,3,False,2,5,18,21599,7494,13,12,2055,3190
107,Rengar,12,4,True,8,5,13,142010,13378,16,168,6630,3076
62,MonkeyKing,4,14,True,5,7,12,95047,10705,15,163,1054,6630
29,Twitch,7,4,True,5,7,9,101364,10869,13,157,3085,6672
235,Senna,3,4,True,4,4,15,39797,10198,13,31,3009,6632
245,Ekko,11,4,True,12,3,13,263366,16392,17,50,3152,3157
412,Thresh,3,4,False,3,7,10,16188,6215,9,26,3047,3855
164,Camille,14,12,False,4,8,3,68515,8799,12,133,3047,3074
51,Caitlyn,7,4,False,5,7,5,78775,8463,11,148,2055,6671
203,Kindred,11,4,False,3,8,4,80973,7267,11,23,2031,1037
3,Galio,12,4,False,1,7,4,78198,6770,11,126,2055,6656
121,Khazix,11,4,True,14,1,9,181090,13696,15,25,3158,6691
111,Nautilus,4,14,True,1,8,12,12501,6024,10,18,3190,3855
107,Rengar,4,12,True,8,2,11,111172,12902,14,153,2421,6632
103,Ahri,4,14,True,6,2,12,81127,9755,13,128,2033,3157
119,Draven,4,7,True,8,3,9,98234,11760,13,142,6671,3006
92,Riven,4,12,False,2,6,2,49581,6305,11,102,3067,6029
2,Olaf,4,11,False,3,6,0,79486,6357,10,23,6630,3044
267,Nami,14,4,False,0,3,5,11411,4867,9,8,3158,4005
51,Caitlyn,7,4,False,3,4,2,110775,8101,11,191,3006,6671
518,Neeko,12,4,False,1,4,3,84325,6552,12,131,1056,1026
90,Malzahar,4,12,True,4,2,3,113906,9170,13,164,2031,1026
59,JarvanIV,11,4,True,7,0,13,153906,12270,13,39,3748,6632
21,MissFortune,4,7,True,4,3,8,76432,8670,12,156,1001,6672
89,Leona,14,4,True,3,2,8,16682,5965,9,29,3075,3860
223,TahmKench,4,12,True,5,2,5,56735,9106,12,123,3190,8001
39,Irelia,12,4,False,3,5,4,89502,9431,14,168,3153,3047
115,Ziggs,12,4,False,2,3,4,190767,11668,15,265,3020,3157
64,LeeSin,11,4,False,10,6,2,141378,12070,14,24,3071,6630
432,Bard,14,4,False,1,4,7,16182,6819,12,27,3190,3853
84,Akali,12,14,False,0,9,2,100745,8432,14,184,3157,2055
134,Syndra,12,4,True,6,3,10,153274,11831,16,172,2033,0
43,Karma,3,4,True,4,0,12,27258,8915,13,22,2065,3853
121,Khazix,11,4,True,6,6,6,187505,11537,15,44,3158,3042
202,Jhin,4,7,True,3,1,3,231641,13591,16,294,3036,2055
23,Tryndamere,14,6,True,8,6,5,228372,14642,17,217,6676,6630
59,JarvanIV,11,4,True,8,2,16,152060,12888,15,60,3748,3742
147,Seraphine,4,3,True,1,5,15,21657,7508,11,11,6617,3011
18,Tristana,4,12,True,16,1,5,128256,13569,15,129,3006,3026
85,Kennen,12,4,True,6,3,4,169278,14048,16,258,2420,3152
115,Ziggs,4,12,True,0,5,8,163773,9939,14,188,6653,4637
84,Akali,12,4,False,2,5,3,82622,8038,14,161,1054,3111
23,Tryndamere,6,4,False,1,2,3,142511,9807,15,199,6671,3006
245,Ekko,11,4,False,8,6,3,168302,11066,14,38,3152,3157
81,Ezreal,4,12,False,1,9,5,138522,9370,13,187,3042,6632
235,Senna,4,3,False,4,9,5,28783,8372,12,18,3067,1036
517,Sylas,4,12,True,3,5,13,103030,10332,15,144,1082,3157
121,Khazix,11,4,True,5,5,10,143138,10660,14,32,6630,0
222,Jinx,4,7,True,13,4,6,177684,14639,15,218,3091,6673
41,Gangplank,4,12,True,11,1,8,235801,16401,17,256,2033,3078
412,Thresh,14,4,True,0,8,22,19151,7954,13,42,2065,3107
7,Leblanc,14,4,False,4,6,10,79781,8967,13,139,6655,2033
58,Renekton,4,12,False,2,6,6,148039,10523,15,211,6630,3133
115,Ziggs,4,12,False,6,6,6,115600,11301,13,162,1026,4630
64,LeeSin,11,4,False,8,6,5,120956,10448,13,17,3026,3157
497,Rakan,14,4,False,2,8,14,18665,6805,11,30,3860,2065
64,LeeSin,11,4,False,2,5,1,58620,4550,8,11,2422,2055
81,Ezreal,4,1,False,1,4,1,39617,4797,8,101,3158,3070
350,Yuumi,14,3,False,0,4,3,4742,3298,8,4,3851,3802
234,Viego,4,12,False,0,6,3,34048,4487,9,98,3067,2031
7,Leblanc,12,4,False,3,8,1,29423,5551,8,72,2033,1082
238,Zed,4,14,True,7,0,4,59506,7652,11,113,1054,2031
89,Leona,4,14,True,1,2,10,10842,4383,7,17,3859,8001
145,Kaisa,7,4,True,4,1,4,51774,6489,10,107,1055,3006
131,Diana,4,11,True,6,1,4,102377,7850,11,8,3020,3157
164,Camille,12,14,True,9,2,3,60084,8896,11,94,2031,3078
